REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM8_jia.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
9_MACS_peak_12992_lociStitched	chr6	7895439	7918973	9	22491	30455.3494	1	1	MUTED-TXNDC5,TXNDC5		TXNDC5	1	1
6_MACS_peak_1117_lociStitched	chr1	156457032	156471720	6	14033	13727.4048	2	1	MEF2D		MEF2D	2	1
1_MACS_peak_1963_lociStitched	chr1	234738102	234749416	1	11315	17109.0308	3	1	IRF2BP2	NCRNA00184	IRF2BP2	3	1
2_MACS_peak_10292_lociStitched	chr22	23228548	23238624	2	10065	14663.6028	4	1	IGLL5		IGLL5	4	1
5_MACS_peak_3055_lociStitched	chr11	65184385	65194749	5	9941	10148.4288	5	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	5	1
7_MACS_peak_8949_lociStitched	chr2	89157065	89167467	7	9901	9843.4126	6	1			ANKRD36BP2	6	1
4_MACS_peak_1620_lociStitched	chr1	203289107	203298373	4	9050	10824.5412	7	1		BTG2,LOC730227,FMOD	BTG2	7	1
2_MACS_peak_924_lociStitched	chr1	150545396	150553044	2	7380	11393.2256	8	1	MCL1	ADAMTSL4,MIR4257,ENSA	MCL1	8	1
1_MACS_peak_1611_lociStitched	chr1	203255003	203261538	1	6536	11819.201	9	1		BTG2,LOC730227	LOC730227	9	1
2_MACS_peak_15018_lociStitched	chr8	126441353	126448673	2	7282	10914.12	10	1	TRIB1		TRIB1	10	1
10_MACS_peak_752_lociStitched	chr1	118148098	118157810	10	8395	9012.736	11	1	FAM46C		FAM46C	11	1
5_MACS_peak_1615_lociStitched	chr1	203271979	203280550	5	7753	9512.0958	12	1	BTG2,LOC730227	FMOD	BTG2	12	1
2_MACS_peak_1385_lociStitched	chr1	178544409	178552251	2	7834	8905.3752	13	1		C1orf220	C1orf220	13	1
6_MACS_peak_10296_lociStitched	chr22	23270486	23278790	6	8060	7778.3568	14	1		IGLL5	IGLL5	14	1
3_MACS_peak_1087_lociStitched	chr1	155943972	155952150	3	7836	7777.278	15	1	ARHGEF2	RXFP4,SCARNA4,KIAA0907,SSR2	ARHGEF2	15	1
3_MACS_peak_2159_lociStitched	chr10	22604215	22611696	3	7470	7637.3529	16	1	COMMD3,BMI1	SPAG6	BMI1	16	1
3_MACS_peak_13621_lociStitched	chr6	106533275	106540875	3	7269	6603.64	17	1	PRDM1	PRDM1	PRDM1	17	1
3_MACS_peak_1719_lociStitched	chr1	207993654	208000093	3	6319	8197.4909	18	1	LOC148696	MIR29C,MIR29B2	LOC148696	18	1
2_MACS_peak_1562_lociStitched	chr1	200859497	200866695	2	6951	7134.6576	19	1	C1orf106	GPR25	C1orf106	19	1
1_MACS_peak_922_lociStitched	chr1	150532563	150538008	1	5446	8756.649	20	1	ADAMTSL4	MIR4257,MCL1	MIR4257	20	1
3_MACS_peak_3065_lociStitched	chr11	65264091	65270894	3	6497	7022.0566	21	1	MALAT1	SCYL1	MALAT1	21	1
8_MACS_peak_4898_lociStitched	chr14	91836027	91843380	8	7189	5258.1303	22	1	CCDC88C		CCDC88C	22	1
7_MACS_peak_7011_lociStitched	chr17	75135948	75143547	7	6760	5248.6293	23	1	SEC14L1	SEC14L1	SEC14L1	23	1
1_MACS_peak_7731_lociStitched	chr19	12899874	12905232	1	5359	7654.4388	24	1	JUNB	BEST2,RNASEH2A,MAST1,HOOK2,PRDX2,RTBDN	JUNB	24	1
2_MACS_peak_7754_lociStitched	chr19	13261210	13267004	2	5766	6722.1988	25	1	IER2	NACC1,LYL1,TRMT1,STX10	IER2	25	1
3_MACS_peak_3593_lociStitched	chr12	12867279	12873368	3	5883	6482.3494	26	1	CDKN1B	APOLD1,MIR613,GPR19	CDKN1B	26	1
1_MACS_peak_927_lociStitched	chr1	150581515	150587147	1	5633	6842.3168	27	1		MCL1,ENSA	ENSA	27	1
1_MACS_peak_1137_lociStitched	chr1	156716265	156722427	1	6163	5535.3246	28	1	HDGF	C1orf66,PRCC,CRABP2,ISG20L2,MRPL24	HDGF	28	1
4_MACS_peak_15035_lociStitched	chr8	128747002	128753168	4	5448	6722.1732	29	1	MYC		MYC	29	1
2_MACS_peak_7852_lociStitched	chr19	16694222	16700047	2	5763	6016.06	30	1	MED26	CHERP,SLC35E1	SLC35E1	30	1
3_MACS_peak_7390_lociStitched	chr19	1648113	1653641	3	5024	7063.1256	31	1	TCF3	UQCR11	TCF3	31	1
4_MACS_peak_2591_lociStitched	chr10	112255571	112262151	4	5831	5194.91	32	1	DUSP5		DUSP5	32	1
2_MACS_peak_13315_lociStitched	chr6	32935806	32941166	2	5089	6404.664	33	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	33	1
6_MACS_peak_3337_lociStitched	chr11	111237258	111243667	6	5807	4765.0915	34	1	POU2AF1		POU2AF1	34	1
2_MACS_peak_7837_lociStitched	chr19	16434952	16439887	2	4843	6411.552	35	1	KLF2		KLF2	35	1
2_MACS_peak_7328_lociStitched	chr19	659271	663951	2	4648	6532.812	36	1	RNF126	FGF22,FSTL3,PALM,POLRMT,PRSSL1	RNF126	36	1
3_MACS_peak_1885_lociStitched	chr1	228269107	228273500	3	3917	7295.4551	37	1	ARF1	MIR3620,C1orf35,MRPL55	ARF1	37	1
7_MACS_peak_13764_lociStitched	chr6	133690739	133697434	7	5837	4312.2495	38	1	EYA4		EYA4	38	1
3_MACS_peak_13036_lociStitched	chr6	12008172	12013456	3	4984	5880.0352	39	1	HIVEP1		HIVEP1	39	1
4_MACS_peak_9045_lociStitched	chr2	111875335	111881502	4	5579	4790.5256	40	1	ACOXL,BCL2L11		BCL2L11	40	1
3_MACS_peak_14970_lociStitched	chr8	124045930	124051754	3	5477	4873.5232	41	1	DERL1	WDR67	DERL1	41	1
2_MACS_peak_12922_lociStitched	chr6	295030	300519	2	5437	4915.9484	42	1	DUSP22		DUSP22	42	1
5_MACS_peak_5475_lociStitched	chr15	75742644	75748690	5	5585	4575.6128	43	1	SIN3A		SIN3A	43	1
