GENE_ID	locusLine	bin_1_LP-1.jin.bam
NM_030806	chr1(.):184351149-184603155	0.3554
NM_015215	chr1(.):6840383-7834766	0.0842
NM_007051	chr1(.):50901934-51430936	0.0686
NM_004091	chr1(.):23827921-23862713	0.4381
NM_173065	chr1(.):24475646-24518751	0.3035
NM_001048199	chr1(.):28827454-28870708	0.3653
NR_002909	chr1(.):28827454-28842404	0.6706
NM_001100910	chr1(.):120834004-120860681	0.6098
NR_034178	chr1(.):143910747-144099477	0.3955
NM_203458	chr1(.):145204110-145290912	0.6709
NM_153713	chr1(.):145472084-145504091	0.2971
NM_207168	chr1(.):150594521-150607098	0.8135
NM_020524	chr1(.):154911558-154933567	1.8954
NM_181359	chr1(.):154372668-154445188	0.5445
NM_005572	chr1(.):156079460-156112657	0.7307
NM_170708	chr1(.):156079460-156114878	0.7113
NM_005973	chr1(.):156732273-156775609	0.3529
NM_001135050	chr1(.):159891828-159920386	0.6145
NM_014697	chr1(.):162034580-162344813	0.2943
NM_006182	chr1(.):162597227-162755247	0.1839
NM_052862	chr1(.):167594473-167680486	0.6216
NM_014412	chr1(.):174963891-174986163	0.6623
NM_001007214	chr1(.):174963570-174986163	0.6549
NM_015149	chr1(.):183600207-183902666	0.3379
NM_025191	chr1(.):184654624-184729041	0.8038
NM_017707	chr1(.):23750055-23815750	0.0776
NM_002167	chr1(.):23879408-23891322	0.1688
NM_021258	chr1(.):24441260-24474611	0.0679
NR_027087	chr1(.):24521729-24543180	0.3242
NM_006015	chr1(.):27017521-27113601	0.343
NR_003109	chr1(.):28874528-28910057	0.2228
NM_001269	chr1(.):28839744-28870708	0.198
NM_022756	chr1(.):37953175-37985364	0.1314
NM_025079	chr1(.):37935118-37954978	0.6692
NM_001262	chr1(.):51429366-51445306	1.5849
NM_078626	chr1(.):51430641-51445309	1.7154
NM_017709	chr1(.):118143603-118176011	0.4439
NM_207418	chr1(.):143891451-143918143	0.6638
NM_032305	chr1(.):145451235-145475387	0.7364
NM_202004	chr1(.):145408190-145422545	0.1881
NM_006472	chr1(.):145433461-145447628	0.653
NM_001039888	chr1(.):145465507-145480647	0.5306
NM_001161334	chr1(.):149749244-149788928	0.3283
NM_001034077	chr1(.):149799220-149809616	1.7043
NM_001005464	chr1(.):149807258-149817765	2.8348
NM_001040874	chr1(.):149808784-149819318	2.8025
NM_001123375	chr1(.):149779779-149790236	0.7636
NM_000566	chr1(.):149749249-149769074	0.1962
NM_005850	chr1(.):149890210-149904702	0.5511
NM_016074	chr1(.):149866154-149877348	0.4614
NM_003528	chr1(.):149851009-149863232	2.1233
NM_003517	chr1(.):149853524-149863961	2.4466
NM_175065	chr1(.):149854018-149864466	2.4359
NM_014849	chr1(.):149869871-149894434	0.3054
NM_181873	chr1(.):149895542-149913266	0.5174
NM_001145862	chr1(.):149895542-149913791	0.5065
NR_036461	chr1(.):149816758-149827340	2.876
NM_001040874	chr1(.):149817627-149828161	2.8629
NM_001005464	chr1(.):149819180-149829687	2.8836
NM_001034077	chr1(.):149827329-149837725	1.6805
NM_019032	chr1(.):150516897-150538412	1.1077
NM_207046	chr1(.):150589598-150606609	0.7274
NR_036211	chr1(.):150519404-150529490	0.2881
NM_001197320	chr1(.):150542026-150557214	1.1619
NM_002651	chr1(.):151259272-151305133	0.3511
