GENE_ID	locusLine	bin_1_JJN3_jia.bam
NM_021222	chr1(.):150975972-151013189	0.643
NM_015215	chr1(.):6840383-7834766	0.1466
NM_012405	chr1(.):6276252-6301044	0.2899
NM_007051	chr1(.):50901934-51430936	0.0811
NM_024408	chr1(.):120449175-120617276	0.5193
NM_152263	chr1(.):154129289-154169609	0.3524
NM_001043351	chr1(.):154122779-154160725	0.3632
NM_201569	chr1(.):183436505-183528328	0.482
NM_001198993	chr1(.):1677670-1715297	1.3245
NM_023018	chr1(.):1677670-1714909	1.337
NM_033487	chr1(.):1566099-1660775	0.6389
NM_001198994	chr1(.):1677670-1716508	1.2857
NM_024980	chr1(.):9159475-9194229	0.3434
NM_152942	chr1(.):12180957-12209264	0.2553
NM_001243	chr1(.):12118433-12209264	0.1446
NM_015001	chr1(.):16169358-16271950	0.308
NM_004091	chr1(.):23827921-23862713	2.0195
NM_022753	chr1(.):33278175-33329476	0.6654
NM_001017406	chr1(.):33278175-33305665	1.186
NM_174964	chr1(.):44168217-44401831	0.3649
NM_022768	chr1(.):110876944-110894303	1.9387
NM_017744	chr1(.):113061140-113167040	0.4207
NM_138729	chr1(.):113079412-113167040	0.4941
NM_006699	chr1(.):117905084-118073320	0.2443
NR_034178	chr1(.):143910747-144099477	0.3208
NM_203458	chr1(.):145204110-145290912	1.2327
NM_004892	chr1(.):145091406-145121922	0.3743
NM_153713	chr1(.):145472084-145504091	0.8535
NM_001002812	chr1(.):144885590-145000022	0.4744
NM_014644	chr1(.):144846426-145000022	0.3927
NM_001198834	chr1(.):144846423-145000033	0.3926
NM_001198832	chr1(.):144846423-145044992	0.3797
NM_207168	chr1(.):150594521-150607098	1.8149
NM_015203	chr1(.):150331989-150454041	0.5321
NM_020699	chr1(.):153772202-153900451	0.2864
NM_020524	chr1(.):154911558-154933567	4.3306
NM_002249	chr1(.):154674914-154847754	0.4757
NM_170782	chr1(.):154674914-154837338	0.4649
NM_005572	chr1(.):156079460-156112657	1.3825
NM_018489	chr1(.):155300051-155537324	0.3153
NM_170708	chr1(.):156079460-156114878	1.3056
NM_018116	chr1(.):155575006-155589758	0.4507
NM_005973	chr1(.):156732273-156775609	1.0038
NM_001231	chr1(.):160155284-160176676	1.8122
NM_012394	chr1(.):161065345-161092866	0.6245
NM_012474	chr1(.):165791889-165882339	0.4659
NM_052862	chr1(.):167594473-167680486	0.6375
NM_002697	chr1(.):167185065-167401582	0.2187
NR_037163	chr1(.):167185122-167401582	0.2188
NM_018442	chr1(.):167900796-168050083	0.3007
NR_026550	chr1(.):167882309-167910380	1.1835
NM_001143674	chr1(.):167882309-167911278	1.1509
NM_015415	chr1(.):167882309-167910233	1.1893
NM_014412	chr1(.):174963891-174986163	1.3474
NM_014857	chr1(.):174123633-174932327	0.1332
NM_001007214	chr1(.):174963570-174986163	1.3297
NM_145034	chr1(.):179804101-179851941	0.6243
NM_022347	chr1(.):179823164-179851941	0.9739
NM_182663	chr1(.):206675878-206767616	0.649
NM_002221	chr1(.):226814390-226931876	0.4907
NM_182838	chr1(.):1658680-1682431	1.4108
NM_001110781	chr1(.):1587938-1629243	1.1629
NM_024011	chr1(.):1629169-1660791	0.2898
NM_001198995	chr1(.):1677670-1695081	0.7535
NM_002074	chr1(.):1711728-1827495	0.3686
NM_138705	chr1(.):1841265-1853733	0.1312
NM_178545	chr1(.):1844028-1855740	0.1165
NM_015557	chr1(.):6156846-6245194	0.0627
NM_207396	chr1(.):6261188-6286359	0.6734
NM_000983	chr1(.):6240079-6264679	0.4669
NM_001024598	chr1(.):6299251-6310638	0.1133
NM_177540	chr1(.):6610337-6644817	0.3268
NM_005341	chr1(.):6635062-6654340	0.2882
NM_014851	chr1(.):6645783-6667929	1.7855
NM_153812	chr1(.):6668755-6689093	1.0069
NM_024654	chr1(.):6576406-6619658	0.1875
NM_001195752	chr1(.):6680209-6698642	0.3146
NM_001195753	chr1(.):6679924-6698642	0.3121
NM_001428	chr1(.):8916062-8943780	1.1586
NR_029610	chr1(.):9206726-9216836	0.0769
NM_001066	chr1(.):12222059-12274277	0.4349
NM_001089591	chr1(.):16128656-16139194	0.0727
NR_024279	chr1(.):16155709-16179642	2.6787
NM_014675	chr1(.):17243444-17304474	0.083
NM_001136204	chr1(.):17728250-17770057	1.0383
NM_018715	chr1(.):17728250-17771220	1.0153
NM_017707	chr1(.):23750055-23815750	0.0809
NM_002167	chr1(.):23879408-23891322	0.4224
NM_001031680	chr1(.):25221001-25296501	0.9512
