GENE_ID	locusLine	bin_1_36_0EXO_0229Kronos_MM1S-No-Treatment-2_Input_hs_i78.bam
NM_199454	chr1(.):2980741-3360185	0.0589
NM_015215	chr1(.):6840383-7834766	0.0817
NM_001033581	chr1(.):2000085-2121834	0.0761
NM_012405	chr1(.):6276252-6301044	0.1069
NM_017891	chr1(.):1012197-1056736	0.092
NM_002744	chr1(.):1976908-2121834	0.0753
NM_017449	chr1(.):23032330-23246823	0.0863
NR_002188	chr1(.):155178615-155202325	0.2269
NM_017900	chr1(.):1304109-1315818	0.1262
NM_001014980	chr1(.):1172832-1187102	0.0819
NM_003820	chr1(.):2482804-2500267	0.1059
NM_003036	chr1(.):2155133-2246652	0.085
NM_152492	chr1(.):3663964-3693209	0.0848
NM_001409	chr1(.):3399505-3533059	0.0664
NM_007274	chr1(.):6319331-6458826	0.0864
NM_001042663	chr1(.):6521151-6562484	0.0867
NM_181864	chr1(.):6319331-6450883	0.0856
NM_198681	chr1(.):6521151-6585069	0.0878
NM_001079843	chr1(.):10691665-10861707	0.0825
NM_017766	chr1(.):10702269-10861707	0.084
NM_004958	chr1(.):11161587-11327608	0.0972
NM_020350	chr1(.):11791141-11815828	0.1161
NM_007365	chr1(.):17388255-17450948	0.087
NM_013358	chr1(.):17526620-17577501	0.0883
NR_026567	chr1(.):17012712-17051652	0.2301
NM_018125	chr1(.):17861329-18029370	0.0749
NM_001011722	chr1(.):17902047-18029370	0.0727
NM_013945	chr1(.):18952499-19067632	0.069
NM_001135254	chr1(.):18952499-19080360	0.0704
NM_000478	chr1(.):21830857-21909905	0.0933
NM_004952	chr1(.):155046347-155065014	0.2331
NM_178229	chr1(.):156490196-156547396	0.1789
NM_144702	chr1(.):156885423-156907880	0.1609
NM_138795	chr1(.):202096976-202118866	0.1603
NM_001017403	chr1(.):202158117-202293889	0.1644
NM_021636	chr1(.):202167904-202293889	0.164
NM_001017404	chr1(.):202178282-202293889	0.1632
NM_015090	chr1(.):204792781-204996950	0.1537
NM_032129	chr1(.):896876-915484	0.0914
NM_152486	chr1(.):856120-884961	0.0907
NM_198317	chr1(.):890966-906099	0.1134
NR_027055	chr1(.):798450-817182	0.123
NM_015658	chr1(.):874582-899679	0.0977
NR_026874	chr1(.):847952-859817	0.1154
NR_027693	chr1(.):905578-922473	0.0936
NM_001142467	chr1(.):929343-940552	0.0901
NM_005101	chr1(.):943846-954919	0.1091
NM_021170	chr1(.):929341-940552	0.0901
NM_198576	chr1(.):950502-996492	0.069
NM_001130045	chr1(.):1104285-1138313	0.0883
NR_029639	chr1(.):1097483-1107578	0.063
NM_016547	chr1(.):1147287-1172447	0.08
NM_080605	chr1(.):1162628-1175420	0.0882
NM_153254	chr1(.):1110076-1126243	0.0836
NM_003327	chr1(.):1141705-1154512	0.0681
NM_004195	chr1(.):1133887-1147089	0.0748
NR_029834	chr1(.):1098242-1108332	0.0708
NR_029957	chr1(.):1099384-1109467	0.0717
NM_001130413	chr1(.):1212488-1232409	0.0774
NM_194458	chr1(.):1184291-1214234	0.1084
NM_001127230	chr1(.):1304110-1315562	0.1276
NM_001127229	chr1(.):1304109-1315580	0.128
NM_002978	chr1(.):1212575-1232409	0.0774
NM_022834	chr1(.):1365902-1383262	0.0823
NM_030937	chr1(.):1316090-1339718	0.1226
NM_031921	chr1(.):1402163-1436582	0.095
NR_015434	chr1(.):1329909-1342426	0.1439
NM_001145210	chr1(.):1348799-1361650	0.1018
NM_001146685	chr1(.):1356507-1368167	0.0777
NM_017971	chr1(.):1332275-1347693	0.1354
NM_001039211	chr1(.):1380068-1410538	0.1199
NM_080875	chr1(.):1545794-1570990	0.0996
NM_006983	chr1(.):1562559-1575030	0.0829
NM_014188	chr1(.):1472052-1515262	0.0947
NR_002946	chr1(.):1563158-1575027	0.0857
NM_001114748	chr1(.):1465157-1480740	0.0567
NM_001170689	chr1(.):1546244-1570990	0.0989
NR_002946	chr1(.):1626377-1638247	0.0837
NM_000815	chr1(.):1945767-1967192	0.0617
NM_001080484	chr1(.):1879751-1940276	0.0813
NM_001146310	chr1(.):2110898-2144172	0.0922
NM_182533	chr1(.):2115987-2131214	0.0888
NR_024445	chr1(.):2115481-2130024	0.0862
NM_007033	chr1(.):2318213-2341885	0.0973
NM_002617	chr1(.):2331240-2349010	0.1179
NR_024489	chr1(.):2276852-2289100	0.064
NM_024848	chr1(.):2247695-2327993	0.0786
NM_014638	chr1(.):2402753-2441964	0.0608
NM_001010926	chr1(.):2455183-2466684	0.0968
NR_026927	chr1(.):2476358-2489284	0.1524
NM_018216	chr1(.):2434974-2463035	0.0774
NM_001195741	chr1(.):2513188-2527908	0.0947
NR_036638	chr1(.):2512898-2527908	0.0962
NM_033467	chr1(.):2517080-2569481	0.0758
NR_024371	chr1(.):2975635-2989289	0.0389
NM_080431	chr1(.):2933045-2944467	0.0577
NR_036215	chr1(.):3039538-3049599	0.0507
NM_014448	chr1(.):3366146-3402677	0.0677
NR_030277	chr1(.):3472259-3482354	0.0673
NM_182752	chr1(.):3536555-3551694	0.1163
NR_033712	chr1(.):3647547-3668335	0.0872
NR_033708	chr1(.):3647547-3668937	0.0867
NM_005427	chr1(.):3564128-3655467	0.0719
NM_017818	chr1(.):3542330-3571671	0.091
NM_020710	chr1(.):3691783-3718068	0.089
NM_001163724	chr1(.):3684351-3697546	0.1
NM_015557	chr1(.):6156846-6245194	0.0905
NM_207396	chr1(.):6261188-6286359	0.0908
NM_000983	chr1(.):6240079-6264679	0.1057
NM_207370	chr1(.):6302405-6326035	0.0863
NM_001024598	chr1(.):6299251-6310638	0.08
NM_020631	chr1(.):6521151-6556760	0.0843
NM_003790	chr1(.):6516213-6531255	0.0787
NM_001039664	chr1(.):6519170-6531255	0.0797
NM_019089	chr1(.):6470293-6484979	0.1098
NM_031475	chr1(.):6479847-6526004	0.0998
NM_001042665	chr1(.):6521151-6551014	0.0821
NM_001042664	chr1(.):6521151-6555640	0.0821
NR_036218	chr1(.):6484893-6494956	0.1055
NM_177540	chr1(.):6610337-6644817	0.1204
NM_024654	chr1(.):6576406-6619658	0.0944
NM_001010866	chr1(.):9643931-9670020	0.0915
NM_005026	chr1(.):9706789-9794172	0.0948
NR_027045	chr1(.):9707667-9719644	0.0798
NM_013319	chr1(.):11328254-11353491	0.1126
NM_020780	chr1(.):11534294-11602640	0.086
NM_001127325	chr1(.):11729536-11756678	0.1121
NM_006341	chr1(.):11729536-11746271	0.1218
NM_018438	chr1(.):11719149-11739409	0.0995
NM_183412	chr1(.):11709431-11728384	0.1043
NM_012168	chr1(.):11703447-11719739	0.1203
NM_033182	chr1(.):11709913-11728384	0.1049
NM_198545	chr1(.):11746780-11785336	0.1021
NM_006172	chr1(.):11900766-11912840	0.091
NM_002521	chr1(.):11912520-11923992	0.1131
NM_000302	chr1(.):11989745-12040594	0.1009
NM_138346	chr1(.):11975122-11991480	0.1294
NM_003443	chr1(.):16263363-16307627	0.1011
NM_001165945	chr1(.):16370283-16388803	0.1013
NM_001042704	chr1(.):16343485-16365545	0.1011
NM_178840	chr1(.):16325730-16338184	0.1028
NM_000085	chr1(.):16365246-16388803	0.1008
NM_014424	chr1(.):16335522-16350285	0.1003
NM_182623	chr1(.):16379263-16405127	0.1084
NM_004431	chr1(.):16445831-16487582	0.09
NM_153213	chr1(.):16519598-16544104	0.1072
NR_037446	chr1(.):16870408-16880482	0.261
NR_037446	chr1(.):17002749-17012823	0.1846
NR_026752	chr1(.):16939750-16962401	0.4647
NR_027504	chr1(.):16967068-16981915	0.4694
NR_002729	chr1(.):17076400-17095975	0.2442
NR_037446	chr1(.):17180443-17190516	0.1925
NM_014675	chr1(.):17243444-17304474	0.1368
NM_022089	chr1(.):17307452-17343423	0.1024
NM_003000	chr1(.):17340224-17385665	0.12
NM_012387	chr1(.):17629689-17695495	0.0853
NM_016233	chr1(.):17570592-17615727	0.084
NM_207421	chr1(.):17693740-17733195	0.0924
NM_024544	chr1(.):20820940-20839674	0.1174
NM_001785	chr1(.):20910443-20950400	0.1002
NM_207334	chr1(.):20873931-20886513	0.0822
NM_001122819	chr1(.):20985506-21049317	0.1213
NM_001103161	chr1(.):21041224-21064133	0.1144
NM_002885	chr1(.):21917707-22000856	0.0962
NM_001145658	chr1(.):21917707-21983348	0.0962
NM_020526	chr1(.):22885003-22935087	0.0719
NM_001006943	chr1(.):22885003-22921112	0.0752
NM_001114101	chr1(.):22965117-22979603	0.0901
NM_015991	chr1(.):22958117-22971175	0.0933
NM_000491	chr1(.):22974681-22993029	0.0959
NR_036214	chr1(.):23184651-23194719	0.076
NM_001525	chr1(.):32078300-32097919	0.1041
NR_033688	chr1(.):32090462-32115218	0.1351
NM_012392	chr1(.):32090462-32115838	0.135
NM_001856	chr1(.):32112847-32174768	0.0977
NM_016178	chr1(.):151734130-151748806	0.1951
NM_031420	chr1(.):151727122-151741040	0.2138
NM_001144956	chr1(.):151689012-151707082	0.182
NM_007185	chr1(.):151667533-151694290	0.1743
NM_001172648	chr1(.):151667533-151693792	0.1739
NM_001172649	chr1(.):151667533-151693882	0.1737
NM_001134939	chr1(.):151730444-151748806	0.1918
NM_001018017	chr1(.):155153299-155167700	0.173
NM_198883	chr1(.):155173489-155188624	0.2032
NM_018973	chr1(.):155107366-155117883	0.2465
NM_153741	chr1(.):155107366-155117996	0.2463
NM_173852	chr1(.):155136883-155150804	0.2361
NM_004428	chr1(.):155095348-155112386	0.2127
NM_007112	chr1(.):155160378-155182690	0.2027
NM_001122837	chr1(.):155103287-155116334	0.2431
