REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	RPMI8226.jin.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
2_MACS_peak_14570_lociStitched	chr22	23264777	23281671	2	16783	209225.4324	1	1		IGLL5	IGLL5	IGLL5	0.0946	1	1
7_MACS_peak_18363_lociStitched	chr6	7904623	7921709	7	16338	66676.4064	2	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	1.3086	2	1
4_MACS_peak_18260_lociStitched	chr6	316884	330483	4	13554	50021.2017	3	1	DUSP22		DUSP22	DUSP22	2.0731	3	1
4_MACS_peak_12812_lociStitched	chr2	134876248	134889800	4	13321	38226.1264	4	1	MIR3679		MIR3679	MIR3679	2.1596	4	1
6_MACS_peak_3727_lociStitched	chr11	65183970	65196342	6	11741	80949.996	5	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	5.5831	5	1
4_MACS_peak_6486_lociStitched	chr14	106157782	106170301	4	12078	41265.1278	6	1			TMEM121	TMEM121	0.0825	6	1
4_MACS_peak_6463_lociStitched	chr14	106037554	106049550	4	11682	49536.2824	7	1		TMEM121	TMEM121	TMEM121	0.0825	7	1
1_MACS_peak_18258_lociStitched	chr6	289996	300256	1	10261	65810.718	8	1	DUSP22		DUSP22	DUSP22	2.0731	8	1
9_MACS_peak_19801_lociStitched	chr7	44668178	44680011	9	10977	23647.0672	9	1	OGDH	TMED4	OGDH	TMED4	0.4632	9	1
6_MACS_peak_1180_lociStitched	chr1	118169962	118181498	6	10559	25807.1856	10	1	FAM46C		FAM46C	FAM46C	0.8203	10	1
6_MACS_peak_6537_lociStitched	chr15	21925084	21936145	6	10492	24245.712	11	1	LOC646214		LOC646214	LOC646214	1.2627	11	1
