ENHANCER_ID	CHROM	START	STOP	GENE_LIST
3_MACS_peak_9989_lociStitched	chr15	60858836	60885598	RORA
1_MACS_peak_1973_lociStitched	chr1	156455347	156479623	MEF2D
3_MACS_peak_9984_lociStitched	chr15	60825007	60853071	RORA
2_MACS_peak_22303_lociStitched	chr3	141085045	141112727	ZBTB38
4_MACS_peak_19574_lociStitched	chr20	52190856	52211945	ZNF217
1_MACS_peak_22305_lociStitched	chr3	141119978	141134811	ZBTB38
1_MACS_peak_14949_lociStitched	chr19	12898765	12906053	JUNB
1_MACS_peak_16301_lociStitched	chr2	5835093	5842537	SOX11
2_MACS_peak_19926_lociStitched	chr21	36413910	36424877	RUNX1
1_MACS_peak_10622_lociStitched	chr15	93443014	93451987	CHD2
1_MACS_peak_23896_lociStitched	chr4	140095642	140100596	ELF2
6_MACS_peak_12869_lociStitched	chr17	38251798	38268883	NR1D1,THRA
1_MACS_peak_6803_lociStitched	chr12	56726233	56734104	STAT2
1_MACS_peak_22794_lociStitched	chr3	193815334	193822651	HES1
1_MACS_peak_19363_lociStitched	chr20	42306915	42313839	MYBL2
1_MACS_peak_9113_lociStitched	chr14	89891266	89903695	FOXN3
6_MACS_peak_21029_lociStitched	chr3	5018420	5031583	BHLHE40
1_MACS_peak_28329_lociStitched	chr7	26237914	26242824	NFE2L3
4_MACS_peak_15955_lociStitched	chr19	50396282	50405109	ATF5
2_MACS_peak_19938_lociStitched	chr21	36597838	36605179	RUNX1
2_MACS_peak_1910_lociStitched	chr1	154970991	154979439	ZBTB7B
1_MACS_peak_12844_lociStitched	chr17	37922930	37935365	IKZF3
2_MACS_peak_24200_lociStitched	chr4	185263688	185276625	IRF2
3_MACS_peak_6412_lociStitched	chr12	26265907	26280233	BHLHE41
1_MACS_peak_15094_lociStitched	chr19	16475201	16484437	KLF2
1_MACS_peak_5181_lociStitched	chr11	58340416	58347896	ZFP91
4_MACS_peak_3258_lociStitched	chr10	3822033	3829207	KLF6
1_MACS_peak_20470_lociStitched	chr22	29212558	29221740	XBP1
2_MACS_peak_16604_lociStitched	chr2	28612162	28617408	FOSL2
1_MACS_peak_20467_lociStitched	chr22	29190349	29199080	XBP1
1_MACS_peak_15623_lociStitched	chr19	42616649	42622597	POU2F2,ZNF574
4_MACS_peak_27280_lociStitched	chr6	106544427	106558455	PRDM1
3_MACS_peak_31930_lociStitched	chr9	102580553	102586714	NR4A3
1_MACS_peak_17944_lociStitched	chr2	157187900	157192565	NR4A2
2_MACS_peak_21768_lociStitched	chr3	71466688	71476204	FOXP1
3_MACS_peak_10619_lociStitched	chr15	93424184	93430041	CHD2
2_MACS_peak_10304_lociStitched	chr15	75742549	75749020	SIN3A
1_MACS_peak_13830_lociStitched	chr17	80451030	80457919	FOXK2
1_MACS_peak_14937_lociStitched	chr19	12720708	12726270	ZNF791,ZNF490
1_MACS_peak_27696_lociStitched	chr6	143264769	143269792	HIVEP2
2_MACS_peak_28327_lociStitched	chr7	26191138	26199837	NFE2L3
1_MACS_peak_378_lociStitched	chr1	23850345	23858845	E2F2
1_MACS_peak_13124_lociStitched	chr17	46123702	46127836	NFE2L1
1_MACS_peak_4246_lociStitched	chr10	104152920	104157007	NFKB2
2_MACS_peak_9011_lociStitched	chr14	75741066	75746921	FOS
4_MACS_peak_7132_lociStitched	chr12	96587091	96594485	ELK3
