GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
TMEM121	NM_025268	chr14:106022767-106059654,chr14:105939821-105959154	1,598	1	0.0661
NCRNA00152	NR_024204	chr2:87741030-87850456	3	1	4.5081
IGLL5	NM_001178126	chr22:23189073-23297240	4	1	5.4747
MIR650	NR_030755	chr22:23189073-23297240	4	1	0.2528
LOC541471	NR_015395	chr2:112157460-112266186	5	1	2.0713
FAM46C	NM_017709	chr1:118135662-118238613	6	1	2.3779
SETBP1	NM_001130110	chr18:42257975-42434398	8	1	1.2363
ST6GAL1	NM_173216	chr3:186692388-186795711	9	1	1.6665
FRMD8	NM_031904	chr11:65169942-65246618,chr11:65143297-65158364	10,582	1	1.2771
NEAT1	NR_028272	chr11:65169942-65246618,chr11:65143297-65158364	10,582	1	10.0411
MIR612	NR_030343	chr11:65169942-65246618,chr11:65254190-65279192	10,90	1	1.1375
TIGD3	NM_145719	chr11:65169942-65246618,chr11:65143297-65158364	10,582	1	0.4645
MALAT1	NR_002819	chr11:65254190-65279192,chr11:65169942-65246618,chr11:65306494-65360322	10,90,108	1	4.136
SCYL1	NM_001048218	chr11:65169942-65246618,chr11:65254190-65279192,chr11:65306494-65360322	10,90,108	1	0.4622
SLC25A45	NM_001077241	chr11:65143297-65158364,chr11:65169942-65246618	10,582	1	1.7201
CCDC88C	NM_001080414	chr14:91780987-91886549	11	1	1.3224
BTG2	NM_006763	chr1:203239736-203299537	12	1	3.2343
LOC730227	NR_034150	chr1:203239736-203299537	12	1	3.6134
CHIT1	NM_003465	chr1:203239736-203299537	12	1	0.0327
FMOD	NM_002023	chr1:203239736-203299537	12	1	0.0612
KLF2	NM_016270	chr19:16425288-16498735	13	1	3.7772
EPS15L1	NM_021235	chr19:16425288-16498735	13	1	1.0435
PLCG2	NM_002661	chr16:81803290-81910028	14	1	0.9828
BMP6	NM_001718	chr6:7858093-7922847	15	1	0.3497
MUTED-TXNDC5	NR_037616	chr6:7858093-7922847,chr6:7957993-7995141	15,216	1	1.3153
TXNDC5	NM_001145549	chr6:7858093-7922847,chr6:7957993-7995141	15,216	1	3.5516
C5orf56	NM_001013717	chr5:131741134-131837789	16	1	2.1024
IRF1	NM_002198	chr5:131741134-131837789	16	1	1.4299
SLC22A5	NM_003060	chr5:131741134-131837789	16	1	0.2574
MIR3936	NR_037500	chr5:131741134-131837789	16	1	0.4692
IL5	NM_000879	chr5:131741134-131837789	16	1	0.0454
DUSP22	NM_020185	chr6:285758-366858	17	1	2.3568
IRF4	NM_001195286	chr6:381057-405674,chr6:285758-366858	17,599	1	1.0578
IRF2	NM_002199	chr4:185296438-185404021	18	1	1.6708
ZBTB38	NM_001080412	chr3:141078953-141171687	19	1	1.2624
RASA2	NM_006506	chr3:141078953-141171687	19	1	0.1412
GALNT2	NM_004481	chr1:230236663-230314048,chr1:230326465-230370903	20,78	1	1.3351
C5orf27	NR_026936	chr5:95168802-95299381	21	1	1.7755
ELL2	NM_012081	chr5:95168802-95299381	21	1	1.13
GLRX	NM_002064	chr5:95168802-95299381	21	1	1.0226
ARMC2	NM_032131	chr6:109182807-109242948	22	1	1.2551
GNG7	NM_052847	chr19:2606480-2712819	23	1	0.8706
DIRAS1	NM_145173	chr19:2606480-2712819	23	1	0.3932
SLC39A3	NM_213568	chr19:2606480-2712819	23	1	0.1986
ITPKB	NM_002221	chr1:226818536-226929066	24	1	1.2286
PRDM1	NM_001198	chr6:106528029-106596389	25	1	3.0527
LRRC16A	NM_001173977	chr6:25291563-25420931	26	1	0.538
DKFZP434I0714	NR_033797	chr4:153367161-153486131	27	1	2.0168
FBXW7	NM_033632	chr4:153367161-153486131	27	1	0.5768
MIR3140	NR_036092	chr4:153367161-153486131	27	1	1.1566
HIP1R	NM_003959	chr12:123343534-123390426	28	1	0.4577
VPS37B	NM_024667	chr12:123343534-123390426,chr12:123401315-123437764	28,252	1	2.9598
POU2AF1	NM_006235	chr11:111196895-111271731,chr11:111278825-111295261	29,374	1	2.8908
C11orf93	NM_001136105	chr11:111196895-111271731	29	1	0.2733
C11orf92	NR_034154	chr11:111196895-111271731	29	1	0.3048
KLF13	NM_015995	chr15:31614139-31671810	30	1	2.0282
BCL2	NM_000633	chr18:60797601-60832701,chr18:60839345-60904591,chr18:60944534-60989783	31,72,260	1	1.3052
TNS3	NM_022748	chr7:47511061-47630244	32	1	0.4284
CXCR4	NM_003467	chr2:136863900-136900409	33	1	2.4386
CDKN1B	NM_004064	chr12:12843475-12880443	34	1	6.1134
APOLD1	NM_001130415	chr12:12843475-12880443	34	1	0.6752
GPR19	NM_006143	chr12:12843475-12880443	34	1	0.4932
MIR613	NR_030344	chr12:12843475-12880443	34	1	0.0366
CHST15	NM_015892	chr10:125811415-125869733	35	1	1.2817
ADAMTSL4	NM_019032	chr1:150531238-150554203	36	1	2.5686
MCL1	NM_001197320	chr1:150531238-150554203,chr1:150579410-150603625	36,249	1	3.0666
MIR4257	NR_036211	chr1:150531238-150554203	36	1	0.1824
ENSA	NM_207046	chr1:150579410-150603625,chr1:150531238-150554203	36,249	1	0.9613
CXXC5	NM_016463	chr5:139012372-139092615	37	1	1.2241
KIF13B	NM_015254	chr8:29048971-29126129	38	1	0.6143
TNFRSF13B	NM_012452	chr17:16817827-16896050	39	1	1.3848
VOPP1	NM_030796	chr7:55569415-55643268	40	1	1.0003
TMCC2	NM_014858	chr1:205242049-205292073	41	1	0.1521
NUAK2	NM_030952	chr1:205242049-205292073	41	1	1.7629
KLHDC8A	NM_018203	chr1:205242049-205292073	41	1	0.133
SMAP2	NM_022733	chr1:40838331-40871749	42	1	1.7647
ZNF643	NM_023070	chr1:40838331-40871749	42	1	0.032
SNN	NM_003498	chr16:11760942-11838583	43	1	1.5256
TXNDC11	NM_015914	chr16:11760942-11838583	43	1	1.3128
PTK2B	NM_004103	chr8:27181299-27282468	44	1	0.6993
TRIM35	NM_171982	chr8:27181299-27282468	44	1	0.0951
INPP4A	NM_004027	chr2:99060224-99136963	45	1	0.7172
RHOH	NM_004310	chr4:40182120-40241750	46	1	1.4075
EIF2AK3	NM_004836	chr2:88890032-88929590	47	1	1.3257
PCBP1	NM_006196	chr2:70308646-70371942	48	1	3.5853
LOC400960	NR_033872	chr2:70308646-70371942	48	1	0.393
LOC100133985	NR_024444	chr2:70308646-70371942	48	1	1.6641
C2orf42	NM_017880	chr2:70308646-70371942	48	1	0.2494
ERN1	NM_001433	chr17:62132431-62210845	49	1	1.0384
SNORD104	NR_004380	chr17:62132431-62210845	49	1	0.4083
SNORA76	NR_002995	chr17:62132431-62210845	49	1	0.4103
ICAM2	NM_000873	chr17:62132431-62210845	49	1	0.0872
MEF2D	NM_005920	chr1:156448275-156480449	50	1	1.997
C1orf61	NM_006365	chr1:156448275-156480449	50	1	0.0634
LRRC23	NM_006992	chr12:7022277-7081424	51	1	0.3013
ENO2	NM_001975	chr12:7022277-7081424	51	1	0.9024
ATN1	NM_001007026	chr12:7022277-7081424	51	1	1.2381
C12orf57	NM_138425	chr12:7022277-7081424	51	1	1.7351
PTPN6	NM_080548	chr12:7022277-7081424	51	1	2.6652
MIR200C	NR_029779	chr12:7022277-7081424	51	1	1.7347
MIR141	NR_029682	chr12:7022277-7081424	51	1	1.5405
EMG1	NM_006331	chr12:7022277-7081424	51	1	0.3671
PHB2	NM_007273	chr12:7022277-7081424	51	1	0.9196
SCARNA12	NR_003010	chr12:7022277-7081424	51	1	0.7242
TPI1	NM_001159287	chr12:7022277-7081424	51	1	0.2883
RPL13P5	NR_002803	chr12:7022277-7081424	51	1	0.0556
DSTNP2	NR_033796	chr12:7022277-7081424	51	1	0.0612
SPSB2	NM_001146316	chr12:7022277-7081424	51	1	0.3058
LPCAT3	NM_005768	chr12:7022277-7081424	51	1	0.1162
PDE4B	NM_002600	chr1:66794944-66850172,chr1:66735660-66751256	52,555	1	0.2756
TPD52	NM_005079	chr8:80986564-81085319	53	1	0.7478
MRPS28	NM_014018	chr8:80986564-81085319	53	1	0.0802
MBNL1	NM_021038	chr3:151958991-152029190,chr3:151909529-151944923	54,66	1	0.6599
LOC401093	NR_027037	chr3:151958991-152029190,chr3:151909529-151944923	54,66	1	2.3089
TMEM14E	NM_001123228	chr3:151958991-152029190	54	1	0.4597
MIR148A	NR_029597	chr7:25979246-26013001	55	1	3.4604
COMMD3	NM_012071	chr10:22593190-22616728	56	1	4.773
BMI1	NM_005180	chr10:22593190-22616728	56	1	2.7026
SPAG6	NM_172242	chr10:22593190-22616728	56	1	0.0593
EZR	NM_003379	chr6:159188584-159241905	57	1	1.5199
MIR3918	NR_037482	chr6:159188584-159241905	57	1	0.2069
OSTCL	NR_028496	chr6:159188584-159241905	57	1	0.9008
SMAD3	NM_005902	chr15:67356379-67431787	58	1	0.758
CKS1B	NR_024163	chr1:154907122-154957474	59	1	1.8533
MIR4258	NR_036212	chr1:154907122-154957474	59	1	2.175
FLAD1	NM_201398	chr1:154907122-154957474	59	1	0.2068
PMVK	NM_006556	chr1:154907122-154957474	59	1	1.1043
PBXIP1	NM_020524	chr1:154907122-154957474	59	1	1.7835
PYGO2	NM_138300	chr1:154907122-154957474	59	1	1.504
SHC1	NM_001130041	chr1:154907122-154957474	59	1	1.5838
LENEP	NM_018655	chr1:154907122-154957474	59	1	0.1995
ZBTB7B	NM_015872	chr1:154907122-154957474	59	1	1.023
DCST1	NM_001143687	chr1:154907122-154957474	59	1	0.1331
DCST2	NM_144622	chr1:154907122-154957474	59	1	0.2004
TBC1D9	NM_015130	chr4:141627905-141700869	60	1	0.8165
CREB3L2	NM_194071	chr7:137636668-137727017	61	1	0.6798
AKR1D1	NM_005989	chr7:137636668-137727017	61	1	0.0722
HIVEP2	NM_006734	chr6:143222911-143270730,chr6:143158173-143180970	62,244	1	0.9998
IZUMO4	NM_001039846	chr19:2030800-2098915	63	1	0.7018
MKNK2	NM_017572	chr19:2030800-2098915	63	1	1.2022
MOBKL2A	NM_130807	chr19:2030800-2098915	63	1	1.3864
BTBD2	NM_017797	chr19:2030800-2098915	63	1	0.0988
TRIB1	NM_025195	chr8:126429161-126453282	64	1	4.7951
RBM20	NM_001134363	chr10:112599177-112645029	65	1	0.2584
PDCD4	NM_145341	chr10:112599177-112645029	65	1	0.9409
LOC282997	NR_026932	chr10:112599177-112645029	65	1	3.2909
SHOC2	NM_007373	chr10:112599177-112645029	65	1	0.1729
NCRNA00081	NM_001195306	chr10:112599177-112645029	65	1	0.4858
ZBTB20	NM_001164347	chr3:114122773-114189257	67	1	0.4932
LOC148696	NR_026817	chr1:207970407-208008300,chr1:208036313-208059124	68,485	1	5.0216
MIR29C	NR_029832	chr1:207970407-208008300	68	1	0.406
MIR29B2	NR_029518	chr1:207970407-208008300	68	1	0.5222
CD46	NM_172361	chr1:207970407-208008300	68	1	0.2809
RABAC1	NM_006423	chr19:42431363-42464399	69	1	0.9533
ARHGEF1	NM_004706	chr19:42363041-42393033,chr19:42431363-42464399	69,607	1	0.3358
ATP1A3	NM_152296	chr19:42431363-42464399	69	1	0.0236
RXFP4	NM_181885	chr1:155899851-155955896	70	1	1.305
KIAA0907	NM_014949	chr1:155899851-155955896	70	1	0.3764
ARHGEF2	NM_001162384	chr1:155899851-155955896	70	1	1.8276
RIT1	NM_006912	chr1:155899851-155955896	70	1	0.1904
SNORA42	NR_002974	chr1:155899851-155955896	70	1	0.124
SCARNA4	NR_003005	chr1:155899851-155955896	70	1	0.1229
SSR2	NM_003145	chr1:155899851-155955896	70	1	0.3945
CDC42BPG	NM_017525	chr11:64610865-64648752	71	1	0.1377
EHD1	NM_006795	chr11:64610865-64648752	71	1	2.3638
PPP2R5B	NM_006244	chr11:64610865-64648752	71	1	0.422
MAP4K2	NM_004579	chr11:64610865-64648752	71	1	0.2201
MEN1	NM_130800	chr11:64610865-64648752	71	1	0.3722
MIR192	NR_029578	chr11:64610865-64648752	71	1	0.0636
MIR194-2	NR_029829	chr11:64610865-64648752	71	1	0.0637
ATG2A	NM_015104	chr11:64610865-64648752	71	1	0.2454
LAMC1	NM_002293	chr1:182990362-183077005	73	1	0.7631
FAM49A	NM_030797	chr2:16794538-16849266	74	1	0.729
BHLHE41	NM_030762	chr12:26265074-26289452	75	1	4.9434
CLECL1	NM_172004	chr12:9854153-9897373	76	1	2.872
CLEC2D	NR_036693	chr12:9854153-9897373	76	1	0.5839
CD69	NR_026672	chr12:9854153-9897373	76	1	0.0221
CCDC117	NM_173510	chr22:29182676-29228170	77	1	0.614
XBP1	NM_001079539	chr22:29182676-29228170	77	1	3.3873
HSCB	NM_172002	chr22:29182676-29228170	77	1	0.3126
CHEK2	NM_007194	chr22:29182676-29228170	77	1	0.1866
SIK1	NM_173354	chr21:44828666-44861692,chr21:44769979-44806190	79,210	1	2.2421
CUX1	NM_001913	chr7:101920248-101984218	80	1	0.1922
SH2B2	NM_020979	chr7:101920248-101984218	80	1	1.4976
MIR4285	NR_036245	chr7:101920248-101984218	80	1	0.997
SPDYE6	NM_001146210	chr7:101920248-101984218	80	1	0.2123
CFLAR	NM_003879	chr2:201978600-202002431	81	1	1.6761
NDUFB3	NM_002491	chr2:201978600-202002431	81	1	0.3029
CASP10	NM_032974	chr2:202039154-202102609,chr2:201978600-202002431	81,144	1	1.0316
FAM126B	NM_173822	chr2:201978600-202002431	81	1	0.1457
GAB1	NM_002039	chr4:144255971-144311444	82	1	0.762
NCOR2	NM_006312	chr12:124922437-124983747,chr12:125021488-125054894	83,193	1	0.6719
CYTIP	NM_004288	chr2:158268756-158311443,chr2:158321835-158346479	84,488	1	1.957
IQSEC1	NM_001134382	chr3:13033689-13063950	85	1	0.543
IRF2BP2	NM_182972	chr1:234733483-234750466	86	1	5.185
NCRNA00184	NR_033927	chr1:234733483-234750466	86	1	0.0868
CKLF	NM_181641	chr16:66546987-66590108	87	1	0.9393
TK2	NM_001172643	chr16:66546987-66590108	87	1	1.5896
CMTM1	NM_181271	chr16:66546987-66590108	87	1	0.1049
CMTM2	NM_001199317	chr16:66546987-66590108	87	1	0.0697
CMTM3	NR_037613	chr16:66546987-66590108	87	1	0.0836
PHACTR1	NM_030948	chr6:13271370-13311104	88	1	0.0903
TBC1D7	NM_001143964	chr6:13271370-13311104	88	1	1.6995
EIF2C2	NM_012154	chr8:141567768-141612363	89	1	0.9426
CHRAC1	NM_017444	chr8:141567768-141612363	89	1	0.9459
LTBP3	NM_021070	chr11:65306494-65360322,chr11:65254190-65279192	90,108	1	0.5977
BCAR3	NM_003567	chr1:94127356-94184070	91	1	0.3273
SSTR3	NM_001051	chr22:37593435-37645413	92	1	0.9118
RAC2	NM_002872	chr22:37593435-37645413	92	1	1.9157
CYTH4	NM_013385	chr22:37593435-37645413	92	1	0.4605
IL2RB	NM_000878	chr22:37593435-37645413	92	1	0.0304
C1QTNF6	NM_031910	chr22:37593435-37645413	92	1	0.0654
ADORA2A	NM_000675	chr22:24818720-24842743	93	1	3.1936
C22orf45	NR_028484	chr22:24818720-24842743	93	1	1.2007
UPB1	NM_016327	chr22:24818720-24842743	93	1	0.0907
BCAS1	NM_003657	chr20:52521902-52560745	94	1	0.2212
SUMO1P1	NR_002189	chr20:52521902-52560745	94	1	0.7061
SRC	NM_005417	chr20:35963359-36023061,chr20:35916722-35947847	95,117	1	1.1115
MANBAL	NM_001003897	chr20:35916722-35947847,chr20:35963359-36023061	95,117	1	1.8839
THRA	NM_001190919	chr17:38249790-38281606	96	1	1.0884
MSL1	NM_001012241	chr17:38249790-38281606	96	1	0.7394
NR1D1	NM_021724	chr17:38249790-38281606	96	1	3.0457
CASC3	NM_007359	chr17:38249790-38281606	96	1	0.2585
MED24	NM_014815	chr17:38249790-38281606	96	1	0.067
SEPT9	NM_001113492	chr17:75428460-75477610	97	1	0.4332
MIR4316	NR_036200	chr17:75428460-75477610	97	1	0.0566
ARID5B	NM_032199	chr10:63796017-63820370,chr10:63745022-63765281	98,610	1	0.9573
RAB11FIP1	NM_001002814	chr8:37730131-37762889	99	1	1.5494
BRF2	NM_018310	chr8:37730131-37762889	99	1	0.1919
GOT1L1	NM_152413	chr8:37730131-37762889	99	1	0.0293
ILDR1	NM_175924	chr3:121687618-121756242,chr3:121773018-121800555	100,605	1	1.4272
CD86	NM_175862	chr3:121773018-121800555,chr3:121687618-121756242	100,605	1	0.5801
ACOXL	NM_001142807	chr2:111787236-111830125,chr2:111872531-111894208,chr2:111609303-111636486	101,578,640	1	0.466
BCL2L11	NM_006538	chr2:111872531-111894208,chr2:111787236-111830125	101,578	1	0.7615
ETV7	NM_016135	chr6:36327635-36358206	103	1	2.3546
C6orf222	NM_001010903	chr6:36327635-36358206	103	1	0.2409
RABGAP1L	NM_014857	chr1:174124390-174176229	104	1	0.2149
LOC442211	NR_037141	chr6:42736921-42759152	105	1	0.2481
KIAA0240	NM_015349	chr6:42736921-42759152	105	1	0.089
PRPH2	NM_000322	chr6:42736921-42759152	105	1	0.1377
TBCC	NM_003192	chr6:42736921-42759152	105	1	0.7317
FLI1	NM_002017	chr11:128582270-128632704	106	1	0.8268
SEL1L3	NM_015187	chr4:25841774-25893137	107	1	0.4355
C4orf52	NM_001145432	chr4:25841774-25893137	107	1	0.437
SSSCA1	NM_006396	chr11:65306494-65360322	108	1	1.9015
FAM89B	NM_001098785	chr11:65306494-65360322	108	1	2.2125
EHBP1L1	NM_001099409	chr11:65306494-65360322	108	1	1.7076
PCNXL3	NM_032223	chr11:65306494-65360322	108	1	0.4295
SIPA1	NM_006747	chr11:65306494-65360322	108	1	0.4292
