BAM	GENE_ID	NAME	LOCUSLINE	COLOR1	COLOR2	COLOR3	bin_1	bin_2	bin_3	bin_4	bin_5	bin_6	bin_7	bin_8	bin_9	bin_10	bin_11	bin_12	bin_13	bin_14	bin_15	bin_16	bin_17	bin_18	bin_19	bin_20	bin_21	bin_22	bin_23	bin_24	bin_25	bin_26	bin_27	bin_28	bin_29	bin_30	bin_31	bin_32	bin_33	bin_34	bin_35	bin_36	bin_37	bin_38	bin_39	bin_40	bin_41	bin_42	bin_43	bin_44	bin_45	bin_46	bin_47	bin_48	bin_49	bin_50	bin_51	bin_52	bin_53	bin_54	bin_55	bin_56	bin_57	bin_58	bin_59	bin_60	bin_61	bin_62	bin_63	bin_64	bin_65	bin_66	bin_67	bin_68	bin_69	bin_70	bin_71	bin_72	bin_73	bin_74	bin_75	bin_76	bin_77	bin_78	bin_79	bin_80	bin_81	bin_82	bin_83	bin_84	bin_85	bin_86	bin_87	bin_88	bin_89	bin_90	bin_91	bin_92	bin_93	bin_94	bin_95	bin_96	bin_97	bin_98	bin_99	bin_100	bin_101	bin_102	bin_103	bin_104	bin_105	bin_106	bin_107	bin_108	bin_109	bin_110	bin_111	bin_112	bin_113	bin_114	bin_115	bin_116	bin_117	bin_118	bin_119	bin_120	bin_121	bin_122	bin_123	bin_124	bin_125	bin_126	bin_127	bin_128	bin_129	bin_130	bin_131	bin_132	bin_133	bin_134	bin_135	bin_136	bin_137	bin_138	bin_139	bin_140	bin_141	bin_142	bin_143	bin_144	bin_145	bin_146	bin_147	bin_148	bin_149	bin_150	bin_151	bin_152	bin_153	bin_154	bin_155	bin_156	bin_157	bin_158	bin_159	bin_160	bin_161	bin_162	bin_163	bin_164	bin_165	bin_166	bin_167	bin_168	bin_169	bin_170	bin_171	bin_172	bin_173	bin_174	bin_175	bin_176	bin_177	bin_178	bin_179	bin_180	bin_181	bin_182	bin_183	bin_184	bin_185	bin_186	bin_187	bin_188	bin_189	bin_190	bin_191	bin_192	bin_193	bin_194	bin_195	bin_196	bin_197	bin_198	bin_199	bin_200
01_0EWN_0229Kronos_MM1S-No-Treatment-1_H3K18Ac_hs-dm_i02.bam		H3K18Ac_0	chr17(+):37847100-38060047	220	220	220	0.2488	0.2913	0.2766	0.3706	0.4161	0.4627	0.4944	0.5324	0.971	1.2735	2.84	4.2912	4.4834	3.657	1.8533	1.6429	1.6459	1.2578	0.9553	0.6024	0.5086	0.5613	0.616	0.8092	0.8753	0.8428	0.5549	0.2776	0.2672	0.2783	0.2568	0.362	0.4885	0.3657	0.3302	2.9755	4.5055	5.5111	4.3651	0.7175	0.476	0.6059	1.7448	3.7134	5.377	5.372	2.9182	0.9821	0.5452	0.6151	0.6306	0.5011	0.4175	0.4634	0.6321	0.8229	1.1964	4.3704	13.4911	28.0453	38.8556	38.8284	27.997	14.039	6.1825	2.8376	1.5832	0.9435	0.9936	1.1389	1.2943	1.5918	3.7408	7.4183	10.3029	11.7603	9.0008	6.2784	8.1974	10.0747	13.2141	13.6724	9.7807	6.3424	3.3523	2.3096	1.5743	1.0255	0.9743	1.0753	1.1161	0.7958	0.5051	0.4039	1.1492	3.4646	6.2799	6.8522	5.6675	3.4761	2.0189	2.751	3.562	4.025	3.4605	1.5016	0.4773	0.4681	0.3987	0.5419	0.7658	0.5962	0.7357	0.7489	0.6892	0.7747	0.7007	1.0925	3.7846	8.234	10.9811	10.926	7.852	3.9082	1.6661	0.7625	0.7815	1.0139	0.9845	0.6786	0.4295	0.392	0.513	0.7036	0.7326	0.777	0.8307	0.6484	0.5782	0.7146	0.8709	1.5317	2.5709	2.8459	2.4648	1.8109	2.161	2.8292	2.5344	1.9627	1.0698	0.6056	0.665	0.7024	0.6846	0.8041	0.8421	1.2542	3.6716	6.1684	8.1693	10.8978	12.5659	12.7192	13.3796	13.4323	11.575	7.2642	1.7679	0.6211	0.4919	0.42	0.4707	0.4727	0.3534	0.2453	0.25	0.4307	0.6113	0.6401	0.5165	0.4531	0.4961	0.5879	0.6192	0.4015	0.3334	0.4886	0.6837	0.7616	0.6876	0.5514	0.5665	0.5754	0.4844	0.44	0.3478	0.2561	0.151	0.1152
02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04.bam		H3K18Ac_0	chr17(+):37847100-38060047	240	240	240	0.1771	0.3196	0.4097	0.3594	0.3789	0.5982	0.6047	0.3933	0.5238	1.3211	3.0649	4.6545	5.2939	4.3035	2.4001	2.0185	1.7223	0.9916	0.7051	0.585	0.5677	0.7245	0.7464	0.6241	0.538	0.5393	0.5769	0.4606	0.4774	0.6178	0.5424	0.4401	0.42	0.4278	0.5628	2.9557	4.6961	4.7612	3.4313	0.7672	0.5357	0.9657	2.0763	4.1729	5.8978	5.7623	3.1405	1.2812	0.6949	0.4689	0.6709	0.8179	0.7677	0.7254	1.0051	1.088	1.0338	4.2845	14.6621	32.1096	42.8554	42.7262	31.4749	14.7866	6.2683	3.0512	1.536	1.0504	1.3693	1.587	1.645	1.8479	4.0143	8.0637	11.9638	14.4825	11.4097	7.28	8.0817	9.9707	13.6932	14.0016	11.132	7.831	4.2789	3.5734	2.8817	1.8893	1.2844	1.1764	1.1421	0.8326	0.5292	0.7504	1.9737	4.162	7.509	8.4802	6.6294	4.7469	3.0096	3.1887	4.8365	5.7861	4.4309	1.8325	0.7578	0.9142	0.9794	0.8773	0.9303	1.007	1.1591	0.8957	0.6442	0.6618	0.6873	1.0971	4.5559	8.6776	11.7417	12.0885	8.4034	4.4923	2.0508	1.343	1.123	1.0625	0.8463	0.5232	0.3145	0.3369	0.5665	0.8196	0.8412	0.8897	1.1474	1.1796	0.9257	0.8535	0.8582	1.8556	2.9979	3.2223	3.0099	1.9479	2.0699	2.7456	2.6459	2.1733	1.3486	0.9131	1.0871	1.0832	0.9782	1.0176	0.8086	1.2618	3.3816	5.657	8.3158	11.7477	13.3826	14.3902	17.0222	16.5637	13.1337	8.8163	2.6191	0.6813	0.4482	0.4359	0.6841	0.7358	0.6199	0.6326	0.4641	0.441	0.4118	0.3289	0.4252	0.4137	0.6765	0.9418	0.7592	0.4903	0.5585	0.6594	0.6639	0.531	0.3313	0.1895	0.2109	0.4531	0.5059	0.4085	0.4342	0.5159	0.4238	0.2025
03_0EWP_0229Kronos_MM1S-KB-1hr-1_H3K18Ac_hs-dm_i05.bam		H3K18Ac_1	chr17(+):37847100-38060047	90	90	90	0.049	0.0548	0.0648	0.0692	0.0512	0.0776	0.0932	0.0711	0.1018	0.1359	0.3226	0.4654	0.3627	0.3868	0.4181	0.3255	0.2266	0.1515	0.1423	0.1452	0.131	0.1147	0.1058	0.1149	0.1278	0.1035	0.078	0.0953	0.103	0.0688	0.0579	0.1027	0.1528	0.1116	0.0728	0.7266	1.122	1.225	0.9494	0.1539	0.1038	0.0891	0.197	0.5491	0.6968	0.7068	0.4747	0.125	0.0591	0.0723	0.076	0.0782	0.0746	0.0844	0.1181	0.1313	0.1458	1.0054	4.1705	8.4599	11.1347	10.4282	6.7163	3.27	1.4862	0.4975	0.1976	0.1874	0.1895	0.1586	0.1745	0.1994	0.4621	1.174	1.6165	1.6816	1.2211	0.7033	1.0668	1.4211	1.9117	1.9416	1.4329	0.9502	0.4619	0.3721	0.291	0.2404	0.179	0.1299	0.127	0.108	0.0948	0.085	0.1373	0.3627	0.733	0.8623	0.7083	0.4684	0.3178	0.4656	0.6343	0.6513	0.4882	0.209	0.1221	0.1617	0.1589	0.1439	0.1495	0.1348	0.1294	0.1282	0.1259	0.1149	0.087	0.1291	0.4908	1.2517	1.7597	1.7171	1.194	0.5065	0.1659	0.1171	0.1483	0.1358	0.1009	0.0774	0.0899	0.0969	0.0952	0.1358	0.1311	0.1304	0.1297	0.1031	0.1069	0.1337	0.1669	0.3212	0.4874	0.4784	0.3653	0.2329	0.26	0.3147	0.3358	0.2323	0.0879	0.0531	0.0942	0.0957	0.0676	0.089	0.0848	0.1018	0.3688	0.8177	1.3912	2.3182	3.0416	3.7341	4.5253	4.1337	3.4222	2.2355	0.4324	0.0891	0.0819	0.0934	0.0908	0.0595	0.0583	0.0552	0.0654	0.049	0.0415	0.0905	0.1264	0.1224	0.1043	0.1178	0.1242	0.116	0.1156	0.1287	0.1423	0.1028	0.0966	0.0814	0.1059	0.1752	0.1354	0.082	0.0897	0.0774	0.0875	0.0889
04_0EWQ_0229Kronos_MM1S-KB-1hr-2_H3K18Ac_hs-dm_i06.bam		H3K18Ac_1	chr17(+):37847100-38060047	65	65	65	0.0457	0.0535	0.0863	0.0897	0.0805	0.1326	0.1656	0.1319	0.1032	0.1154	0.3604	0.5525	0.5549	0.4804	0.2711	0.1966	0.2002	0.1772	0.181	0.1394	0.0983	0.0811	0.0699	0.1067	0.1386	0.1546	0.131	0.0907	0.0826	0.0943	0.1015	0.1282	0.1377	0.1816	0.178	0.7257	1.0484	1.0986	0.8666	0.1402	0.0958	0.1216	0.2689	0.6323	0.8194	0.7301	0.4317	0.1977	0.1453	0.1395	0.1371	0.1556	0.1404	0.1145	0.1364	0.187	0.2317	1.1655	4.2726	8.9208	11.7181	11.0844	7.3717	3.4597	1.6015	0.6615	0.2743	0.142	0.1773	0.224	0.1968	0.2186	0.6152	1.4461	1.8799	1.7996	1.2532	0.8063	1.2032	1.4595	1.7031	1.6342	1.1917	0.8741	0.5013	0.345	0.2494	0.1627	0.1428	0.1769	0.1868	0.1605	0.1301	0.1528	0.238	0.4441	0.7995	0.8239	0.5539	0.3291	0.2432	0.3908	0.6	0.654	0.5427	0.2735	0.1405	0.1551	0.137	0.1424	0.1793	0.1759	0.1217	0.0891	0.0946	0.0987	0.0905	0.1143	0.5745	1.3624	1.7797	1.7366	1.1371	0.4973	0.2462	0.178	0.1991	0.1855	0.1838	0.1897	0.1605	0.127	0.1154	0.1448	0.1578	0.1601	0.1781	0.1804	0.1464	0.1295	0.151	0.2389	0.4168	0.5169	0.4822	0.257	0.2163	0.3939	0.3864	0.2861	0.1663	0.1092	0.1134	0.117	0.1146	0.1038	0.1158	0.1712	0.419	0.847	1.398	2.5133	3.0172	3.3786	4.3266	4.1531	3.7851	2.538	0.5035	0.1205	0.1287	0.1445	0.1294	0.1225	0.129	0.1049	0.05	0.091	0.1361	0.1198	0.106	0.1178	0.1787	0.1767	0.1098	0.1117	0.1391	0.151	0.1634	0.1332	0.1584	0.1831	0.1226	0.0868	0.0952	0.0821	0.0968	0.1446	0.1072	0.0542
05_0EWR_0229Kronos_MM1S-KB-3hr-1_H3K18Ac_hs-dm_i07.bam		H3K18Ac_3	chr17(+):37847100-38060047	90	90	90	0.0493	0.1029	0.1341	0.1217	0.1314	0.1433	0.1304	0.1269	0.2278	0.2722	0.572	0.8715	0.919	0.7799	0.462	0.3613	0.2475	0.1479	0.1606	0.1698	0.1299	0.0912	0.1215	0.138	0.1219	0.1701	0.1461	0.1348	0.1349	0.1129	0.0954	0.0729	0.0839	0.1283	0.1888	1.2069	1.8225	2.301	1.9303	0.3065	0.088	0.114	0.527	1.3741	2.052	2.0478	1.3192	0.5709	0.208	0.1466	0.1147	0.0837	0.066	0.098	0.1807	0.2265	0.2576	2.1911	6.9127	12.9009	16.9495	15.7286	9.8278	4.1449	1.7551	0.7511	0.4126	0.3505	0.3088	0.3454	0.4535	0.6506	1.2394	2.425	3.2509	3.4661	2.637	1.8667	3.1003	4.3204	6.0931	6.1818	4.1395	2.807	1.2678	0.6116	0.406	0.3204	0.341	0.3374	0.3034	0.2448	0.2416	0.2546	0.5499	1.3841	2.2555	2.3791	1.8151	0.9707	0.5116	0.7894	1.17	1.2075	1.0338	0.5205	0.1966	0.2049	0.2059	0.1415	0.1546	0.1971	0.2341	0.1978	0.2001	0.2612	0.365	0.4044	1.0447	2.5307	3.7908	3.8643	2.4512	1.0633	0.4438	0.2705	0.269	0.2258	0.1641	0.1867	0.213	0.1767	0.1591	0.2186	0.2899	0.3491	0.3057	0.1754	0.1858	0.2885	0.3665	0.762	1.3294	1.5889	1.3139	0.6507	0.6789	1.1712	1.2775	1.0001	0.5181	0.2005	0.158	0.1482	0.1663	0.1695	0.1592	0.4134	1.5294	2.9315	4.3318	5.7122	5.8111	6.005	6.4259	5.5124	4.8862	3.3904	0.6987	0.2082	0.2477	0.23	0.1488	0.157	0.1607	0.1073	0.1208	0.1252	0.0781	0.0937	0.1438	0.1564	0.1804	0.2	0.1617	0.1289	0.1954	0.2165	0.1555	0.1094	0.0761	0.0789	0.1422	0.1975	0.2065	0.1666	0.1143	0.1244	0.1793	0.1294
06_0EWS_0229Kronos_MM1S-KB-3hr-2_H3K18Ac_hs-dm_i13.bam		H3K18Ac_3	chr17(+):37847100-38060047	65	65	65	0.0479	0.0731	0.0818	0.0792	0.095	0.1576	0.1374	0.0873	0.1245	0.2192	0.6122	0.94	1.0004	0.8749	0.5136	0.3812	0.29	0.1471	0.1214	0.1419	0.114	0.0991	0.1006	0.092	0.1275	0.1714	0.1441	0.122	0.1286	0.1589	0.1851	0.1616	0.1486	0.1539	0.1445	1.115	1.7707	1.9316	1.5226	0.3298	0.1337	0.1248	0.4309	1.228	1.6965	1.7083	1.1029	0.3525	0.1031	0.0949	0.1413	0.1149	0.0841	0.0972	0.1889	0.2444	0.2354	1.7962	6.3405	13.582	18.4383	16.9402	10.954	4.7835	1.9331	0.8826	0.522	0.426	0.373	0.3169	0.3425	0.4258	1.2078	2.8178	3.8657	4.417	3.3624	2.1095	3.5171	5.2479	7.387	7.5022	5.3064	3.5239	1.7216	0.8845	0.6025	0.494	0.4384	0.3126	0.2218	0.1747	0.152	0.1758	0.5128	1.4134	2.4622	2.8352	2.3047	1.3101	0.7597	1.2145	1.9644	2.1712	1.6178	0.6917	0.314	0.2542	0.1775	0.2045	0.3262	0.2933	0.2632	0.2757	0.2077	0.1816	0.1771	0.2254	1.2853	3.2017	4.389	4.4763	3.021	1.2018	0.4539	0.3677	0.3767	0.3401	0.2212	0.0957	0.1087	0.1504	0.1579	0.2258	0.2782	0.3329	0.2549	0.1411	0.1579	0.2342	0.2963	0.7759	1.5557	1.6214	1.3596	0.8833	0.7391	1.0596	1.2158	0.9354	0.4557	0.322	0.4012	0.3791	0.2546	0.3098	0.344	0.3877	1.7804	3.5097	4.8716	6.5587	6.5975	6.4923	7.2089	6.3247	5.0541	3.2353	0.6406	0.1443	0.1118	0.1472	0.169	0.0851	0.0764	0.1646	0.1864	0.1384	0.1166	0.1272	0.1097	0.122	0.1455	0.1488	0.1954	0.1994	0.1654	0.1388	0.1792	0.2028	0.1213	0.0824	0.1009	0.1846	0.1619	0.0892	0.1205	0.1335	0.1305	0.1176
07_0EWT_0229Kronos_MM1S-KB-6hr-1_H3K18Ac_hs-dm_i14.bam		H3K18Ac_6	chr17(+):37847100-38060047	90	90	90	0.0759	0.0717	0.0946	0.1205	0.0855	0.1104	0.1587	0.1302	0.122	0.1586	0.544	0.9183	0.9266	0.7556	0.4416	0.2683	0.2125	0.1391	0.0893	0.0964	0.1181	0.0894	0.0654	0.058	0.1104	0.1743	0.1861	0.1823	0.1979	0.1451	0.0547	0.1031	0.1567	0.1652	0.1867	1.0713	1.6259	1.784	1.3761	0.2134	0.0805	0.1159	0.5434	1.5441	2.1542	2.1426	1.2988	0.3878	0.1625	0.1295	0.1092	0.1143	0.1568	0.139	0.1566	0.1872	0.2009	1.8016	6.6995	14.1548	18.8811	17.8175	11.2621	4.231	1.54	0.6674	0.3041	0.2375	0.2399	0.19	0.262	0.4837	1.2037	2.6274	3.5128	3.657	2.6019	1.6608	3.5258	5.5697	8.1171	8.4346	6.2096	3.9526	1.5526	0.9756	0.6731	0.4561	0.4033	0.2882	0.2496	0.2181	0.2199	0.2968	0.6168	1.4666	2.5758	2.8657	2.0499	0.9289	0.446	0.9412	1.4892	1.5215	1.2062	0.5168	0.1977	0.1822	0.193	0.1789	0.1572	0.2156	0.2095	0.1349	0.1492	0.1605	0.1471	0.2288	1.0535	2.6214	3.6135	3.5771	2.2298	0.906	0.4722	0.2988	0.1993	0.1658	0.2132	0.1644	0.1359	0.1311	0.1354	0.1954	0.2411	0.2183	0.1616	0.1438	0.1365	0.1452	0.1579	0.5231	1.1542	1.1865	0.995	0.6084	0.4811	0.713	0.6475	0.4978	0.2976	0.1835	0.2169	0.2503	0.2126	0.1966	0.205	0.329	1.5144	2.9753	4.1687	5.7497	6.089	6.4171	7.1987	6.282	5.0193	3.1419	0.6198	0.2049	0.2046	0.194	0.1663	0.1116	0.0691	0.0563	0.0891	0.1363	0.138	0.1467	0.1226	0.0884	0.1327	0.1478	0.1309	0.129	0.1201	0.1299	0.1494	0.1062	0.0659	0.0819	0.1235	0.1637	0.1917	0.1535	0.0849	0.1431	0.174	0.1105
08_0EWU_0229Kronos_MM1S-KB-6hr-2_H3K18Ac_hs-dm_i16.bam		H3K18Ac_6	chr17(+):37847100-38060047	65	65	65	0.0697	0.1203	0.1217	0.0817	0.1022	0.1211	0.0864	0.0794	0.0955	0.1248	0.4809	0.7527	0.7978	0.7982	0.5179	0.3418	0.2572	0.1796	0.1397	0.1663	0.1863	0.1272	0.0878	0.1008	0.127	0.1286	0.141	0.146	0.1386	0.1188	0.0876	0.0634	0.0528	0.0674	0.1439	0.9523	1.3835	1.4883	1.2004	0.2809	0.1714	0.1717	0.5843	1.5636	2.1425	2.0254	1.1923	0.3812	0.1243	0.07	0.0594	0.068	0.0796	0.1066	0.1635	0.1975	0.2707	1.8333	7.0315	15.1262	19.935	18.3828	11.5249	4.6271	1.738	0.6161	0.327	0.3044	0.3006	0.2419	0.2615	0.3892	1.1764	3.0069	3.9911	3.9838	2.9172	2.0097	3.7636	5.6466	7.6964	8.2388	6.3573	4.087	1.8065	1.1485	0.6875	0.276	0.2939	0.2713	0.1545	0.1273	0.1468	0.1869	0.719	1.7758	2.8467	3.0032	2.1238	1.0041	0.4874	0.8292	1.3679	1.6405	1.3238	0.5398	0.1915	0.1916	0.1791	0.1627	0.1866	0.2375	0.2593	0.2028	0.1799	0.1977	0.2167	0.229	1.1582	3.1059	4.2467	3.8996	2.4735	1.1438	0.4782	0.2246	0.193	0.1634	0.1673	0.221	0.234	0.1883	0.1396	0.2383	0.3009	0.3276	0.2776	0.183	0.1767	0.1964	0.2151	0.5048	1.1728	1.4944	1.2951	0.6877	0.4963	0.8132	0.9205	0.6536	0.2767	0.1625	0.2026	0.2165	0.1997	0.2045	0.2315	0.3902	1.6495	3.0622	4.4628	6.3055	6.5928	6.7111	7.7709	6.7868	5.4477	3.5817	0.6531	0.2302	0.1834	0.1516	0.1322	0.1292	0.0934	0.0624	0.1357	0.1621	0.1436	0.1555	0.0985	0.0628	0.0899	0.108	0.141	0.1226	0.1089	0.1592	0.1724	0.1672	0.1582	0.1568	0.1469	0.1361	0.1205	0.112	0.1068	0.0989	0.083	0.0367
09_0EWV_0229Kronos_MM1S-KB-24hr-1_H3K18Ac_hs-dm_i17.bam		H3K18Ac_24	chr17(+):37847100-38060047	90	90	90	0.0214	0.0304	0.0508	0.1057	0.1319	0.1771	0.1943	0.2048	0.1718	0.1476	0.8563	1.4334	1.8258	1.7007	0.8109	0.4809	0.4034	0.267	0.1704	0.211	0.2352	0.195	0.1451	0.1831	0.1843	0.2237	0.2732	0.3231	0.2542	0.1955	0.2057	0.1879	0.2055	0.1956	0.3025	2.1642	3.1532	3.4469	2.7117	0.4184	0.2274	0.2518	0.8627	2.0394	2.8172	2.862	1.9116	0.8601	0.3391	0.2844	0.2899	0.1609	0.1138	0.1075	0.2294	0.3558	0.4094	3.4408	12.6216	30.2973	42.0781	38.7518	26.4919	12.595	4.9638	2.2082	1.1236	0.6727	0.6112	0.6719	0.834	1.1786	2.8637	5.6837	7.6098	7.8643	5.8486	4.2931	7.3176	12.2297	18.8828	20.4279	15.8212	10.7582	4.8881	2.794	1.9704	1.1745	0.9206	0.6118	0.4008	0.4114	0.3602	0.4448	1.5684	3.4144	5.4872	6.0924	4.9038	2.8813	1.5101	2.819	4.3541	4.6466	3.6873	1.41	0.4961	0.5126	0.396	0.3464	0.3729	0.4126	0.4034	0.3105	0.3174	0.3954	0.5347	0.9087	3.5755	9.0404	13.5702	13.4676	8.3547	3.3368	1.0678	0.5152	0.3787	0.2776	0.261	0.3678	0.349	0.2454	0.2908	0.3634	0.5426	0.5722	0.4761	0.4748	0.3792	0.3195	0.4048	0.9836	1.9182	2.3943	2.0733	1.0533	1.0306	1.8277	2.1778	1.6388	0.6621	0.2844	0.3122	0.3288	0.2127	0.2377	0.3267	0.7005	2.6498	6.0127	9.5815	13.4884	14.7325	14.0778	14.3819	11.9893	8.9699	5.6886	1.1196	0.2284	0.1364	0.2314	0.2176	0.2179	0.2445	0.206	0.1679	0.1738	0.231	0.2404	0.1854	0.1271	0.2166	0.2667	0.273	0.3183	0.2527	0.1887	0.2565	0.228	0.1524	0.2301	0.2015	0.1533	0.1245	0.0626	0.0942	0.1652	0.1893	0.148
10_0EWW_0229Kronos_MM1S-KB-24hr-2_H3K18Ac_hs-dm_i19.bam		H3K18Ac_24	chr17(+):37847100-38060047	65	65	65	0.0914	0.1849	0.2092	0.1504	0.0725	0.0703	0.1289	0.1925	0.2676	0.3343	1.012	1.6523	1.6539	1.2833	0.664	0.5321	0.4493	0.2597	0.2572	0.2173	0.1327	0.1379	0.201	0.2101	0.1437	0.1234	0.2514	0.3093	0.1778	0.0885	0.0915	0.1634	0.2204	0.1661	0.1798	2.097	3.3242	3.8981	3.1651	0.533	0.2256	0.3021	0.9241	2.0255	3.0532	3.1199	1.7641	0.6585	0.2346	0.1499	0.1199	0.16	0.2637	0.3282	0.3707	0.4745	0.4036	3.4046	12.3739	28.1003	40.4667	39.4132	27.4434	13.4529	5.4416	2.1612	0.8925	0.6192	0.589	0.7439	0.9235	0.938	2.2699	5.1919	7.2332	7.8711	6.103	4.5656	8.0707	12.2738	18.38	20.4892	15.784	10.4116	4.8508	3.0015	1.9662	0.945	0.7611	0.6663	0.4412	0.3507	0.3213	0.4809	1.6557	3.9056	6.2407	6.1228	4.4801	2.7559	1.6238	2.7621	4.3284	4.4164	3.2945	1.4813	0.5482	0.5767	0.5184	0.4234	0.4307	0.477	0.4593	0.3514	0.2892	0.27	0.3194	0.5713	3.4365	9.1916	13.2912	13.2602	8.7156	3.6322	1.0997	0.4509	0.4856	0.4721	0.3399	0.2325	0.1654	0.1371	0.2326	0.3674	0.3552	0.3503	0.3223	0.3357	0.3211	0.2438	0.3673	1.0421	1.9533	2.3614	1.9879	1.1168	1.1609	1.7118	1.943	1.41	0.5709	0.3391	0.3961	0.3589	0.3825	0.4117	0.4437	0.9501	3.1944	6.0475	9.0064	12.112	13.072	13.3897	12.8713	10.2034	8.7075	5.8161	1.052	0.2943	0.2529	0.255	0.2272	0.1546	0.1484	0.1832	0.1921	0.188	0.1975	0.1853	0.1592	0.1352	0.1507	0.1463	0.1466	0.2275	0.3464	0.2775	0.1647	0.1788	0.1391	0.0911	0.1088	0.2103	0.2879	0.244	0.2038	0.1924	0.1443	0.0907
