REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MOLP.8.jin.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
3_MACS_peak_7595_lociStitched	chr14	106024801	106050944	3	26105	200407.0094	1	1		TMEM121	TMEM121	1	1
6_MACS_peak_1744_lociStitched	chr1	156455897	156472906	6	15900	58604.5095	2	1	MEF2D		MEF2D	2	1
5_MACS_peak_7604_lociStitched	chr14	106156358	106171204	5	14529	104889.9592	3	1			TMEM121	3	1
5_MACS_peak_20560_lociStitched	chr6	7904698	7919315	5	14034	53211.7268	4	1	MUTED-TXNDC5,TXNDC5		TXNDC5	4	1
6_MACS_peak_12845_lociStitched	chr19	48448483	48462583	6	13547	57657.72	5	1	SNAR-C3,SNAR-C2	SNAR-A12,SNAR-C5,SNAR-A2,SNAR-A7,SNAR-C4,SNAR-A13,SNAR-C1,ELSPBP1,BSPH1	SNAR-C3	5	1
8_MACS_peak_6134_lociStitched	chr12	123411149	123424018	8	11312	37695.8748	6	1	ABCB9	OGFOD2,ARL6IP4,VPS37B	ABCB9	6	1
2_MACS_peak_7602_lociStitched	chr14	106144165	106155319	2	11083	53033.9238	7	1			TMEM121	7	1
4_MACS_peak_16243_lociStitched	chr22	23268930	23279605	4	10496	58877.9625	8	1		IGLL5	IGLL5	8	1
8_MACS_peak_17799_lociStitched	chr3	141097484	141108388	8	10127	31653.2216	9	1	ZBTB38		ZBTB38	9	1
9_MACS_peak_10948_lociStitched	chr17	74257786	74268824	9	9650	32470.4846	10	1	FAM100B	RNF157,QRICH2	FAM100B	10	1
10_MACS_peak_11391_lociStitched	chr18	42287821	42298590	10	9528	21672.6125	11	1	SETBP1		SETBP1	11	1
6_MACS_peak_20468_lociStitched	chr6	291125	301198	6	9424	41478.5994	12	1	DUSP22		DUSP22	12	1
1_MACS_peak_4262_lociStitched	chr11	65183942	65193155	1	9214	57881.5938	13	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	13	1
9_MACS_peak_4272_lociStitched	chr11	65259178	65269260	9	8808	30297.4182	14	1	MALAT1	MIR612,SCYL1	MALAT1	14	1
6_MACS_peak_10456_lociStitched	chr17	43298616	43307847	6	8519	23593.5129	15	1	FMNL1	LOC100133991,C17orf46	FMNL1	15	1
3_MACS_peak_2189_lociStitched	chr1	203288816	203297395	3	8403	30740.2728	16	1		BTG2,LOC730227,FMOD	BTG2	16	1
7_MACS_peak_12838_lociStitched	chr19	48438222	48447357	7	8307	26085.906	17	1	SNAR-C4	SNAR-A12,SNAR-C5,SNAR-A2,SNAR-A7,SNAR-C2,SNAR-A13,SNAR-C3,SNAR-C1,SULT2A1,BSPH1	SNAR-C4	17	1
4_MACS_peak_1532_lociStitched	chr1	150533468	150541749	4	8175	37098.88	18	1		ADAMTSL4,MIR4257,MCL1	MIR4257	18	1
10_MACS_peak_18636_lociStitched	chr4	71538501	71548306	10	8101	18958.948	19	1		ENAM,UTP3,RUFY3,IGJ	UTP3	19	1
6_MACS_peak_6085_lociStitched	chr12	122235188	122243487	6	7659	21824.7102	20	1	SETD1B,LOC338799	RHOF	LOC338799	20	1
8_MACS_peak_18534_lociStitched	chr4	40193908	40202531	8	7574	21779.9734	21	1	RHOH		RHOH	21	1
4_MACS_peak_211_lociStitched	chr1	11022696	11030515	4	7571	17332.3773	22	1	C1orf127	TARDBP	C1orf127	22	1
5_MACS_peak_19243_lociStitched	chr5	1312298	1320172	5	7540	31618.8344	23	1	CLPTM1L	TERT	TERT	23	1
8_MACS_peak_12829_lociStitched	chr19	48427241	48435286	8	7482	28768.92	24	1	SNAR-C2	SNAR-A12,SNAR-C5,SNAR-A2,SNAR-A7,SNAR-C4,SNAR-A13,SNAR-C3,SNAR-C1,SULT2A1	SNAR-C2	24	1
4_MACS_peak_20043_lociStitched	chr5	138723351	138730946	4	7368	20199.662	25	1	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	25	1
4_MACS_peak_1714_lociStitched	chr1	155944061	155951807	4	7227	24785.6508	26	1	ARHGEF2	RXFP4,SCARNA4,KIAA0907,SSR2	ARHGEF2	26	1
6_MACS_peak_5351_lociStitched	chr12	48200833	48208664	6	7109	22676.2267	27	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	27	1
4_MACS_peak_18226_lociStitched	chr3	197379714	197387048	4	7013	30682.5224	28	1		LOC220729,MIR922	MIR922	28	1
7_MACS_peak_3792_lociStitched	chr11	10323976	10331991	7	6912	15742.2615	29	1	ADM	SBF2	ADM	29	1
7_MACS_peak_4460_lociStitched	chr11	69453000	69460670	7	6825	15540.187	30	1	CCND1	ORAOV1	CCND1	30	1
6_MACS_peak_16362_lociStitched	chr22	29213365	29220858	6	6775	18630.5952	31	1		CCDC117,XBP1	XBP1	31	1
4_MACS_peak_1707_lociStitched	chr1	155910373	155917517	4	6745	19936.7608	32	1	RXFP4,ARHGEF2	RIT1,SNORA42,SCARNA4,KIAA0907	RXFP4	32	1
4_MACS_peak_16044_lociStitched	chr21	44580562	44587802	4	6543	21090.12	33	1		CRYAA	CRYAA	33	1
4_MACS_peak_6793_lociStitched	chr13	114828050	114835321	4	6450	31817.896	34	1	RASA3		RASA3	34	1
3_MACS_peak_5159_lociStitched	chr12	12866587	12873280	3	6392	21003.9726	35	1	CDKN1B	APOLD1,MIR613,GPR19	CDKN1B	35	1
4_MACS_peak_11482_lociStitched	chr18	49918062	49924473	4	6372	17377.0155	36	1	DCC		DCC	36	1
5_MACS_peak_19481_lociStitched	chr5	43036639	43043600	5	6344	18681.9318	37	1	LOC153684,C5orf39	LOC648987,LOC100132356	C5orf39	37	1
4_MACS_peak_24249_lociStitched	chr8	126441215	126447926	4	6316	23591.1783	38	1	TRIB1		TRIB1	38	1
4_MACS_peak_9464_lociStitched	chr16	81684944	81691696	4	6283	19293.84	39	1	CMIP		PLCG2	39	1
9_MACS_peak_14081_lociStitched	chr2	99076532	99083722	9	6267	14472.032	40	1	INPP4A		INPP4A	40	1
7_MACS_peak_7451_lociStitched	chr14	95980383	95986991	7	6226	16360.7472	41	1		GLRX5,C14orf49,SCARNA13,SNHG10	SCARNA13	41	1
5_MACS_peak_9964_lociStitched	chr17	16888736	16895304	5	6209	24126.2344	42	1		TNFRSF13B	TNFRSF13B	42	1
8_MACS_peak_25018_lociStitched	chr9	98268219	98275025	8	6166	15766.7796	43	1	PTCH1		PTCH1	43	1
3_MACS_peak_1665_lociStitched	chr1	154971156	154977388	3	6147	20860.3736	44	1	ZBTB7B	CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2	ZBTB7B	44	1
6_MACS_peak_18005_lociStitched	chr3	171814834	171821932	6	6116	14443.7202	45	1	FNDC3B		FNDC3B	45	1
2_MACS_peak_1784_lociStitched	chr1	159889732	159895884	2	6111	26255.5056	46	1	TAGLN2	CCDC19,IGSF9,SLAMF9	TAGLN2	46	1
1_MACS_peak_18167_lociStitched	chr3	195356874	195362973	1	6100	37750.3704	47	1		SDHAP2,APOD	SDHAP2	47	1
3_MACS_peak_1648_lociStitched	chr1	154828311	154834519	3	6029	21493.9584	48	1	KCNN3		KCNN3	48	1
3_MACS_peak_7693_lociStitched	chr15	29210827	29216971	3	5981	16139.6736	49	1	APBA2		APBA2	49	1
4_MACS_peak_12205_lociStitched	chr19	16473400	16479935	4	5973	18753.4895	50	1	EPS15L1	KLF2	KLF2	50	1
2_MACS_peak_1760_lociStitched	chr1	156716530	156722495	2	5950	24118.2845	51	1	HDGF	C1orf66,PRCC,CRABP2,ISG20L2,MRPL24	HDGF	51	1
3_MACS_peak_7409_lociStitched	chr14	91837649	91843754	3	5924	18351.63	52	1	CCDC88C		CCDC88C	52	1
5_MACS_peak_14098_lociStitched	chr2	99099847	99106747	5	5909	14899.17	53	1	INPP4A		INPP4A	53	1
3_MACS_peak_14905_lociStitched	chr2	232570041	232576173	3	5839	30272.4576	54	1	PTMA	MIR1244-1	PTMA	54	1
4_MACS_peak_7344_lociStitched	chr14	81421285	81427879	4	5832	17785.9962	55	1	TSHR	C14orf145	TSHR	55	1
4_MACS_peak_4299_lociStitched	chr11	65353606	65359532	4	5787	22387.2428	56	1	EHBP1L1	SSSCA1,FAM89B,PCNXL3,SIPA1,LTBP3,KCNK7,MAP3K11	KCNK7	56	1
1_MACS_peak_740_lociStitched	chr1	44297255	44303005	1	5751	22611.875	57	1	ST3GAL3		ARTN	57	1
6_MACS_peak_5828_lociStitched	chr12	104318636	104325276	6	5708	15996.424	58	1	HSP90B1,MIR3652,GNN	TDG,C12orf73	GNN	58	1
2_MACS_peak_25099_lociStitched	chr9	108018192	108023922	2	5684	20202.261	59	1	SLC44A1		SLC44A1	59	1
9_MACS_peak_24033_lociStitched	chr8	98639650	98646040	9	5681	14227.974	60	1		MTDH	MTDH	60	1
1_MACS_peak_10680_lociStitched	chr17	56411986	56417625	1	5640	23101.2913	61	1		BZRAP1,MIR142,SUPT4H1	MIR142	61	1
