REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X33_0EX9_0229Kronos_MM1S.No.Treatment.1_p300_hs_i49.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
2_MACS_peak_6745_lociStitched	chr22	23270298	23279155	2	8843	22774.8898	2776.6695	1		IGLL5	IGLL5	IGLL5	0.36160000000000003	1	1
4_MACS_peak_4259_lociStitched	chr17	34523008	34540116	4	15028	22317.386	6518.148	2	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL4L1	CCL4L1	0.356	2	1
4_MACS_peak_4265_lociStitched	chr17	34624118	34640937	4	15286	21551.8666	6248.2585	3	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	NONE	NONE	3	1
4_MACS_peak_7452_lociStitched	chr3	141091968	141110891	4	13376	19795.3503	5058.1179	4	ZBTB38		ZBTB38	ZBTB38	0.1845	4	1
1_MACS_peak_8372_lociStitched	chr5	9918	12096	1	2179	20053.7172	5802.6276	5			PLEKHG4B	PLEKHG4B	NONE	5	1
6_MACS_peak_9115_lociStitched	chr6	7895871	7918601	6	18205	20593.38	6425.771	6	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	0.328	6	1
4_MACS_peak_5623_lociStitched	chr2	99095362	99107664	4	10852	17291.6912	3638.9316	7	INPP4A		INPP4A	INPP4A	0.18989999999999999	7	1
1_MACS_peak_10009_lociStitched	chr7	55599468	55604055	1	4588	12469.7595	1317.8451	8	VOPP1		VOPP1	VOPP1	0.20409999999999998	8	1
3_MACS_peak_9140_lociStitched	chr6	11828106	11836730	3	6413	13009.304	2337.9664	9		C6orf105	C6orf105	C6orf105	0.06269999999999998	9	1
2_MACS_peak_10181_lociStitched	chr7	104579162	104586536	2	4338	12062.3892	1901.7546	10		LOC723809	LOC723809	LOC723809	0.0388	10	1
3_MACS_peak_5710_lociStitched	chr2	112456088	112464825	3	5936	12442.3617	2356.3689	11			ANAPC1	ANAPC1	NONE	11	1
4_MACS_peak_895_lociStitched	chr1	204474949	204491681	4	9383	14906.5388	5243.8088	12	MDM4	PIK3C2B	MDM4	MDM4	0.17800000000000002	12	1
3_MACS_peak_7586_lociStitched	chr3	171812487	171826855	3	8134	13987.248	4525.92	13	FNDC3B		FNDC3B	FNDC3B	0.04999999999999999	13	1
4_MACS_peak_10441_lociStitched	chr8	2029500	2041260	4	8385	12166.896	2855.328	14	MYOM2		MYOM2	MYOM2	0.1312	14	1
2_MACS_peak_9121_lociStitched	chr6	7960827	7964678	2	3104	10258.2938	961.5947	15	MUTED-TXNDC5	PIP5K1P1,TXNDC5	PIP5K1P1	TXNDC5	0.328	15	1
4_MACS_peak_5619_lociStitched	chr2	99071608	99087884	4	8910	13883.428	4676.0948	16	INPP4A		INPP4A	INPP4A	0.18989999999999999	16	1
1_MACS_peak_8384_lociStitched	chr5	1312418	1317274	1	4857	11063.4248	1867.132	17		TERT,CLPTM1L	TERT	CLPTM1L	0.3457	17	1
6_MACS_peak_1207_lociStitched	chr10	11279361	11304304	6	9360	14671.4726	5487.46	18	CELF2		CELF2	CELF2	0.1349	18	1
3_MACS_peak_4253_lociStitched	chr17	34409305	34421115	3	7138	12453.645	3278.456	19	CCL3	CCL18,CCL4	CCL3	CCL3	0.7399000000000001	19	1
4_MACS_peak_5007_lociStitched	chr19	16253552	16267368	4	6043	11896.9576	2942.808	20	HSH2D	RAB8A,FAM32A,AP1M1,CIB3	HSH2D	HSH2D	0.3128	20	1
5_MACS_peak_8546_lociStitched	chr5	55437988	55453271	5	6609	12263.0792	3362.26	21	ANKRD55		ANKRD55	ANKRD55	0.0693	21	1
1_MACS_peak_2287_lociStitched	chr12	4225022	4229223	1	4202	10000.4805	1568.6534	22			CCND2	CCND2	NONE	22	1
2_MACS_peak_9231_lociStitched	chr6	26358138	26366055	2	4963	10338.8103	2025.9603	23	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	BTN3A2	0.2555	23	1
1_MACS_peak_4826_lociStitched	chr18	60824226	60830243	1	6018	9857.0494	1619.7764	24	BCL2		BCL2	BCL2	0.07019999999999998	24	1
1_MACS_peak_1632_lociStitched	chr10	112112980	112118763	1	5784	10237.0666	2104.4337	25		SMNDC1	SMNDC1	SMNDC1	0.043	25	1
1_MACS_peak_1205_lociStitched	chr10	11216338	11223001	1	6664	10041.141	1930.9374	26	CELF2		CELF2	CELF2	0.1349	26	1
1_MACS_peak_8361_lociStitched	chr4	187749612	187752059	1	2448	8790.1134	870.8873	27			FAT1	FAT1	NONE	27	1
3_MACS_peak_1973_lociStitched	chr11	65183676	65199315	3	12218	12917.814	5027.9385	28	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	0.5257000000000001	28	1
3_MACS_peak_915_lociStitched	chr1	206287248	206294501	3	6440	10306.513	2578.4415	29	C1orf186	CTSE	C1orf186	C1orf186	0.1692	29	1
3_MACS_peak_10331_lociStitched	chr7	136037509	136046987	3	4719	10215.3884	2500.2964	30			LUZP6	LUZP6	NONE	30	1
3_MACS_peak_433_lociStitched	chr1	118196703	118207743	3	6413	9602.592	1951.872	31		FAM46C	FAM46C	FAM46C	0.21770000000000003	31	1
3_MACS_peak_1618_lociStitched	chr10	105258024	105267957	3	5451	9725.4003	2118.7089	32	NEURL	CALHM2,CALHM1,CALHM3	NEURL	NEURL	0.086	32	1
3_MACS_peak_3813_lociStitched	chr16	11773417	11785042	3	10268	10681.05	3089.925	33	TXNDC11	SNN	SNN	SNN	0.2584	33	1
2_MACS_peak_9073_lociStitched	chr6	318958	329583	2	7933	12423.8125	4880.0625	34	DUSP22		DUSP22	DUSP22	0.21610000000000007	34	1
4_MACS_peak_8021_lociStitched	chr4	84133155	84143683	4	5662	9697.3408	2239.3056	35			COQ2	COQ2	NONE	35	1
2_MACS_peak_5505_lociStitched	chr2	67690165	67693417	2	3221	8184.9588	798.6912	36			ETAA1	ETAA1	NONE	36	1
6_MACS_peak_1770_lociStitched	chr11	10326062	10344972	6	8565	11147.445	3789.564	37	ADM	SBF2	ADM	ADM	0.39740000000000003	37	1
2_MACS_peak_4903_lociStitched	chr19	2595093	2600157	2	4419	9016.452	1674.1584	38	GNG7		GNG7	GNG7	0.10019999999999998	38	1
4_MACS_peak_9209_lociStitched	chr6	25404418	25414326	4	7183	10380.6116	3038.7836	39	LRRC16A		LRRC16A	LRRC16A	0.037500000000000006	39	1
3_MACS_peak_6616_lociStitched	chr21	36589601	36600843	3	3953	10398.85	3173.6166	40			RUNX1	RUNX1	0.04089999999999999	40	1
1_MACS_peak_7544_lociStitched	chr3	161487590	161490051	1	2462	8071.5878	871.9323	41			OTOL1	OTOL1	NONE	41	1
4_MACS_peak_7456_lociStitched	chr3	141118436	141132348	4	12064	10588.4232	3427.9168	42	ZBTB38		RASA2	RASA2	NONE	42	1
2_MACS_peak_10804_lociStitched	chr8	118450864	118456278	2	3230	8593.6422	1486.143	43			MED30	MED30	NONE	43	1
1_MACS_peak_7601_lociStitched	chr3	174866884	174869572	1	2689	8396.5056	1292.1216	44	NAALADL2		NAALADL2	NAALADL2	0.013500000000000012	44	1
4_MACS_peak_6012_lociStitched	chr2	201980169	201992434	4	8996	10449.78	3442.7855	45	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	0.14500000000000002	45	1
1_MACS_peak_7701_lociStitched	chr3	193818426	193822448	1	4023	8978.7128	1976.0086	46		HES1	HES1	HES1	0.45759999999999995	46	1
2_MACS_peak_3988_lociStitched	chr16	66550007	66559759	2	5893	9488.696	2516.016	47	TK2	CKLF,CMTM1	TK2	TK2	0.16019999999999998	47	1
2_MACS_peak_6347_lociStitched	chr20	37498927	37505365	2	6255	8928.2184	2006.0808	48	PPP1R16B	FAM83D	FAM83D	NONE	NONE	48	1
3_MACS_peak_5065_lociStitched	chr19	35695712	35705934	3	5861	9400.1512	2488.0348	49		FXYD5,LSR,FAM187B	FAM187B	LSR	0.04509999999999999	49	1
2_MACS_peak_885_lociStitched	chr1	203288799	203297610	2	7356	10408.4343	3563.1684	50		BTG2,LOC730227,FMOD	BTG2	LOC730227	0.3322	50	1
3_MACS_peak_5253_lociStitched	chr2	11883911	11895221	3	7472	9595.404	2750.592	51	LPIN1		LPIN1	LPIN1	0.08829999999999999	51	1
1_MACS_peak_10842_lociStitched	chr8	125769170	125770524	1	1355	7086.4298	401.0548	52		MTSS1	MTSS1	NONE	NONE	52	1
4_MACS_peak_2554_lociStitched	chr12	53591152	53600340	4	7693	9170.5428	2518.4308	53	ITGB7	ZNF740,MFSD5,CSAD,RARG	ITGB7	ITGB7	0.32669999999999993	53	1
1_MACS_peak_1061_lociStitched	chr1	230257710	230260816	1	3107	8210.0898	1602.696	54	GALNT2		GALNT2	GALNT2	0.0532	54	1
2_MACS_peak_6772_lociStitched	chr22	29187595	29198834	2	6850	8943.9962	2374.8007	55	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	0.42850000000000005	55	1
2_MACS_peak_4890_lociStitched	chr19	2084340	2090843	2	6430	9424.7979	2887.9823	56	MOBKL2A	IZUMO4,MKNK2	MOBKL2A	MOBKL2A	0.2617	56	1
1_MACS_peak_900_lociStitched	chr1	204532667	204535378	1	2712	7622.7898	1107.1724	57		MDM4	MDM4	MDM4	0.17800000000000002	57	1
1_MACS_peak_905_lociStitched	chr1	205252527	205258273	1	5747	9002.2582	2497.2116	58		NUAK2	NUAK2	NUAK2	0.038000000000000006	58	1
1_MACS_peak_7615_lociStitched	chr3	177075056	177079030	1	3975	7949.5896	1459.2528	59			TBL1XR1	TBL1XR1	0.06810000000000002	59	1
1_MACS_peak_2156_lociStitched	chr11	115091959	115095788	1	3830	7614.3494	1200.3915	60	CADM1		CADM1	CADM1	0.04440000000000001	60	1
4_MACS_peak_610_lociStitched	chr1	156119064	156132117	4	9116	11396.5743	5003.2149	61	SEMA4A	LMNA,SLC25A44	SEMA4A	SEMA4A	0.19579999999999997	61	1
