GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
TMEM121	NM_025268	chr14:106022189-106057939	1	1	0.1138
ZC3H3	NM_015117	chr8:144593636-144614913	3	1	2.1421
GSDMD	NM_001166237	chr8:144593636-144614913,chr8:144677653-144681642	3,361	1	0.7814
C8orf73	NM_001100878	chr8:144593636-144614913,chr8:144677653-144681642	3,361	1	0.4243
NAPRT1	NM_145201	chr8:144593636-144614913,chr8:144677653-144681642	3,361	1	1.6759
TNRC18	NM_001080495	chr7:5458337-5470760	4	1	1.5444
PMVK	NM_006556	chr1:154907115-154936323,chr1:154945202-154956895	5,352	1	3.1434
PBXIP1	NM_020524	chr1:154907115-154936323,chr1:154970255-154980043,chr1:154945202-154956895	5,16,352	1	4.3306
PYGO2	NM_138300	chr1:154907115-154936323,chr1:154970255-154980043,chr1:154945202-154956895	5,16,352	1	2.9751
SHC1	NM_001130041	chr1:154907115-154936323,chr1:154945202-154956895,chr1:154970255-154980043	5,16,352	1	2.9715
CKS1B	NR_024163	chr1:154945202-154956895,chr1:154907115-154936323,chr1:154970255-154980043	5,16,352	1	2.3576
MIR4258	NR_036212	chr1:154945202-154956895,chr1:154907115-154936323,chr1:154970255-154980043	5,16,352	1	2.9529
FLAD1	NM_201398	chr1:154945202-154956895,chr1:154907115-154936323,chr1:154970255-154980043	5,16,352	1	0.3647
LENEP	NM_018655	chr1:154907115-154936323,chr1:154970255-154980043,chr1:154945202-154956895	5,16,352	1	0.5229
ZBTB7B	NM_015872	chr1:154970255-154980043,chr1:154907115-154936323,chr1:154945202-154956895	5,16,352	1	4.5769
ADAMTSL4	NM_019032	chr1:150532274-150553388	6	1	4.8676
MCL1	NM_001197320	chr1:150532274-150553388	6	1	2.8544
MIR4257	NR_036211	chr1:150532274-150553388	6	1	0.2797
ENSA	NM_207046	chr1:150532274-150553388	6	1	1.444
NEAT1	NR_028272	chr11:65183245-65198775,chr11:65148574-65157819	7,562	1	10.717
FRMD8	NM_031904	chr11:65148574-65157819,chr11:65183245-65198775	7,562	1	1.6574
MIR612	NR_030343	chr11:65183245-65198775,chr11:65253917-65278565	7,76	1	0.2707
SLC25A45	NM_001077241	chr11:65148574-65157819,chr11:65183245-65198775	7,562	1	1.4385
TSHZ1	NM_005786	chr18:72917297-72926554	8	1	1.8912
ZADH2	NM_175907	chr18:72917297-72926554	8	1	7.0959
HIST2H4B	NM_001034077	chr1:149801359-149826381,chr1:149830898-149835654	9,551	1	2.7371
HIST2H2AA4	NM_001040874	chr1:149801359-149826381,chr1:149854938-149861701,chr1:149830898-149835654	9,100,551	1	5.6189
HIST2H3A	NM_001005464	chr1:149801359-149826381,chr1:149854938-149861701,chr1:149830898-149835654	9,100,551	1	5.6141
HIST2H2BC	NR_036461	chr1:149801359-149826381,chr1:149854938-149861701,chr1:149830898-149835654	9,100,551	1	5.6221
FCGR1A	NM_000566	chr1:149801359-149826381	9	1	0.1583
HIST2H2AC	NM_003517	chr1:149854938-149861701,chr1:149801359-149826381,chr1:149830898-149835654	9,100,551	1	5.5617
BOLA1	NM_016074	chr1:149801359-149826381,chr1:149854938-149861701,chr1:149830898-149835654	9,100,551	1	0.6794
HIST2H2BF	NM_001161334	chr1:149801359-149826381,chr1:149830898-149835654	9,551	1	0.4481
HIST2H3D	NM_001123375	chr1:149801359-149826381,chr1:149830898-149835654	9,551	1	1.3311
HIST2H2BE	NM_003528	chr1:149854938-149861701,chr1:149801359-149826381,chr1:149830898-149835654	9,100,551	1	4.7671
HIST2H2AB	NM_175065	chr1:149854938-149861701,chr1:149801359-149826381,chr1:149830898-149835654	9,100,551	1	5.5512
KIF22	NM_007317	chr16:29815276-29833825	10	1	3.9835
MAZ	NM_002383	chr16:29815276-29833825	10	1	7.4563
PRRT2	NM_145239	chr16:29815276-29833825	10	1	5.2324
C16orf53	NM_024516	chr16:29815276-29833825	10	1	2.8569
MVP	NM_005115	chr16:29815276-29833825	10	1	0.8791
ZG16	NM_152338	chr16:29815276-29833825	10	1	0.0898
LOC440356	NR_024370	chr16:29815276-29833825	10	1	0.8046
CDIPT	NM_006319	chr16:29815276-29833825	10	1	0.7823
MIR1208	NR_031613	chr8:129178808-129208686	11	1	0.3955
POU2AF1	NM_006235	chr11:111229461-111264377,chr11:111282553-111294867	12,115	1	3.2147
ZBTB38	NM_001080412	chr3:141079451-141130297	13	1	0.9899
FMNL1	NM_005892	chr17:43297451-43314321	14	1	3.4418
LOC100133991	NR_024434	chr17:43297451-43314321	14	1	0.2716
C17orf46	NM_152343	chr17:43297451-43314321	14	1	0.1034
HGF	NM_001010932	chr7:81392242-81410909,chr7:81416232-81443005	15,61	1	0.8687
DCST1	NM_001143687	chr1:154970255-154980043,chr1:154945202-154956895	16,352	1	0.646
ADAM15	NM_207196	chr1:154970255-154980043	16	1	1.2691
DCST2	NM_144622	chr1:154970255-154980043,chr1:154945202-154956895	16,352	1	0.3773
BHLHE22	NM_152414	chr8:65480261-65498233	17	1	7.5166
LOC401463	NR_015374	chr8:65480261-65498233	17	1	7.5791
BCL2	NM_000633	chr18:60820802-60832202,chr18:60980984-60988568,chr18:60797996-60808263	18,190,455	1	1.2123
DUSP5P	NR_002834	chr1:228744028-228784496	19	1	1.3564
BRD2	NM_005104	chr6:32934306-32943036	20	1	4.5352
HLA-DMB	NM_002118	chr6:32934306-32943036	20	1	0.3629
HLA-DMA	NM_006120	chr6:32934306-32943036	20	1	0.3499
HLA-DOA	NM_002119	chr6:32934306-32943036	20	1	0.0844
CDKN2C	NM_001262	chr1:51432071-51449937	21	1	5.9863
FAF1	NM_007051	chr1:51432071-51449937	21	1	0.0811
CDKN1B	NM_004064	chr12:12866167-12880672	22	1	6.63
APOLD1	NM_001130415	chr12:12866167-12880672	22	1	0.8086
MIR613	NR_030344	chr12:12866167-12880672	22	1	0.0453
GPR19	NM_006143	chr12:12866167-12880672	22	1	0.3183
BZRAP1	NM_004758	chr17:56401514-56424263	24	1	0.9889
MIR142	NR_029683	chr17:56401514-56424263	24	1	4.93
SUPT4H1	NM_003168	chr17:56401514-56424263	24	1	1.1781
MPO	NM_000250	chr17:56401514-56424263	24	1	0.0371
JUNB	NM_002229	chr19:12885748-12918278	25	1	5.8553
