GENE_ID	locusLine	bin_1_EJM.jin.bam
NM_001145277	chr1(.):16762166-16791584	1.1093
NM_013943	chr1(.):25066759-25175815	0.2854
NM_032236	chr1(.):21999791-22114688	0.2595
NM_021639	chr1(.):46087975-46157302	0.324
NM_007051	chr1(.):50901934-51430936	0.0802
NM_001006605	chr1(.):93302720-93432079	0.4014
NM_001198993	chr1(.):1677670-1715297	1.1551
NM_023018	chr1(.):1677670-1714909	1.1564
NM_001198994	chr1(.):1677670-1716508	1.1294
NM_001013693	chr1(.):22133757-22156714	0.1926
NM_004091	chr1(.):23827921-23862713	1.5167
NR_034178	chr1(.):143910747-144099477	0.23
NM_153713	chr1(.):145472084-145504091	0.352
NM_001002812	chr1(.):144885590-145000022	0.4181
NM_014644	chr1(.):144846426-145000022	0.3532
NM_001198834	chr1(.):144846423-145000033	0.3532
NM_001198832	chr1(.):144846423-145044992	0.3227
NM_020524	chr1(.):154911558-154933567	2.4316
NM_002697	chr1(.):167185065-167401582	0.2535
NR_037163	chr1(.):167185122-167401582	0.2536
NM_182663	chr1(.):206675878-206767616	0.7284
NM_182838	chr1(.):1658680-1682431	0.7327
NM_001198995	chr1(.):1677670-1695081	0.5424
NM_177540	chr1(.):6610337-6644817	0.9916
NM_005341	chr1(.):6635062-6654340	0.6555
NM_014851	chr1(.):6645783-6667929	1.1915
NM_153812	chr1(.):6668755-6689093	0.6252
NM_024654	chr1(.):6576406-6619658	0.2762
NM_001195752	chr1(.):6680209-6698642	0.3085
NM_001195753	chr1(.):6679924-6698642	0.3053
NM_025106	chr1(.):9347940-9434590	0.6088
NM_198546	chr1(.):16720137-16768919	0.4119
NR_023386	chr1(.):16788930-16824196	0.1033
NM_001032730	chr1(.):22049338-22114688	0.3846
NM_017707	chr1(.):23750055-23815750	0.0913
NM_002167	chr1(.):23879408-23891322	0.3892
NM_006015	chr1(.):27017521-27113601	0.5835
NM_002713	chr1(.):28152292-28183183	0.2479
NR_002997	chr1(.):28155911-28166077	0.5672
NM_001039477	chr1(.):28194054-28218193	1.7906
NM_014474	chr1(.):28256503-28290663	0.2433
NM_002946	chr1(.):28213048-28246236	0.7686
NM_001198979	chr1(.):40854016-40893998	0.1211
NM_001198978	chr1(.):40835304-40893998	0.5843
NM_001198980	chr1(.):40857471-40893998	0.101
NM_022733	chr1(.):40834377-40893998	0.5757
NR_026768	chr1(.):46106451-46117357	0.0801
NM_016486	chr1(.):46148846-46165108	1.0997
NM_001262	chr1(.):51429366-51445306	3.096
NM_078626	chr1(.):51430641-51445309	3.3568
NM_001001933	chr1(.):75589118-75632218	0.6075
NM_004974	chr1(.):111140775-111153345	0.1318
NM_002232	chr1(.):111209309-111222655	1.4476
NM_017709	chr1(.):118143603-118176011	2.134
NM_207418	chr1(.):143891451-143918143	0.731
NM_001002811	chr1(.):144885590-144937032	0.5918
NM_032305	chr1(.):145451235-145475387	1.3252
NM_202004	chr1(.):145408190-145422545	0.1234
NM_006472	chr1(.):145433461-145447628	1.745
NM_001039888	chr1(.):145465507-145480647	0.7562
NM_001161334	chr1(.):149749244-149788928	0.2341
NM_001034077	chr1(.):149799220-149809616	1.1584
NM_001005464	chr1(.):149807258-149817765	2.5578
NM_001040874	chr1(.):149808784-149819318	2.6075
NM_001123375	chr1(.):149779779-149790236	0.6531
NM_005850	chr1(.):149890210-149904702	0.4003
NM_016074	chr1(.):149866154-149877348	0.4729
NM_003528	chr1(.):149851009-149863232	1.9311
NM_003517	chr1(.):149853524-149863961	2.2444
NM_175065	chr1(.):149854018-149864466	2.2256
NM_014849	chr1(.):149869871-149894434	0.3086
NM_181873	chr1(.):149895542-149913266	0.4548
NM_001145862	chr1(.):149895542-149913791	0.4446
NR_036461	chr1(.):149816758-149827340	2.501
NM_001040874	chr1(.):149817627-149828161	2.4882
NM_001005464	chr1(.):149819180-149829687	2.4531
NM_001034077	chr1(.):149827329-149837725	1.2815
NM_019032	chr1(.):150516897-150538412	1.3807
NR_036211	chr1(.):150519404-150529490	0.2735
NM_001197320	chr1(.):150542026-150557214	1.3166
NM_006556	chr1(.):154892207-154914484	1.1417
