GENE_ID	locusLine	bin_1_OPM-2.jin.bam
NM_030806	chr1(.):184351149-184603155	0.557
NM_015215	chr1(.):6840383-7834766	0.1139
NM_152263	chr1(.):154129289-154169609	0.5683
NM_015327	chr1(.):156214014-156257620	0.6757
NM_001043351	chr1(.):154122779-154160725	0.5551
NM_201569	chr1(.):183436505-183528328	0.4057
NM_002481	chr1(.):202312829-202562697	0.2732
NM_001198993	chr1(.):1677670-1715297	0.8646
NM_023018	chr1(.):1677670-1714909	0.8708
NM_001198994	chr1(.):1677670-1716508	0.8404
NM_015378	chr1(.):12285112-12577098	0.1355
NM_015001	chr1(.):16169358-16271950	0.2142
NM_001113348	chr1(.):21538739-21677034	0.2634
NM_004091	chr1(.):23827921-23862713	1.484
NM_173065	chr1(.):24475646-24518751	0.6026
NM_022753	chr1(.):33278175-33329476	0.4914
NM_001017406	chr1(.):33278175-33305665	0.8767
NM_001720	chr1(.):40218902-40259533	0.7838
NM_174964	chr1(.):44168217-44401831	0.1912
NM_001101662	chr1(.):52249865-52349609	0.4109
NM_002600	chr1(.):66253855-66845262	0.097
NM_001037341	chr1(.):66253192-66845262	0.0969
NM_001037340	chr1(.):66453389-66845262	0.1151
NM_001100910	chr1(.):120834004-120860681	0.8138
NR_034178	chr1(.):143910747-144099477	0.5051
NM_203458	chr1(.):145204110-145290912	0.5928
NM_153713	chr1(.):145472084-145504091	0.2682
NM_207168	chr1(.):150594521-150607098	1.593
NM_207042	chr1(.):150589598-150607098	1.2487
NM_015203	chr1(.):150331989-150454041	0.3229
NM_207044	chr1(.):150590753-150607098	1.3251
NM_020832	chr1(.):151249790-151269381	1.7128
NM_001126337	chr1(.):151507780-151561059	0.4768
NM_015607	chr1(.):153601524-153622979	1.2561
NM_020524	chr1(.):154911558-154933567	3.609
NM_181359	chr1(.):154372668-154445188	0.5662
NM_002249	chr1(.):154674914-154847754	0.8779
NM_170782	chr1(.):154674914-154837338	0.9062
NM_152280	chr1(.):155824259-155859990	0.8526
NM_005572	chr1(.):156079460-156112657	1.0862
NM_018489	chr1(.):155300051-155537324	0.2979
NM_170708	chr1(.):156079460-156114878	1.0565
NM_018116	chr1(.):155575006-155589758	0.5679
NM_005973	chr1(.):156732273-156775609	0.6772
NM_001135050	chr1(.):159891828-159920386	0.7646
NM_012474	chr1(.):165791889-165882339	0.7134
NM_052862	chr1(.):167594473-167680486	0.445
NM_002697	chr1(.):167185065-167401582	0.2547
NR_037163	chr1(.):167185122-167401582	0.2547
NM_018442	chr1(.):167900796-168050083	0.2436
NR_026550	chr1(.):167882309-167910380	0.9669
NM_001143674	chr1(.):167882309-167911278	0.9395
NM_015415	chr1(.):167882309-167910233	0.972
NM_018122	chr1(.):173788796-173832682	0.4765
NM_014412	chr1(.):174963891-174986163	1.9816
NM_001007214	chr1(.):174963570-174986163	1.9543
NM_020318	chr1(.):176427306-176816970	0.1383
NM_021936	chr1(.):176427306-176665341	0.1676
NM_014810	chr1(.):179918907-180089015	0.2827
NM_145034	chr1(.):179804101-179851941	0.4664
NM_015149	chr1(.):183600207-183902666	0.4479
NM_001127394	chr1(.):184015810-184048344	0.6672
NM_025191	chr1(.):184654624-184729041	1.5916
NM_031935	chr1(.):185698682-186165085	0.1738
NM_024420	chr1(.):186793031-186963113	0.3616
NM_016066	chr1(.):193060600-193080244	0.2046
NM_197962	chr1(.):193060599-193079556	0.2057
NM_144977	chr1(.):197516384-197749623	0.2446
NM_001195215	chr1(.):197468878-197749623	0.2123
NM_138795	chr1(.):202096976-202118866	0.2217
NM_001017403	chr1(.):202158117-202293889	0.0877
NM_021636	chr1(.):202167904-202293889	0.0882
NM_032103	chr1(.):202426870-202562697	0.3706
NM_016121	chr1(.):215735734-215800149	0.482
NM_152495	chr1(.):224799178-224933249	0.4008
NM_004481	chr1(.):230197955-230422875	0.4807
NM_001042405	chr1(.):243282729-243423708	0.1766
NM_006642	chr1(.):243414306-243668393	0.2113
NM_032328	chr1(.):245128170-245256148	0.3966
NR_026588	chr1(.):245128630-245256148	0.3966
NR_026587	chr1(.):245128630-245293530	0.3275
NR_026586	chr1(.):245128283-245293530	0.3274
NM_182838	chr1(.):1658680-1682431	0.614
NM_001198995	chr1(.):1677670-1695081	0.31
NM_001089591	chr1(.):16128656-16139194	0.0671
NR_024279	chr1(.):16155709-16179642	1.5861
NM_014675	chr1(.):17243444-17304474	0.0848
NM_001397	chr1(.):21538739-21621982	0.2832
NM_001113347	chr1(.):21538739-21611183	0.0671
NM_001113349	chr1(.):21538739-21621766	0.2769
NM_017707	chr1(.):23750055-23815750	0.0605
NM_002167	chr1(.):23879408-23891322	0.4001
NM_021258	chr1(.):24441260-24474611	0.044
NR_027087	chr1(.):24521729-24543180	0.3928
NM_015627	chr1(.):25865075-25900377	0.9999
NM_006015	chr1(.):27017521-27113601	0.7757
NM_014280	chr1(.):28521789-28564542	0.1733
NM_016311	chr1(.):28557610-28569611	0.4902
NM_031459	chr1(.):28581005-28614002	0.2542
NM_003680	chr1(.):33235839-33288633	0.4883
NM_001195007	chr1(.):40199516-40234586	0.188
NM_022120	chr1(.):40230196-40242020	1.2631
NR_031580	chr1(.):52297015-52307074	0.0574
NM_002228	chr1(.):59241462-59254785	1.6704
NR_034015	chr1(.):59245822-59370384	0.3139
NM_001037339	chr1(.):66792792-66845262	0.0628
NM_006769	chr1(.):87789150-87819607	1.0099
NM_001127215	chr1(.):92935317-92954356	1.5946
NM_005263	chr1(.):92935317-92957433	1.3936
NM_001127216	chr1(.):92935317-92956628	1.4429
NM_017709	chr1(.):118143603-118176011	1.0208
NM_001123068	chr1(.):143762143-143772881	0.0798
NR_027469	chr1(.):143713512-143749587	0.7362
NR_027468	chr1(.):143713512-143749457	0.7383
NM_207418	chr1(.):143891451-143918143	0.9748
NM_032305	chr1(.):145451235-145475387	1.2578
NM_202004	chr1(.):145408190-145422545	0.1607
NM_006472	chr1(.):145433461-145447628	1.3936
NM_001039888	chr1(.):145465507-145480647	0.5306
NR_027468	chr1(.):147901021-147936980	0.5303
NM_001161334	chr1(.):149749244-149788928	0.3788
NM_001034077	chr1(.):149799220-149809616	2.0961
NM_001005464	chr1(.):149807258-149817765	6.1027
NM_001040874	chr1(.):149808784-149819318	6.1143
NM_001123375	chr1(.):149779779-149790236	1.0466
NM_000566	chr1(.):149749249-149769074	0.1726
NM_005850	chr1(.):149890210-149904702	1.0845
NM_016074	chr1(.):149866154-149877348	0.2643
NM_003528	chr1(.):149851009-149863232	5.5761
NM_003517	chr1(.):149853524-149863961	6.4802
NM_175065	chr1(.):149854018-149864466	6.4503
NM_014849	chr1(.):149869871-149894434	0.2097
NM_181873	chr1(.):149895542-149913266	1.5547
NM_001145862	chr1(.):149895542-149913791	1.5145
NR_036461	chr1(.):149816758-149827340	5.8899
NM_001040874	chr1(.):149817627-149828161	5.8886
NM_001005464	chr1(.):149819180-149829687	5.8843
NM_001034077	chr1(.):149827329-149837725	2.2225
NM_030920	chr1(.):150185716-150213504	1.3832
NM_001136479	chr1(.):150185716-150212026	1.4426
NM_012113	chr1(.):150225217-150242480	0.7082
NM_024579	chr1(.):150240182-150258335	0.6269
NM_144697	chr1(.):150250228-150264501	0.1809
NM_004698	chr1(.):150288927-150330704	0.31
NM_016022	chr1(.):150232798-150246532	0.7943
NM_019032	chr1(.):150516897-150538412	1.8061
NM_207046	chr1(.):150589598-150606609	1.2846
NM_207047	chr1(.):150590753-150606609	1.366
NR_036211	chr1(.):150519404-150529490	0.1796
NM_001197320	chr1(.):150542026-150557214	1.4161
NM_020239	chr1(.):151018446-151037125	0.6241
NM_138278	chr1(.):151004028-151025076	0.1377
