GENE_ID	locusLine	bin_1_KMS12_jia.bam
1_MACS_peak_1_lociStitched	chr1(.):28162-30503	2.36
1_MACS_peak_2_lociStitched	chr1(.):713024-716080	2.4212
1_MACS_peak_3_lociStitched	chr1(.):761395-763733	1.8398
1_MACS_peak_4_lociStitched	chr1(.):876834-878050	0.4232
3_MACS_peak_5_lociStitched	chr1(.):893518-903048	0.5517
2_MACS_peak_8_lociStitched	chr1(.):947932-956725	0.7849
2_MACS_peak_10_lociStitched	chr1(.):967853-969812	0.8282
3_MACS_peak_12_lociStitched	chr1(.):994097-1004921	0.3022
1_MACS_peak_15_lociStitched	chr1(.):1014307-1015887	0.8031
1_MACS_peak_16_lociStitched	chr1(.):1050723-1051687	1.183
2_MACS_peak_17_lociStitched	chr1(.):1071341-1081493	1.1954
1_MACS_peak_19_lociStitched	chr1(.):1092612-1094138	1.3495
1_MACS_peak_20_lociStitched	chr1(.):1101781-1104106	0.6568
2_MACS_peak_21_lociStitched	chr1(.):1136218-1142579	0.4011
1_MACS_peak_23_lociStitched	chr1(.):1165821-1168409	2.1212
1_MACS_peak_24_lociStitched	chr1(.):1185098-1186010	0.7086
1_MACS_peak_25_lociStitched	chr1(.):1207958-1210337	1.5176
1_MACS_peak_26_lociStitched	chr1(.):1240007-1245714	2.0719
2_MACS_peak_27_lociStitched	chr1(.):1259171-1267446	1.0169
1_MACS_peak_29_lociStitched	chr1(.):1282597-1287040	1.3031
1_MACS_peak_30_lociStitched	chr1(.):1309348-1311748	1.7688
2_MACS_peak_31_lociStitched	chr1(.):1333111-1344114	1.3967
2_MACS_peak_33_lociStitched	chr1(.):1351430-1353916	0.3626
1_MACS_peak_35_lociStitched	chr1(.):1361269-1362813	0.6353
1_MACS_peak_36_lociStitched	chr1(.):1372870-1374408	1.181
3_MACS_peak_37_lociStitched	chr1(.):1396493-1411583	0.9971
2_MACS_peak_40_lociStitched	chr1(.):1439842-1450377	1.229
1_MACS_peak_42_lociStitched	chr1(.):1508318-1511722	2.1165
1_MACS_peak_43_lociStitched	chr1(.):1548743-1552181	1.9441
1_MACS_peak_44_lociStitched	chr1(.):1565228-1566532	0.6885
1_MACS_peak_45_lociStitched	chr1(.):1588240-1591812	1.5996
1_MACS_peak_46_lociStitched	chr1(.):1606063-1611215	2.0585
1_MACS_peak_47_lociStitched	chr1(.):1622180-1625691	3.4574
1_MACS_peak_48_lociStitched	chr1(.):1653903-1657105	1.4189
2_MACS_peak_49_lociStitched	chr1(.):1668342-1678924	1.8355
2_MACS_peak_51_lociStitched	chr1(.):1706162-1714983	1.9206
