GENE_ID	locusLine	bin_1_H929_jia.bam
NM_030806	chr1(.):184351149-184603155	0.3693
NM_021222	chr1(.):150975972-151013189	0.7557
NM_007051	chr1(.):50901934-51430936	0.0687
NM_001006605	chr1(.):93302720-93432079	0.326
NM_001010935	chr1(.):112157404-112261101	0.1995
NM_020205	chr1(.):149907231-149987686	0.4002
NM_152263	chr1(.):154129289-154169609	0.8377
NR_002188	chr1(.):155178615-155202325	0.8165
NM_015327	chr1(.):156214014-156257620	0.773
NM_001043351	chr1(.):154122779-154160725	0.8591
NR_036683	chr1(.):165662986-165684199	0.6313
NM_021642	chr1(.):161470204-161494360	0.3069
NM_002585	chr1(.):164523801-164826045	0.2466
NM_001198993	chr1(.):1677670-1715297	0.6004
NM_023018	chr1(.):1677670-1714909	0.6059
NM_001198994	chr1(.):1677670-1716508	0.5836
NM_003820	chr1(.):2482804-2500267	0.5957
NM_001113348	chr1(.):21538739-21677034	0.2408
NM_004091	chr1(.):23827921-23862713	1.3463
NM_173065	chr1(.):24475646-24518751	0.7121
NM_001048199	chr1(.):28827454-28870708	0.6526
NR_002909	chr1(.):28827454-28842404	1.522
NM_022753	chr1(.):33278175-33329476	0.4767
NM_001017406	chr1(.):33278175-33305665	0.8479
NM_032017	chr1(.):36800224-36856485	0.5646
NM_181809	chr1(.):39952317-40000541	1.1141
NM_001720	chr1(.):40218902-40259533	1.2942
NM_174964	chr1(.):44168217-44401831	0.3021
NM_148906	chr1(.):52077545-52259891	0.1272
NM_001981	chr1(.):51814934-51989995	0.0858
NM_001081976	chr1(.):112020969-112111597	0.1519
NM_017744	chr1(.):113061140-113167040	0.2133
NM_138729	chr1(.):113079412-113167040	0.25
NM_198459	chr1(.):115122195-115217732	0.2241
NM_001100910	chr1(.):120834004-120860681	0.9881
NR_034178	chr1(.):143910747-144099477	0.4544
NM_203458	chr1(.):145204110-145290912	0.6038
NM_153713	chr1(.):145472084-145504091	0.5504
NM_004326	chr1(.):147008181-147103015	0.338
NM_207168	chr1(.):150594521-150607098	1.6679
NM_207042	chr1(.):150589598-150607098	1.4192
NM_015203	chr1(.):150331989-150454041	0.4484
NM_207044	chr1(.):150590753-150607098	1.5071
NM_015100	chr1(.):151370199-151436941	0.5747
NM_207171	chr1(.):151370199-151419681	0.3716
NM_020699	chr1(.):153772202-153900451	0.3717
NM_207308	chr1(.):153960167-154132592	0.2275
NM_020524	chr1(.):154911558-154933567	3.151
NM_181359	chr1(.):154372668-154445188	2.4953
