GENE_ID	locusLine	bin_1_35_0EXN_0229Kronos_MM1S-No-Treatment-1_Input_hs_i77.bam
NM_013943	chr1(.):25066759-25175815	0.1151
NR_002188	chr1(.):155178615-155202325	0.2042
NM_021642	chr1(.):161470204-161494360	0.1361
NM_001198993	chr1(.):1677670-1715297	0.1182
NM_023018	chr1(.):1677670-1714909	0.1186
NM_033487	chr1(.):1566099-1660775	0.1181
NM_017900	chr1(.):1304109-1315818	0.1352
NM_001198994	chr1(.):1677670-1716508	0.1165
NM_003820	chr1(.):2482804-2500267	0.098
NM_017940	chr1(.):16885411-16944982	0.5104
NR_026567	chr1(.):17012712-17051652	0.2439
NM_001136265	chr1(.):19225773-19287826	0.1309
NM_001113348	chr1(.):21538739-21677034	0.1151
NM_004091	chr1(.):23827921-23862713	0.1576
NM_173065	chr1(.):24475646-24518751	0.1478
NM_002953	chr1(.):26851248-26906520	0.1279
NM_001135218	chr1(.):28924608-28974604	0.1283
NM_001048199	chr1(.):28827454-28870708	0.1411
NR_002909	chr1(.):28827454-28842404	0.1709
NM_002379	chr1(.):31179123-31201432	0.131
NR_034182	chr1(.):31186618-31204593	0.1317
NM_006845	chr1(.):45200489-45238438	0.1151
NM_001100910	chr1(.):120834004-120860681	0.1421
NM_153713	chr1(.):145472084-145504091	0.1987
NR_027002	chr1(.):149274475-149296742	0.2801
NM_207168	chr1(.):150594521-150607098	0.2373
NM_005060	chr1(.):151773546-151809348	0.1763
NM_001001523	chr1(.):151773546-151803553	0.1636
NM_015607	chr1(.):153601524-153622979	0.1983
NM_020699	chr1(.):153772202-153900451	0.1776
NM_020524	chr1(.):154911558-154933567	0.3066
NM_181359	chr1(.):154372668-154445188	0.2211
NM_004952	chr1(.):155046347-155065014	0.231
NM_005572	chr1(.):156079460-156112657	0.1871
NM_178229	chr1(.):156490196-156547396	0.1681
NM_005973	chr1(.):156732273-156775609	0.1902
NM_001135050	chr1(.):159891828-159920386	0.1981
NM_012394	chr1(.):161065345-161092866	0.2172
NM_052862	chr1(.):167594473-167680486	0.1882
NM_144977	chr1(.):197516384-197749623	0.1717
NM_001195215	chr1(.):197468878-197749623	0.1687
NM_138795	chr1(.):202096976-202118866	0.1765
NM_001017403	chr1(.):202158117-202293889	0.1545
NM_021636	chr1(.):202167904-202293889	0.1538
NM_001017404	chr1(.):202178282-202293889	0.1543
NM_182663	chr1(.):206675878-206767616	0.2122
NM_001143962	chr1(.):223709971-223858436	0.0876
NM_002221	chr1(.):226814390-226931876	0.2035
NM_053052	chr1(.):227917696-227973932	0.1641
NM_004481	chr1(.):230197955-230422875	0.1831
NM_014765	chr1(.):235267657-235297256	0.2005
NM_004421	chr1(.):1265657-1289492	0.0738
NM_001127230	chr1(.):1304110-1315562	0.1346
NM_001127229	chr1(.):1304109-1315580	0.1345
NM_032348	chr1(.):1283070-1298915	0.0726
NM_022834	chr1(.):1365902-1383262	0.0992
NM_030937	chr1(.):1316090-1339718	0.1278
NM_001039577	chr1(.):1322667-1339718	0.1274
NR_015434	chr1(.):1329909-1342426	0.143
NM_001145210	chr1(.):1348799-1361650	0.0852
NM_001146685	chr1(.):1356507-1368167	0.082
NM_017971	chr1(.):1332275-1347693	0.1428
NM_001039211	chr1(.):1380068-1410538	0.12
NM_006983	chr1(.):1562559-1575030	0.0867
NR_002946	chr1(.):1563158-1575027	0.0859
NM_182838	chr1(.):1658680-1682431	0.1409
NM_001110781	chr1(.):1587938-1629243	0.1416
NM_024011	chr1(.):1629169-1660791	0.1035
NR_002946	chr1(.):1626377-1638247	0.0991
NM_001198995	chr1(.):1677670-1695081	0.0964
NM_001010926	chr1(.):2455183-2466684	0.0903
NR_026927	chr1(.):2476358-2489284	0.1509
NM_018216	chr1(.):2434974-2463035	0.0892
NM_001195741	chr1(.):2513188-2527908	0.0863
NR_036638	chr1(.):2512898-2527908	0.0894
NR_026752	chr1(.):16939750-16962401	0.4845
NR_027504	chr1(.):16967068-16981915	0.4948
NM_014675	chr1(.):17243444-17304474	0.1267
NM_170726	chr1(.):19192923-19234293	0.1063
NM_001397	chr1(.):21538739-21621982	0.113
NM_001113347	chr1(.):21538739-21611183	0.1044
NM_001113349	chr1(.):21538739-21621766	0.1128
NM_017707	chr1(.):23750055-23815750	0.1031
NM_002167	chr1(.):23879408-23891322	0.1725
NR_027042	chr1(.):23948823-23972056	0.1423
NM_021258	chr1(.):24441260-24474611	0.1041
NR_027087	chr1(.):24521729-24543180	0.159
NM_015484	chr1(.):25543766-25564013	0.1303
NM_001127691	chr1(.):25593980-25661936	0.1133
NM_020317	chr1(.):25563739-25578985	0.1664
NM_001006665	chr1(.):26867342-26906520	0.1219
NR_031740	chr1(.):26876032-26886084	0.1028
NM_006015	chr1(.):27017521-27113601	0.1515
NM_014280	chr1(.):28521789-28564542	0.1252
NM_016311	chr1(.):28557610-28569611	0.169
NM_031459	chr1(.):28581005-28614002	0.1239
NR_024127	chr1(.):28900049-28913366	0.1874
NM_152304	chr1(.):28913711-28926088	0.1469
NM_001193532	chr1(.):28914006-28926088	0.1481
NR_003035	chr1(.):28902431-28912565	0.2078
NR_002987	chr1(.):28901275-28911405	0.1988
NR_003109	chr1(.):28874528-28910057	0.142
NM_001269	chr1(.):28839744-28870708	0.125
NR_002976	chr1(.):28901892-28912024	0.2015
NR_003077	chr1(.):28900254-28910334	0.1998
NM_024482	chr1(.):28990243-29046387	0.1142
NR_004407	chr1(.):28970111-28980246	0.1384
NM_006762	chr1(.):31200314-31235683	0.196
NM_005202	chr1(.):36555843-36570850	0.1155
NM_018067	chr1(.):36616802-36651441	0.1353
NM_014408	chr1(.):36597172-36620067	0.1403
NM_022756	chr1(.):37953175-37985364	0.102
NM_025079	chr1(.):37935118-37954978	0.1562
NR_002983	chr1(.):40028045-40038182	0.1987
NR_003929	chr1(.):39982951-40030370	0.1225
NM_001135653	chr1(.):40021484-40047521	0.1655
NM_001145636	chr1(.):45135393-45196263	0.1341
NM_024587	chr1(.):45114500-45145099	0.1331
NR_001456	chr1(.):45238513-45248584	0.1558
NR_001457	chr1(.):45239061-45249130	0.1558
NM_001012	chr1(.):45236245-45249412	0.1409
NR_000024	chr1(.):45237163-45247261	0.1458
NR_000015	chr1(.):45236536-45246610	0.1437
