GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
TMEM121	NM_025268	chr14:106024765-106057944	1	1	1.2826
DUSP22	NM_020185	chr6:290113-334389,chr6:335072-342847,chr6:251424-260696	2,132,218	1	5.4081
LOC146481	NR_026980	chr16:34711835-34749348	3	1	1.5606
LOC100130700	NR_034019	chr16:34711835-34749348	3	1	5.3676
OGDH	NM_002541	chr7:44660675-44681790	6	1	2.2097
DDX56	NM_019082	chr7:44660675-44681790	6	1	1.079
TMED4	NM_182547	chr7:44660675-44681790	6	1	2.1057
MUTED-TXNDC5	NR_037616	chr6:7900113-7922455,chr6:7958018-7968968	7,86	1	1.3085
TXNDC5	NM_001145549	chr6:7900113-7922455,chr6:7958018-7968968	7,86	1	2.7812
RASGRP3	NM_170672	chr2:33700412-33724819	8	1	0.6155
TRAM2	NM_012288	chr6:52397792-52419960,chr6:52355015-52366005	9,76	1	1.8181
IGLL5	NM_001178126	chr22:23266830-23287875	10	1	0.4302
FLI1	NM_002017	chr11:128585757-128607418	11	1	0.8711
EHD1	NM_006795	chr11:64614575-64634685	12	1	3.935
MAP4K2	NM_004579	chr11:64614575-64634685	12	1	0.2864
MEN1	NM_130800	chr11:64614575-64634685	12	1	0.572
CDC42BPG	NM_017525	chr11:64614575-64634685	12	1	0.4405
MIR192	NR_029578	chr11:64614575-64634685	12	1	0.8129
MIR194-2	NR_029829	chr11:64614575-64634685	12	1	0.8117
INPP5A	NM_005539	chr10:134352000-134374166	13	1	0.4652
ETV6	NM_001987	chr12:11900835-11920644	14	1	0.7467
C14orf145	NM_152446	chr14:81391981-81411079,chr14:81421143-81429377	15,170	1	0.2787
TSHR	NM_000369	chr14:81421143-81429377,chr14:81391981-81411079	15,170	1	0.4173
PWWP2B	NM_001098637	chr10:134218287-134237961	17	1	1.8184
C10orf91	NM_173541	chr10:134218287-134237961	17	1	2.0916
FCHSD2	NM_014824	chr11:72851491-72869444	18	1	0.204
FAM46C	NM_017709	chr1:118147619-118160816,chr1:118193495-118210891,chr1:118171025-118181573	19,58,96	1	1.8321
APOBEC3G	NM_021822	chr22:39456613-39474687,chr22:39482691-39496653,chr22:39506183-39515167	20,48,168	1	2.8208
APOBEC3C	NM_014508	chr22:39456613-39474687,chr22:39376661-39384281	20,235	1	1.065
APOBEC3D	NM_152426	chr22:39456613-39474687,chr22:39376661-39384281	20,235	1	0.5714
APOBEC3F	NM_001006666	chr22:39456613-39474687,chr22:39482691-39496653	20,48	1	0.7874
APOBEC3H	NM_181773	chr22:39482691-39496653,chr22:39456613-39474687,chr22:39539743-39549548,chr22:39506183-39515167	20,48,124,168	1	1.3483
NEAT1	NR_028272	chr11:65183445-65198344,chr11:65148100-65154726	21,336	1	10.5464
FRMD8	NM_031904	chr11:65148100-65154726,chr11:65183445-65198344	21,336	1	1.7003
MIR612	NR_030343	chr11:65183445-65198344,chr11:65257458-65269437	21,61	1	0.9434
SLC25A45	NM_001077241	chr11:65148100-65154726,chr11:65183445-65198344	21,336	1	2.0668
FAM78A	NM_033387	chr9:134136712-134154776,chr9:134127050-134133951	22,321	1	2.5622
PPAPDC3	NM_032728	chr9:134136712-134154776,chr9:134127050-134133951	22,321	1	0.1108
NCRNA00152	NR_024204	chr2:87808940-87826590	24	1	1.6089
VOPP1	NM_030796	chr7:55612926-55630704,chr7:55593828-55607663,chr7:55631602-55642443	25,35,81	1	2.3366
ST6GALNAC4	NM_175039	chr9:130665285-130681730	26	1	5.287
ENG	NM_000118	chr9:130665285-130681730	26	1	0.1166
AK1	NM_000476	chr9:130665285-130681730	26	1	0.2198
ST6GALNAC6	NM_013443	chr9:130665285-130681730	26	1	0.6754
PIP5KL1	NM_173492	chr9:130665285-130681730	26	1	1.1534
DPM2	NM_003863	chr9:130665285-130681730	26	1	0.495
FAM102A	NM_203305	chr9:130665285-130681730	26	1	0.3599
DERL3	NM_001002862	chr22:24178999-24194940	27	1	2.8326
SMARCB1	NM_001007468	chr22:24178999-24194940	27	1	0.5379
SLC2A11	NM_001024938	chr22:24178999-24194940	27	1	0.5194
MIF	NM_002415	chr22:24178999-24194940	27	1	1.8148
LOC400958	NR_036586	chr2:65157852-65175204	29	1	0.9308
SLC1A4	NM_001193493	chr2:65157852-65175204	29	1	0.385
LOC100129726	NR_027251	chr2:43443770-43459057,chr2:43394793-43409023,chr2:43417496-43426036	30,38,153	1	4.7079
ZFP36L2	NM_006887	chr2:43443770-43459057,chr2:43394793-43409023,chr2:43417496-43426036	30,38,153	1	7.0772
THADA	NM_001083953	chr2:43443770-43459057	30	1	0.2642
LOC541471	NR_015395	chr2:112184914-112201605	32	1	0.7865
ZNF217	NM_006526	chr20:52195495-52211914	33	1	1.0385
PDCD4	NM_145341	chr10:112618522-112633645,chr10:112599284-112607351	34,169	1	0.9664
LOC282997	NR_026932	chr10:112618522-112633645,chr10:112599284-112607351	34,169	1	3.9268
SHOC2	NM_007373	chr10:112618522-112633645	34	1	0.1619
NCRNA00081	NM_001195306	chr10:112618522-112633645	34	1	0.4173
BHLHE41	NM_030762	chr12:26265719-26280534,chr12:26305680-26313295	36,249	1	3.6637
LRRC38	NM_001010847	chr1:13813235-13829457	37	1	1.1577
OTUD5	NM_001136158	chrX:48790098-48805507	39	1	1.9861
PQBP1	NM_144495	chrX:48790098-48805507	39	1	0.6091
TIMM17B	NM_001167947	chrX:48790098-48805507	39	1	0.6977
SLC35A2	NM_005660	chrX:48790098-48805507	39	1	0.4791
PIM2	NM_006875	chrX:48790098-48805507	39	1	1.5306
KCND1	NM_004979	chrX:48790098-48805507	39	1	0.6441
HTR5A	NM_024012	chr7:154873362-154887420	40	1	2.4726
CDKN1B	NM_004064	chr12:12866017-12880217	41	1	4.828
APOLD1	NM_001130415	chr12:12866017-12880217	41	1	0.6265
MIR613	NR_030344	chr12:12866017-12880217	41	1	0.0712
