GENE_ID	locusLine	bin_1_JJN3_jia.bam
1_MACS_peak_1_lociStitched	chr1(.):28029-30063	5.1386
1_MACS_peak_2_lociStitched	chr1(.):441199-442679	0.7345
1_MACS_peak_3_lociStitched	chr1(.):540266-541767	0.9559
1_MACS_peak_4_lociStitched	chr1(.):713129-715300	2.8951
1_MACS_peak_5_lociStitched	chr1(.):762004-763886	3.434
1_MACS_peak_6_lociStitched	chr1(.):875796-881071	0.9237
2_MACS_peak_7_lociStitched	chr1(.):893599-902948	0.9024
1_MACS_peak_9_lociStitched	chr1(.):935038-937521	0.7734
1_MACS_peak_10_lociStitched	chr1(.):948230-949518	0.738
1_MACS_peak_11_lociStitched	chr1(.):954710-956041	1.0513
1_MACS_peak_12_lociStitched	chr1(.):968006-969188	0.5004
3_MACS_peak_13_lociStitched	chr1(.):994263-1004989	0.5323
1_MACS_peak_16_lociStitched	chr1(.):1014331-1015729	0.8234
1_MACS_peak_17_lociStitched	chr1(.):1050542-1052432	1.4351
1_MACS_peak_18_lociStitched	chr1(.):1071715-1073832	1.9106
1_MACS_peak_19_lociStitched	chr1(.):1079024-1082836	0.7854
1_MACS_peak_20_lociStitched	chr1(.):1092718-1094240	2.3031
3_MACS_peak_21_lociStitched	chr1(.):1136114-1144419	0.6501
1_MACS_peak_24_lociStitched	chr1(.):1150039-1151365	0.8067
1_MACS_peak_25_lociStitched	chr1(.):1165706-1168545	4.1008
1_MACS_peak_26_lociStitched	chr1(.):1185244-1185883	0.498
1_MACS_peak_27_lociStitched	chr1(.):1207682-1210270	3.8779
1_MACS_peak_28_lociStitched	chr1(.):1240052-1245313	3.2602
2_MACS_peak_29_lociStitched	chr1(.):1258920-1266674	1.087
1_MACS_peak_31_lociStitched	chr1(.):1282573-1286998	2.9603
2_MACS_peak_32_lociStitched	chr1(.):1306160-1311528	2.5084
1_MACS_peak_34_lociStitched	chr1(.):1333463-1336083	4.4595
1_MACS_peak_35_lociStitched	chr1(.):1341681-1343716	4.3789
1_MACS_peak_36_lociStitched	chr1(.):1405772-1408524	1.658
1_MACS_peak_37_lociStitched	chr1(.):1440091-1441669	0.8927
1_MACS_peak_38_lociStitched	chr1(.):1446344-1448702	4.068
1_MACS_peak_39_lociStitched	chr1(.):1508831-1511232	5.9167
1_MACS_peak_40_lociStitched	chr1(.):1534640-1536133	1.5582
2_MACS_peak_41_lociStitched	chr1(.):1544903-1552249	2.4142
1_MACS_peak_43_lociStitched	chr1(.):1565209-1566847	2.3363
1_MACS_peak_44_lociStitched	chr1(.):1589569-1591678	4.0007
1_MACS_peak_45_lociStitched	chr1(.):1606087-1608258	1.2065
1_MACS_peak_46_lociStitched	chr1(.):1622333-1625580	10.4826
1_MACS_peak_47_lociStitched	chr1(.):1654769-1656934	3.0031
2_MACS_peak_48_lociStitched	chr1(.):1668830-1679011	3.1569
1_MACS_peak_50_lociStitched	chr1(.):1689130-1691313	1.6978
1_MACS_peak_51_lociStitched	chr1(.):1708165-1713287	6.8642
1_MACS_peak_52_lociStitched	chr1(.):1773634-1775272	0.5661
3_MACS_peak_53_lociStitched	chr1(.):1820700-1829459	3.3555
1_MACS_peak_56_lociStitched	chr1(.):1837309-1841449	3.2507
2_MACS_peak_57_lociStitched	chr1(.):2120625-2127219	0.7696
1_MACS_peak_59_lociStitched	chr1(.):2158366-2161182	1.4029
1_MACS_peak_60_lociStitched	chr1(.):2231441-2232790	0.5053
1_MACS_peak_61_lociStitched	chr1(.):2322173-2324555	3.0276
1_MACS_peak_62_lociStitched	chr1(.):2343111-2345460	2.4262
1_MACS_peak_63_lociStitched	chr1(.):2411521-2412258	0.3788
2_MACS_peak_64_lociStitched	chr1(.):2456752-2461535	1.6906
2_MACS_peak_66_lociStitched	chr1(.):2473018-2481133	1.1451
1_MACS_peak_68_lociStitched	chr1(.):2486386-2489445	6.9433
1_MACS_peak_69_lociStitched	chr1(.):2516669-2518651	2.1299
1_MACS_peak_70_lociStitched	chr1(.):2573600-2574929	2.6019
