GENE	TF	CHROM	START	STOP	ENHANCER_ID
ABCB9	0	chr12	123411149	123424018	8_MACS_peak_6134_lociStitched
ACBD3	0	chr1	226313519	226317188	2_MACS_peak_2418_lociStitched
ACTG1	0	chr17	79478221	79482574	2_MACS_peak_11116_lociStitched
ACTN4	0	chr19	39173610	39177524	2_MACS_peak_12518_lociStitched
ACTR3	0	chr2	114644155	114648999	3_MACS_peak_14245_lociStitched
ADAM15	0	chr1	154971156	154977388	3_MACS_peak_1665_lociStitched
ADAMTSL4	0	chr1	150533468	150541749	4_MACS_peak_1532_lociStitched
ADAMTSL4	0	chr1	150550602	150553048	2_MACS_peak_1536_lociStitched
ADAR	0	chr1	154579487	154582534	1_MACS_peak_1640_lociStitched
ADCY10	0	chr1	167904398	167907257	2_MACS_peak_1921_lociStitched
ADM	0	chr11	10323976	10331991	7_MACS_peak_3792_lociStitched
AGAP1	0	chr2	236407277	236413194	4_MACS_peak_14949_lociStitched
AHNAK	0	chr11	62321859	62325599	1_MACS_peak_4128_lociStitched
AKAP5	0	chr14	64969642	64972785	2_MACS_peak_7178_lociStitched
AKNA	0	chr9	117146991	117150823	2_MACS_peak_25168_lociStitched
AKT1S1	0	chr19	50379056	50381746	1_MACS_peak_12976_lociStitched
ANKDD1A	0	chr15	65183390	65188510	5_MACS_peak_8084_lociStitched
ANKRD16	0	chr10	5930749	5935208	4_MACS_peak_2750_lociStitched
ANKRD16	0	chr10	5943109	5949256	9_MACS_peak_2759_lociStitched
ANKRD30BL	0	chr2	133024755	133027288	1_MACS_peak_14333_lociStitched
ANKRD34A	0	chr1	145434934	145439441	5_MACS_peak_1408_lociStitched
ANP32A	0	chr15	69109511	69114233	2_MACS_peak_8162_lociStitched
ANP32B	0	chr9	100744873	100747904	2_MACS_peak_25058_lociStitched
ANP32E	0	chr1	150206658	150209202	2_MACS_peak_1518_lociStitched
ANXA9	0	chr1	150976837	150981676	3_MACS_peak_1551_lociStitched
APBA2	0	chr15	29210827	29216971	3_MACS_peak_7693_lociStitched
APH1A	0	chr1	150206658	150209202	2_MACS_peak_1518_lociStitched
APOD	0	chr3	195356874	195362973	1_MACS_peak_18167_lociStitched
APOLD1	0	chr12	12866587	12873280	3_MACS_peak_5159_lociStitched
APOLD1	0	chr12	12875849	12879436	3_MACS_peak_5162_lociStitched
APRT	0	chr16	88846629	88852456	5_MACS_peak_9587_lociStitched
AQP10	0	chr1	154297267	154301822	2_MACS_peak_1624_lociStitched
ARF1	1	chr1	228269176	228272054	2_MACS_peak_2455_lociStitched
ARHGEF2	0	chr1	155944061	155951807	4_MACS_peak_1714_lociStitched
ARHGEF2	0	chr1	155910373	155917517	4_MACS_peak_1707_lociStitched
ARID4B	0	chr1	235490146	235493162	3_MACS_peak_2582_lociStitched
ARL6IP4	0	chr12	123411149	123424018	8_MACS_peak_6134_lociStitched
ARTN	0	chr1	44297255	44303005	1_MACS_peak_740_lociStitched
