#MM14 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM14.H3K27ac_ROSE/MM14_4KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MM14.jin.bam
#Using cutoff of 17449.956 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM14.jin.bam	enhancerRank	isSuper
8_MACS_peak_22513_lociStitched	chr5	139027264	139079549	8	43073	193632.269	1	1
23_MACS_peak_17345_lociStitched	chr22	23235896	23298130	23	34932	85584.1968	2	1
4_MACS_peak_12936_lociStitched	chr19	13943928	13959250	4	13645	81785.7716	3	1
4_MACS_peak_13362_lociStitched	chr19	39888390	39904416	4	14132	81663.6882	4	1
10_MACS_peak_8480_lociStitched	chr15	31629071	31661049	10	27216	81419.1858	5	1
14_MACS_peak_23183_lociStitched	chr6	7881732	7921572	14	32872	80672.016	6	1
12_MACS_peak_22344_lociStitched	chr5	131744696	131775701	12	19960	78659.685	7	1
12_MACS_peak_22697_lociStitched	chr5	150438060	150467720	12	20686	77626.152	8	1
10_MACS_peak_28462_lociStitched	chr9	134517693	134555419	10	26702	73810.919	9	1
3_MACS_peak_4541_lociStitched	chr11	65183793	65198050	3	13584	72267.3073	10	1
7_MACS_peak_4549_lociStitched	chr11	65254414	65278329	7	16772	70224.006	11	1
1_MACS_peak_13666_lociStitched	chr19	49375222	49380351	1	5130	67655.1003	12	1
11_MACS_peak_9505_lociStitched	chr15	90615160	90646835	11	19625	66954.615	13	1
4_MACS_peak_13452_lociStitched	chr19	42431664	42451709	4	14399	63237.966	14	1
5_MACS_peak_12901_lociStitched	chr19	12885742	12905927	5	12416	61501.6765	15	1
2_MACS_peak_8585_lociStitched	chr15	40384518	40402035	2	16997	61232.4252	16	1
2_MACS_peak_22511_lociStitched	chr5	139013003	139019984	2	6505	60081.9765	17	1
7_MACS_peak_4495_lociStitched	chr11	63992756	64019672	7	15450	59032.1712	18	1
1_MACS_peak_9136_lociStitched	chr15	72765267	72768539	1	3273	59009.5384	19	1
2_MACS_peak_10802_lociStitched	chr17	7737070	7748907	2	8592	58621.5588	20	1
7_MACS_peak_8343_lociStitched	chr14	106025233	106049472	7	23602	56796.8248	21	1
1_MACS_peak_13611_lociStitched	chr19	47728695	47735441	1	6747	56679.2174	22	1
1_MACS_peak_8479_lociStitched	chr15	31615644	31622492	1	6849	56511.7504	23	1
2_MACS_peak_23034_lociStitched	chr5	179245035	179250319	2	5266	55496.2668	24	1
3_MACS_peak_8579_lociStitched	chr15	40329917	40348332	3	11953	53764.434	25	1
4_MACS_peak_12548_lociStitched	chr19	2081707	2098312	4	14340	52005.1995	26	1
2_MACS_peak_18383_lociStitched	chr3	39187438	39195816	2	7883	52003.9216	27	1
7_MACS_peak_22359_lociStitched	chr5	131812971	131837014	7	14729	51776.6005	28	1
6_MACS_peak_11243_lociStitched	chr17	38468615	38487006	6	11653	51279.6253	29	1
5_MACS_peak_12502_lociStitched	chr19	1258875	1276988	5	10043	51225.3753	30	1
11_MACS_peak_9188_lociStitched	chr15	75063335	75093006	11	24030	50859.0611	31	1
2_MACS_peak_12461_lociStitched	chr19	657670	665473	2	6508	50611.0383	32	1
2_MACS_peak_22631_lociStitched	chr5	142774668	142785682	2	10870	50484.8718	33	1
8_MACS_peak_8708_lociStitched	chr15	45002263	45029202	8	14728	49866.7829	34	1
18_MACS_peak_9336_lociStitched	chr15	81576547	81617655	18	25434	49502.2536	35	1
18_MACS_peak_19491_lociStitched	chr3	141079602	141112393	18	23494	49183.2209	36	1
2_MACS_peak_22454_lociStitched	chr5	137087605	137091513	2	3849	49173.5824	37	1
1_MACS_peak_9167_lociStitched	chr15	74674770	74680679	1	5910	48294.257	38	1
13_MACS_peak_25226_lociStitched	chr7	55613006	55641971	13	20150	48194.8635	39	1
4_MACS_peak_8949_lociStitched	chr15	63789035	63799217	4	7522	48074.313	40	1
22_MACS_peak_1479_lociStitched	chr1	118147454	118187191	22	23507	47930.7694	41	1
4_MACS_peak_13636_lociStitched	chr19	48824486	48837905	4	8265	47903.1462	42	1
7_MACS_peak_13413_lociStitched	chr19	41801502	41817017	7	11708	47533.3055	43	1
1_MACS_peak_13720_lociStitched	chr19	50353467	50355519	1	2053	47287.5192	44	1
8_MACS_peak_19509_lociStitched	chr3	141118332	141146878	8	19514	46998.1344	45	1
4_MACS_peak_22901_lociStitched	chr5	172191489	172205350	4	9330	46862.6549	46	1
10_MACS_peak_17983_lociStitched	chr22	50963344	50987941	10	14091	45834.0498	47	1
1_MACS_peak_21428_lociStitched	chr5	32171895	32175506	1	3612	45829.3676	48	1
10_MACS_peak_28474_lociStitched	chr9	134593715	134616135	10	17848	45413.952	49	1
8_MACS_peak_15825_lociStitched	chr2	219743133	219763002	8	11726	45408.6126	50	1
2_MACS_peak_27825_lociStitched	chr9	73026582	73036339	2	6593	45158.3231	51	1
2_MACS_peak_22534_lociStitched	chr5	139486271	139494923	2	5042	44713.536	52	1
1_MACS_peak_22396_lociStitched	chr5	133559555	133563345	1	3791	44446.846	53	1
10_MACS_peak_17136_lociStitched	chr21	45552812	45581458	10	15831	44341.1434	54	1
8_MACS_peak_18725_lociStitched	chr3	53194038	53215450	8	18079	44237.192	55	1
