GENE	TF	CHROM	START	STOP	ENHANCER_ID
A1BG	0	chr19	58891440	58900013	2_MACS_peak_14076_lociStitched
A1BG-AS1	0	chr19	58891440	58900013	2_MACS_peak_14076_lociStitched
AAAS	0	chr12	53764042	53776622	3_MACS_peak_6090_lociStitched
AAMP	0	chr2	219081108	219096563	2_MACS_peak_16387_lociStitched
AAMP	0	chr2	219148635	219157782	2_MACS_peak_16391_lociStitched
AARS2	0	chr6	44213415	44234049	4_MACS_peak_24531_lociStitched
ABCD2	0	chr12	40007211	40017042	1_MACS_peak_5881_lociStitched
ABCF1	0	chr6	30579867	30587288	2_MACS_peak_24248_lociStitched
ABCG4	0	chr11	118963596	118979274	3_MACS_peak_5225_lociStitched
ABHD4	0	chr14	23018295	23040351	3_MACS_peak_7796_lociStitched
ABHD4	0	chr14	23053736	23059435	2_MACS_peak_7800_lociStitched
ACAP1	0	chr17	7209622	7219419	3_MACS_peak_11054_lociStitched
ACAT2	0	chr6	160146593	160152362	1_MACS_peak_25800_lociStitched
ACBD4	0	chr17	43224099	43228692	1_MACS_peak_11573_lociStitched
ACOT13	0	chr6	24714074	24722680	2_MACS_peak_24069_lociStitched
ACRC	0	chrX	70751164	70764424	2_MACS_peak_30828_lociStitched
ACTR8	0	chr3	53915077	53926934	2_MACS_peak_18893_lociStitched
ADAM15	0	chr1	154971025	154980033	1_MACS_peak_1581_lociStitched
ADAM17	0	chr2	9687324	9697179	3_MACS_peak_14169_lociStitched
ADAMTS4	0	chr1	161122696	161157833	7_MACS_peak_1738_lociStitched
ADAMTSL4	0	chr1	150532097	150553228	1_MACS_peak_1456_lociStitched
ADAT1	0	chr16	75680440	75687699	1_MACS_peak_10781_lociStitched
ADAT3	0	chr19	1846431	1865387	4_MACS_peak_12931_lociStitched
ADCY10	0	chr1	167903691	167907584	1_MACS_peak_1847_lociStitched
ADM	0	chr11	10324002	10344971	3_MACS_peak_4035_lociStitched
ADNP	0	chr20	49544744	49549051	1_MACS_peak_17259_lociStitched
ADRBK1	0	chr11	67006125	67011215	1_MACS_peak_4663_lociStitched
AFF1	0	chr4	87855094	87862282	1_MACS_peak_21284_lociStitched
AFTPH	0	chr2	64749957	64762346	2_MACS_peak_14862_lociStitched
