REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X06_0EWS_0229Kronos_MM1S.KB.3hr.2_H3K18Ac_hs.dm_i13.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
10_MACS_peak_17973_lociStitched	chr22	23189563	23286899	10	72865	329316.8888	13247.4296	1	IGLL5	MIR650	IGLL5	IGLL5	6.1069	1	1
8_MACS_peak_19827_lociStitched	chr3	141079040	141150042	8	59776	311499.9744	13866.6906	2	ZBTB38		ZBTB38	ZBTB38	2.2291	2	1
7_MACS_peak_14550_lociStitched	chr2	37525971	37624685	7	76095	229095.4512	17906.7196	3	QPCT,PRKD3		QPCT	QPCT	2.5667	3	1
6_MACS_peak_2335_lociStitched	chr1	203236091	203298489	6	45256	210992.5972	16129.883	4	BTG2,LOC730227	CHIT1,FMOD	LOC730227	LOC730227	3.215	4	1
4_MACS_peak_1402_lociStitched	chr1	118147562	118219644	4	63463	186598.6734	7929.02	5	FAM46C		FAM46C	FAM46C	2.4486	5	1
4_MACS_peak_8759_lociStitched	chr14	106023277	106056632	4	32195	156535.015	5303.445	6		TMEM121	TMEM121	TMEM121	0.15040000000000003	6	1
4_MACS_peak_23538_lociStitched	chr6	289715	338529	4	38751	158460.0068	16289.2318	7	DUSP22		DUSP22	DUSP22	2.0533	7	1
3_MACS_peak_23653_lociStitched	chr6	7887155	7921307	3	33855	146471.0976	7223.148	8	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	3.0046	8	1
5_MACS_peak_21221_lociStitched	chr4	90204935	90253424	5	36482	147653.8539	8597.0997	9	GPRIN3		GPRIN3	GPRIN3	1.7484	9	1
6_MACS_peak_1706_lociStitched	chr1	154907803	154957922	6	31610	135982.8708	13271.5112	10	CKS1B,MIR4258,FLAD1,PMVK,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,DCST2	PYGO2	PYGO2	1.8677000000000001	10	1
2_MACS_peak_15246_lociStitched	chr2	99060377	99108252	2	46464	130765.775	10192.5875	11	INPP4A		INPP4A	INPP4A	0.8366	11	1
2_MACS_peak_5013_lociStitched	chr11	65183106	65210671	2	20755	126785.2175	6364.7585	12	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	7.694599999999999	12	1
5_MACS_peak_11188_lociStitched	chr17	16847792	16895771	5	34454	123046.9434	8703.3906	13	TNFRSF13B		TNFRSF13B	TNFRSF13B	1.4653	13	1
3_MACS_peak_16924_lociStitched	chr20	30262032	30312413	3	40753	123740.7741	10333.1431	14	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	1.6812	14	1
1_MACS_peak_24723_lociStitched	chr6	106530366	106557211	1	26846	117546.2015	5444.166	15	PRDM1		PRDM1	PRDM1	3.3579999999999997	15	1
7_MACS_peak_8601_lociStitched	chr14	91812807	91886083	7	56381	116479.5296	7928.4632	16	CCDC88C		CCDC88C	CCDC88C	0.7774	16	1
7_MACS_peak_13130_lociStitched	chr19	2594321	2637981	7	27003	115092.126	9683.788	17	GNG7		GNG7	GNG7	0.57	17	1
1_MACS_peak_3049_lociStitched	chr10	11202034	11223841	1	21808	110352.1428	4982.8995	18	CELF2		CELF2	CELF2	0.48319999999999996	18	1
4_MACS_peak_26379_lociStitched	chr7	102063403	102093390	4	23700	110109.2653	4929.8628	19	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	1.8165	19	1
2_MACS_peak_11422_lociStitched	chr17	32688281	32726962	2	36031	111335.5223	6954.8438	20	CCL1	CCL8,CCL13	CCL1	CCL1	1.2548000000000001	20	1
3_MACS_peak_8768_lociStitched	chr14	106145069	106173343	3	27848	106768.2788	2960.2878	21			TMEM121	TMEM121	0.15040000000000003	21	1
3_MACS_peak_7094_lociStitched	chr12	109007125	109036180	3	20929	107300.115	5593.0875	22	SELPLG	TMEM119	SELPLG	SELPLG	4.2319	22	1
4_MACS_peak_2407_lociStitched	chr1	206271559	206311407	4	27344	105848.2424	9276.6144	23	C1orf186	AVPR1B,CTSE	C1orf186	C1orf186	1.2322	23	1
4_MACS_peak_12488_lociStitched	chr18	9053465	9085297	4	23924	101333.9888	5261.8296	24		NDUFV2	NDUFV2	NDUFV2	2.0706	24	1
1_MACS_peak_16184_lociStitched	chr2	201979529	201995139	1	15611	98547.491	3451.371	25	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	1.6892	25	1
2_MACS_peak_6482_lociStitched	chr12	53583585	53605162	2	21156	99021.1684	4587.2702	26	ZNF740,ITGB7,RARG	MFSD5,CSAD	ITGB7	ITGB7	3.6517	26	1
7_MACS_peak_24761_lociStitched	chr6	108878322	108954257	7	68905	105109.227	11268.754	27	FOXO3		FOXO3	FOXO3	0.9219	27	1
2_MACS_peak_4610_lociStitched	chr11	22676362	22704326	2	24123	97818.072	4270.1028	28	GAS2	FANCF	GAS2	GAS2	0.6003000000000001	28	1
4_MACS_peak_26902_lociStitched	chr7	150052760	150084950	4	25674	100526.151	7622.592	29	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	REPIN1	3.4236	29	1
3_MACS_peak_18062_lociStitched	chr22	29185846	29221782	3	26604	96118.0192	6551.1328	30	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	2.9853	30	1
4_MACS_peak_4069_lociStitched	chr10	112103726	112130142	4	17783	93092.6256	4913.376	31		SMNDC1	SMNDC1	SMNDC1	0.0791	31	1
1_MACS_peak_23857_lociStitched	chr6	25402649	25415885	1	13237	90363.4956	3424.1532	32	LRRC16A		LRRC16A	LRRC16A	0.3782	32	1
5_MACS_peak_17087_lociStitched	chr20	37486776	37523545	5	20852	91915.1462	5614.6263	33	PPP1R16B	FAM83D	FAM83D	NONE	NONE	33	1
5_MACS_peak_16971_lociStitched	chr20	32398669	32452441	5	39325	94794.6588	10044.6096	34	CHMP4B		CHMP4B	CHMP4B	1.3824999999999998	34	1
3_MACS_peak_13106_lociStitched	chr19	2073562	2098369	3	17779	91093.7847	6625.9497	35	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	2.3954	35	1
1_MACS_peak_6053_lociStitched	chr12	12866150	12882083	1	15934	86156.1042	3336.3702	36	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	5.4569	36	1
3_MACS_peak_5199_lociStitched	chr11	72850503	72871277	3	20232	84643.663	4183.8836	37	FCHSD2		FCHSD2	FCHSD2	0.056499999999999995	37	1
1_MACS_peak_12917_lociStitched	chr18	60821672	60831785	1	10114	81734.2773	2341.1595	38	BCL2		BCL2	BCL2	0.62	38	1
6_MACS_peak_16899_lociStitched	chr20	25261610	25302983	6	24143	85534.5402	6160.4397	39	PYGB,ABHD12		PYGB	PYGB	0.7435999999999999	39	1
3_MACS_peak_11930_lociStitched	chr17	56404436	56431309	3	20358	84905.2435	5718.5744	40	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	MIR142	3.1367	40	1
4_MACS_peak_24724_lociStitched	chr6	106585412	106618418	4	21885	82907.7714	5719.9398	41		PRDM1	PRDM1	PRDM1	3.3579999999999997	41	1
2_MACS_peak_1762_lociStitched	chr1	156115214	156137215	2	21941	83099.9771	6752.1069	42	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	2.0094000000000003	42	1
5_MACS_peak_10106_lociStitched	chr16	11796531	11843262	5	33223	82354.0413	7855.4811	43	TXNDC11	SNN,ZC3H7A	TXNDC11	TXNDC11	1.7348999999999999	43	1
4_MACS_peak_17801_lociStitched	chr21	45552543	45581096	4	19242	80804.99	6572.9006	44	C21orf33	PWP2	C21orf33	C21orf33	0.9795	44	1
5_MACS_peak_11470_lociStitched	chr17	34596918	34642090	5	40019	81187.6356	9201.5364	45	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	NONE	NONE	45	1
4_MACS_peak_10249_lociStitched	chr16	23333859	23364307	4	17975	75678.504	4375.3776	46	SCNN1B		SCNN1B	SCNN1B	1.0374	46	1
8_MACS_peak_24348_lociStitched	chr6	52392243	52443084	8	38566	79505.1558	8927.6796	47	TRAM2		TRAM2	TRAM2	0.9744	47	1
3_MACS_peak_5879_lociStitched	chr12	4216235	4231616	3	12075	73016.6832	2839.3326	48			CCND2	CCND2	0.6728000000000001	48	1
3_MACS_peak_18006_lociStitched	chr22	24178493	24201056	3	16036	73645.632	3984.6258	49	SLC2A11,DERL3	SMARCB1,MIF	DERL3	DERL3	0.8924000000000001	49	1
3_MACS_peak_10117_lociStitched	chr16	12052239	12072260	3	14362	73256.839	3811.9984	50	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	5.1172	50	1
1_MACS_peak_29656_lociStitched	chrX	19469612	19471063	1	1452	69412.0674	84.8835	51	MAP3K15		MAP3K15	MAP3K15	0.40290000000000004	51	1
4_MACS_peak_4208_lociStitched	chr10	125821654	125854898	4	29387	75257.7672	6000.542	52	CHST15		CHST15	CHST15	0.7904	52	1
1_MACS_peak_20834_lociStitched	chr4	40191001	40209839	1	18839	73357.0558	4590.8206	53	RHOH		RHOH	RHOH	1.1391	53	1
2_MACS_peak_12492_lociStitched	chr18	9094667	9123212	2	23608	73357.7955	5046.756	54	NDUFV2	ANKRD12	NDUFV2	NDUFV2	2.0706	54	1
3_MACS_peak_27012_lociStitched	chr8	2027337	2051247	3	17961	71751.519	4007.316	55	MYOM2		MYOM2	MYOM2	0.7844	55	1
2_MACS_peak_15418_lociStitched	chr2	112455271	112468432	2	13086	68920.2087	2740.1202	56			ANAPC1	ANAPC1	NONE	56	1
1_MACS_peak_21935_lociStitched	chr5	1311155	1320530	1	9376	68004.375	1981.875	57	CLPTM1L	TERT	TERT	NONE	NONE	57	1
3_MACS_peak_4582_lociStitched	chr11	19449687	19468142	3	18131	69774.664	3794.348	58	NAV2		NAV2	NAV2	0.0844	58	1
1_MACS_peak_26152_lociStitched	chr7	78113477	78128542	1	15066	68276.0865	2539.959	59	MAGI2		RPL13AP17	RPL13AP17	NONE	59	1
5_MACS_peak_26906_lociStitched	chr7	150100655	150134444	5	19715	72974.1033	7561.9782	60	LOC728743,LOC285972	REPIN1,ZNF775,GIMAP8	LOC285972	REPIN1	3.4236	60	1
1_MACS_peak_23703_lociStitched	chr6	11826657	11838123	1	11467	67565.6982	2199.1788	61		C6orf105	C6orf105	C6orf105	0.5017	61	1
4_MACS_peak_11465_lociStitched	chr17	34509746	34541185	4	27043	72089.627	6900.8605	62	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	2.482	62	1
7_MACS_peak_20262_lociStitched	chr3	183219559	183261138	7	32064	75519.9377	10465.4343	63	KLHL6		KLHL6	KLHL6	1.1551	63	1
4_MACS_peak_4092_lociStitched	chr10	112599075	112633306	4	24995	70690.4381	6041.7715	64	RBM20,PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	1.688	64	1
1_MACS_peak_7984_lociStitched	chr13	114828783	114835116	1	6334	65015.8446	1211.5029	65	RASA3		RASA3	RASA3	0.6338999999999999	65	1
1_MACS_peak_25946_lociStitched	chr7	55597122	55605748	1	8627	65983.7244	2183.2406	66	VOPP1		VOPP1	VOPP1	1.3842	66	1
2_MACS_peak_17726_lociStitched	chr21	41324200	41345250	2	20185	69290.285	5757.175	67			PCP4	PCP4	0.22219999999999998	67	1
3_MACS_peak_14888_lociStitched	chr2	65156219	65178782	3	18504	67188.1014	4020.7266	68	LOC400958	SLC1A4	LOC400958	LOC400958	1.2854999999999999	68	1
2_MACS_peak_474_lociStitched	chr1	31213879	31236471	2	21527	67403.232	4538.7328	69	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	1.7786	69	1
2_MACS_peak_14965_lociStitched	chr2	70309934	70323415	2	9551	63868.9337	2418.4914	70	PCBP1,LOC400960	LOC100133985	PCBP1	PCBP1	5.035	70	1
2_MACS_peak_1595_lociStitched	chr1	150532064	150553366	2	17992	66973.488	6431.0738	71	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	0.7196	71	1
