REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X07_0EWT_0229Kronos_MM1S.KB.6hr.1_H3K18Ac_hs.dm_i14.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
4_MACS_peak_21165_lociStitched	chr3	141079009	141134018	4	48132	323084.3597	11771.926	1	ZBTB38		ZBTB38	ZBTB38	2.3735	1	1
6_MACS_peak_2529_lociStitched	chr1	203236281	203298436	6	47593	322901.4405	16701.0485	2	BTG2,LOC730227	CHIT1,FMOD	LOC730227	LOC730227	4.9745	2	1
5_MACS_peak_1521_lociStitched	chr1	118141852	118219378	5	62916	178992.0288	8264.2716	3	FAM46C		FAM46C	FAM46C	2.1237	3	1
13_MACS_peak_10827_lociStitched	chr16	11754680	11843224	13	61572	187465.3568	15291.5488	4	SNN,TXNDC11	ZC3H7A	SNN	SNN	1.5005	4	1
7_MACS_peak_26495_lociStitched	chr6	108878208	108954465	7	67229	119830.2498	11087.7678	5	FOXO3		FOXO3	FOXO3	1.0712	5	1
4_MACS_peak_15519_lociStitched	chr2	37528316	37594316	4	54620	165145.2	12025.2	6	QPCT,PRKD3		QPCT	QPCT	3.017	6	1
7_MACS_peak_9258_lociStitched	chr14	91812797	91885978	7	56820	132318.5661	6696.0615	7	CCDC88C		CCDC88C	CCDC88C	0.8922	7	1
6_MACS_peak_19185_lociStitched	chr22	23189180	23247707	6	48084	192618.2097	7292.4642	8	IGLL5	MIR650	IGLL5	IGLL5	6.9044	8	1
2_MACS_peak_9418_lociStitched	chr14	106023247	106056562	2	32380	222900.6705	5303.748	9		TMEM121	TMEM121	TMEM121	0.18300000000000002	9	1
3_MACS_peak_16276_lociStitched	chr2	99060395	99108347	3	45425	156285.1584	9921.2688	10	INPP4A		INPP4A	INPP4A	1.0102	10	1
3_MACS_peak_25305_lociStitched	chr6	7880508	7921803	3	35289	194528.3565	8527.4175	11	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	3.5889	11	1
4_MACS_peak_25183_lociStitched	chr6	289699	338047	4	37379	178882.7652	15669.5868	12	DUSP22		DUSP22	DUSP22	2.3491	12	1
3_MACS_peak_19192_lociStitched	chr22	23265614	23298684	3	26423	194101.058	6048.503	13		IGLL5	IGLL5	IGLL5	6.9044	13	1
2_MACS_peak_12241_lociStitched	chr17	32688336	32727149	2	35790	137972.4524	7510.3155	14	CCL1	CCL8,CCL13	CCL1	CCL1	1.5738	14	1
5_MACS_peak_12299_lociStitched	chr17	34597769	34642156	5	38717	116928.6741	9068.2641	15	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	NONE	NONE	15	1
7_MACS_peak_18125_lociStitched	chr20	32398516	32452703	7	39056	112671.0291	9574.8429	16	CHMP4B		CHMP4B	CHMP4B	1.6478000000000002	16	1
3_MACS_peak_18078_lociStitched	chr20	30271528	30312268	3	37560	116817.876	8571.696	17	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	1.6715	17	1
2_MACS_peak_9424_lociStitched	chr14	106145001	106173956	2	28913	150198.2715	3312.452	18			TMEM121	TMEM121	0.18300000000000002	18	1
