GENE_ID	locusLine	bin_1_36_0EXO_0229Kronos_MM1S-No-Treatment-2_Input_hs_i78.bam
NM_024408	chr1(.):120449175-120617276	0.1482
NM_201569	chr1(.):183436505-183528328	0.188
NM_001198993	chr1(.):1677670-1715297	0.1132
NM_023018	chr1(.):1677670-1714909	0.1137
NM_001198994	chr1(.):1677670-1716508	0.1134
NM_003820	chr1(.):2482804-2500267	0.1059
NR_026567	chr1(.):17012712-17051652	0.2301
NM_001113348	chr1(.):21538739-21677034	0.1135
NM_004091	chr1(.):23827921-23862713	0.151
NM_173065	chr1(.):24475646-24518751	0.1477
NM_002379	chr1(.):31179123-31201432	0.1421
NR_034182	chr1(.):31186618-31204593	0.1454
NM_002600	chr1(.):66253855-66845262	0.1151
NM_001037341	chr1(.):66253192-66845262	0.1151
NM_001037340	chr1(.):66453389-66845262	0.1228
NR_034178	chr1(.):143910747-144099477	0.1989
NM_203458	chr1(.):145204110-145290912	0.3947
NM_004892	chr1(.):145091406-145121922	0.3758
NM_153713	chr1(.):145472084-145504091	0.1895
NM_207168	chr1(.):150594521-150607098	0.2378
NM_020524	chr1(.):154911558-154933567	0.3052
NM_181359	chr1(.):154372668-154445188	0.213
NM_002249	chr1(.):154674914-154847754	0.2101
NM_170782	chr1(.):154674914-154837338	0.2094
NM_005572	chr1(.):156079460-156112657	0.2008
NM_170708	chr1(.):156079460-156114878	0.201
NM_005973	chr1(.):156732273-156775609	0.1883
NM_001135050	chr1(.):159891828-159920386	0.172
NM_012394	chr1(.):161065345-161092866	0.2061
NM_052862	chr1(.):167594473-167680486	0.1864
NM_145034	chr1(.):179804101-179851941	0.1933
NM_022347	chr1(.):179823164-179851941	0.2273
NM_015149	chr1(.):183600207-183902666	0.1933
NM_025191	chr1(.):184654624-184729041	0.2054
NM_144977	chr1(.):197516384-197749623	0.1777
NM_001195215	chr1(.):197468878-197749623	0.1776
NM_138795	chr1(.):202096976-202118866	0.1603
NM_001017403	chr1(.):202158117-202293889	0.1644
NM_021636	chr1(.):202167904-202293889	0.164
NM_014827	chr1(.):203759750-203828256	0.172
NM_015375	chr1(.):205106630-205185727	0.1671
NM_182663	chr1(.):206675878-206767616	0.2172
NM_001193338	chr1(.):207071630-207100235	0.2413
NM_005449	chr1(.):207071630-207100378	0.2403
NM_152495	chr1(.):224799178-224933249	0.1612
NM_002221	chr1(.):226814390-226931876	0.2011
NM_004481	chr1(.):230197955-230422875	0.1754
NM_014765	chr1(.):235267657-235297256	0.2124
NM_032328	chr1(.):245128170-245256148	0.1494
NR_026588	chr1(.):245128630-245256148	0.1494
NR_026587	chr1(.):245128630-245293530	0.1418
NR_026586	chr1(.):245128283-245293530	0.1419
NM_182838	chr1(.):1658680-1682431	0.13
NM_001198995	chr1(.):1677670-1695081	0.0829
NM_001010926	chr1(.):2455183-2466684	0.0968
NR_026927	chr1(.):2476358-2489284	0.1524
NM_018216	chr1(.):2434974-2463035	0.0774
NM_001195741	chr1(.):2513188-2527908	0.0947
NR_036638	chr1(.):2512898-2527908	0.0962
NR_026752	chr1(.):16939750-16962401	0.4647
NR_027504	chr1(.):16967068-16981915	0.4694
NR_002729	chr1(.):17076400-17095975	0.2442
NM_014675	chr1(.):17243444-17304474	0.1368
NM_001397	chr1(.):21538739-21621982	0.1131
NM_001113347	chr1(.):21538739-21611183	0.1024
NM_001113349	chr1(.):21538739-21621766	0.1123
NM_017707	chr1(.):23750055-23815750	0.0953
NM_002167	chr1(.):23879408-23891322	0.1688
NR_027042	chr1(.):23948823-23972056	0.1497
NM_021258	chr1(.):24441260-24474611	0.1165
NR_027087	chr1(.):24521729-24543180	0.159
NM_015627	chr1(.):25865075-25900377	0.1606
NM_006015	chr1(.):27017521-27113601	0.1573
NM_014280	chr1(.):28521789-28564542	0.1312
NM_016311	chr1(.):28557610-28569611	0.1687
NM_001164721	chr1(.):28468676-28525447	0.1182
NM_001164722	chr1(.):28468676-28525437	0.1182
NM_031459	chr1(.):28581005-28614002	0.1192
NM_006762	chr1(.):31200314-31235683	0.191
NM_005202	chr1(.):36555843-36570850	0.1052
NM_018067	chr1(.):36616802-36651441	0.1272
NM_014408	chr1(.):36597172-36620067	0.1425
NR_002983	chr1(.):40028045-40038182	0.22
NR_003929	chr1(.):39982951-40030370	0.1328
NM_001135653	chr1(.):40021484-40047521	0.1914
NM_001198979	chr1(.):40854016-40893998	0.1278
NM_001198978	chr1(.):40835304-40893998	0.1498
NM_001198980	chr1(.):40857471-40893998	0.1182
NM_022733	chr1(.):40834377-40893998	0.1493
NM_001037339	chr1(.):66792792-66845262	0.1613
NM_001001933	chr1(.):75589118-75632218	0.1269
NM_004974	chr1(.):111140775-111153345	0.0598
NM_002232	chr1(.):111209309-111222655	0.0866
NM_017709	chr1(.):118143603-118176011	0.1407
NM_001123068	chr1(.):143762143-143772881	0.1644
NR_027469	chr1(.):143713512-143749587	0.1758
NR_027468	chr1(.):143713512-143749457	0.1756
NM_207418	chr1(.):143891451-143918143	0.2012
NM_032305	chr1(.):145451235-145475387	0.2642
NM_202004	chr1(.):145408190-145422545	0.1609
NM_006472	chr1(.):145433461-145447628	0.2603
NM_001039888	chr1(.):145465507-145480647	0.2451
NM_003846	chr1(.):145511164-145528732	0.2144
NM_005105	chr1(.):145502637-145516444	0.2513
NM_001184795	chr1(.):145511559-145528732	0.2167
NM_003637	chr1(.):145519989-145548868	0.1783
NM_144698	chr1(.):145544208-145573526	0.168
NR_002328	chr1(.):145504819-145521076	0.2545
NR_027468	chr1(.):147901021-147936980	0.1565
NM_001161334	chr1(.):149749244-149788928	0.1634
NM_001034077	chr1(.):149799220-149809616	0.2395
NM_001005464	chr1(.):149807258-149817765	0.267
