REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	22_0F28_0229Kronos_MM1S-No-Treatment-2_H3K27me3_hs-dm_i04.bam	36_0EXO_0229Kronos_MM1S-No-Treatment-2_Input_hs_i78.bam
41_MACS_peak_13717_lociStitched	chr17	77081128	77239871	41	149362	204683.22420000003	11953.3479
18_MACS_peak_14576_lociStitched	chr19	1670401	1812371	18	137666	262289.575	20457.877
38_MACS_peak_14884_lociStitched	chr19	3783472	3909802	38	117309	163723.68	14818.509
18_MACS_peak_14501_lociStitched	chr19	681184	791716	18	107245	180255.5856	14413.3728
44_MACS_peak_13796_lociStitched	chr17	77349494	77456382	44	96950	120323.8216	8743.4384
23_MACS_peak_1610_lociStitched	chr1	10755043	10852243	23	93900	124629.84	8213.400000000001
18_MACS_peak_9912_lociStitched	chr16	1249562	1340600	18	87612	134271.9462	7565.257799999999
32_MACS_peak_22312_lociStitched	chr22	37458434	37547280	32	80219	100005.0576	8626.946600000001
12_MACS_peak_31661_lociStitched	chr9	139525808	139614552	12	86350	138671.3744	8475.052
15_MACS_peak_21496_lociStitched	chr21	46708840	46795343	15	83796	135974.0657	9757.5384
11_MACS_peak_20568_lociStitched	chr20	60985015	61071407	11	84928	127609.6232	6911.360000000001
18_MACS_peak_6003_lociStitched	chr11	1616700	1700326	18	80126	112384.9814	9366.112000000001
17_MACS_peak_21203_lociStitched	chr21	44147783	44230694	17	79179	128122.36829999999	10678.9368
8_MACS_peak_6106_lociStitched	chr11	1982408	2063137	8	79794	129109.8897	6337.2265
28_MACS_peak_30327_lociStitched	chr9	133835639	133916145	28	73146	96188.56880000001	7358.2483999999995
6_MACS_peak_14153_lociStitched	chr17	78996945	79074613	6	76128	137907.3008	7393.993600000001
11_MACS_peak_8428_lociStitched	chr12	54337845	54411949	11	72303	113356.8888	8121.798400000001
29_MACS_peak_1653_lociStitched	chr1	10906895	10980795	29	65813	80565.78	6710.120000000001
15_MACS_peak_21445_lociStitched	chr21	46404284	46477324	15	69471	112591.16	8363.08
18_MACS_peak_12882_lociStitched	chr17	48633894	48706037	18	69525	97941.33679999999	7603.8722
25_MACS_peak_16434_lociStitched	chr19	18059346	18130978	25	65993	92054.28319999999	6926.814399999999
12_MACS_peak_14194_lociStitched	chr17	79328015	79398549	12	67893	103677.9266	5960.1230000000005
21_MACS_peak_28973_lociStitched	chr8	141990594	142060052	21	64903	92622.24299999999	8571.1172
11_MACS_peak_20584_lociStitched	chr20	61141411	61209569	11	65555	100921.55059999999	5384.482
7_MACS_peak_14976_lociStitched	chr19	4557718	4624601	7	65690	112309.9336	9878.6191
24_MACS_peak_6528_lociStitched	chr11	61433856	61499432	24	59209	73123.7976	6039.5496
9_MACS_peak_11344_lociStitched	chr17	1041182	1106205	9	63279	97124.8551	7152.53
37_MACS_peak_585_lociStitched	chr1	3100806	3165805	37	55502	64498.507699999995	3704.943
6_MACS_peak_21188_lociStitched	chr21	44055793	44120310	6	62076	93872.235	8045.2699
5_MACS_peak_12834_lociStitched	chr17	47967231	48031511	5	64102	95622.928	5984.468
15_MACS_peak_4378_lociStitched	chr1	156821890	156885756	15	60919	94362.015	10352.6786
20_MACS_peak_30092_lociStitched	chr9	132405361	132468643	20	56488	72894.5358	5613.1134
15_MACS_peak_25400_lociStitched	chr4	9211661	9274600	15	61594	155792.9067	16892.8276
21_MACS_peak_304_lociStitched	chr1	2348719	2411265	21	55845	72153.0656	4115.5268
11_MACS_peak_21525_lociStitched	chr21	46858182	46919974	11	58519	89079.3472	6605.5648
5_MACS_peak_14539_lociStitched	chr19	1282705	1344160	5	60968	132171.2685	8499.2265
7_MACS_peak_17966_lociStitched	chr19	48404648	48466012	7	60050	129606.90439999998	20581.4856
11_MACS_peak_22368_lociStitched	chr22	37771468	37832156	11	58905	78111.5248	5728.9472
13_MACS_peak_21512_lociStitched	chr21	46796615	46856376	13	57698	91517.9954	5521.9164
13_MACS_peak_22355_lociStitched	chr22	37710799	37768741	13	54126	71181.74699999999	5492.9016
14_MACS_peak_746_lociStitched	chr1	3430638	3488225	14	55496	71200.5668	3812.2594
17_MACS_peak_9882_lociStitched	chr16	1144320	1201808	17	53618	70790.72320000001	4179.3776
5_MACS_peak_21440_lociStitched	chr21	46301980	46359017	5	56042	114678.59220000001	7089.6991
22_MACS_peak_30769_lociStitched	chr9	136369197	136425615	22	49182	63222.010800000004	4293.4098
9_MACS_peak_1093_lociStitched	chr1	6474985	6530084	9	53845	83419.886	5366.6426
13_MACS_peak_18155_lociStitched	chr19	49519972	49574946	13	51859	68382.1586	5497.400000000001
8_MACS_peak_30317_lociStitched	chr9	133770784	133825585	8	53290	75433.57650000001	4131.9954
21_MACS_peak_16478_lociStitched	chr19	18317197	18371456	21	46665	61659.9276	5805.713
10_MACS_peak_20602_lociStitched	chr20	61315543	61369187	10	51991	75278.6252	4736.7652
25_MACS_peak_29020_lociStitched	chr8	142358983	142411290	25	46342	54519.5861	4451.325699999999
