#EJM Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/EJM.H3K27ac_ROSE/EJM_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by EJM.jin.bam
#Using cutoff of 15797.6176 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	EJM.jin.bam	enhancerRank	isSuper
5_MACS_peak_8494_lociStitched	chr14	106023613	106057829	5	34052	274230.9752	1	1
6_MACS_peak_8252_lociStitched	chr14	91829526	91857703	6	26863	194046.5459	2	1
5_MACS_peak_8500_lociStitched	chr14	106143465	106175689	5	31288	190411.616	3	1
1_MACS_peak_11610_lociStitched	chr17	43386533	43397102	1	10570	173131.8459	4	1
3_MACS_peak_18339_lociStitched	chr22	23268226	23287802	3	19377	141090.1048	5	1
3_MACS_peak_4535_lociStitched	chr11	62223401	62234799	3	11157	106166.671	6	1
2_MACS_peak_5178_lociStitched	chr11	111230527	111251877	2	21326	96700.555	7	1
1_MACS_peak_23605_lociStitched	chr6	315191	330552	1	15362	95734.3603	8	1
4_MACS_peak_4673_lociStitched	chr11	65183550	65198693	4	14720	88286.7186	9	1
3_MACS_peak_20090_lociStitched	chr3	141116052	141133771	3	17416	88182.1473	10	1
4_MACS_peak_20086_lociStitched	chr3	141094036	141111319	4	16716	87277.4217	11	1
4_MACS_peak_27934_lociStitched	chr8	129276480	129289981	4	13229	80307.9983	12	1
6_MACS_peak_16622_lociStitched	chr2	201979622	201997775	6	17677	78774.9435	13	1
4_MACS_peak_14886_lociStitched	chr2	20404986	20426320	4	20854	77809.3648	14	1
5_MACS_peak_1552_lociStitched	chr1	118168564	118189651	5	20200	73882.5219	15	1
3_MACS_peak_1558_lociStitched	chr1	118193625	118209346	3	15553	67194.6982	16	1
3_MACS_peak_12513_lociStitched	chr18	9060391	9072182	3	11545	65131.1258	17	1
5_MACS_peak_22308_lociStitched	chr5	55435050	55449408	5	14113	64026.6294	18	1
3_MACS_peak_23716_lociStitched	chr6	7895779	7913728	3	17746	62252.5167	19	1
1_MACS_peak_11831_lociStitched	chr17	56407557	56417863	1	10307	60368.4256	20	1
2_MACS_peak_26342_lociStitched	chr7	102063619	102070411	2	6601	57382.8912	21	1
1_MACS_peak_8262_lociStitched	chr14	91879261	91885416	1	6156	56093.5925	22	1
2_MACS_peak_26347_lociStitched	chr7	102080498	102088958	2	8435	55053.45	23	1
3_MACS_peak_24200_lociStitched	chr6	32935489	32942713	3	6834	54971.7504	24	1
5_MACS_peak_14829_lociStitched	chr2	11884117	11896200	5	11850	53654.5615	25	1
5_MACS_peak_1976_lociStitched	chr1	156456617	156472859	5	15923	53358.2184	26	1
5_MACS_peak_23416_lociStitched	chr5	173160073	173174426	5	13566	53120.453	27	1
2_MACS_peak_6868_lociStitched	chr12	123370643	123381598	2	10520	53091.2165	28	1
2_MACS_peak_17440_lociStitched	chr20	37498595	37507295	2	8672	50963.73	29	1
9_MACS_peak_8175_lociStitched	chr14	81935770	81957757	9	20872	50183.1288	30	1
2_MACS_peak_18089_lociStitched	chr21	44725861	44735527	2	9539	48986.3214	31	1
3_MACS_peak_14068_lociStitched	chr19	39891590	39904475	3	12650	48932.076	32	1
4_MACS_peak_23998_lociStitched	chr6	27093944	27104329	4	9921	47389.8705	33	1
3_MACS_peak_15428_lociStitched	chr2	65157459	65168722	3	10840	47140.1602	34	1
5_MACS_peak_18638_lociStitched	chr22	38782988	38798078	5	14623	46714.113	35	1
6_MACS_peak_28724_lociStitched	chr9	93675801	93690026	6	13368	46192.8425	36	1
1_MACS_peak_8339_lociStitched	chr14	95980120	95987166	1	7047	45939.92	37	1
2_MACS_peak_26397_lociStitched	chr7	104651095	104657413	2	6014	45857.9394	38	1
1_MACS_peak_10074_lociStitched	chr16	30193939	30199303	1	5365	45843.9624	39	1
4_MACS_peak_6828_lociStitched	chr12	122233899	122244744	4	10466	45785.421	40	1
4_MACS_peak_27607_lociStitched	chr8	95951940	95964760	4	11969	45745.606	41	1
1_MACS_peak_6773_lociStitched	chr12	120971203	120978874	1	7672	45547.3296	42	1
2_MACS_peak_1880_lociStitched	chr1	154908061	154918834	2	10303	45272.4552	43	1
2_MACS_peak_407_lociStitched	chr1	23850277	23858650	2	8315	44998.1766	44	1
3_MACS_peak_17553_lociStitched	chr20	45976895	45987186	3	10021	44094.8768	45	1
3_MACS_peak_21907_lociStitched	chr5	1312104	1321613	3	9483	43060.5556	46	1
7_MACS_peak_12530_lociStitched	chr18	9134752	9147838	7	11941	42372.468	47	1
3_MACS_peak_16889_lociStitched	chr2	232570350	232576046	3	5415	42349.1904	48	1
2_MACS_peak_4533_lociStitched	chr11	62210797	62219032	2	8199	42152.4945	49	1
1_MACS_peak_24153_lociStitched	chr6	31701912	31709299	1	7388	41837.7519	50	1
1_MACS_peak_4540_lociStitched	chr11	62305329	62315133	1	9805	41689.5492	51	1
8_MACS_peak_20365_lociStitched	chr3	171811230	171826942	8	15086	41309.9904	52	1
2_MACS_peak_11270_lociStitched	chr17	32712453	32721656	2	9191	40819.9065	53	1
3_MACS_peak_2446_lociStitched	chr1	203288212	203298453	3	10212	40414.0583	54	1
2_MACS_peak_13609_lociStitched	chr19	16475231	16484831	2	9594	39682.56	55	1
2_MACS_peak_13625_lociStitched	chr19	16694223	16701245	2	6984	39274.046	56	1
1_MACS_peak_28747_lociStitched	chr9	93795501	93800759	1	5259	38908.6742	57	1
3_MACS_peak_23799_lociStitched	chr6	11827056	11836879	3	9662	38773.3456	58	1
8_MACS_peak_23429_lociStitched	chr5	173310273	173327751	8	16717	38254.0986	59	1
1_MACS_peak_17255_lociStitched	chr20	30291937	30302098	1	10162	37895.4495	60	1
4_MACS_peak_28732_lociStitched	chr9	93698320	93708763	4	9862	37674.1668	61	1
3_MACS_peak_15494_lociStitched	chr2	70310799	70316961	3	6086	37657.8306	62	1
2_MACS_peak_1460_lociStitched	chr1	111173252	111182447	2	9185	37557.897	63	1
4_MACS_peak_12281_lociStitched	chr17	76710428	76722871	4	12226	37526.8437	64	1
2_MACS_peak_15690_lociStitched	chr2	89048977	89056908	2	7835	37103.5973	65	1
6_MACS_peak_1544_lociStitched	chr1	118147707	118162113	6	13606	36585.4776	66	1
1_MACS_peak_17310_lociStitched	chr20	32468127	32473878	1	5752	36391.1778	67	1
1_MACS_peak_9823_lociStitched	chr16	11773840	11785228	1	11389	36289.0008	68	1
1_MACS_peak_26250_lociStitched	chr7	98975496	98980029	1	4534	36277.1457	69	1
5_MACS_peak_17947_lociStitched	chr21	34600847	34613070	5	11352	35923.397	70	1
4_MACS_peak_9834_lociStitched	chr16	11826152	11837820	4	11165	35921.1048	71	1
3_MACS_peak_12212_lociStitched	chr17	75203459	75210802	3	7236	35891.1154	72	1
2_MACS_peak_26527_lociStitched	chr7	121943608	121951486	2	7869	35874.8364	73	1
2_MACS_peak_1762_lociStitched	chr1	150532217	150541762	2	9541	35871.0645	74	1
3_MACS_peak_12208_lociStitched	chr17	75135677	75145038	3	9089	35802.0806	75	1
3_MACS_peak_23807_lociStitched	chr6	12007088	12014065	3	6639	35604.3287	76	1
1_MACS_peak_25868_lociStitched	chr7	47513606	47522120	1	8515	35506.7856	77	1
2_MACS_peak_26632_lociStitched	chr7	130789464	130795893	2	6292	35437.2909	78	1
3_MACS_peak_24037_lociStitched	chr6	27857128	27864305	3	7061	35363.2321	79	1
5_MACS_peak_6156_lociStitched	chr12	57021674	57031395	5	8779	35363.0538	80	1
3_MACS_peak_23600_lociStitched	chr6	291072	298364	3	7065	35318.802	81	1
2_MACS_peak_3095_lociStitched	chr10	15826417	15838008	2	11556	35259.822	82	1
2_MACS_peak_12868_lociStitched	chr18	60821562	60830652	2	9026	34943.778	83	1
3_MACS_peak_11365_lociStitched	chr17	36856360	36863469	3	6981	34622.9627	84	1
5_MACS_peak_24002_lociStitched	chr6	27105699	27115979	5	9661	34564.444	85	1
2_MACS_peak_4935_lociStitched	chr11	72861643	72871005	2	9338	34244.3236	86	1
2_MACS_peak_2511_lociStitched	chr1	206728278	206738412	2	10109	34147.5264	87	1
2_MACS_peak_18330_lociStitched	chr22	23241753	23250487	2	8722	34060.8532	88	1
3_MACS_peak_28743_lociStitched	chr9	93731025	93738784	3	7255	33988.2995	89	1
1_MACS_peak_13474_lociStitched	chr19	12898878	12905676	1	6799	33961.4484	90	1
