REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM4_jia.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
5_MACS_peak_4226_lociStitched	chr17	43298930	43308933	5	9638	10781.2334	1	1	FMNL1	LOC100133991,C17orf46	FMNL1	1	1
5_MACS_peak_1948_lociStitched	chr11	65265625	65272862	5	6691	5909.7342	2	1	MALAT1	SCYL1	MALAT1	2	1
5_MACS_peak_4722_lociStitched	chr18	60823556	60830591	5	6486	6376.524	3	1	BCL2		BCL2	3	1
5_MACS_peak_1940_lociStitched	chr11	65188337	65195078	5	5796	6552.252	4	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	4	1
2_MACS_peak_4037_lociStitched	chr17	6915116	6920303	2	5173	8459.4783	5	1	RNASEK,C17orf49	ALOX12,BCL6B,SLC16A13,MIR195,MIR497,SLC16A11	C17orf49	5	1
6_MACS_peak_1117_lociStitched	chr1	234743410	234748508	6	4613	4004.9888	6	1	IRF2BP2	NCRNA00184	IRF2BP2	6	1
3_MACS_peak_5030_lociStitched	chr19	16434881	16439750	3	4580	5341.293	7	1	KLF2		KLF2	7	1
4_MACS_peak_4976_lociStitched	chr19	12900274	12905029	4	4429	4067.427	8	1	JUNB	BEST2,RNASEH2A,MAST1,HOOK2,PRDX2,RTBDN	JUNB	8	1
3_MACS_peak_4352_lociStitched	chr17	55432697	55437162	3	4408	4913.7325	9	1	MSI2		MSI2	9	1
4_MACS_peak_4990_lociStitched	chr19	13949748	13954162	4	4281	3769.1146	10	1		ZSWIM4,MIR181C,MIR181D,NANOS3,LOC284454,MIR24-2,MIR27A,MIR23A	MIR23A	10	1
2_MACS_peak_8940_lociStitched	chr6	32936286	32940857	2	4281	4164.181	11	1	BRD2	BRD2,HLA-DMB,HLA-DMA,HLA-DOA	BRD2	11	1
1_MACS_peak_10526_lociStitched	chr9	66455363	66459108	1	3746	3554.3795	12	1		LOC442421	LOC442421	12	1
2_MACS_peak_4140_lociStitched	chr17	27275751	27279527	2	3566	5675.7056	13	1	PHF12	DHRS13	PHF12	13	1
3_MACS_peak_10983_lociStitched	chrX	106957428	106961108	3	3532	4052.048	14	1	TSC22D3		TSC22D3	14	1
2_MACS_peak_4316_lociStitched	chr17	48942235	48945634	2	3248	5988.3582	15	1		WFIKKN2,TOB1	TOB1	15	1
5_MACS_peak_597_lociStitched	chr1	145437691	145441601	5	3224	2762.806	16	1	TXNIP	HFE2,ANKRD34A,LIX1L,POLR3GL	TXNIP	16	1
4_MACS_peak_1180_lociStitched	chr10	3824742	3828414	4	3155	3494.6424	17	1	KLF6		KLF6	17	1
