GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
ZBTB38	NM_001080412	chr3:141079120-141159727	1	1	2.7166
RASA2	NM_006506	chr3:141079120-141159727	1	1	0.1025
INPP4A	NM_004027	chr2:99054656-99132583	2	1	2.3236
BMP6	NM_001718	chr6:7877946-7919923	3	1	0.02560000000000001
MUTED-TXNDC5	NR_037616	chr6:7877946-7919923,chr6:7959957-7965593	3,842	1	1.8199
TXNDC5	NM_001145549	chr6:7877946-7919923,chr6:7959957-7965593	3,842	1	6.8302
FAM46C	NM_017709	chr1:118141804-118219329	4	1	4.6234
QPCT	NM_012413	chr2:37525831-37587954,chr2:37598510-37606577	5,221	1	3.5942
PRKD3	NM_005813	chr2:37525831-37587954	5	1	1.487
BTG2	NM_006763	chr1:203254914-203298088	6	1	3.0522
LOC730227	NR_034150	chr1:203254914-203298088	6	1	4.8374999999999995
FMOD	NM_002023	chr1:203254914-203298088	6	1	0.0
CKS1B	NR_024163	chr1:154907953-154957879,chr1:154970811-154979802	7,353	1	2.7157
MIR4258	NR_036212	chr1:154907953-154957879,chr1:154970811-154979802	7,353	1	3.2880000000000003
FLAD1	NM_201398	chr1:154907953-154957879,chr1:154970811-154979802	7,353	1	0.3045
PMVK	NM_006556	chr1:154907953-154957879	7	1	2.7216
PBXIP1	NM_020524	chr1:154907953-154957879,chr1:154970811-154979802	7,353	1	5.3924
PYGO2	NM_138300	chr1:154907953-154957879,chr1:154970811-154979802	7,353	1	5.0262
SHC1	NM_001130041	chr1:154907953-154957879,chr1:154970811-154979802	7,353	1	2.4315
LENEP	NM_018655	chr1:154907953-154957879,chr1:154970811-154979802	7,353	1	0.20670000000000002
ZBTB7B	NM_015872	chr1:154970811-154979802,chr1:154907953-154957879	7,353	1	2.0825
DCST1	NM_001143687	chr1:154907953-154957879,chr1:154970811-154979802	7,353	1	0.10090000000000002
DCST2	NM_144622	chr1:154907953-154957879,chr1:154970811-154979802	7,353	1	0.40490000000000004
FOXO3	NM_201559	chr6:108878216-108974516,chr6:108985725-108999007	8,335	1	1.9869
CCDC88C	NM_001080414	chr14:91812935-91885966,chr14:91781543-91802098	9,906	1	1.5394
DUSP22	NM_020185	chr6:290005-337869	10	1	2.9954
SNN	NM_003498	chr16:11765828-11843263	11	1	2.3276
TXNDC11	NM_015914	chr16:11765828-11843263	11	1	2.7882
ZC3H7A	NM_014153	chr16:11765828-11843263	11	1	0.2697
CELF2	NM_001025077	chr10:11202245-11224476,chr10:11278740-11313223	12,79	1	0.8938
BCL2L1	NM_001191	chr20:30261853-30312155	13	1	2.88
COX4I2	NM_032609	chr20:30261853-30312155	13	1	0.0
TPX2	NM_012112	chr20:30261853-30312155	13	1	0.0
NEAT1	NR_028272	chr11:65183309-65214535,chr11:65236085-65246289	14,695	1	11.1893
