GENE	CHROM	START	STOP	ENHANCER_ID
ARF1	chr1	228268892	228273068	3_MACS_peak_2700_lociStitched
ATF4	chr22	39914936	39917845	1_MACS_peak_18694_lociStitched
ATF5	chr19	50430761	50433717	1_MACS_peak_14585_lociStitched
BACH2	chr6	90992960	90996937	1_MACS_peak_24881_lociStitched
CAMTA1	chr1	6976957	6984472	2_MACS_peak_128_lociStitched
CEBPB	chr20	48806805	48810344	1_MACS_peak_17665_lociStitched
CREB3L2	chr7	137664415	137669050	1_MACS_peak_26995_lociStitched
DDIT3	chr12	57912973	57917682	2_MACS_peak_6583_lociStitched
E2F2	chr1	23850607	23858526	2_MACS_peak_339_lociStitched
E2F3	chr6	20401221	20405080	2_MACS_peak_24061_lociStitched
E2F6	chr2	11637202	11641964	2_MACS_peak_14903_lociStitched
E2F6	chr2	11644169	11648648	2_MACS_peak_14906_lociStitched
E4F1	chr16	2316829	2319241	1_MACS_peak_10289_lociStitched
EHF	chr11	34620290	34624696	1_MACS_peak_4739_lociStitched
ESRRA	chr11	64083725	64087415	1_MACS_peak_5014_lociStitched
ETV3	chr1	157101485	157109369	2_MACS_peak_1685_lociStitched
ETV3	chr1	157142798	157148724	2_MACS_peak_1688_lociStitched
FLI1	chr11	128587329	128598290	4_MACS_peak_5829_lociStitched
FOS	chr14	75743075	75746385	1_MACS_peak_8748_lociStitched
FOSL1	chr11	65624507	65629136	2_MACS_peak_5084_lociStitched
FOXO1	chr13	41235961	41240787	3_MACS_peak_7597_lociStitched
FOXO3	chr6	108878427	108886855	4_MACS_peak_25008_lociStitched
FOXP2	chr7	113724059	113727672	1_MACS_peak_26780_lociStitched
GFI1	chr1	92947961	92954199	1_MACS_peak_1137_lociStitched
GLI1	chr12	57845934	57850750	2_MACS_peak_6579_lociStitched
HES7	chr17	8053464	8060759	3_MACS_peak_11525_lociStitched
HIVEP2	chr6	143264607	143269291	1_MACS_peak_25333_lociStitched
HMX1	chr4	8819247	8823648	2_MACS_peak_20860_lociStitched
IKZF1	chr7	50343693	50352436	3_MACS_peak_26162_lociStitched
IKZF3	chr17	38017208	38024896	1_MACS_peak_11994_lociStitched
IRF2	chr4	185301762	185307966	2_MACS_peak_22212_lociStitched
IRF2	chr4	185392809	185397472	1_MACS_peak_22217_lociStitched
IRF2	chr4	185454319	185460785	1_MACS_peak_22218_lociStitched
IRF3	chr19	50178544	50182303	2_MACS_peak_14572_lociStitched
IRF4	chr6	389069	400596	1_MACS_peak_23826_lociStitched
JUN	chr1	59247242	59251546	1_MACS_peak_869_lociStitched
JUNB	chr19	12899145	12905792	1_MACS_peak_13875_lociStitched
JUND	chr19	18389859	18393998	2_MACS_peak_14035_lociStitched
KLF13	chr15	31554408	31560644	1_MACS_peak_9280_lociStitched
KLF13	chr15	31525975	31530110	1_MACS_peak_9277_lociStitched
KLF13	chr15	31616794	31621728	3_MACS_peak_9281_lociStitched
KLF2	chr19	16434142	16439761	2_MACS_peak_13972_lociStitched
KLF2	chr19	16474913	16479907	2_MACS_peak_13975_lociStitched
KLF6	chr10	3824137	3828589	2_MACS_peak_3005_lociStitched
KLF6	chr10	3663930	3670407	2_MACS_peak_2999_lociStitched
KLF9	chr9	73033152	73036446	1_MACS_peak_29005_lociStitched
LHX3	chr9	139130926	139137630	2_MACS_peak_29783_lociStitched
MAFB	chr20	38708398	38714070	2_MACS_peak_17498_lociStitched
MAX	chr14	65671460	65678804	2_MACS_peak_8569_lociStitched
MAZ	chr16	29815868	29820339	2_MACS_peak_10730_lociStitched
MEF2C	chr5	88175258	88187032	1_MACS_peak_22990_lociStitched
MEF2C	chr5	88564069	88569781	2_MACS_peak_23005_lociStitched
MEF2C	chr5	88365271	88371165	4_MACS_peak_22992_lociStitched
MEF2C	chr5	88595549	88600079	1_MACS_peak_23007_lociStitched
MEF2D	chr1	156457508	156479667	3_MACS_peak_1666_lociStitched
MEF2D	chr1	156425817	156427934	1_MACS_peak_1665_lociStitched
MNT	chr17	2302353	2305916	2_MACS_peak_11410_lociStitched
MNT	chr17	2295096	2297708	3_MACS_peak_11407_lociStitched
MYBL2	chr20	42308703	42312351	1_MACS_peak_17541_lociStitched
MYC	chr14	106161428	106168265	4_MACS_peak_9116_lociStitched
MYC	chr14	106326940	106330509	1_MACS_peak_9127_lociStitched
MYC	chr14	106146520	106153581	4_MACS_peak_9109_lociStitched
NFE2	chr12	54672705	54675651	1_MACS_peak_6514_lociStitched
NFE2L2	chr2	178127410	178130675	1_MACS_peak_16387_lociStitched
NFE2L3	chr7	26238864	26242718	1_MACS_peak_25894_lociStitched
NFIC	chr19	3364973	3368281	1_MACS_peak_13637_lociStitched
NFIL3	chr9	94181153	94189053	3_MACS_peak_29178_lociStitched
NR3C1	chr5	142781350	142785689	1_MACS_peak_23486_lociStitched
OLIG1	chr21	34447835	34453892	2_MACS_peak_18024_lociStitched
OLIG2	chr21	34447835	34453892	2_MACS_peak_18024_lociStitched
POU2F1	chr1	167188752	167192167	1_MACS_peak_1867_lociStitched
PRDM1	chr6	106531645	106556394	5_MACS_peak_24964_lociStitched
PRDM1	chr6	106610765	106618060	1_MACS_peak_24971_lociStitched
PRDM1	chr6	106588363	106595295	2_MACS_peak_24969_lociStitched
PRDM10	chr11	129871274	129874145	1_MACS_peak_5843_lociStitched
RARA	chr17	38473947	38483616	3_MACS_peak_12009_lociStitched
RARG	chr12	53591589	53601353	1_MACS_peak_6480_lociStitched
RFX1	chr19	14116386	14118409	1_MACS_peak_13916_lociStitched
RFX3	chr9	3524720	3527995	2_MACS_peak_28568_lociStitched
RUNX1	chr21	36416181	36424575	1_MACS_peak_18066_lociStitched
RUNX1	chr21	36257370	36262669	2_MACS_peak_18061_lociStitched
RUNX2	chr6	45673859	45683580	2_MACS_peak_24563_lociStitched
RUNX2	chr6	45386183	45394844	2_MACS_peak_24547_lociStitched
RUNX3	chr1	25347540	25351294	1_MACS_peak_385_lociStitched
SIN3A	chr15	75742633	75748823	3_MACS_peak_9878_lociStitched
SOX11	chr2	5835246	5842070	1_MACS_peak_14808_lociStitched
SP3	chr2	174827900	174831037	1_MACS_peak_16347_lociStitched
SREBF1	chr17	17738363	17744758	2_MACS_peak_11636_lociStitched
TBX2	chr17	59394544	59398026	1_MACS_peak_12394_lociStitched
TBX6	chr16	30074798	30078669	2_MACS_peak_10741_lociStitched
TGIF1	chr18	3447325	3451775	1_MACS_peak_12868_lociStitched
THAP1	chr8	42741394	42754431	5_MACS_peak_27660_lociStitched
THAP1	chr8	42709472	42715521	1_MACS_peak_27659_lociStitched
XBP1	chr22	29186083	29199672	1_MACS_peak_18466_lociStitched
