GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
IGLL5	NM_001178126	chr22:23221256-23298696,chr22:23189934-23210010	1,362	1	5.388599999999999
ZBTB38	NM_001080412	chr3:141079289-141133158	2	1	1.5209
GNG7	NM_052847	chr19:2594351-2638065	3	1	0.8542000000000001
FAM46C	NM_017709	chr1:118147752-118219052	4	1	2.1215
MUTED-TXNDC5	NR_037616	chr6:7888904-7921751,chr6:7959750-7978181	5,392	1	0.8802999999999999
TXNDC5	NM_001145549	chr6:7888904-7921751,chr6:7959750-7978181	5,392	1	3.2074000000000003
CLPTM1L	NM_030782	chr5:1310880-1320645,chr5:1335287-1346358	6,150	1	3.7568
TERT	NM_001193376	chr5:1310880-1320645,chr5:1335287-1346358	6,150	1	0.03069999999999999
TMEM121	NM_025268	chr14:106024730-106057615	7	1	0.1278
RASA3	NM_007368	chr13:114828899-114835159,chr13:114788903-114794801,chr13:114863417-114877638	8,154,384	1	1.0194999999999999
TNFRSF13B	NM_012452	chr17:16847846-16895580	9	1	1.0455
MYOM2	NM_003970	chr8:2027405-2050911,chr8:1990820-2000106	10,134	1	1.2162
DUSP22	NM_020185	chr6:290004-337957	11	1	1.3719999999999999
INPP4A	NM_004027	chr2:99060520-99107867	12	1	0.6315999999999999
MAP3K15	NM_001001671	chrX:19469959-19470962	13	1	0.5044
CHMP4B	NM_176812	chr20:32398532-32473757	14	1	0.7464000000000001
SLC2A11	NM_001024938	chr22:24178839-24200891	15	1	0.037000000000000005
DERL3	NM_001002862	chr22:24178839-24200891	15	1	1.1305
SMARCB1	NM_001007468	chr22:24178839-24200891	15	1	0.231
MIF	NM_002415	chr22:24178839-24200891	15	1	0.4421
CELF2	NM_001025077	chr10:11202849-11223676,chr10:11278859-11312919	16,114	1	0.3535
C21orf33	NM_198155	chr21:45552486-45581117	17	1	1.1981000000000002
PWP2	NM_005049	chr21:45552486-45581117	17	1	0.09319999999999998
NEAT1	NR_028272	chr11:65183467-65209402,chr11:65238164-65278803	18,36	1	5.4542
FRMD8	NM_031904	chr11:65183467-65209402	18	1	0.3732
MIR612	NR_030343	chr11:65183467-65209402,chr11:65238164-65278803	18,36	1	0.2774
SLC25A45	NM_001077241	chr11:65183467-65209402	18	1	0.4231
CKS1B	NR_024163	chr1:154907933-154957604	19	1	0.8449000000000001
MIR4258	NR_036212	chr1:154907933-154957604	19	1	0.9536000000000001
FLAD1	NM_201398	chr1:154907933-154957604	19	1	0.06280000000000002
PMVK	NM_006556	chr1:154907933-154957604	19	1	1.522
PBXIP1	NM_020524	chr1:154907933-154957604	19	1	1.2095000000000002
PYGO2	NM_138300	chr1:154907933-154957604	19	1	1.1464
SHC1	NM_001130041	chr1:154907933-154957604	19	1	0.9154
LENEP	NM_018655	chr1:154907933-154957604	19	1	0.0007999999999999952
ZBTB7B	NM_015872	chr1:154907933-154957604	19	1	0.4353
DCST1	NM_001143687	chr1:154907933-154957604	19	1	0.13860000000000003
DCST2	NM_144622	chr1:154907933-154957604	19	1	0.10380000000000003
QPCT	NM_012413	chr2:37531976-37584199,chr2:37601628-37622510	20,180	1	1.3016
PRKD3	NM_005813	chr2:37531976-37584199	20	1	0.3491
CCL4L1	NM_001001435	chr17:34597394-34641990,chr17:34508277-34544344	21,24	1	1.355
CCL3L1	NM_021006	chr17:34597394-34641990,chr17:34508277-34544344	21,24	1	2.7354
CCL3L3	NM_001001437	chr17:34597394-34641990,chr17:34508277-34544344	21,24	1	2.7362
TBC1D3C	NM_001001418	chr17:34597394-34641990,chr17:34508277-34544344	21,24	1	0.02589999999999998
ITGB7	NM_000889	chr12:53588036-53603898	23	1	2.9531
ZNF740	NM_001004304	chr12:53588036-53603898	23	1	0.18610000000000002
MFSD5	NM_001170790	chr12:53588036-53603898	23	1	0.1083
CSAD	NM_015989	chr12:53588036-53603898	23	1	0.0791
RARG	NM_001042728	chr12:53588036-53603898	23	1	0.8652000000000001
TBC1D3B	NM_001001417	chr17:34508277-34544344	24	1	0.06169999999999998
CROCC	NM_014675	chr1:17221233-17241655	25	1	0.0
PYGB	NM_002862	chr20:25261619-25301467	26	1	0.7527
ABHD12	NM_015600	chr20:25261619-25301467	26	1	0.6609
SELPLG	NM_003006	chr12:109009386-109035885	27	1	3.0582000000000003
TMEM119	NM_181724	chr12:109009386-109035885,chr12:108952797-108970322	27,116	1	0.059
SEMA4A	NM_001193301	chr1:156115287-156137032,chr1:156065250-156086231	28,316	1	1.8893999999999997
LMNA	NM_005572	chr1:156065250-156086231,chr1:156115287-156137032	28,316	1	0.28180000000000005
SLC25A44	NM_014655	chr1:156115287-156137032	28	1	0.235
PMF1	NM_007221	chr1:156115287-156137032	28	1	0.4359
PRKRIP1	NM_024653	chr7:102063762-102093103	29	1	0.7952
ORAI2	NM_032831	chr7:102063762-102093103	29	1	1.2471
LRWD1	NM_152892	chr7:102063762-102093103	29	1	0.15269999999999997
ALKBH4	NM_017621	chr7:102063762-102093103	29	1	0.32839999999999997
POLR2J	NM_006234	chr7:102063762-102093103	29	1	0.04429999999999998
BTG2	NM_006763	chr1:203241548-203277855,chr1:203288213-203298125	30,143	1	1.0333999999999999
LOC730227	NR_034150	chr1:203241548-203277855,chr1:203288213-203298125	30,143	1	1.9583000000000002
CHIT1	NM_003465	chr1:203241548-203277855	30	1	0.019699999999999995
FMOD	NM_002023	chr1:203241548-203277855,chr1:203288213-203298125	30,143	1	0.005699999999999983
SMNDC1	NM_005871	chr10:112103978-112120037	31	1	0.0721
CCDC88C	NM_001080414	chr14:91815025-91885554	32	1	0.48360000000000003
XBP1	NM_001079539	chr22:29186020-29221401	33	1	2.7894
HSCB	NM_172002	chr22:29186020-29221401	33	1	0.11550000000000002
CCDC117	NM_173510	chr22:29186020-29221401	33	1	0.48129999999999995
CHEK2	NM_007194	chr22:29186020-29221401	33	1	0.0
REPIN1	NM_013400	chr7:150054177-150084837,chr7:150100720-150113895	34,165	1	2.8179
ZNF775	NM_173680	chr7:150054177-150084837,chr7:150100720-150113895	34,165	1	1.2009
LRRC61	NM_001142928	chr7:150054177-150084837	34	1	0.3261
C7orf29	NM_138434	chr7:150054177-150084837	34	1	0.0
LOC728743	NR_027237	chr7:150100720-150113895,chr7:150054177-150084837	34,165	1	1.7081000000000002
LOC285972	NR_034033	chr7:150054177-150084837,chr7:150100720-150113895	34,165	1	0.5305
ACTR3C	NM_001164458	chr7:150054177-150084837	34	1	0.07370000000000002
RARRES2	NM_002889	chr7:150054177-150084837	34	1	0.0
BCL2L1	NM_001191	chr20:30262457-30312225	35	1	0.9843
COX4I2	NM_032609	chr20:30262457-30312225	35	1	0.0
TPX2	NM_012112	chr20:30262457-30312225	35	1	0.0
MALAT1	NR_002819	chr11:65238164-65278803	36	1	2.1814
SCYL1	NM_001048218	chr11:65238164-65278803,chr11:65336334-65356974	36,475	1	0.1505
LTBP3	NM_021070	chr11:65238164-65278803,chr11:65336334-65356974	36,475	1	0.17660000000000003
IZUMO4	NM_001039846	chr19:2081450-2098310,chr19:2031641-2062720	37,435	1	0.9926
