GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
ZBTB38	NM_001080412	chr3:141078882-141164546	1	1	2.2337
RASA2	NM_006506	chr3:141078882-141164546	1	1	0.1959
INPP4A	NM_004027	chr2:99053010-99135819	2	1	1.5627
UAP1	NM_003115	chr1:162529903-162584181	3	1	5.2665
DDR2	NM_006182	chr1:162529903-162584181	3	1	0.185
ERN1	NM_001433	chr17:62133099-62210706	4	1	2.1384
SNORD104	NR_004380	chr17:62133099-62210706	4	1	1.0712
SNORA76	NR_002995	chr17:62133099-62210706	4	1	1.0818
ICAM2	NM_000873	chr17:62133099-62210706	4	1	0.0767
ST3GAL6	NM_006100	chr3:98448030-98511346	5	1	3.1691
BMP6	NM_001718	chr6:7878325-7921702	6	1	0.1496
MUTED-TXNDC5	NR_037616	chr6:7878325-7921702,chr6:7958385-7968037	6,564	1	1.7676
TXNDC5	NM_001145549	chr6:7878325-7921702,chr6:7958385-7968037	6,564	1	6.1727
FAM46C	NM_017709	chr1:118147672-118218918	7	1	2.3856
MEF2D	NM_005920	chr1:156441145-156480251	8	1	5.6848
C1orf61	NM_006365	chr1:156441145-156480251	8	1	0.1461
RUNX2	NM_001024630	chr6:45381213-45445766,chr6:45506022-45530435	9,174	1	1.0923
SUPT3H	NM_003599	chr6:45162228-45171881,chr6:45381213-45445766	9,771	1	0.1624
CCDC88C	NM_001080414	chr14:91812631-91885839,chr14:91782037-91802384	10,297	1	1.2425
BTG2	NM_006763	chr1:203236322-203298469	12	1	3.7772
LOC730227	NR_034150	chr1:203236322-203298469	12	1	4.0499
CHIT1	NM_003465	chr1:203236322-203298469	12	1	0.059
FMOD	NM_002023	chr1:203236322-203298469	12	1	0.1218
CKS1B	NR_024163	chr1:154907463-154957603,chr1:154969641-154980094	13,115	1	4.2097
MIR4258	NR_036212	chr1:154907463-154957603,chr1:154969641-154980094	13,115	1	4.2598
FLAD1	NM_201398	chr1:154907463-154957603,chr1:154969641-154980094	13,115	1	0.5888
PMVK	NM_006556	chr1:154907463-154957603,chr1:154820564-154864610	13,65	1	2.7181
PBXIP1	NM_020524	chr1:154907463-154957603,chr1:154969641-154980094	13,115	1	3.151
PYGO2	NM_138300	chr1:154907463-154957603,chr1:154969641-154980094	13,115	1	2.5895
SHC1	NM_001130041	chr1:154907463-154957603,chr1:154969641-154980094	13,115	1	3.9002
LENEP	NM_018655	chr1:154907463-154957603,chr1:154969641-154980094	13,115	1	0.7672
ZBTB7B	NM_015872	chr1:154969641-154980094,chr1:154907463-154957603	13,115	1	4.1013
DCST1	NM_001143687	chr1:154907463-154957603,chr1:154969641-154980094	13,115	1	0.6344
DCST2	NM_144622	chr1:154907463-154957603,chr1:154969641-154980094	13,115	1	0.1968
DUSP22	NM_020185	chr6:290981-337956	14	1	2.5563
UTP3	NM_020368	chr4:71513338-71558576	15	1	0.9989
IGJ	NM_144646	chr4:71513338-71558576	15	1	3.9781
ENAM	NM_031889	chr4:71513338-71558576	15	1	0.3046
RUFY3	NM_001130709	chr4:71513338-71558576	15	1	0.2808
ELF1	NM_001145353	chr13:41537963-41594703	16	1	0.507
WBP4	NM_007187	chr13:41537963-41594703	16	1	0.3619
SUGT1P3	NR_003365	chr13:41537963-41594703	16	1	0.0691
UFC1	NM_016406	chr1:161122617-161164068	17	1	1.8957
