REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X29_0F2F_0229Kronos_MM1S.KB.24hr.1_H3K27me3_hs.dm_i17.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
26_MACS_peak_15060_lociStitched	chr17	77074412	77298069	26	216178	341166.3878	17959.6571	1	ENGASE,RBFOX3	C1QTNF1	ENGASE	C1QTNF1	1.2796	1	1
21_MACS_peak_23287_lociStitched	chr21	44032309	44231057	21	193806	358183.6456	26294.3604	2	PDE9A		PDE9A	PDE9A	1.7681	2	1
16_MACS_peak_1659_lociStitched	chr1	10700043	10904008	16	201097	319633.5515	17826.541	3	CASZ1		CASZ1	CASZ1	1.4663	3	1
11_MACS_peak_15822_lociStitched	chr19	1668952	1812376	11	139994	306497.088	19319.2128	4	ONECUT3,ATP8B3	LOC100288123,TCF3,MIR1909,REXO1	ONECUT3	ONECUT3	2.0707999999999998	4	1
15_MACS_peak_16074_lociStitched	chr19	3798329	3953549	15	152570	265550.376	19200.714	5	ATCAY,ITGB1BP3,MATK,ZFR2	MRPL54,APBA3,RAX2,MATK,MIR637,DAPK3,SNORD37,EEF2	ATCAY	ATCAY	1.2832000000000001	5	1
23_MACS_peak_15395_lociStitched	chr17	79316643	79473430	23	151468	248570.1098	13248.5015	6	BAHCC1,MIR3186	FSCN2,SLC38A10,C17orf55,TMEM105,ACTG1,C17orf70	BAHCC1	BAHCC1	1.6139	6	1
14_MACS_peak_33974_lociStitched	chr9	139477336	139615599	14	136084	243273.7485	11254.6082	7	EGFL7,MIR126,FAM69B,AGPAT2	LOC100128593,NOTCH1,SNORA43,SNORA17,SNHG7,LCN10,LCN6,LCN8,LCN15	EGFL7	EGFL7	1.8353000000000002	7	1
29_MACS_peak_32774_lociStitched	chr9	132404988	132559080	29	146340	204433.8564	14053.1904	8	PRRX2,PTGES	METTL11A,TOR1B,USP20,C9orf50,ASB6,TOR1A,C9orf78	PTGES	PTGES	1.3432	8	1
6_MACS_peak_15376_lociStitched	chr17	78996811	79111660	6	112673	220360.7763	9693.2556	9	BAIAP2,MIR3065,FLJ90757,AATK,MIR657,MIR338,MIR1250	CHMP6,LOC388428	MIR657	LOC388428	1.5394999999999999	9	1
20_MACS_peak_24628_lociStitched	chr22	37711692	37846769	20	129830	194970.1418	12305.5147	10	ELFN2	CYTH4,MFNG	ELFN2	ELFN2	1.3529	10	1
14_MACS_peak_15763_lociStitched	chr19	681206	794476	14	109212	204463.677	13343.206	11	FSTL3,PALM,C19orf21,PRSSL1	FGF22,PTBP1,MIR3187,AZU1,PRTN3,POLRMT,RNF126,LPPR3	C19orf21	PRTN3	1.8446	11	1
33_MACS_peak_153_lociStitched	chr1	1914207	2044853	33	124824	165450.0944	10294.9048	12	GABRD,PRKCZ,KIAA1751		PRKCZ	PRKCZ	0.9574000000000001	12	1
27_MACS_peak_6334_lociStitched	chr11	1591811	1714620	27	115675	178490.6006	11912.473	13	LOC338651,KRTAP5-5,FAM99A,MOB2,DUSP8,KRTAP5-1,KRTAP5-2,KRTAP5-3,KRTAP5-4,FAM99B	KRTAP5-6	KRTAP5-5	KRTAP5-5	1.5866	13	1
18_MACS_peak_33053_lociStitched	chr9	134995335	135116579	18	116375	174288.25	11215.07	14	NTNG2	MED27	NTNG2	NTNG2	1.3531	14	1
8_MACS_peak_27597_lociStitched	chr4	9211654	9274638	8	62495	221961.9144	19676.2016	15	USP17		USP17	USP17	3.2122	15	1
19_MACS_peak_12532_lociStitched	chr17	1041222	1148820	19	102833	159535.5546	9974.3346	16	ABR	BHLHA9,TUSC5,ABR	ABR	TUSC5	1.1397	16	1
4_MACS_peak_23555_lociStitched	chr21	46708574	46794503	4	85350	182736.6114	11557.4505	17	LOC642852	COL18A1,POFUT2	LOC642852	COL18A1	1.5922	17	1
20_MACS_peak_15104_lociStitched	chr17	77348059	77455849	20	103612	147090.234	9496.299	18	RBFOX3		RBFOX3	RBFOX3	1.2745	18	1
2_MACS_peak_16748_lociStitched	chr19	8850998	8900910	2	49604	213144.2048	23124.2296	19		OR2Z1,ACTL9,ZNF558	OR2Z1	ACTL9	0.3231	19	1
8_MACS_peak_22794_lociStitched	chr20	60985126	61072501	8	86616	159468.1125	7024.95	20	C20orf151,GATA5	RPS21,LAMA5,CABLES2	GATA5	GATA5	1.7698	20	1
17_MACS_peak_10686_lociStitched	chr16	1249341	1341214	17	89348	152601.053	7349.84	21	CACNA1H,TPSAB1,TPSD1,TPSG1,TPSB2	UBE2I,BAIAP3	TPSAB1	TPSAB1	1.4303	21	1
15_MACS_peak_491_lociStitched	chr1	3394486	3488304	15	90458	146149.6804	7336.5676	22	ARHGEF16,MEGF6,MIR551A		MIR551A	MIR551A	1.5168	22	1
12_MACS_peak_14074_lociStitched	chr17	47936879	48031747	12	92571	141998.4224	8908.1052	23		DLX4,TAC4,DLX3	TAC4	DLX4	1.7291	23	1
5_MACS_peak_6413_lociStitched	chr11	1982102	2064718	5	82323	151955.6088	7162.8072	24	LOC100133545,H19,MIR675	TNNT3,MRPL23	H19	H19	2.0573	24	1
21_MACS_peak_12502_lociStitched	chr17	782538	882357	21	96632	122977.008	8664.2892	25	NXN	TIMM22,MIR3183	NXN	NXN	1.1531	25	1
18_MACS_peak_15263_lociStitched	chr17	77900052	77995436	18	90336	130084.6992	8584.56	26	TBC1D16	CCDC40	TBC1D16	TBC1D16	1.2217	26	1
22_MACS_peak_28543_lociStitched	chr6	31990999	32077865	22	81051	141218.0562	8877.7052	27	C4B,C4A,CYP21A2,TNXB	STK19,PPT2,TNXA,ATF6B,FKBPL,PRRT1,LOC100507547	TNXB	TNXA	1.9307999999999998	27	1
12_MACS_peak_25467_lociStitched	chr22	46288108	46374772	12	84692	131867.9424	7288.4424	28	WNT7B	LOC730668	WNT7B	WNT7B	1.4215	28	1
6_MACS_peak_16128_lociStitched	chr19	4557677	4635255	6	76843	143309.8394	10744.553	29	SEMA6B	TNFAIP8L1,PLIN4,PLIN5,LRG1,C19orf10	SEMA6B	PLIN5	1.9399000000000002	29	1
8_MACS_peak_31558_lociStitched	chr8	142012565	142093603	8	79149	137091.9846	9878.5322	30		DENND3,PTK2	PTK2	PTK2	0.1061	30	1
2_MACS_peak_15797_lociStitched	chr19	1282705	1345203	2	62044	154420.0584	7568.5078	31	EFNA2	ATP5D,MIDN,CIRBP,C19orf24,MUM1,NDUFS7,C19orf26,C19orf23	EFNA2	EFNA2	2.6202	31	1
9_MACS_peak_23497_lociStitched	chr21	46404209	46480194	9	73383	143360.8995	9672.8905	32	NCRNA00163,NCRNA00162	C21orf70,ADARB1,C21orf67,C21orf122	NCRNA00162	NCRNA00162	1.9849999999999999	32	1
8_MACS_peak_32973_lociStitched	chr9	133835373	133919464	8	82114	126422.4094	7627.0537	33	LAMC3	FIBCD1	LAMC3	FIBCD1	1.8206	33	1
16_MACS_peak_23407_lociStitched	chr21	45876191	45961304	16	81780	129431.3391	10485.9216	34	LRRC3,C21orf90,C21orf29,KRTAP10-1	KRTAP10-4,KRTAP10-2,KRTAP10-3,KRTAP10-5	C21orf90	C21orf90	1.3378999999999999	34	1
18_MACS_peak_33293_lociStitched	chr9	136344535	136427358	18	79638	116647.9132	6600.9931	35	ADAMTSL2,TMEM8C	C9orf7,SLC2A6,FAM163B	TMEM8C	FAM163B	1.3644	35	1
6_MACS_peak_19510_lociStitched	chr19	48404352	48471539	6	64927	150754.1906	20720.4708	36	SNAR-A13,SNAR-C5,SNAR-A2,SNAR-A7,SNAR-C2,SNAR-C4,SNAR-C3,BSPH1	SNAR-A12,SNAR-C1,ELSPBP1,SULT2A1	SNAR-C4	SNAR-C4	1.8125000000000002	36	1
10_MACS_peak_27605_lociStitched	chr4	9324610	9370989	10	46011	161060.3533	13528.7543	37	USP17,USP17L6P		USP17L6P	USP17L6P	1.9425	37	1
19_MACS_peak_8487_lociStitched	chr12	3321574	3409063	19	82652	109667.4615	7786.521	38	TSPAN9		TSPAN9	TSPAN9	0.8646	38	1
4_MACS_peak_22808_lociStitched	chr20	61141407	61213402	4	70944	123665.8115	5334.8295	39	C20orf166,MIR1-1,MIR133A2,C20orf200		MIR133A2	MIR133A2	1.7333	39	1
8_MACS_peak_8920_lociStitched	chr12	54337320	54411904	8	73360	121460.044	7309.232	40	HOXC13,HOXC12,HOXC11,HOXC10,MIR196A2,HOXC9,HOXC8,HOXC6,HOXC5,HOXC4,HOTAIR	HOXC6,HOXC5,MIR615,HOXC4,FLJ12825	HOXC10	MIR615	1.6529999999999998	40	1
1_MACS_peak_2009_lociStitched	chr1	17011981	17067214	1	55234	149493.6378	14183.8344	41	ESPNP	MST1P2,MST1P9	ESPNP	ESPNP	2.7625	41	1
15_MACS_peak_14120_lociStitched	chr17	48634130	48714591	15	76237	112460.3397	7659.8872	42	CACNA1G,ABCC3	MYCBPAP,EPN3,SPATA20	CACNA1G	CACNA1G	1.3	42	1
4_MACS_peak_23493_lociStitched	chr21	46300807	46359797	4	58880	136255.102	8093.428	43	ITGB2,C21orf67	C21orf70,PTTG1IP	ITGB2	ITGB2	2.2302	43	1
9_MACS_peak_16022_lociStitched	chr19	3360425	3435084	9	73994	115236.1665	8914.2846	44	NFIC	C19orf77	NFIC	NFIC	1.359	44	1
26_MACS_peak_33090_lociStitched	chr9	135314374	135401955	26	81604	97863.0094	8110.0006	45	C9orf171	TTF1	C9orf171	C9orf171	0.8529	45	1
13_MACS_peak_23050_lociStitched	chr20	62790237	62866233	13	73383	109046.6604	6748.4448	46	MYT1	PCMTD2	MYT1	MYT1	1.313	46	1
14_MACS_peak_6440_lociStitched	chr11	2148950	2223108	14	71160	103205.6886	5858.482	47	IGF2AS,IGF2,INS-IGF2,MIR483,INS,TH		INS-IGF2	INS-IGF2	1.1654	47	1
11_MACS_peak_12597_lociStitched	chr17	1828828	1901071	11	71064	103538.6676	6436.8513	48	RTN4RL1	DPH1,OVCA2	RTN4RL1	RTN4RL1	1.3151	48	1
16_MACS_peak_33335_lociStitched	chr9	136534539	136610971	16	72652	100179.4224	6053.4144	49	SARDH	DBH	SARDH	DBH	1.2735	49	1
9_MACS_peak_6784_lociStitched	chr11	61441089	61514122	9	71017	103619.2204	6675.2162	50	DAGLA	C11orf9,FEN1,DKFZP434K028,MIR611,C11orf10	DAGLA	DKFZP434K028	1.3707	50	1
8_MACS_peak_6379_lociStitched	chr11	1787038	1859973	8	70919	103385.3625	6476.628	51	SYT8	TNNI2,LSP1,LOC402778,CTSD,MOB2,MIR4298	SYT8	SYT8	1.3251	51	1
3_MACS_peak_23565_lociStitched	chr21	46858031	46920069	3	61774	116432.9184	7698.9158	52	COL18A1	NCRNA00175,SLC19A1	COL18A1	NCRNA00175	2.3989000000000003	52	1
15_MACS_peak_32805_lociStitched	chr9	132910967	132983273	15	69899	101806.848	6348.4668	53	NCS1		NCS1	NCS1	1.2369999999999999	53	1
15_MACS_peak_17786_lociStitched	chr19	18059401	18132400	15	68990	102986.9892	6555.3102	54	KCNN1,ARRDC2	CCDC124	ARRDC2	ARRDC2	1.1594	54	1
25_MACS_peak_6751_lociStitched	chr11	61337328	61417871	25	75174	89974.5853	7498.5533	55	RPLP0P2,SYT7	DAGLA	RPLP0P2	DAGLA	1.3169	55	1
27_MACS_peak_15281_lociStitched	chr17	77998959	78076383	27	70862	94914.0816	6759.1152	56	CCDC40,GAA,TBC1D16	EIF4A3	CCDC40	CCDC40	1.1112	56	1
19_MACS_peak_15016_lociStitched	chr17	76550709	76627323	19	71675	92396.484	6994.8582	57	DNAH17		DNAH17	DNAH17	0.8832000000000001	57	1
27_MACS_peak_10606_lociStitched	chr16	916389	993736	27	69425	92507.012	6218.6988	58	LMF1	SOX8	LMF1	SOX8	1.4581	58	1
12_MACS_peak_23207_lociStitched	chr21	43129660	43198413	12	65600	101761.3153	9089.1466	59	NCRNA00112,C21orf129,RIPK4	NCRNA00111	RIPK4	RIPK4	1.3855	59	1
21_MACS_peak_31968_lociStitched	chr8	143630613	143708302	21	71391	87415.6628	6005.3597	60	ARC	PSCA,JRK	ARC	ARC	0.9611000000000001	60	1
8_MACS_peak_428_lociStitched	chr1	3099642	3169118	8	68530	90575.8612	4640.9968	61	PRDM16		MIR4251	MIR4251	1.1162999999999998	61	1
19_MACS_peak_27480_lociStitched	chr4	8586550	8660216	19	70164	87456.2752	5495.4836	62	GPR78,CPZ		CPZ	CPZ	1.2539	62	1
6_MACS_peak_32964_lociStitched	chr9	133769575	133829066	6	58794	102705.2624	5074.5823	63	FIBCD1	QRFP	FIBCD1	FIBCD1	1.8206	63	1
17_MACS_peak_24764_lociStitched	chr22	40036256	40107248	17	66143	90614.1888	6034.32	64	CACNA1I		CACNA1I	CACNA1I	0.9632	64	1
9_MACS_peak_1047_lociStitched	chr1	6470625	6530859	9	58220	101861.7174	5415.0366	65	ESPN,HES2,MIR4252,TNFRSF25,PLEKHG5	ACOT7	MIR4252	MIR4252	1.8314000000000001	65	1
12_MACS_peak_71_lociStitched	chr1	1088861	1149934	12	58731	97722.9073	4672.0845	66	MIR200B,MIR200A,MIR429,TTLL10,TNFRSF18,TNFRSF4	B3GALT6,C1orf159,SDF4,FAM132A	TTLL10	TTLL10	1.4595	66	1
13_MACS_peak_469_lociStitched	chr1	3296781	3364326	13	64270	88328.5965	4505.2515	67	PRDM16	ARHGEF16	ARHGEF16	ARHGEF16	1.1562	67	1
13_MACS_peak_33885_lociStitched	chr9	138625485	138690992	13	61640	92646.5501	4467.5774	68	KCNT1	SOHLH1	KCNT1	SOHLH1	1.2796999999999998	68	1
19_MACS_peak_3006_lociStitched	chr1	22542473	22613471	19	66364	85112.4024	6538.9158	69			WNT4	WNT4	NONE	69	1
24_MACS_peak_16199_lociStitched	chr19	5293601	5365189	24	65726	86421.0336	8218.3024	70	PTPRS		PTPRS	PTPRS	1.041	70	1
9_MACS_peak_228_lociStitched	chr1	2347366	2411425	9	61939	89106.069	4554.5949	71	PLCH2	RER1,MORN1,PEX10,PANK4	PLCH2	MORN1	1.3140999999999998	71	1
16_MACS_peak_33918_lociStitched	chr9	138932400	138998436	16	61508	87524.1144	4285.7364	72	NACC2	C9orf69	NACC2	NACC2	1.1405	72	1
12_MACS_peak_1676_lociStitched	chr1	10914134	10979169	12	63142	85716.13	5892.171	73			CASZ1	CASZ1	1.4663	73	1
11_MACS_peak_10669_lociStitched	chr16	1142452	1202386	11	57470	92514.1224	4542.9972	74	C1QTNF8	SSTR5,CACNA1H,LOC146336	C1QTNF8	CACNA1H	1.5001	74	1
8_MACS_peak_26662_lociStitched	chr4	1751863	1808646	8	54281	97093.2517	4764.0937	75	FGFR3	TACC3,SLBP,TMEM129,LETM1	FGFR3	FGFR3	1.0061	75	1
13_MACS_peak_25053_lociStitched	chr22	44657358	44724354	13	63372	82585.9692	5259.186	76	KIAA1644		KIAA1644	KIAA1644	0.9679000000000001	76	1
34_MACS_peak_1271_lociStitched	chr1	7477926	7552680	34	66741	74215.7712	5434.6158	77	CAMTA1		VAMP3	VAMP3	NONE	77	1
6_MACS_peak_23760_lociStitched	chr22	19705622	19763017	6	55674	92176.37	4826.9195	78	SEPT5-GP1BB,SEPT5,GP1BB,TBX1		TBX1	TBX1	1.2649	78	1
13_MACS_peak_16312_lociStitched	chr19	5827980	5891112	13	61537	84666.3252	8383.9296	79	NRTN,FUT6,FUT3,FUT5	VMAC,CAPS,PRR22,DUS3L,NDUFA11	FUT3	FUT3	1.2407	79	1
22_MACS_peak_26235_lociStitched	chr3	50445298	50515501	22	64380	77026.7316	6592.0617	80	CACNA2D2	TMEM115	CACNA2D2	CACNA2D2	0.8958	80	1
7_MACS_peak_16103_lociStitched	chr19	4183720	4242125	7	57127	91765.936	8036.528	81	ANKRD24,EBI3	CREB3L3,CCDC94,SHD,SIRT6	EBI3	CREB3L3	1.5773000000000001	81	1
7_MACS_peak_22818_lociStitched	chr20	61316596	61372450	7	54952	91075.5324	4775.517	82	NTSR1	SLCO4A1,LOC100127888	NTSR1	NTSR1	1.4534	82	1
7_MACS_peak_22937_lociStitched	chr20	62065299	62122934	7	55707	89144.0545	4512.8205	83	KCNQ2,EEF1A2	PPDPF,PTK6	KCNQ2	KCNQ2	1.4224	83	1
21_MACS_peak_3160_lociStitched	chr1	23147237	23215960	21	63203	76474.9544	6384.3667	84	EPHB2,MIR4253		MIR4253	MIR4253	0.9056	84	1
5_MACS_peak_22904_lociStitched	chr20	61850004	61901561	5	51168	92890.2469	4299.8538	85	BIRC7,MIR3196,FLJ16779,NKAIN4	MIR124-3,ARFGAP1,MIR4326,COL20A1,YTHDF1	MIR3196	MIR3196	1.6357	85	1
7_MACS_peak_35_lociStitched	chr1	829524	879121	7	47756	97160.523	4642.2792	86	SAMD11,FLJ39609	KLHL17,PLEKHN1,FAM41C,NOC2L,C1orf170	FLJ39609	FLJ39609	2.1388000000000003	86	1
1_MACS_peak_19835_lociStitched	chr19	50594105	50643169	1	49065	104565.1968	14370.8456	87	SNAR-A6,SNAR-A4,SNAR-A8,SNAR-A11,SNAR-A14,SNAR-B1,SNAR-B2	FLJ26850,SNAR-D,IZUMO2	SNAR-B1	SNAR-B1	2.1067	87	1
22_MACS_peak_7449_lociStitched	chr11	69970494	70036994	22	59945	77073.5	5213.6	88	ANO1	FADD	FADD	FADD	0.19870000000000002	88	1
14_MACS_peak_1954_lociStitched	chr1	16426839	16489589	14	57704	80746.7	5691.425	89	EPHA2	FAM131C,ARHGEF19	EPHA2	EPHA2	1.2443	89	1
16_MACS_peak_2176_lociStitched	chr1	17917113	17978335	16	59766	73815.3654	5265.092	90	ARHGEF10L		ARHGEF10L	ARHGEF10L	0.9916	90	1
