GENE_ID	locusLine	bin_1_42_0EXU_0229Kronos_MM1S-KB-6hr-2_Input_hs_i86.bam
1_MACS_peak_1_lociStitched	chr1(.):9861-10717	0.7038
1_MACS_peak_2_lociStitched	chr1(.):28192-30272	0.2287
1_MACS_peak_3_lociStitched	chr1(.):713066-715232	0.2482
1_MACS_peak_4_lociStitched	chr1(.):761769-763847	0.2166
1_MACS_peak_5_lociStitched	chr1(.):793169-794488	0.1995
1_MACS_peak_6_lociStitched	chr1(.):879250-881177	0.1326
3_MACS_peak_7_lociStitched	chr1(.):893694-902720	0.1018
1_MACS_peak_10_lociStitched	chr1(.):948141-949567	0.2375
1_MACS_peak_11_lociStitched	chr1(.):998951-1000106	0.1446
1_MACS_peak_12_lociStitched	chr1(.):1051069-1052459	0.1137
1_MACS_peak_13_lociStitched	chr1(.):1092787-1094159	0.0887
1_MACS_peak_14_lociStitched	chr1(.):1166087-1167825	0.0939
1_MACS_peak_15_lociStitched	chr1(.):1185090-1185926	0.0797
1_MACS_peak_16_lociStitched	chr1(.):1207780-1210362	0.1489
1_MACS_peak_17_lociStitched	chr1(.):1242244-1245173	0.1098
1_MACS_peak_18_lociStitched	chr1(.):1259333-1261765	0.1183
1_MACS_peak_19_lociStitched	chr1(.):1283616-1285556	0.0793
1_MACS_peak_20_lociStitched	chr1(.):1309427-1311658	0.2123
2_MACS_peak_21_lociStitched	chr1(.):1333549-1343710	0.1505
1_MACS_peak_23_lociStitched	chr1(.):1396718-1398743	0.189
1_MACS_peak_24_lociStitched	chr1(.):1405837-1408572	0.1696
2_MACS_peak_25_lociStitched	chr1(.):1439623-1448958	0.1486
1_MACS_peak_27_lociStitched	chr1(.):1509077-1511093	0.1535
2_MACS_peak_28_lociStitched	chr1(.):1545139-1552363	0.1554
1_MACS_peak_30_lociStitched	chr1(.):1589362-1591711	0.2003
2_MACS_peak_31_lociStitched	chr1(.):1606272-1611088	0.1742
1_MACS_peak_33_lociStitched	chr1(.):1622629-1625680	0.1704
1_MACS_peak_34_lociStitched	chr1(.):1654635-1657000	0.1566
2_MACS_peak_35_lociStitched	chr1(.):1668816-1678989	0.1739
1_MACS_peak_37_lociStitched	chr1(.):1708334-1715197	0.1986
