GENE_ID	locusLine	bin_1_15_0EX1_0229Kronos_MM1S-KB-3hr-1_H3K27Ac_hs-dm_i25.bam
NM_001006605	chr1(.):93302720-93432079	0.3054
NM_001010935	chr1(.):112157404-112261101	0.1089
NM_201569	chr1(.):183436505-183528328	0.4987
NM_004091	chr1(.):23827921-23862713	2.1096
NM_173065	chr1(.):24475646-24518751	1.6914
NM_002379	chr1(.):31179123-31201432	0.2042
NR_034182	chr1(.):31186618-31204593	0.2424
NM_002600	chr1(.):66253855-66845262	0.2295
NM_001037341	chr1(.):66253192-66845262	0.2293
NM_001037340	chr1(.):66453389-66845262	0.3174
NM_001081976	chr1(.):112020969-112111597	0.1355
NM_153713	chr1(.):145472084-145504091	0.2177
NM_207168	chr1(.):150594521-150607098	1.2365
NM_020699	chr1(.):153772202-153900451	0.2059
NM_020524	chr1(.):154911558-154933567	4.5198
NM_181359	chr1(.):154372668-154445188	1.3701
NM_005572	chr1(.):156079460-156112657	0.307
NM_005973	chr1(.):156732273-156775609	0.4858
NM_012394	chr1(.):161065345-161092866	0.4933
NM_144977	chr1(.):197516384-197749623	0.2959
NM_001195215	chr1(.):197468878-197749623	0.2606
NM_182663	chr1(.):206675878-206767616	0.9466
NM_002221	chr1(.):226814390-226931876	0.9527
NM_014675	chr1(.):17243444-17304474	0.1088
NM_017707	chr1(.):23750055-23815750	0.0599
NM_002167	chr1(.):23879408-23891322	0.4663
NM_021258	chr1(.):24441260-24474611	0.1163
NR_027087	chr1(.):24521729-24543180	0.5844
NM_006015	chr1(.):27017521-27113601	0.8585
NM_006762	chr1(.):31200314-31235683	3.0203
NM_001198979	chr1(.):40854016-40893998	0.2005
NM_001198978	chr1(.):40835304-40893998	0.6534
NM_001198980	chr1(.):40857471-40893998	0.1076
NM_022733	chr1(.):40834377-40893998	0.6436
NM_001037339	chr1(.):66792792-66845262	0.7887
NM_001001933	chr1(.):75589118-75632218	1.292
NM_004974	chr1(.):111140775-111153345	0.0475
NM_002232	chr1(.):111209309-111222655	0.9199
NR_034126	chr1(.):112136628-112155940	1.1741
NM_017709	chr1(.):118143603-118176011	4.3443
NM_032305	chr1(.):145451235-145475387	1.8618
NM_202004	chr1(.):145408190-145422545	0.1032
NM_006472	chr1(.):145433461-145447628	2.5034
NM_001039888	chr1(.):145465507-145480647	0.3909
NM_005105	chr1(.):145502637-145516444	1.6771
NM_001161334	chr1(.):149749244-149788928	0.4607
NM_001034077	chr1(.):149799220-149809616	1.7189
NM_001005464	chr1(.):149807258-149817765	3.7541
NM_001040874	chr1(.):149808784-149819318	3.7595
NM_001123375	chr1(.):149779779-149790236	1.2347
NM_000566	chr1(.):149749249-149769074	0.2355
NM_016074	chr1(.):149866154-149877348	0.4412
NM_003528	chr1(.):149851009-149863232	3.629
NM_003517	chr1(.):149853524-149863961	4.2402
NM_175065	chr1(.):149854018-149864466	4.2314
NR_036461	chr1(.):149816758-149827340	3.5014
NM_001040874	chr1(.):149817627-149828161	3.5103
NM_001005464	chr1(.):149819180-149829687	3.4999
NM_001034077	chr1(.):149827329-149837725	1.7077
NM_019032	chr1(.):150516897-150538412	2.9197
NM_207046	chr1(.):150589598-150606609	0.9732
NR_036211	chr1(.):150519404-150529490	0.1285
NM_001197320	chr1(.):150542026-150557214	1.3528
NM_014437	chr1(.):153926587-153945188	1.8122
NM_130898	chr1(.):153935396-153951832	1.9781
NM_181715	chr1(.):153915151-153936043	1.3572
NM_006694	chr1(.):153941744-153955451	0.6172
NM_002870	chr1(.):153949127-153963806	0.936
NM_014856	chr1(.):153896976-153924154	0.6386
NM_001030	chr1(.):153958238-153969631	0.6317
NM_006556	chr1(.):154892207-154914484	2.9995
NM_001130041	chr1(.):154929773-154951959	2.933
NM_001130040	chr1(.):154929773-154948223	3.2677
NM_201398	chr1(.):154950769-154970587	0.5965
NM_015872	chr1(.):154970111-154995999	1.6009
NM_207196	chr1(.):155018761-155040252	0.5037
NM_001184892	chr1(.):154950769-154966488	0.6911
NM_018655	chr1(.):154961061-154971791	0.2676
NM_001143687	chr1(.):155001281-155028406	0.3451
NR_024163	chr1(.):154942117-154956725	3.2285
NM_144622	chr1(.):154986002-155011257	0.4667
NM_138300	chr1(.):154924501-154939258	3.8391
NR_036212	chr1(.):154943168-154953259	3.7545
NM_001162384	chr1(.):155911629-155953336	1.9578
NM_181885	chr1(.):155906479-155917625	1.3699
NM_004723	chr1(.):155911629-155952966	1.9713
NM_014949	chr1(.):155877835-155909188	0.5806
NR_002974	chr1(.):155884699-155894833	0.112
NR_003005	chr1(.):155890748-155900877	0.1226
NM_003145	chr1(.):155973838-155995758	0.5674
NM_014655	chr1(.):156158729-156187587	0.9772
NM_007221	chr1(.):156177783-156214833	1.0989
NM_022367	chr1(.):156118321-156152542	3.4752
NM_001193302	chr1(.):156118368-156152542	3.4783
NM_001193301	chr1(.):156114734-156152542	3.2301
NM_005920	chr1(.):156428518-156475529	1.5164
NM_004494	chr1(.):156706898-156726543	2.232
NM_001126051	chr1(.):156706898-156727024	2.1799
NM_001126050	chr1(.):156706898-156727240	2.1569
NM_030980	chr1(.):156687412-156702705	0.6797
NM_001878	chr1(.):156664407-156680375	0.0972
NM_001142560	chr1(.):156693262-156711752	1.2875
NM_145729	chr1(.):156702093-156715923	1.256
NM_001778	chr1(.):160643535-160686585	1.7215
NM_003037	chr1(.):160574890-160622081	0.1241
NM_021181	chr1(.):160704076-160729601	1.6592
NM_001039711	chr1(.):161085768-161107478	0.9098
NM_016406	chr1(.):161118533-161133646	2.095
NM_004550	chr1(.):161164104-161189184	0.8553
NM_000309	chr1(.):161131180-161146010	0.9742
NM_001643	chr1(.):161187082-161198418	1.2429
NM_001185094	chr1(.):161082907-161095984	0.5607
NM_003779	chr1(.):161136100-161152314	1.8866
NM_012475	chr1(.):161124253-161140516	1.1552
NM_001039712	chr1(.):161085768-161107256	0.9185
NM_005600	chr1(.):161082861-161095984	0.5591
NM_001185093	chr1(.):161082906-161095984	0.5607
NM_032174	chr1(.):161190832-161205407	0.8143
