GENE	CHROM	START	STOP	ENHANCER_ID
AIRE	chr21	45758568	45760270	1_MACS_peak_12730_lociStitched
ARF1	chr1	228269599	228272162	1_MACS_peak_1821_lociStitched
ARF4	chr3	57581292	57584753	3_MACS_peak_13854_lociStitched
BACH1	chr21	30670564	30674482	2_MACS_peak_12518_lociStitched
BBX	chr3	107241700	107244965	1_MACS_peak_13997_lociStitched
BCL6B	chr17	6915248	6919063	1_MACS_peak_7799_lociStitched
BCLAF1	chr6	136609322	136612258	1_MACS_peak_17787_lociStitched
BHLHE41	chr12	26269862	26280297	4_MACS_peak_4086_lociStitched
CEBPG	chr19	33863777	33865816	1_MACS_peak_9766_lociStitched
CHD2	chr15	93425033	93428665	1_MACS_peak_6885_lociStitched
CHD2	chr15	93445746	93448846	1_MACS_peak_6887_lociStitched
CREB1	chr2	208393252	208396333	2_MACS_peak_11658_lociStitched
CREB3L2	chr7	137664938	137673649	4_MACS_peak_18921_lociStitched
CREM	chr10	35415278	35417498	1_MACS_peak_2168_lociStitched
ERF	chr19	42771602	42775468	1_MACS_peak_9958_lociStitched
ESRRA	chr11	64071339	64074089	1_MACS_peak_3205_lociStitched
ESRRA	chr11	64051402	64053585	2_MACS_peak_3203_lociStitched
FIZ1	chr19	56145901	56147587	1_MACS_peak_10224_lociStitched
FOSB	chr19	45970479	45973769	1_MACS_peak_10026_lociStitched
FOSL1	chr11	65624218	65628950	4_MACS_peak_3269_lociStitched
FOXN3	chr14	89882090	89885153	2_MACS_peak_5785_lociStitched
FOXO3	chr6	108878457	108882868	2_MACS_peak_17606_lociStitched
GABPA	chr21	27106212	27108817	1_MACS_peak_12504_lociStitched
GMEB2	chr20	62257157	62259750	1_MACS_peak_12420_lociStitched
HAP1	chr17	39844706	39846583	1_MACS_peak_8224_lociStitched
HBP1	chr7	106807881	106810755	1_MACS_peak_18780_lociStitched
HES7	chr17	8056997	8060769	3_MACS_peak_7838_lociStitched
HES7	chr17	8065096	8067308	1_MACS_peak_7841_lociStitched
HIVEP2	chr6	143264628	143269567	1_MACS_peak_17853_lociStitched
IRF2	chr4	185393189	185397111	1_MACS_peak_15525_lociStitched
IRF4	chr6	389300	395081	4_MACS_peak_16743_lociStitched
IRF7	chr11	614724	616727	1_MACS_peak_2820_lociStitched
JUN	chr1	59247630	59251438	1_MACS_peak_685_lociStitched
JUNB	chr19	12899277	12905465	1_MACS_peak_9529_lociStitched
JUND	chr19	18389722	18393756	1_MACS_peak_9676_lociStitched
