ENHANCER_ID	CHROM	START	STOP	GENE_LIST
8_MACS_peak_20006_lociStitched	chr6	289953	350294	IRF4
6_MACS_peak_17080_lociStitched	chr3	141116864	141147652	ZBTB38
7_MACS_peak_1524_lociStitched	chr1	156449604	156478855	MEF2D
2_MACS_peak_17078_lociStitched	chr3	141095630	141112540	ZBTB38
2_MACS_peak_8411_lociStitched	chr15	93439449	93452871	CHD2
3_MACS_peak_16792_lociStitched	chr3	114159295	114179998	ZBTB20
2_MACS_peak_11433_lociStitched	chr19	12899054	12907589	JUNB
3_MACS_peak_11539_lociStitched	chr19	16471062	16485661	KLF2
7_MACS_peak_4856_lociStitched	chr11	128585803	128610900	FLI1
5_MACS_peak_21110_lociStitched	chr6	106531854	106555589	PRDM1
5_MACS_peak_8406_lociStitched	chr15	93421799	93435295	CHD2
1_MACS_peak_5128_lociStitched	chr12	26266254	26280344	BHLHE41
1_MACS_peak_8154_lociStitched	chr15	75741939	75748899	SIN3A
1_MACS_peak_11535_lociStitched	chr19	16434379	16440756	KLF2
11_MACS_peak_22673_lociStitched	chr7	137658908	137686933	CREB3L2
2_MACS_peak_11468_lociStitched	chr19	14113590	14118428	RFX1
1_MACS_peak_11173_lociStitched	chr19	4057921	4067939	ZBTB7A
14_MACS_peak_10904_lociStitched	chr18	52967922	53002217	TCF4
7_MACS_peak_7507_lociStitched	chr15	31636611	31660597	KLF13
3_MACS_peak_2472_lociStitched	chr1	228268934	228281399	ARF1
7_MACS_peak_8399_lociStitched	chr15	93368861	93396935	CHD2
7_MACS_peak_15374_lociStitched	chr22	29183432	29199123	XBP1
6_MACS_peak_20016_lociStitched	chr6	389183	411338	IRF4
9_MACS_peak_11718_lociStitched	chr19	23940337	23960987	ZNF681
5_MACS_peak_19190_lociStitched	chr5	88168434	88186611	MEF2C
6_MACS_peak_7985_lociStitched	chr15	67371788	67395173	SMAD3
2_MACS_peak_11682_lociStitched	chr19	19770987	19780421	PBX4
1_MACS_peak_11067_lociStitched	chr19	1646692	1653779	TCF3
2_MACS_peak_4048_lociStitched	chr11	58340715	58348044	ZFP91
1_MACS_peak_11607_lociStitched	chr19	18388967	18393993	JUND
3_MACS_peak_19679_lociStitched	chr5	142771665	142785644	NR3C1
5_MACS_peak_8291_lociStitched	chr15	85290298	85307169	ZNF592
4_MACS_peak_11441_lociStitched	chr19	13043291	13057995	NFIX,KLF1
2_MACS_peak_23957_lociStitched	chr9	3522034	3529169	RFX3
5_MACS_peak_1406_lociStitched	chr1	153929745	153950995	CREB3L4
2_MACS_peak_22044_lociStitched	chr7	50343720	50358940	IKZF1
2_MACS_peak_11419_lociStitched	chr19	12720841	12727850	ZNF791,ZNF490
4_MACS_peak_20534_lociStitched	chr6	32152524	32164751	PBX2
6_MACS_peak_9588_lociStitched	chr17	8053770	8067268	HES7
3_MACS_peak_20552_lociStitched	chr6	33167237	33176989	RXRB
3_MACS_peak_1626_lociStitched	chr1	161008034	161017741	USF1
2_MACS_peak_16814_lociStitched	chr3	114856109	114867717	ZBTB20
2_MACS_peak_24364_lociStitched	chr9	73026781	73036037	KLF9
8_MACS_peak_15575_lociStitched	chr22	39904253	39928908	ATF4
2_MACS_peak_21146_lociStitched	chr6	108878399	108888206	FOXO3
9_MACS_peak_11728_lociStitched	chr19	23971913	23994380	ZNF681
8_MACS_peak_2150_lociStitched	chr1	203731461	203747836	ZBED6
3_MACS_peak_17895_lociStitched	chr4	38664496	38678296	KLF3
4_MACS_peak_20086_lociStitched	chr6	7136094	7148101	RREB1
4_MACS_peak_12095_lociStitched	chr19	48823828	48837702	ZNF114
2_MACS_peak_8466_lociStitched	chr15	100104395	100111997	MEF2A
4_MACS_peak_9468_lociStitched	chr17	2294921	2305948	MNT
2_MACS_peak_11012_lociStitched	chr19	919519	928536	ARID3A
5_MACS_peak_11968_lociStitched	chr19	42617461	42637920	POU2F2,ZNF574
3_MACS_peak_1454_lociStitched	chr1	154941810	154949406	ZBTB7B
1_MACS_peak_21378_lociStitched	chr6	136608888	136612490	BCLAF1
1_MACS_peak_13548_lociStitched	chr2	157188279	157192284	NR4A2
2_MACS_peak_16447_lociStitched	chr3	57577825	57585297	ARF4
1_MACS_peak_15046_lociStitched	chr21	36254267	36262664	RUNX1
6_MACS_peak_14756_lociStitched	chr20	52195570	52212012	ZNF217
1_MACS_peak_13549_lociStitched	chr2	157196768	157200289	NR4A2
2_MACS_peak_4161_lociStitched	chr11	64539296	64547600	SF1
3_MACS_peak_19524_lociStitched	chr5	131823773	131834281	IRF1
5_MACS_peak_22791_lociStitched	chr7	150064304	150083827	ZNF775
6_MACS_peak_4850_lociStitched	chr11	128562442	128578320	FLI1
2_MACS_peak_1452_lociStitched	chr1	154925733	154935581	ZBTB7B
2_MACS_peak_24745_lociStitched	chr9	125025567	125031199	LHX6
3_MACS_peak_15784_lociStitched	chr3	5018527	5029331	BHLHE40
2_MACS_peak_20475_lociStitched	chr6	31164885	31172727	POU5F1
3_MACS_peak_15960_lociStitched	chr3	23986157	23993114	NR1D2
2_MACS_peak_13721_lociStitched	chr2	178071860	178079228	NFE2L2
1_MACS_peak_11009_lociStitched	chr19	891091	894025	ARID3A
1_MACS_peak_1458_lociStitched	chr1	154971232	154977551	ZBTB7B
2_MACS_peak_20606_lociStitched	chr6	35264988	35274062	ZNF76,PPARD
2_MACS_peak_1725_lociStitched	chr1	167188795	167192680	POU2F1
4_MACS_peak_9517_lociStitched	chr17	4842766	4854016	CAMTA2
5_MACS_peak_11811_lociStitched	chr19	36231005	36240014	ZBTB32
2_MACS_peak_20270_lociStitched	chr6	20401954	20412159	E2F3
2_MACS_peak_14945_lociStitched	chr21	27105893	27112513	GABPA
3_MACS_peak_18667_lociStitched	chr4	185391315	185398033	IRF2
3_MACS_peak_22481_lociStitched	chr7	106807622	106813244	HBP1
