GENE_ID	locusLine	bin_1_LP-1.jin.bam
NM_013943	chr1(.):25066759-25175815	0.1426
NM_030806	chr1(.):184351149-184603155	0.3554
NM_021222	chr1(.):150975972-151013189	0.3244
NM_015215	chr1(.):6840383-7834766	0.0842
NM_007051	chr1(.):50901934-51430936	0.0686
NM_033487	chr1(.):1566099-1660775	0.2366
NM_004091	chr1(.):23827921-23862713	0.4381
NM_173065	chr1(.):24475646-24518751	0.3035
NM_001048199	chr1(.):28827454-28870708	0.3653
NR_002909	chr1(.):28827454-28842404	0.6706
NM_001720	chr1(.):40218902-40259533	0.3885
NM_174964	chr1(.):44168217-44401831	0.1278
NM_001100910	chr1(.):120834004-120860681	0.6098
NR_034178	chr1(.):143910747-144099477	0.3955
NM_203458	chr1(.):145204110-145290912	0.6709
NM_153713	chr1(.):145472084-145504091	0.2971
NM_207168	chr1(.):150594521-150607098	0.8135
NM_020524	chr1(.):154911558-154933567	1.8954
NM_181359	chr1(.):154372668-154445188	0.5445
NM_005572	chr1(.):156079460-156112657	0.7307
NM_170708	chr1(.):156079460-156114878	0.7113
NM_005973	chr1(.):156732273-156775609	0.3529
NM_001135050	chr1(.):159891828-159920386	0.6145
NM_014697	chr1(.):162034580-162344813	0.2943
NM_007348	chr1(.):161731083-161933852	0.2399
NM_006182	chr1(.):162597227-162755247	0.1839
NM_052862	chr1(.):167594473-167680486	0.6216
NM_014412	chr1(.):174963891-174986163	0.6623
NM_001007214	chr1(.):174963570-174986163	0.6549
NM_014810	chr1(.):179918907-180089015	0.1899
NM_015149	chr1(.):183600207-183902666	0.3379
NM_025191	chr1(.):184654624-184729041	0.8038
NM_015375	chr1(.):205106630-205185727	0.1778
NM_182663	chr1(.):206675878-206767616	0.1443
NM_004481	chr1(.):230197955-230422875	0.122
NM_006983	chr1(.):1562559-1575030	0.0949
NR_002946	chr1(.):1563158-1575027	0.0983
NM_001110781	chr1(.):1587938-1629243	0.3837
NM_024011	chr1(.):1629169-1660791	0.1535
NR_002946	chr1(.):1626377-1638247	0.0807
NM_001136204	chr1(.):17728250-17770057	0.2699
NM_018715	chr1(.):17728250-17771220	0.2673
NM_017707	chr1(.):23750055-23815750	0.0776
NM_002167	chr1(.):23879408-23891322	0.1688
NM_021258	chr1(.):24441260-24474611	0.0679
NR_027087	chr1(.):24521729-24543180	0.3242
NM_006015	chr1(.):27017521-27113601	0.343
NR_003109	chr1(.):28874528-28910057	0.2228
NM_001269	chr1(.):28839744-28870708	0.198
NM_022756	chr1(.):37953175-37985364	0.1314
NM_025079	chr1(.):37935118-37954978	0.6692
NM_001195007	chr1(.):40199516-40234586	0.1324
NM_022120	chr1(.):40230196-40242020	0.4222
NM_001262	chr1(.):51429366-51445306	1.5849
NM_078626	chr1(.):51430641-51445309	1.7154
NM_004974	chr1(.):111140775-111153345	0.0511
NM_002232	chr1(.):111209309-111222655	0.3469
NM_017709	chr1(.):118143603-118176011	0.4439
NM_207418	chr1(.):143891451-143918143	0.6638
NM_032305	chr1(.):145451235-145475387	0.7364
NM_202004	chr1(.):145408190-145422545	0.1881
NM_006472	chr1(.):145433461-145447628	0.653
NM_001039888	chr1(.):145465507-145480647	0.5306
NM_001161334	chr1(.):149749244-149788928	0.3283
NM_001034077	chr1(.):149799220-149809616	1.7043
NM_001005464	chr1(.):149807258-149817765	2.8348
NM_001040874	chr1(.):149808784-149819318	2.8025
NM_001123375	chr1(.):149779779-149790236	0.7636
NM_000566	chr1(.):149749249-149769074	0.1962
NM_005850	chr1(.):149890210-149904702	0.5511
NM_016074	chr1(.):149866154-149877348	0.4614
NM_003528	chr1(.):149851009-149863232	2.1233
NM_003517	chr1(.):149853524-149863961	2.4466
NM_175065	chr1(.):149854018-149864466	2.4359
NM_014849	chr1(.):149869871-149894434	0.3054
NM_181873	chr1(.):149895542-149913266	0.5174
NM_001145862	chr1(.):149895542-149913791	0.5065
NR_036461	chr1(.):149816758-149827340	2.876
NM_001040874	chr1(.):149817627-149828161	2.8629
NM_001005464	chr1(.):149819180-149829687	2.8836
NM_001034077	chr1(.):149827329-149837725	1.6805
NM_019032	chr1(.):150516897-150538412	1.1077
NM_207046	chr1(.):150589598-150606609	0.7274
NR_036211	chr1(.):150519404-150529490	0.2881
NM_001197320	chr1(.):150542026-150557214	1.1619
NM_001163258	chr1(.):150964300-150985854	0.4563
NM_001163260	chr1(.):150964300-150984273	0.4779
NM_001040217	chr1(.):150964300-150984385	0.4758
NM_020239	chr1(.):151018446-151037125	0.5988
NM_138278	chr1(.):151004028-151025076	0.2275
NM_006818	chr1(.):151027150-151045973	1.0039
NM_017860	chr1(.):151015258-151028871	0.3281
NM_144618	chr1(.):151038079-151096007	0.3232
NM_002651	chr1(.):151259272-151305133	0.3511
NM_000449	chr1(.):151308115-151324769	0.9194
NM_002796	chr1(.):151367040-151379412	0.7335
NM_001198774	chr1(.):151259272-151305191	0.3508
NM_003944	chr1(.):151331779-151350164	0.2097
NM_005620	chr1(.):151999981-152014511	0.7143
NM_002966	chr1(.):151950385-151971714	0.4302
NM_020452	chr1(.):154295275-154328780	0.8596
NM_001005855	chr1(.):154293035-154315322	1.0545
NM_080429	chr1(.):154288591-154302801	1.4246
NM_006556	chr1(.):154892207-154914484	1.5419
NM_001130041	chr1(.):154929773-154951959	1.1765
NM_001130040	chr1(.):154929773-154948223	1.2888
NM_201398	chr1(.):154950769-154970587	0.4828
NM_015872	chr1(.):154970111-154995999	1.2374
NM_207196	chr1(.):155018761-155040252	0.4932
NM_018655	chr1(.):154961061-154971791	0.5409
NM_001143687	chr1(.):155001281-155028406	0.3009
NR_024163	chr1(.):154942117-154956725	1.1783
NM_144622	chr1(.):154986002-155011257	0.2753
NM_138300	chr1(.):154924501-154939258	1.5044
NR_036212	chr1(.):154943168-154953259	1.2151
NM_006912	chr1(.):155862600-155886177	0.272
NM_001162384	chr1(.):155911629-155953336	0.9906
NM_181885	chr1(.):155906479-155917625	0.7977
NM_004723	chr1(.):155911629-155952966	0.9922
NM_014949	chr1(.):155877835-155909188	0.4449
NR_002974	chr1(.):155884699-155894833	0.1717
NR_003005	chr1(.):155890748-155900877	0.2099
NM_001093725	chr1(.):156036803-156056789	0.2871
NM_003145	chr1(.):155973838-155995758	0.4437
NM_198406	chr1(.):156208208-156222792	0.3367
NM_014655	chr1(.):156158729-156187587	0.7093
NM_007221	chr1(.):156177783-156214833	0.8384
NM_022367	chr1(.):156118321-156152542	0.3861
NM_001193302	chr1(.):156118368-156152542	0.3859
NM_199173	chr1(.):156206950-156218112	0.3591
NM_024897	chr1(.):156208206-156222843	0.3365
NM_001193301	chr1(.):156114734-156152542	0.447
NM_005920	chr1(.):156428518-156475529	0.9572
NM_004494	chr1(.):156706898-156726543	1.2589
NM_001126051	chr1(.):156706898-156727024	1.2336
NM_001126050	chr1(.):156706898-156727240	1.2224
NM_030980	chr1(.):156687412-156702705	0.6629
NM_001878	chr1(.):156664407-156680375	0.2426
NM_001142560	chr1(.):156693262-156711752	0.8243
NM_145729	chr1(.):156702093-156715923	0.5609
NM_003564	chr1(.):159882902-159900284	0.9433
NM_012337	chr1(.):159837153-159874906	0.1865
NM_001146172	chr1(.):159916281-159929044	0.1408
NM_001778	chr1(.):160643535-160686585	0.6046
NM_021181	chr1(.):160704076-160729601	0.5992
NM_001039711	chr1(.):161085768-161107478	0.6835
NM_016406	chr1(.):161118533-161133646	1.0186
NM_004550	chr1(.):161164104-161189184	0.4864
NM_000309	chr1(.):161131180-161146010	0.5961
NM_001643	chr1(.):161187082-161198418	0.746
NM_003779	chr1(.):161136100-161152314	0.9626
NM_012475	chr1(.):161124253-161140516	0.8133
NM_001039712	chr1(.):161085768-161107256	0.6882
NM_032174	chr1(.):161190832-161205407	0.6026
NM_001166159	chr1(.):161166936-161189184	0.5115
NM_005099	chr1(.):161154537-161173845	1.0521
NM_004106	chr1(.):161180086-161194038	0.2668
NM_182581	chr1(.):162338514-162351644	0.2883
NM_001085375	chr1(.):162346519-162361608	0.3072
NM_053282	chr1(.):162360055-162386928	0.1913
NR_030283	chr1(.):162307335-162317430	0.2187
NM_001126060	chr1(.):162327772-162344813	0.7749
NM_001135240	chr1(.):162343695-162358501	0.275
NM_003115	chr1(.):162526295-162574633	0.7832
NM_198053	chr1(.):167394876-167492847	0.496
NM_003851	chr1(.):167505250-167528056	0.6869
NM_022100	chr1(.):174977093-174997591	0.3261
NM_022371	chr1(.):179046111-179070129	0.6997
NM_005298	chr1(.):200837165-200848251	0.6984
NM_018265	chr1(.):200855638-200889864	0.7406
NM_001142569	chr1(.):200858998-200889864	0.7446
NM_017596	chr1(.):200933519-200997828	0.5481
NR_034150	chr1(.):203262885-203279453	1.7087
NM_006763	chr1(.):203269663-203283729	1.4959
NM_002023	chr1(.):203304751-203325289	0.1743
NM_014858	chr1(.):205192037-205247471	0.4635
NM_030952	chr1(.):205266190-205295883	0.2553
NM_001123168	chr1(.):206133910-206160074	0.6561
NM_001007544	chr1(.):206233871-206293647	0.4969
NM_148964	chr1(.):206312458-206337104	0.1133
NM_006893	chr1(.):206759973-206790904	0.0945
NM_182665	chr1(.):206725491-206767616	0.2487
NM_182972	chr1(.):234735014-234750271	0.7165
NR_033927	chr1(.):234760056-234775526	0.0526
NM_024080	chr2(.):234821042-234933166	0.1898
NM_020458	chr2(.):47163312-47308275	0.3322
NR_033872	chr2(.):70184394-70319147	0.2185
NR_015395	chr2(.):112119590-112257692	0.3682
NR_024373	chr2(.):112181885-112257692	0.5941
NM_021141	chr2(.):216969019-217076016	0.2938
NM_001012514	chr2(.):231724620-231748963	1.0485
NM_006037	chr2(.):239964863-240327643	0.2103
NM_001037131	chr2(.):236397735-237039120	0.1107
NM_145693	chr2(.):11881739-11972533	0.2061
NM_170672	chr2(.):33656415-33794798	0.2877
NM_138801	chr2(.):38888051-38966909	0.2936
NM_018079	chr2(.):45610818-45843433	0.2188
NM_012249	chr2(.):46764866-46816827	0.555
NM_178313	chr2(.):54780530-54894445	0.3249
NM_003128	chr2(.):54678453-54903583	0.2477
NR_033980	chr2(.):61069894-61113449	0.2994
NM_015910	chr2(.):63343534-63820851	0.0921
NM_005917	chr2(.):63810742-63839330	0.3633
NM_001199111	chr2(.):63811284-63839330	0.3677
NR_024204	chr2(.):87749973-87826030	0.7318
NM_004836	chr2(.):88851258-88932094	0.3747
NM_004027	chr2(.):99056320-99212496	0.2357
NM_001566	chr2(.):99056320-99203284	0.2473
NM_001228	chr2(.):202093165-202157434	0.6227
NM_003879	chr2(.):201975889-202034003	0.6377
NM_001127184	chr2(.):201975815-202011323	0.9295
NM_173822	chr2(.):201833440-201941392	0.118
NM_033358	chr2(.):202093165-202151638	0.6743
NM_018441	chr2(.):216898110-216951539	0.3269
NM_005737	chr2(.):235396685-235410693	0.778
NM_001137551	chr2(.):238595806-238695290	0.238
NM_001137550	chr2(.):238531223-238695290	0.1914
NM_017844	chr2(.):241413838-241502405	0.1388
NM_001195381	chr2(.):241539824-241575676	0.0694
NM_002166	chr2(.):8817112-8829583	0.7945
NM_001037160	chr2(.):10191925-10225538	0.0858
NM_182626	chr2(.):10276508-10356856	0.0974
NM_001165931	chr2(.):10257694-10276546	0.6277
NM_001034	chr2(.):10257862-10276546	0.633
NM_198256	chr2(.):11579500-11611297	0.1965
NM_033090	chr2(.):11677850-11737272	0.1374
NM_014668	chr2(.):11669241-11787912	0.1121
NM_148903	chr2(.):11675079-11733355	0.1408
NR_026766	chr2(.):16075019-16086845	0.7262
NM_005378	chr2(.):16075682-16092129	0.5558
NM_004040	chr2(.):20641834-20654201	0.6859
NM_015376	chr2(.):33733941-33794798	0.13
NM_001139488	chr2(.):33696320-33794798	0.351
NM_012413	chr2(.):37566752-37605465	0.243
NM_080653	chr2(.):46733985-46752096	0.087
