GENE_ID	locusLine	bin_1_16_0EX2_0229Kronos_MM1S-KB-3hr-2_H3K27Ac_hs-dm_i29.bam
1_MACS_peak_1_lociStitched	chr1(.):9878-10735	2.0877
1_MACS_peak_2_lociStitched	chr1(.):28169-30216	3.6296
1_MACS_peak_3_lociStitched	chr1(.):713090-715306	2.7771
1_MACS_peak_4_lociStitched	chr1(.):752183-753187	0.476
1_MACS_peak_5_lociStitched	chr1(.):761679-763871	2.1975
1_MACS_peak_6_lociStitched	chr1(.):793369-794412	0.5385
1_MACS_peak_7_lociStitched	chr1(.):879237-880539	0.9496
3_MACS_peak_8_lociStitched	chr1(.):893729-902771	0.4288
1_MACS_peak_11_lociStitched	chr1(.):948207-949463	0.7267
1_MACS_peak_12_lociStitched	chr1(.):998994-999895	0.7633
1_MACS_peak_13_lociStitched	chr1(.):1050994-1051845	0.7704
1_MACS_peak_14_lociStitched	chr1(.):1079334-1080138	0.415
1_MACS_peak_15_lociStitched	chr1(.):1092831-1093906	0.844
1_MACS_peak_16_lociStitched	chr1(.):1166052-1167546	2.1555
1_MACS_peak_17_lociStitched	chr1(.):1184918-1186014	0.6353
1_MACS_peak_18_lociStitched	chr1(.):1207898-1210219	1.1693
1_MACS_peak_19_lociStitched	chr1(.):1242506-1245177	1.6249
1_MACS_peak_20_lociStitched	chr1(.):1259355-1261803	1.477
2_MACS_peak_21_lociStitched	chr1(.):1283798-1285523	0.9048
1_MACS_peak_23_lociStitched	chr1(.):1309652-1311716	2.0596
2_MACS_peak_24_lociStitched	chr1(.):1333434-1343642	0.8921
1_MACS_peak_26_lociStitched	chr1(.):1396906-1398990	2.0002
1_MACS_peak_27_lociStitched	chr1(.):1405830-1408586	1.1343
2_MACS_peak_28_lociStitched	chr1(.):1439661-1448828	1.2204
1_MACS_peak_30_lociStitched	chr1(.):1509091-1511129	2.2389
2_MACS_peak_31_lociStitched	chr1(.):1544920-1552346	0.9334
1_MACS_peak_33_lociStitched	chr1(.):1589354-1591814	3.0288
2_MACS_peak_34_lociStitched	chr1(.):1606186-1611109	2.2548
1_MACS_peak_36_lociStitched	chr1(.):1622660-1625570	6.2383
1_MACS_peak_37_lociStitched	chr1(.):1654699-1656941	2.4668
2_MACS_peak_38_lociStitched	chr1(.):1668716-1678909	2.1251
2_MACS_peak_40_lociStitched	chr1(.):1708277-1714921	2.8466
1_MACS_peak_42_lociStitched	chr1(.):1754962-1756302	0.7391
1_MACS_peak_43_lociStitched	chr1(.):1772517-1775499	0.7874
2_MACS_peak_44_lociStitched	chr1(.):1821018-1829492	0.4665
1_MACS_peak_46_lociStitched	chr1(.):1838308-1841372	0.982
3_MACS_peak_47_lociStitched	chr1(.):2120465-2127221	0.2996
1_MACS_peak_50_lociStitched	chr1(.):2158435-2159393	0.7141
1_MACS_peak_51_lociStitched	chr1(.):2186640-2188045	0.8501
1_MACS_peak_52_lociStitched	chr1(.):2221459-2223093	0.8982
1_MACS_peak_53_lociStitched	chr1(.):2231141-2233467	2.5092
1_MACS_peak_54_lociStitched	chr1(.):2322107-2324325	1.3892
1_MACS_peak_55_lociStitched	chr1(.):2343012-2346179	1.8183
1_MACS_peak_56_lociStitched	chr1(.):2456763-2458454	1.2144
2_MACS_peak_57_lociStitched	chr1(.):2477049-2489029	1.9101
1_MACS_peak_59_lociStitched	chr1(.):2516514-2518618	1.6657
1_MACS_peak_60_lociStitched	chr1(.):2573759-2575072	1.1703
2_MACS_peak_61_lociStitched	chr1(.):3540399-3547715	0.5084
2_MACS_peak_63_lociStitched	chr1(.):3565880-3570031	0.5546
1_MACS_peak_65_lociStitched	chr1(.):3589274-3590391	0.7223
1_MACS_peak_66_lociStitched	chr1(.):3711935-3713735	0.9346
1_MACS_peak_67_lociStitched	chr1(.):3772970-3775053	1.4673
1_MACS_peak_68_lociStitched	chr1(.):3815833-3818369	6.9642
1_MACS_peak_69_lociStitched	chr1(.):3838222-3839193	0.5034
1_MACS_peak_70_lociStitched	chr1(.):4997820-4998620	0.3759
1_MACS_peak_71_lociStitched	chr1(.):6014748-6015488	0.4202
1_MACS_peak_72_lociStitched	chr1(.):6051997-6055623	2.3816
1_MACS_peak_73_lociStitched	chr1(.):6083855-6087251	1.6661
2_MACS_peak_74_lociStitched	chr1(.):6258470-6266749	0.5829
1_MACS_peak_76_lociStitched	chr1(.):6294732-6296829	1.3435
1_MACS_peak_77_lociStitched	chr1(.):6419315-6420731	0.6934
1_MACS_peak_78_lociStitched	chr1(.):6452097-6454699	1.31
1_MACS_peak_79_lociStitched	chr1(.):6474266-6475455	0.5451
1_MACS_peak_80_lociStitched	chr1(.):6549940-6551684	1.281
1_MACS_peak_81_lociStitched	chr1(.):6613479-6615329	1.2623
1_MACS_peak_82_lociStitched	chr1(.):6639347-6640943	0.9054
1_MACS_peak_83_lociStitched	chr1(.):6659405-6664769	3.0178
1_MACS_peak_84_lociStitched	chr1(.):6672298-6674938	1.4544
1_MACS_peak_85_lociStitched	chr1(.):6684405-6686629	2.2346
1_MACS_peak_86_lociStitched	chr1(.):6733441-6734908	0.6911
1_MACS_peak_87_lociStitched	chr1(.):6760754-6762291	1.4935
2_MACS_peak_88_lociStitched	chr1(.):6843705-6846531	2.2501
1_MACS_peak_90_lociStitched	chr1(.):6892096-6893541	0.7382
1_MACS_peak_91_lociStitched	chr1(.):6961192-6962397	0.4698
2_MACS_peak_92_lociStitched	chr1(.):6977927-6982959	0.9595
1_MACS_peak_94_lociStitched	chr1(.):7830998-7832335	1.0272
1_MACS_peak_95_lociStitched	chr1(.):8013784-8014823	0.4323
1_MACS_peak_96_lociStitched	chr1(.):8020705-8022699	2.0894
1_MACS_peak_97_lociStitched	chr1(.):8455085-8456416	0.8374
3_MACS_peak_98_lociStitched	chr1(.):8650210-8665004	0.4902
1_MACS_peak_101_lociStitched	chr1(.):8740463-8741768	0.6749
1_MACS_peak_102_lociStitched	chr1(.):8760720-8765830	1.2125
1_MACS_peak_103_lociStitched	chr1(.):8771930-8773748	1.3481
1_MACS_peak_104_lociStitched	chr1(.):8876134-8878843	1.9713
1_MACS_peak_105_lociStitched	chr1(.):8937200-8940029	2.2992
1_MACS_peak_106_lociStitched	chr1(.):9139869-9141341	0.6371
1_MACS_peak_107_lociStitched	chr1(.):9222247-9226084	4.7084
1_MACS_peak_108_lociStitched	chr1(.):9241152-9243032	1.379
1_MACS_peak_109_lociStitched	chr1(.):9294474-9295770	0.6653
1_MACS_peak_110_lociStitched	chr1(.):9473150-9474009	0.4735
2_MACS_peak_111_lociStitched	chr1(.):9485513-9489778	0.7152
1_MACS_peak_113_lociStitched	chr1(.):9599365-9600647	0.6831
1_MACS_peak_114_lociStitched	chr1(.):9614994-9615915	0.5362
1_MACS_peak_115_lociStitched	chr1(.):9648618-9650205	0.7583
1_MACS_peak_116_lociStitched	chr1(.):9776900-9778704	2.6079
1_MACS_peak_117_lociStitched	chr1(.):9846120-9848658	1.7011
1_MACS_peak_118_lociStitched	chr1(.):9882813-9884354	0.6974
2_MACS_peak_119_lociStitched	chr1(.):9969019-9971640	1.5367
1_MACS_peak_121_lociStitched	chr1(.):10002199-10004356	2.3625
1_MACS_peak_122_lociStitched	chr1(.):10010137-10011547	0.7348
1_MACS_peak_123_lociStitched	chr1(.):10050245-10051848	0.8911
1_MACS_peak_124_lociStitched	chr1(.):10078442-10079704	0.5754
1_MACS_peak_125_lociStitched	chr1(.):10092198-10094468	3.0159
1_MACS_peak_126_lociStitched	chr1(.):10228573-10231462	2.1961
1_MACS_peak_127_lociStitched	chr1(.):10248986-10250883	1.4253
1_MACS_peak_128_lociStitched	chr1(.):10259964-10261441	0.8279
1_MACS_peak_129_lociStitched	chr1(.):10269393-10271662	1.1284
2_MACS_peak_130_lociStitched	chr1(.):10310716-10314693	1.2589
1_MACS_peak_132_lociStitched	chr1(.):10447542-10448591	0.5166
1_MACS_peak_133_lociStitched	chr1(.):10458260-10460116	1.5738
1_MACS_peak_134_lociStitched	chr1(.):10489843-10491775	1.8826
1_MACS_peak_135_lociStitched	chr1(.):10504332-10505869	1.1685
