GENE_ID	locusLine	bin_1_LP-1.jin.bam
1_MACS_peak_1_lociStitched	chr1(.):28642-29976	2.7962
2_MACS_peak_2_lociStitched	chr1(.):713160-714962	1.2188
1_MACS_peak_4_lociStitched	chr1(.):762147-763584	1.1992
1_MACS_peak_5_lociStitched	chr1(.):894040-894699	1.0909
2_MACS_peak_6_lociStitched	chr1(.):895667-896336	0.6636
1_MACS_peak_8_lociStitched	chr1(.):1051067-1051521	0.9526
2_MACS_peak_9_lociStitched	chr1(.):1166515-1168262	1.3478
1_MACS_peak_11_lociStitched	chr1(.):1208410-1210299	1.2725
3_MACS_peak_12_lociStitched	chr1(.):1242610-1244727	1.2892
2_MACS_peak_15_lociStitched	chr1(.):1259491-1260847	1.0239
2_MACS_peak_17_lociStitched	chr1(.):1283952-1285422	1.044
2_MACS_peak_19_lociStitched	chr1(.):1309656-1311485	1.3376
2_MACS_peak_21_lociStitched	chr1(.):1333739-1335590	1.3514
1_MACS_peak_23_lociStitched	chr1(.):1341771-1343298	1.3137
2_MACS_peak_24_lociStitched	chr1(.):1406456-1408029	0.9253
1_MACS_peak_26_lociStitched	chr1(.):1440510-1441032	0.8015
4_MACS_peak_27_lociStitched	chr1(.):1445908-1448982	1.2372
1_MACS_peak_31_lociStitched	chr1(.):1509390-1511041	2.0386
2_MACS_peak_32_lociStitched	chr1(.):1550210-1551961	1.2611
1_MACS_peak_34_lociStitched	chr1(.):1565991-1566365	0.4859
1_MACS_peak_35_lociStitched	chr1(.):1589911-1591413	1.333
2_MACS_peak_36_lociStitched	chr1(.):1606317-1610946	1.1187
2_MACS_peak_38_lociStitched	chr1(.):1622866-1625440	1.6481
1_MACS_peak_40_lociStitched	chr1(.):1655266-1656654	1.2848
1_MACS_peak_41_lociStitched	chr1(.):1668901-1671839	1.225
3_MACS_peak_42_lociStitched	chr1(.):1676010-1678752	1.5694
2_MACS_peak_45_lociStitched	chr1(.):1708969-1712930	1.523
1_MACS_peak_47_lociStitched	chr1(.):1774704-1775485	0.7859
1_MACS_peak_48_lociStitched	chr1(.):1821219-1823708	1.8295
2_MACS_peak_49_lociStitched	chr1(.):1839804-1841548	1.1411
1_MACS_peak_51_lociStitched	chr1(.):2125650-2127151	1.0256
1_MACS_peak_52_lociStitched	chr1(.):2158494-2159194	0.9171
2_MACS_peak_53_lociStitched	chr1(.):2231309-2233344	1.0758
1_MACS_peak_55_lociStitched	chr1(.):2246006-2246724	0.7713
2_MACS_peak_56_lociStitched	chr1(.):2322423-2324069	0.9854
2_MACS_peak_58_lociStitched	chr1(.):2343126-2345118	1.0382
3_MACS_peak_60_lociStitched	chr1(.):2454136-2456172	0.7429
2_MACS_peak_63_lociStitched	chr1(.):2457001-2458108	1.1508
3_MACS_peak_65_lociStitched	chr1(.):2477207-2479250	0.9513
1_MACS_peak_68_lociStitched	chr1(.):2487707-2488060	0.5192
1_MACS_peak_69_lociStitched	chr1(.):2517469-2517912	0.756
1_MACS_peak_70_lociStitched	chr1(.):2573829-2574735	0.9541
1_MACS_peak_71_lociStitched	chr1(.):3541538-3541960	0.6344
1_MACS_peak_72_lociStitched	chr1(.):3566252-3566620	0.68
1_MACS_peak_73_lociStitched	chr1(.):3712173-3713100	0.9598
1_MACS_peak_74_lociStitched	chr1(.):3773322-3773825	0.9052
2_MACS_peak_75_lociStitched	chr1(.):3816287-3818021	1.7039
2_MACS_peak_77_lociStitched	chr1(.):6051997-6055268	0.9809
1_MACS_peak_79_lociStitched	chr1(.):6070412-6070758	0.5014
3_MACS_peak_80_lociStitched	chr1(.):6083949-6087252	1.0635
2_MACS_peak_83_lociStitched	chr1(.):6258875-6260543	1.6695
2_MACS_peak_85_lociStitched	chr1(.):6295364-6296705	1.238
2_MACS_peak_87_lociStitched	chr1(.):6453067-6454657	1.1266
1_MACS_peak_89_lociStitched	chr1(.):6550078-6551117	0.7202
2_MACS_peak_90_lociStitched	chr1(.):6613889-6615330	1.331
2_MACS_peak_92_lociStitched	chr1(.):6639424-6640560	1.1155
3_MACS_peak_94_lociStitched	chr1(.):6660562-6664345	1.2931
