REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X26_0F2C_0229Kronos_MM1S.KB.3hr.2_H3K27me3_hs.dm_i13.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
31_MACS_peak_16614_lociStitched	chr17	77078373	77298211	31	212612	389113.26	18972.0194	1	ENGASE,RBFOX3	C1QTNF1	ENGASE	1	1
23_MACS_peak_16942_lociStitched	chr17	78991249	79160327	23	164242	356686.9488	14337.8144	2	BAIAP2,MIR3065,LOC388428,FLJ90757,AATK,MIR657,MIR338,MIR1250	CHMP6,AZI1	MIR657	2	1
16_MACS_peak_17394_lociStitched	chr19	1670438	1812373	16	138376	344575.5995	18465.7435	3	ONECUT3,ATP8B3	LOC100288123,TCF3,MIR1909,REXO1	ONECUT3	3	1
33_MACS_peak_17667_lociStitched	chr19	3773167	3953641	33	174094	318356.136	23100.672	4	ATCAY,ITGB1BP3,MATK,ZFR2	TJP3,MRPL54,APBA3,RAX2,MIR637,DAPK3,SNORD37,EEF2	ZFR2	4	1
14_MACS_peak_37254_lociStitched	chr9	139477045	139614251	14	135136	280846.9614	11415.5392	5	EGFL7,MIR126,FAM69B,AGPAT2	LOC100128593,NOTCH1,SNORA43,SNORA17,SNHG7,LCN10,LCN6,LCN8,LCN15	EGFL7	5	1
20_MACS_peak_11822_lociStitched	chr16	1204187	1341566	20	132572	266089.3851	10976.5821	6	CACNA1H,TPSAB1,TPSD1,TPSG1,TPSB2	UBE2I,BAIAP3	TPSG1	6	1
19_MACS_peak_496_lociStitched	chr1	3393889	3536409	19	137693	263405.464	10689	7	ARHGEF16,MEGF6,MIR551A	TPRG1L,TP73,WDR8	MIR551A	7	1
19_MACS_peak_16976_lociStitched	chr17	79316943	79451467	19	130938	261783.704	11004.0632	8	BAHCC1,MIR3186	FSCN2,SLC38A10,C17orf55,TMEM105,ACTG1	BAHCC1	8	1
23_MACS_peak_15575_lociStitched	chr17	47937756	48079733	23	138023	237598.5095	13573.0012	9	DLX4,DLX3	TAC4	DLX4	9	1
15_MACS_peak_17317_lociStitched	chr19	681373	793179	15	108517	232187.5202	14109.9172	10	FSTL3,PALM,C19orf21,PRSSL1	FGF22,PTBP1,MIR3187,AZU1,PRTN3,POLRMT,RNF126,LPPR3	C19orf21	10	1
14_MACS_peak_25872_lociStitched	chr21	46813796	46920191	14	103222	229845.1185	12352.4595	11	COL18A1,NCRNA00175	SLC19A1	COL18A1	11	1
26_MACS_peak_16658_lociStitched	chr17	77345858	77493841	26	143701	223691.1028	12667.3448	12	RBFOX3		RBFOX3	12	1
10_MACS_peak_30283_lociStitched	chr4	9211665	9274631	10	61753	227590.607	20419.8738	13	USP17		USP17	13	1
28_MACS_peak_27046_lociStitched	chr22	37711773	37845373	28	126866	217661.12	11850.32	14	ELFN2	CYTH4,MFNG	ELFN2	14	1
2_MACS_peak_18441_lociStitched	chr19	8850840	8900860	2	49791	229086.598	24254.698	15		OR2Z1,ACTL9,ZNF558	OR2Z1	15	1
41_MACS_peak_35994_lociStitched	chr9	132405595	132552162	41	135986	212404.8964	13645.3877	16	PRRX2,PTGES	METTL11A,TOR1B,USP20,C9orf50,ASB6,TOR1A,C9orf78	PTGES	16	1
8_MACS_peak_25048_lociStitched	chr20	60984746	61072266	8	86621	189358.272	7325.424	17	C20orf151,GATA5	RPS21,LAMA5,CABLES2	GATA5	17	1
4_MACS_peak_25867_lociStitched	chr21	46709510	46795437	4	84990	191660.1735	10629.1699	18	LOC642852	COL18A1,POFUT2,NCRNA00175	LOC642852	18	1
2_MACS_peak_6920_lociStitched	chr11	1982561	2064817	2	82047	182452.0336	6564.0288	19	LOC100133545,H19,MIR675	TNNT3,MRPL23	H19	19	1
11_MACS_peak_1756_lociStitched	chr1	10755015	10852144	11	96313	178639.6568	8663.9068	20	CASZ1		CASZ1	20	1
7_MACS_peak_17355_lociStitched	chr19	1282669	1345883	7	62211	173484.5016	7794.2862	21	EFNA2	ATP5D,MIDN,CIRBP,C19orf24,MUM1,NDUFS7,C19orf26,C19orf23	EFNA2	21	1
13_MACS_peak_25580_lociStitched	chr21	44147610	44231265	13	80934	173751.435	11527.659	22	PDE9A		WDR4	22	1
5_MACS_peak_2181_lociStitched	chr1	17011875	17066329	5	53659	168469.7852	14103.586	23	ESPNP	MST1P2,MST1P9	ESPNP	23	1
12_MACS_peak_25566_lociStitched	chr21	44049998	44136747	12	83906	163625.9638	11893.2879	24	PDE9A		PDE9A	24	1
13_MACS_peak_27976_lociStitched	chr22	46287804	46374796	13	85100	158629.912	7350.824	25	WNT7B	LOC730668	WNT7B	25	1
17_MACS_peak_36299_lociStitched	chr9	135020773	135116534	17	93442	159432.4889	9106.8711	26	NTNG2		NTNG2	26	1
11_MACS_peak_25800_lociStitched	chr21	46404167	46477533	11	71306	159079.4978	9090.0474	27	NCRNA00163,NCRNA00162	C21orf70,ADARB1,C21orf67,C21orf122	NCRNA00162	27	1
5_MACS_peak_25795_lociStitched	chr21	46301113	46358440	5	56777	157431.4074	7762.0758	28	ITGB2,C21orf67	C21orf70,PTTG1IP	ITGB2	28	1
10_MACS_peak_30293_lociStitched	chr4	9324620	9370921	10	45762	162484.0993	13515.2619	29	USP17,USP17L6P		USP17L6P	29	1
19_MACS_peak_6941_lociStitched	chr11	2148815	2241091	19	87927	153344.2568	7086.7968	30	IGF2AS,IGF2,INS-IGF2,MIR483,INS,TH		TH	30	1
6_MACS_peak_25060_lociStitched	chr20	61141432	61213391	6	71003	147487.1664	6123.7109	31	C20orf166,MIR1-1,MIR133A2,C20orf200		MIR133A2	31	1
23_MACS_peak_36597_lociStitched	chr9	136492015	136588806	23	91593	142969.9861	7327.0787	32	DBH,SARDH	FAM163B	DBH	32	1
19_MACS_peak_6826_lociStitched	chr11	1613639	1700482	19	82247	143447.2674	8910.0918	33	LOC338651,KRTAP5-5,FAM99A,MOB2,KRTAP5-2,KRTAP5-3,KRTAP5-4	KRTAP5-6,DUSP8,KRTAP5-1,FAM99B	KRTAP5-5	33	1
20_MACS_peak_25307_lociStitched	chr20	62777393	62866189	20	84019	137243.0976	7965.0012	34	MYT1	PCMTD2,NPBWR2	MYT1	34	1
5_MACS_peak_17737_lociStitched	chr19	4557407	4624068	5	65787	138214.9174	9459.1959	35	SEMA6B	TNFAIP8L1,PLIN4,PLIN5,LRG1,C19orf10	SEMA6B	35	1
15_MACS_peak_26094_lociStitched	chr22	19689550	19763952	15	72073	130203.5	6145.6052	36	SEPT5,SEPT5-GP1BB,GP1BB,TBX1		GP1BB	36	1
13_MACS_peak_9758_lociStitched	chr12	54337720	54411732	13	72395	130897.6232	7519.6192	37	HOXC13,HOXC12,HOXC11,HOXC10,MIR196A2,HOXC9,HOXC8,HOXC6,HOXC5,HOXC4,HOTAIR	HOXC6,HOXC5,MIR615,HOXC4,FLJ12825	HOXC10	37	1
30_MACS_peak_25928_lociStitched	chr21	47347490	47425752	30	70037	131761.9032	9219.2636	38	PCBP3,COL6A1		COL6A1	38	1
29_MACS_peak_2408_lociStitched	chr1	17916042	18015979	29	94831	130277.8732	7875.0356	39	ARHGEF10L		ARHGEF10L	39	1
8_MACS_peak_17621_lociStitched	chr19	3360426	3434920	8	73560	129247.09	9118.0656	40	NFIC	C19orf77	NFIC	40	1
20_MACS_peak_15622_lociStitched	chr17	48633985	48714754	20	77143	127025.4063	7568.0553	41	CACNA1G,ABCC3	MYCBPAP,EPN3,SPATA20	CACNA1G	41	1
39_MACS_peak_13777_lociStitched	chr17	784446	882354	39	90369	126085.9224	8890.0464	42	NXN	TIMM22,MIR3183	NXN	42	1
8_MACS_peak_29285_lociStitched	chr4	1751814	1808564	8	54646	117370.35	4619.45	43	FGFR3	TACC3,SLBP,TMEM129,LETM1	FGFR3	43	1
8_MACS_peak_236_lociStitched	chr1	2347924	2412246	8	62917	117033.879	4502.54	44	PLCH2	RER1,MORN1,PEX10,PANK4,HES5	PLCH2	44	1
9_MACS_peak_13825_lociStitched	chr17	1041239	1106179	9	63453	118262.234	6883.64	45	ABR	ABR	ABR	45	1
6_MACS_peak_1102_lociStitched	chr1	6473538	6530493	6	55785	117241.8675	5997.3615	46	ESPN,HES2,MIR4252,TNFRSF25,PLEKHG5	ACOT7	MIR4252	46	1
8_MACS_peak_33_lociStitched	chr1	829605	879438	8	47627	114222.2193	4818.8511	47	SAMD11,FLJ39609	KLHL17,PLEKHN1,FAM41C,NOC2L,C1orf170	FLJ39609	47	1
11_MACS_peak_11811_lociStitched	chr16	1144548	1202597	11	56979	113212.9647	3883.4781	48	C1QTNF8	SSTR5,CACNA1H,LOC146336	C1QTNF8	48	1
20_MACS_peak_19501_lociStitched	chr19	18059293	18132367	20	68797	115347.309	6759.345	49	KCNN1,ARRDC2	CCDC124	ARRDC2	49	1
5_MACS_peak_1751_lociStitched	chr1	10699809	10753554	5	52843	109672.047	4842.4245	50	CASZ1		CASZ1	50	1
10_MACS_peak_435_lociStitched	chr1	3099157	3169736	10	69201	109672.7081	4848.7773	51	PRDM16		MIR4251	51	1
3_MACS_peak_25157_lociStitched	chr20	61850194	61902805	3	51890	109620.2796	4813.9065	52	BIRC7,MIR3196,FLJ16779,NKAIN4	MIR124-3,ARFGAP1,MIR4326,COL20A1,YTHDF1	MIR3196	52	1
14_MACS_peak_168_lociStitched	chr1	1915774	1986131	14	67204	110045.3837	5881.8452	53	GABRD,PRKCZ,KIAA1751	PRKCZ	GABRD	53	1
21_MACS_peak_6874_lociStitched	chr11	1787005	1859169	21	66956	110829.4712	6761.7668	54	SYT8	TNNI2,LSP1,LOC402778,CTSD,MOB2,MIR4298	SYT8	54	1
11_MACS_peak_36042_lociStitched	chr9	132911577	132983477	11	69567	110452.78	6614.8	55	NCS1		NCS1	55	1
8_MACS_peak_25071_lociStitched	chr20	61313399	61371654	8	56688	107841.656	4998.279	56	NTSR1	SLCO4A1,LOC100127888	NTSR1	56	1
9_MACS_peak_13894_lociStitched	chr17	1828303	1899839	9	69113	109056.632	6216.4784	57	RTN4RL1	DPH1,OVCA2	RTN4RL1	57	1
8_MACS_peak_36191_lociStitched	chr9	133770057	133825230	8	54099	106561.1322	4314.5286	58	FIBCD1	QRFP	FIBCD1	58	1
28_MACS_peak_3504_lociStitched	chr1	23160829	23247825	28	79273	108544.9092	7629.5492	59	EPHB2,MIR4253		MIR4253	59	1
5_MACS_peak_228_lociStitched	chr1	2243692	2294334	5	48900	104722.5918	4228.607	60	MORN1,LOC100129534	RER1,PEX10	LOC100129534	60	1
