GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
SNN	NM_003498	chr16:11765955-11843343	1	1	1.7772000000000001
TXNDC11	NM_015914	chr16:11765955-11843343	1	1	2.2313
ZC3H7A	NM_014153	chr16:11765955-11843343	1	1	0.1858
FOXO3	NM_201559	chr6:108878247-108952046,chr6:108987844-108997076	2,387	1	0.6697
FAM46C	NM_017709	chr1:118147591-118219140	3	1	3.8005
ZBTB38	NM_001080412	chr3:141079255-141159178	4	1	2.6525
RASA2	NM_006506	chr3:141205479-141218884,chr3:141079255-141159178	4,816	1	0.07100000000000001
CCDC88C	NM_001080414	chr14:91813200-91885820,chr14:91782134-91792159	5,894	1	0.8379
BCL2L1	NM_001191	chr20:30249177-30312252	6	1	1.8168
COX4I2	NM_032609	chr20:30249177-30312252	6	1	0.0
TPX2	NM_012112	chr20:30249177-30312252	6	1	0.0316
QPCT	NM_012413	chr2:37528399-37586350	7	1	2.1612
PRKD3	NM_005813	chr2:37528399-37586350	7	1	0.8462
INPP4A	NM_004027	chr2:99054910-99108072	8	1	1.0076
BMP6	NM_001718	chr6:7880073-7919627	9	1	0.0335
MUTED-TXNDC5	NR_037616	chr6:7880073-7919627	9	1	1.3649
TXNDC5	NM_001145549	chr6:7880073-7919627	9	1	5.3356
CHMP4B	NM_176812	chr20:32398703-32452343	10	1	1.3581
CKS1B	NR_024163	chr1:154908113-154957811,chr1:154970859-154979497	11,468	1	1.8620999999999999
MIR4258	NR_036212	chr1:154908113-154957811,chr1:154970859-154979497	11,468	1	2.0974999999999997
FLAD1	NM_201398	chr1:154908113-154957811,chr1:154970859-154979497	11,468	1	0.3193
PMVK	NM_006556	chr1:154908113-154957811	11	1	2.58
PBXIP1	NM_020524	chr1:154908113-154957811,chr1:154970859-154979497	11,468	1	2.3039
PYGO2	NM_138300	chr1:154908113-154957811,chr1:154970859-154979497	11,468	1	2.2829
SHC1	NM_001130041	chr1:154908113-154957811,chr1:154970859-154979497	11,468	1	1.8458
LENEP	NM_018655	chr1:154908113-154957811,chr1:154970859-154979497	11,468	1	0.1514
ZBTB7B	NM_015872	chr1:154970859-154979497,chr1:154908113-154957811	11,468	1	0.9134000000000001
