REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X09_0EWV_0229Kronos_MM1S.KB.24hr.1_H3K18Ac_hs.dm_i17.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
7_MACS_peak_13598_lociStitched	chr2	37525716	37624917	7	81544	387002.9412	21199.2537	1	QPCT,PRKD3		QPCT	QPCT	4.9001	1	1
9_MACS_peak_18430_lociStitched	chr3	141079084	141160642	9	70038	428921.6778	17567.5932	2	ZBTB38	RASA2	ZBTB38	ZBTB38	3.0574	2	1
4_MACS_peak_2190_lociStitched	chr1	203236165	203299617	4	54345	451397.528	20856.6724	3	BTG2,LOC730227	CHIT1,FMOD	LOC730227	LOC730227	7.5887	3	1
11_MACS_peak_9464_lociStitched	chr16	11754652	11843245	11	69196	247644.0129	17000.9967	4	SNN,TXNDC11	ZC3H7A	SNN	SNN	2.6334	4	1
4_MACS_peak_1316_lociStitched	chr1	118147481	118219684	4	67603	243504.6175	9083.1374	5	FAM46C		FAM46C	FAM46C	2.5371	5	1
7_MACS_peak_23005_lociStitched	chr6	108878154	108960461	7	73418	153214.4805	13523.0401	6	FOXO3		FOXO3	FOXO3	1.3307	6	1
8_MACS_peak_8057_lociStitched	chr14	91812869	91886033	8	61353	190643.4348	8201.6844	7	CCDC88C		CCDC88C	CCDC88C	1.273	7	1
5_MACS_peak_16736_lociStitched	chr22	23188422	23249167	5	52062	243793.983	8546.8215	8	IGLL5	MIR650	IGLL5	IGLL5	7.7171	8	1
1_MACS_peak_10716_lociStitched	chr17	32688179	32729404	1	41226	284526.705	10157.84	9	CCL1	CCL8,CCL13	CCL1	CCL1	3.7312999999999996	9	1
3_MACS_peak_10756_lociStitched	chr17	34597245	34646085	3	46736	233333.1	12092.784	10	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	TBC1D3C	0.00520000000000001	10	1
2_MACS_peak_14240_lociStitched	chr2	99054560	99108536	2	49742	212244.4272	11939.4912	11	INPP4A		INPP4A	INPP4A	1.4255	11	1
8_MACS_peak_11040_lociStitched	chr17	46505688	46572079	8	49976	153648.6913	11565.3122	12	SKAP1	HOXB1	SKAP1	SKAP1	0.00739999999999999	12	1
3_MACS_peak_8212_lociStitched	chr14	106023334	106056622	3	33046	247040.2344	6075.06	13		TMEM121	TMEM121	TMEM121	0.0972	13	1
4_MACS_peak_10504_lociStitched	chr17	16847545	16895801	4	41941	189395.1488	9178.2912	14	TNFRSF13B		TNFRSF13B	TNFRSF13B	2.4946	14	1
5_MACS_peak_23332_lociStitched	chr6	138244642	138297817	5	47264	137133.0075	8800.4625	15			TNFAIP3	TNFAIP3	1.5387	15	1
4_MACS_peak_11689_lociStitched	chr18	9094811	9154924	4	47338	127601.8651	12449.4023	16	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.2893	16	1
2_MACS_peak_10752_lociStitched	chr17	34508268	34544400	2	34827	211693.7748	9903.7812	17	CCL4L1,CCL3L1,CCL3L3	TBC1D3B,TBC1D3C	CCL3L1	CCL3L1	6.4645	17	1
2_MACS_peak_16741_lociStitched	chr22	23265455	23298606	2	27513	218750.1886	6388.1977	18		IGLL5	IGLL5	IGLL5	7.7171	18	1
2_MACS_peak_15794_lociStitched	chr20	30271497	30312299	2	39765	147805.245	9563.9888	19	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	2.1368	19	1
4_MACS_peak_21899_lociStitched	chr6	289715	338154	4	38212	159441.8124	15592.5141	20	DUSP22		DUSP22	DUSP22	2.0583	20	1
2_MACS_peak_22011_lociStitched	chr6	7882201	7921979	2	36742	163630.7808	9491.0308	21	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	2.9348	21	1
6_MACS_peak_21379_lociStitched	chr5	131789798	131842798	6	39074	147355.9	10552.3	22	C5orf56,IRF1	RAD50,IL5	IRF1	IRF1	1.0633000000000001	22	1
6_MACS_peak_17643_lociStitched	chr3	46317403	46366462	6	41292	119247.7113	8629.4781	23		CCR3,CCR2,CCR5	CCR2	CCR2	2.2141	23	1
2_MACS_peak_18368_lociStitched	chr3	133177374	133213686	2	34632	168999.6792	7505.6904	24	BFSP2		BFSP2	BFSP2	1.9434	24	1
1_MACS_peak_25945_lociStitched	chr8	120915184	120952095	1	36912	152656.5138	6810.0795	25	DEPDC6	DSCC1	DEPDC6	DEPDC6	1.0869	25	1
5_MACS_peak_14372_lociStitched	chr2	112185909	112242286	5	42874	97188.3103	9020.32	26	LOC541471		LOC541471	LOC541471	0.7798	26	1
4_MACS_peak_15153_lociStitched	chr2	204536513	204586966	4	40384	121379.8274	9348.9409	27	CD28		CD28	CD28	2.0300000000000002	27	1
4_MACS_peak_18845_lociStitched	chr3	183220230	183261282	4	37386	143706.6312	11354.9832	28	KLHL6		KLHL6	KLHL6	2.1102	28	1
4_MACS_peak_3852_lociStitched	chr10	112596381	112633444	4	29532	184466.2573	7123.5086	29	RBM20,PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	5.1192	29	1
4_MACS_peak_8219_lociStitched	chr14	106143902	106175966	4	31018	169342.8096	4020.8256	30			TMEM121	TMEM121	0.0972	30	1
4_MACS_peak_11926_lociStitched	chr18	46439414	46483268	4	40736	89041.1616	8577.8424	31	SMAD7		SMAD7	SMAD7	1.8876	31	1
6_MACS_peak_22622_lociStitched	chr6	52392395	52443089	6	39524	95669.7168	9941.0934	32	TRAM2		TRAM2	TRAM2	1.3077999999999999	32	1
1_MACS_peak_11258_lociStitched	chr17	62148982	62187457	1	38476	101885.6475	7948.935	33	ERN1	SNORD104,SNORA76	ERN1	ERN1	1.4005	33	1
1_MACS_peak_19744_lociStitched	chr4	90204250	90230490	1	26241	179185.088	6586.24	34	GPRIN3		GPRIN3	GPRIN3	2.403	34	1
6_MACS_peak_23025_lociStitched	chr6	109185991	109236570	6	34077	132602.9643	8122.9874	35	ARMC2		ARMC2	ARMC2	1.0342	35	1
5_MACS_peak_17649_lociStitched	chr3	46388381	46440055	5	38236	91034.0858	8304.0118	36	CCR2,CCR5	CCRL2	CCR5	CCR5	1.0519	36	1
3_MACS_peak_24138_lociStitched	chr7	55568734	55606381	3	31156	149183.7669	7472.9295	37	VOPP1		VOPP1	VOPP1	1.7916	37	1
7_MACS_peak_9995_lociStitched	chr16	68269753	68321282	7	36452	106294.0212	9687.452	38	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	SLC7A6	1.1397	38	1
7_MACS_peak_12935_lociStitched	chr19	42022142	42070641	7	35637	113041.4692	9738.5992	39		CEACAM21	CEACAM21	NONE	NONE	39	1
4_MACS_peak_2259_lociStitched	chr1	206271553	206311384	4	27585	164964.0696	10945.5588	40	C1orf186	AVPR1B,CTSE	C1orf186	C1orf186	1.9002	40	1
6_MACS_peak_8339_lociStitched	chr15	31616428	31660736	6	36104	99307.5204	7935.5628	41	KLF13		KLF13	KLF13	1.5056	41	1
2_MACS_peak_3953_lociStitched	chr10	125821494	125855166	2	33239	121761.3192	6427.9848	42	CHST15		CHST15	CHST15	1.2905	42	1
7_MACS_peak_2065_lociStitched	chr1	192475739	192521191	7	34990	104716.8628	11158.466	43		RGS1	RGS1	RGS1	2.0749999999999997	43	1
3_MACS_peak_19519_lociStitched	chr4	71523428	71555476	3	30327	132957.5376	6784.5616	44	UTP3,IGJ	ENAM,RUFY3	IGJ	IGJ	2.6619	44	1
5_MACS_peak_21791_lociStitched	chr5	173309435	173357033	5	36898	58174.2756	7858.4298	45	CPEB4		CPEB4	CPEB4	0.6131	45	1
