REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X32_0EX8_0229Kronos_MM1S.No.Treatment.2_IRF4_hs_i48.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
9_MACS_peak_11359_lociStitched	chr2	99061661	99105607	9	26026	33218.7814	11522.6412	1	INPP4A		INPP4A	1	1
9_MACS_peak_18445_lociStitched	chr6	7878048	7918942	9	27985	29705.4016	11920.601	2	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	2	1
7_MACS_peak_19347_lociStitched	chr6	106531326	106560149	7	20671	19383.4675	6891.5793	3	PRDM1		PRDM1	3	1
4_MACS_peak_2148_lociStitched	chr1	228744130	228777740	4	22316	23332.062	14532.964	4		DUSP5P	DUSP5P	4	1
1_MACS_peak_3985_lociStitched	chr11	65263965	65278801	1	14837	17123.7112	3667.4592	6	MALAT1	SCYL1,LTBP3	MALAT1	6	1
6_MACS_peak_5129_lociStitched	chr12	53583686	53603470	6	15554	17940.1312	5401.032	7	ZNF740,ITGB7	MFSD5,CSAD,RARG	ITGB7	7	1
3_MACS_peak_2438_lociStitched	chr10	11204678	11223174	3	16165	16962.6816	5090.0992	8	CELF2		CELF2	8	1
10_MACS_peak_4695_lociStitched	chr12	7046079	7080746	10	16309	18179.3748	6867.5327	9	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	9	1
8_MACS_peak_7918_lociStitched	chr16	56964034	56986023	8	16219	15638.5768	5145.426	10	HERPUD1	CETP,NLRC5	HERPUD1	10	1
2_MACS_peak_3978_lociStitched	chr11	65183632	65199513	2	13624	17111.7775	5113.682	11	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	11	1
5_MACS_peak_8567_lociStitched	chr17	34622718	34640668	5	14455	17628.695	6740.225	12	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	12	1
4_MACS_peak_8559_lociStitched	chr17	34522812	34539657	4	14107	17235.804	6156.8475	13	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	13	1
5_MACS_peak_16194_lociStitched	chr4	90209938	90229761	5	15905	13721.4806	5037.0243	14	GPRIN3		GPRIN3	14	1
6_MACS_peak_7591_lociStitched	chr16	11766185	11785662	6	14565	14539.5805	4750.4403	15	SNN,TXNDC11		SNN	15	1
4_MACS_peak_1142_lociStitched	chr1	150532183	150552742	4	12603	18346.8516	7179.2028	16	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	16	1
7_MACS_peak_7600_lociStitched	chr16	11813428	11837508	7	15141	13959.176	4979.744	17	TXNDC11		TXNDC11	17	1
6_MACS_peak_3518_lociStitched	chr11	10319725	10345038	6	14018	14099.341	4809.47	18	ADM	SBF2	ADM	18	1
3_MACS_peak_9796_lociStitched	chr19	2082083	2098308	3	13008	15454.3125	5865.3375	19	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	19	1
5_MACS_peak_15247_lociStitched	chr3	171801950	171826812	5	12084	17831.0264	7836.5024	20	FNDC3B		FNDC3B	20	1
6_MACS_peak_12762_lociStitched	chr20	30293191	30312257	6	12799	13513.9808	5151.6332	21	BCL2L1	TPX2	BCL2L1	21	1
4_MACS_peak_1852_lociStitched	chr1	204474922	204491152	4	10517	14970.552	5312.079	22	MDM4	PIK3C2B	MDM4	22	1
5_MACS_peak_10226_lociStitched	chr19	39888106	39903849	5	12270	11799.3785	3531.1549	23	MED29,ZFP36,PLEKHG2	SUPT5H,PAF1,RPS16	ZFP36	23	1
3_MACS_peak_15005_lociStitched	chr3	141097472	141110734	3	10526	13089.594	4208.0326	24	ZBTB38		ZBTB38	24	1
4_MACS_peak_15844_lociStitched	chr4	40193781	40207882	4	11593	11733.4421	3946.8699	25	RHOH		RHOH	25	1
3_MACS_peak_10812_lociStitched	chr2	37538759	37551713	3	11633	10343.769	2962.5798	26	PRKD3	QPCT	PRKD3	26	1
5_MACS_peak_17844_lociStitched	chr5	131745876	131764069	5	11750	11929.1501	4695.6133	27	C5orf56	SLC22A5,MIR3936	C5orf56	27	1
3_MACS_peak_1280_lociStitched	chr1	156118713	156131906	3	10481	13179.807	5050.2804	28	SEMA4A	LMNA,SLC25A44	SEMA4A	28	1
3_MACS_peak_18355_lociStitched	chr6	315291	330248	3	10657	14361.7114	6474.8853	29	DUSP22		DUSP22	29	1
5_MACS_peak_9802_lociStitched	chr19	2255158	2274702	5	11351	12066.4656	4819.5504	30	OAZ1,JSRP1,C19orf35	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,LINGO3	OAZ1	30	1
3_MACS_peak_4780_lociStitched	chr12	12866858	12880040	3	11562	10251.6414	3225.6354	31	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	31	1
4_MACS_peak_21142_lociStitched	chr7	150063993	150081406	4	11232	12587.8577	5298.7759	32	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	32	1
5_MACS_peak_2444_lociStitched	chr10	11283939	11304292	5	9954	12570.0128	4434.9187	33	CELF2		CELF2	33	1
7_MACS_peak_13543_lociStitched	chr22	23223272	23240278	7	9889	11281.7804	3316.17	34	IGLL5		IGLL5	34	1
4_MACS_peak_10885_lociStitched	chr2	43444646	43457341	4	11769	9200.0665	3042.9915	35	LOC100129726,ZFP36L2		ZFP36L2	35	1
3_MACS_peak_2216_lociStitched	chr1	234734936	234749677	3	9473	12972.08	5013.4141	36	IRF2BP2	NCRNA00184	IRF2BP2	36	1
4_MACS_peak_12165_lociStitched	chr2	201980069	201994562	4	9954	11098.7394	3859.4859	37	CFLAR	NDUFB3,FAM126B	CFLAR	37	1
4_MACS_peak_10056_lociStitched	chr19	16253414	16273060	4	9274	12068.5378	4481.2526	38	HSH2D,CIB3	RAB8A,FAM32A,AP1M1	HSH2D	38	1
3_MACS_peak_8872_lociStitched	chr17	56405273	56422714	3	9662	12430.2007	5322.9932	39	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	39	1
3_MACS_peak_8553_lociStitched	chr17	34409477	34420384	3	6850	11462.1663	2647.1289	40	CCL3	CCL18,CCL4	CCL3	40	1
5_MACS_peak_9103_lociStitched	chr17	75131586	75144850	5	10241	9930.7568	3491.0848	41	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	41	1
3_MACS_peak_10600_lociStitched	chr2	11883759	11895202	3	9733	9778.0435	2937.4181	42	LPIN1		LPIN1	42	1
1_MACS_peak_5651_lociStitched	chr12	109021884	109031104	1	9221	10269.236	3050.898	43	SELPLG	TMEM119	SELPLG	43	1
6_MACS_peak_13963_lociStitched	chr3	5228620	5247785	6	10340	10197.6965	3959.489	44	EDEM1		EDEM1	44	1
5_MACS_peak_17509_lociStitched	chr5	88113950	88126623	5	10633	8781.1217	2881.8402	45	MEF2C		MEF2C	45	1
3_MACS_peak_18352_lociStitched	chr6	290556	307303	3	8809	13352.3831	5861.45	46	DUSP22		DUSP22	46	1
4_MACS_peak_12096_lociStitched	chr2	197033652	197053385	4	9613	10961.6815	4207.0756	47	STK17B		STK17B	47	1
2_MACS_peak_171_lociStitched	chr1	17221236	17232649	2	6802	13046.2003	4880.1988	48		CROCC	CROCC	48	1
4_MACS_peak_15008_lociStitched	chr3	141118915	141132668	4	9250	9825.1432	3830.2105	49	ZBTB38		RASA2	49	1
5_MACS_peak_22684_lociStitched	chr9	94181295	94196026	5	9289	8635.3122	2991.8661	50	NFIL3		NFIL3	50	1
4_MACS_peak_18358_lociStitched	chr6	388970	401413	4	9444	8157.6308	2695.1538	51	IRF4		IRF4	51	1
3_MACS_peak_1826_lociStitched	chr1	203267598	203280341	3	9815	9874.5507	4849.9858	52	BTG2,LOC730227	FMOD	LOC730227	52	1
3_MACS_peak_13613_lociStitched	chr22	29185838	29197972	3	8132	9164.8102	2668.2666	53	XBP1	HSCB,CCDC117,CHEK2	XBP1	53	1
5_MACS_peak_17245_lociStitched	chr5	55437642	55453247	5	7398	10695.667	3693.7035	54	ANKRD55		ANKRD55	54	1
3_MACS_peak_7612_lociStitched	chr16	12056572	12070776	3	8457	9654.4588	3426.0048	55	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	55	1
2_MACS_peak_10072_lociStitched	chr19	16694394	16706430	2	8232	9757.5852	3461.5536	56	MED26	CHERP,SLC35E1	SLC35E1	56	1
2_MACS_peak_13550_lociStitched	chr22	23270221	23278743	2	7003	10019.3154	2899.1844	57		IGLL5	IGLL5	57	1
4_MACS_peak_18787_lociStitched	chr6	31694791	31708506	4	8793	8901.035	3221.6535	58	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	58	1
4_MACS_peak_8632_lociStitched	chr17	38470694	38483363	4	7404	9775.4004	3078.567	59	RARA	CDC6,RARA,GJD3	RARA	59	1
5_MACS_peak_4884_lociStitched	chr12	26265984	26279826	5	8793	8857.4958	3543.552	60	BHLHE41		BHLHE41	60	1
5_MACS_peak_21212_lociStitched	chr8	2029486	2041079	5	7974	8739.9627	2846.0815	61	MYOM2		MYOM2	61	1
3_MACS_peak_10815_lociStitched	chr2	37570169	37584032	3	8392	8891.7282	3392.2761	62	QPCT	PRKD3	QPCT	62	1
2_MACS_peak_1888_lociStitched	chr1	206728517	206737758	2	8515	8837.1683	3575.3429	63	RASSF5	LGTN	RASSF5	63	1
2_MACS_peak_1829_lociStitched	chr1	203289287	203297878	2	7165	9704.3936	3369.3902	64		BTG2,LOC730227,FMOD	BTG2	64	1
3_MACS_peak_7172_lociStitched	chr15	75072324	75083254	3	9040	7628.047	2989.355	65	CSK	CYP1A2,LMAN1L,CPLX3	CSK	65	1
2_MACS_peak_15432_lociStitched	chr3	186711439	186719740	2	7517	9240.6732	3268.9338	66	ST6GAL1	ST6GAL1	ST6GAL1	66	1
