ENHANCER_ID	CHROM	START	STOP	GENE_LIST
23_MACS_peak_1180_lociStitched	chr1	118147300	118244275	FAM46C
8_MACS_peak_22524_lociStitched	chr9	134495021	134562331	RAPGEF1
19_MACS_peak_6636_lociStitched	chr14	91814709	91885895	CCDC88C
28_MACS_peak_20119_lociStitched	chr7	55551575	55643337	VOPP1
14_MACS_peak_4473_lociStitched	chr11	128556440	128631533	FLI1
7_MACS_peak_11909_lociStitched	chr2	89120620	89171140	ANKRD36BP2
8_MACS_peak_17969_lociStitched	chr5	150431384	150478811	TNIP1,GPX3,ANXA6
8_MACS_peak_15561_lociStitched	chr3	141078794	141135918	ZBTB38
8_MACS_peak_17839_lociStitched	chr5	139027186	139077812	CXXC5
13_MACS_peak_17719_lociStitched	chr5	131789708	131837146	IRF1,IL5,C5ORF56
8_MACS_peak_4500_lociStitched	chr11	129278651	129320238	BARX2
8_MACS_peak_10089_lociStitched	chr19	1239860	1276833	MIDN,STK11,EFNA2,C19ORF26,ATP5D,CIRBP,C19ORF24,C19ORF23
10_MACS_peak_17764_lociStitched	chr5	133859399	133905316	PHF15
10_MACS_peak_10500_lociStitched	chr19	16222474	16272275	HSH2D,TPM4,FAM32A,AP1M1,RAB8A,CIB3
3_MACS_peak_10751_lociStitched	chr19	39879844	39903956	ZFP36,SAMD4B,SUPT5H,RPS16,MED29,PLEKHG2,PAF1
9_MACS_peak_14031_lociStitched	chr22	23260003	23298940	IGLL5
10_MACS_peak_16928_lociStitched	chr5	1478593	1525033	LPCAT1,SLC6A3
4_MACS_peak_7432_lociStitched	chr15	75063135	75093642	CSK,CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3
9_MACS_peak_3707_lociStitched	chr11	65307151	65357661	SSSCA1,MALAT1,SCYL1,PCNXL3,SIPA1,KCNK7,MAP3K11,FAM89B,EHBP1L1,LTBP3
28_MACS_peak_4100_lociStitched	chr11	87117204	87191544	TMEM135
7_MACS_peak_22532_lociStitched	chr9	134580139	134616007	RAPGEF1
5_MACS_peak_14026_lociStitched	chr22	23219978	23249404	IGLL5
21_MACS_peak_13112_lociStitched	chr20	30249586	30311931	BCL2L1,COX4I2,TPX2
5_MACS_peak_10420_lociStitched	chr19	12885805	12905720	JUNB,ASNA1,BEST2,RNASEH2A,MAST1,C19ORF43,PRDX2,RTBDN,HOOK2
7_MACS_peak_7072_lociStitched	chr15	45001629	45030188	B2M,SPG11,PATL2,TRIM69
7_MACS_peak_7614_lociStitched	chr15	89164398	89201676	ISG20,MIR1179,MIR7-2,AEN
8_MACS_peak_9562_lociStitched	chr17	75433210	75471661	SEPT9,MIR4316
7_MACS_peak_17710_lociStitched	chr5	131741669	131774841	C5ORF56,SLC22A5,MIR3936
8_MACS_peak_11375_lociStitched	chr2	33699038	33742909	RASGRP3
7_MACS_peak_3895_lociStitched	chr11	72832585	72871804	FCHSD2
3_MACS_peak_10448_lociStitched	chr19	13943916	13959020	MIR23A,ZSWIM4,MIR181C,MIR181D,NANOS3,LOC284454,MIR24-2,MIR27A
7_MACS_peak_17979_lociStitched	chr5	150502800	150538160	ANXA6,TNIP1
1_MACS_peak_3698_lociStitched	chr11	65183383	65199157	NEAT1,FRMD8,MIR612,SLC25A45
9_MACS_peak_15124_lociStitched	chr3	53193996	53231383	PRKCD,RFT1
8_MACS_peak_4213_lociStitched	chr11	102182985	102219684	BIRC3,BIRC2
10_MACS_peak_10851_lociStitched	chr19	44251741	44289754	C19ORF61,IRGC,ZNF283,LYPD5,KCNN4
15_MACS_peak_20900_lociStitched	chr8	27217109	27267175	PTK2B,TRIM35
3_MACS_peak_1883_lociStitched	chr1	203254287	203278309	LOC730227,FMOD,BTG2
4_MACS_peak_22492_lociStitched	chr9	132745573	132774227	FNBP1,GPR107
9_MACS_peak_7543_lociStitched	chr15	81576388	81617382	IL16,TMC3,STARD5
9_MACS_peak_22269_lociStitched	chr9	112883315	112925284	AKAP2,C9ORF152,PALM2-AKAP2
2_MACS_peak_206_lociStitched	chr1	17221549	17233265	CROCC
6_MACS_peak_8667_lociStitched	chr17	7737051	7762034	KDM6B,CHD3,SCARNA21,DNAH2,TMEM88,CYB5D1,LSMD1
3_MACS_peak_4287_lociStitched	chr11	111227399	111254648	POU2AF1
6_MACS_peak_16917_lociStitched	chr5	1311660	1346112	CLPTM1L,TERT
20_MACS_peak_975_lociStitched	chr1	93391810	93447087	FAM69A
5_MACS_peak_1530_lociStitched	chr1	156450264	156478823	MEF2D
5_MACS_peak_6897_lociStitched	chr15	31630534	31661052	KLF13
14_MACS_peak_4033_lociStitched	chr11	82678841	82721363	SNORA70E,RAB30
5_MACS_peak_17415_lociStitched	chr5	88108943	88139036	MEF2C
8_MACS_peak_608_lociStitched	chr1	40838733	40870808	SMAP2,ZNF643
2_MACS_peak_10133_lociStitched	chr19	2080580	2097922	MOBKL2A,MKNK2,IZUMO4
4_MACS_peak_16002_lociStitched	chr4	35637	63233	ZNF595,ZNF718
18_MACS_peak_11970_lociStitched	chr2	99069118	99111774	INPP4A
4_MACS_peak_8715_lociStitched	chr17	16868383	16895585	TNFRSF13B
7_MACS_peak_11897_lociStitched	chr2	89038784	89070137	ANKRD36BP2,RPIA
4_MACS_peak_6968_lociStitched	chr15	40384726	40409611	BMF,BUB1B
5_MACS_peak_4622_lociStitched	chr12	7045680	7080628	PTPN6,LRRC23,ENO2,LPCAT3,ATN1,C12ORF57,MIR200C,MIR141,EMG1,PHB2,SCARNA12
19_MACS_peak_9992_lociStitched	chr18	60842054	60902701	BCL2
15_MACS_peak_3126_lociStitched	chr10	125810023	125854777	CHST15
1_MACS_peak_10792_lociStitched	chr19	41800757	41816966	CCDC97,TGFB1,HNRNPUL1
1_MACS_peak_12626_lociStitched	chr2	201979420	201999378	CFLAR,NDUFB3,CASP10,FAM126B
7_MACS_peak_19855_lociStitched	chr7	18534656	18571105	HDAC9
3_MACS_peak_3703_lociStitched	chr11	65255090	65276004	MALAT1,MIR612,SCYL1,LTBP3
5_MACS_peak_12749_lociStitched	chr2	219742623	219762867	WNT10A,WNT6,PRKAG3
4_MACS_peak_18262_lociStitched	chr5	180228479	180249594	MGAT1,LOC729678,ZFP62
4_MACS_peak_16965_lociStitched	chr5	6476868	6497118	UBE2QL1
6_MACS_peak_10125_lociStitched	chr19	2040329	2062701	MKNK2,IZUMO4,BTBD2,MOBKL2A
4_MACS_peak_2780_lociStitched	chr10	81001314	81020044	PPIF,ZMIZ1
3_MACS_peak_16254_lociStitched	chr4	40185519	40212919	RHOH
2_MACS_peak_12294_lociStitched	chr2	157188237	157200988	NR4A2
5_MACS_peak_14687_lociStitched	chr3	13035289	13064493	IQSEC1
15_MACS_peak_13565_lociStitched	chr20	56242239	56286480	PMEPA1,ZBP1
9_MACS_peak_11491_lociStitched	chr2	46768575	46802772	RHOQ,CRIPT,ATP6V1E2,PIGF
8_MACS_peak_3909_lociStitched	chr11	72977730	73005025	P2RY6,P2RY2,ARHGEF17
3_MACS_peak_23232_lociStitched	chrX	153229859	153252583	TMEM187,ARHGAP4,NAA10,RENBP,IRAK1,MIR718,MIR3202-1,HCFC1,MIR3202-2
11_MACS_peak_11883_lociStitched	chr2	88891110	88929086	EIF2AK3
5_MACS_peak_18391_lociStitched	chr6	7895668	7921710	TXNDC5,MUTED-TXNDC5
17_MACS_peak_19004_lociStitched	chr6	52373681	52419037	TRAM2
6_MACS_peak_3680_lociStitched	chr11	64879175	64903419	MRPL49,ZFPL1,SPDYC,CAPN1,CDCA5,TM7SF2,C11ORF2,ZNHIT2,FAU,SYVN1
2_MACS_peak_3626_lociStitched	chr11	62597700	62610691	WDR74,TMEM179B,SLC3A2,TMEM223,NXF1,SNORD22,SNORD31,SNORD30,SNORD29,SNORD28,SNORD27,SNORD26,SNORD25,SNHG1,STX5
7_MACS_peak_3651_lociStitched	chr11	63992836	64019554	FKBP2,STIP1,FERMT3,GPR137,KCNK4,C11ORF20,BAD,NUDT22,DNAJC4,VEGFB,PLCB3,TRPT1,PPP1R14B
11_MACS_peak_4085_lociStitched	chr11	87062089	87096690	TMEM135
6_MACS_peak_16831_lociStitched	chr4	185184814	185210884	ENPP6
2_MACS_peak_4677_lociStitched	chr12	12865578	12879910	CDKN1B,MIR613,GPR19,APOLD1
8_MACS_peak_9894_lociStitched	chr18	46449030	46480196	SMAD7
1_MACS_peak_17420_lociStitched	chr5	88168294	88187015	MEF2C
16_MACS_peak_6807_lociStitched	chr14	106025020	106057766	TMEM121
9_MACS_peak_7712_lociStitched	chr15	101458459	101490334	LRRK1,ALDH1A3
1_MACS_peak_3564_lociStitched	chr11	58340180	58347809	LPXN,CNTF,ZFP91-CNTF,ZFP91
9_MACS_peak_19152_lociStitched	chr6	90052574	90082955	UBE2J1,GABRR2,RRAGD
4_MACS_peak_22438_lociStitched	chr9	130661334	130681089	ST6GALNAC4,ENG,AK1,PIP5KL1,DPM2,FAM102A,ST6GALNAC6
2_MACS_peak_20442_lociStitched	chr7	104643560	104656374	LOC100216545,MLL5
7_MACS_peak_360_lociStitched	chr1	27152311	27175638	ZDHHC18,PIGV,SFN,GPN2
4_MACS_peak_7145_lociStitched	chr15	52958725	52977324	KIAA1370
5_MACS_peak_3866_lociStitched	chr11	72523412	72550670	ATG16L2,STARD10,FCHSD2
1_MACS_peak_10529_lociStitched	chr19	16691299	16701417	SLC35E1,CHERP,MED26
6_MACS_peak_14633_lociStitched	chr3	5223190	5247779	EDEM1
5_MACS_peak_8113_lociStitched	chr16	29815835	29837005	C16ORF53,ZG16,LOC440356,CDIPT,KIF22,MAZ,PRRT2,MVP
6_MACS_peak_18154_lociStitched	chr5	173156016	173175898	BOD1
7_MACS_peak_20411_lociStitched	chr7	102063964	102087098	ORAI2,LRWD1,ALKBH4,POLR2J,PRKRIP1
4_MACS_peak_17692_lociStitched	chr5	130709606	130733263	CDC42SE2
3_MACS_peak_7428_lociStitched	chr15	74906676	74924599	CLK3,EDC3
4_MACS_peak_11019_lociStitched	chr19	50369767	50381983	AKT1S1,MED25,PTOV1,ATF5,IL4I1,TBC1D17,PNKP
7_MACS_peak_11658_lociStitched	chr2	65139546	65174205	LOC400958,SLC1A4
14_MACS_peak_13431_lociStitched	chr20	46363580	46416252	SULF2
9_MACS_peak_18055_lociStitched	chr5	156952239	156982783	ADAM19
5_MACS_peak_4646_lociStitched	chr12	9860388	9895764	CLECL1,CLEC2D,CD69
3_MACS_peak_17777_lociStitched	chr5	133967405	133986373	SEC24A,SAR1B
5_MACS_peak_14596_lociStitched	chr22	50963533	50983666	ODF3B,ADM2,MIOX,NCAPH2,KLHDC7B,LOC100144603,LMF2,C22ORF41,CPT1B,CHKB,SCO2,TYMP
2_MACS_peak_11730_lociStitched	chr2	70309873	70323275	PCBP1,LOC100133985,LOC400960
9_MACS_peak_15824_lociStitched	chr3	183223631	183260159	KLHL6
1_MACS_peak_17920_lociStitched	chr5	142774232	142785840	NR3C1
3_MACS_peak_22088_lociStitched	chr9	91924566	91936372	SECISBP2,CKS2,MIR3153
7_MACS_peak_3324_lociStitched	chr11	14323827	14348471	RRAS2
5_MACS_peak_17457_lociStitched	chr5	95142489	95162601	GLRX,C5ORF27
4_MACS_peak_22433_lociStitched	chr9	130531947	130549429	SH2D3C,FPGS,TOR2A,CDK9,MIR2861
2_MACS_peak_4741_lociStitched	chr12	26266142	26281085	BHLHE41
8_MACS_peak_7500_lociStitched	chr15	78343902	78381330	TBC1D2B,SH2D7,CIB2
2_MACS_peak_7399_lociStitched	chr15	72764816	72770406	ARIH1
4_MACS_peak_11024_lociStitched	chr19	50414141	50434271	ATF5,TBC1D17,SIGLEC16,PNKP,AKT1S1,IL4I1,SIGLEC11,NUP62
4_MACS_peak_8979_lociStitched	chr17	37909192	37935510	GRB7,C17ORF37,IKZF3
4_MACS_peak_11262_lociStitched	chr2	20403469	20427950	SDC1
8_MACS_peak_7350_lociStitched	chr15	68478898	68503750	CALML4,PIAS1,CLN6
2_MACS_peak_5611_lociStitched	chr12	125397578	125413574	UBC,SCARB1
4_MACS_peak_9252_lociStitched	chr17	56406559	56430808	MIR142,MPO,BZRAP1,SUPT4H1
6_MACS_peak_19618_lociStitched	chr6	152480406	152508704	SYNE1
5_MACS_peak_19510_lociStitched	chr6	139571345	139601556	TXLNB
4_MACS_peak_3358_lociStitched	chr11	17406540	17429719	KCNJ11,DKFZP686O24166,ABCC8
5_MACS_peak_4428_lociStitched	chr11	122925222	122943881	HSPA8,LOC341056,ASAM
1_MACS_peak_10937_lociStitched	chr19	47728431	47736418	BBC3,CCDC9,PRR24,MIR3190,MIR3191
1_MACS_peak_7470_lociStitched	chr15	75741858	75748981	SIN3A
8_MACS_peak_10167_lociStitched	chr19	2617961	2638162	GNG7
4_MACS_peak_1354_lociStitched	chr1	150532148	150553223	MCL1,MIR4257,ENSA,ADAMTSL4
9_MACS_peak_17469_lociStitched	chr5	95242261	95276818	ELL2
3_MACS_peak_9515_lociStitched	chr17	74256379	74272542	FAM100B,RNF157,QRICH2
5_MACS_peak_20495_lociStitched	chr7	114555973	114579026	MDFIC
3_MACS_peak_2219_lociStitched	chr1	234734627	234749118	IRF2BP2,NCRNA00184
4_MACS_peak_10114_lociStitched	chr19	1847592	1865568	KLF16,LOC100288123,SCAMP4,ADAT3,ATP8B3,MIR1909,FAM108A1,REXO1
10_MACS_peak_20981_lociStitched	chr8	33398784	33425188	RNF122,C8ORF41,DUSP26
4_MACS_peak_19204_lociStitched	chr6	106531107	106551983	PRDM1
3_MACS_peak_10821_lociStitched	chr19	42616758	42637776	POU2F2,ZNF574,GRIK5,MIR4323
5_MACS_peak_8007_lociStitched	chr16	21510163	21532264	LOC100271836,SLC7A5P2
2_MACS_peak_11070_lociStitched	chr19	55760252	55772205	PPP6R1,BRSK1,PTPRH,TMEM86B,HSPBP1
1_MACS_peak_451_lociStitched	chr1	31213751	31231463	LAPTM5,LOC100129196,MATN1
