REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X25_0F2B_0229Kronos_MM1S.KB.3hr.1_H3K27me3_hs.dm_i07.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
29_MACS_peak_16734_lociStitched	chr17	77078322	77289957	29	205128	393852.735	17502.2145	1	ENGASE,RBFOX3	C1QTNF1	ENGASE	1	1
11_MACS_peak_17514_lociStitched	chr19	1672454	1812368	11	137024	356584.8204	19462.0374	2	ONECUT3,ATP8B3	LOC100288123,TCF3,MIR1909,REXO1	ONECUT3	2	1
29_MACS_peak_17072_lociStitched	chr17	79316894	79474420	29	150450	311633.6858	13846.5354	3	BAHCC1,MIR3186	FSCN2,SLC38A10,C17orf55,TMEM105,ACTG1,C17orf70	BAHCC1	3	1
11_MACS_peak_37409_lociStitched	chr9	139477036	139614523	11	135348	303296.322	11768.8872	4	EGFL7,MIR126,FAM69B,AGPAT2	LOC100128593,NOTCH1,SNORA43,SNORA17,SNHG7,LCN10,LCN6,LCN8,LCN15	EGFL7	4	1
23_MACS_peak_11856_lociStitched	chr16	1204087	1341862	23	134121	290498.5875	9878.4675	5	CACNA1H,TPSAB1,TPSD1,TPSG1,TPSB2	UBE2I,BAIAP3	TPSG1	5	1
8_MACS_peak_17050_lociStitched	chr17	78991576	79111380	8	117267	285792.442	10722.458	6	BAIAP2,MIR3065,FLJ90757,AATK,MIR657,MIR338,MIR1250	CHMP6,LOC388428	BAIAP2	6	1
18_MACS_peak_15660_lociStitched	chr17	47938790	48078948	18	135634	243734.762	13455.168	7	DLX4,DLX3	TAC4	DLX4	7	1
32_MACS_peak_16778_lociStitched	chr17	77345325	77493176	32	140912	225694.5515	12951.7476	8	RBFOX3		RBFOX3	8	1
52_MACS_peak_13856_lociStitched	chr17	724923	882371	52	147126	203044.9408	14201.8096	9	NXN	RNMTL1,TIMM22,GLOD4,MIR3183	NXN	9	1
17_MACS_peak_17777_lociStitched	chr19	3782787	3910704	17	125557	240010.6671	16833.8772	10	ATCAY,MATK,ZFR2	MRPL54,ITGB1BP3,APBA3,RAX2	ZFR2	10	1
