REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	LP.1.jin.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
4_MACS_peak_25239_lociStitched	chr6	290375	333243	4	42651	114410.4052	1	1	DUSP22		DUSP22	DUSP22	1.8041	1	1
3_MACS_peak_9178_lociStitched	chr14	106144120	106177451	3	32681	143476.6226	2	1			TMEM121	TMEM121	0.1026	2	1
4_MACS_peak_21566_lociStitched	chr3	141085104	141113755	4	28082	75684.4816	3	1	ZBTB38		ZBTB38	ZBTB38	0.7494	3	1
3_MACS_peak_9170_lociStitched	chr14	106023696	106051179	3	27451	118418.7504	4	1		TMEM121	TMEM121	TMEM121	0.1026	4	1
12_MACS_peak_22664_lociStitched	chr4	71524275	71549850	12	24479	42922.5225	5	1	IGJ	ENAM,UTP3,RUFY3	IGJ	IGJ	1.204	5	1
15_MACS_peak_8817_lociStitched	chr14	81935404	81957192	15	21111	28890.888	6	1	SEL1L		SEL1L	SEL1L	0.5156	6	1
11_MACS_peak_3202_lociStitched	chr10	22595345	22616812	11	19734	29965.7853	7	1	COMMD3,BMI1	SPAG6	COMMD3	COMMD3	1.6232	7	1
11_MACS_peak_23953_lociStitched	chr5	55435541	55455172	11	19110	36843.4608	8	1	ANKRD55		ANKRD55	ANKRD55	0.4905	8	1
4_MACS_peak_19625_lociStitched	chr22	23229732	23249091	4	18877	34491.9303	9	1	IGLL5		IGLL5	IGLL5	1.3872	9	1
6_MACS_peak_21850_lociStitched	chr3	171809785	171828638	6	18560	33096.4415	10	1	FNDC3B		FNDC3B	FNDC3B	0.2952	10	1
3_MACS_peak_30147_lociStitched	chr8	126291663	126310799	3	18475	33683.1872	11	1	NSMCE2		TRIB1	TRIB1	1.1541	11	1
4_MACS_peak_1777_lociStitched	chr1	156457119	156476082	4	18441	38845.7055	12	1	MEF2D		MEF2D	MEF2D	0.9572	12	1
10_MACS_peak_2980_lociStitched	chr10	5929828	5949359	10	18294	30112.8958	13	1	FBXO18,ANKRD16		FBXO18	FBXO18	0.651	13	1
5_MACS_peak_1374_lociStitched	chr1	118192318	118211155	5	18186	40676.6178	14	1		FAM46C	FAM46C	FAM46C	0.4439	14	1
3_MACS_peak_1371_lociStitched	chr1	118171467	118190110	3	18066	36773.3175	15	1		FAM46C	FAM46C	FAM46C	0.4439	15	1
7_MACS_peak_27914_lociStitched	chr7	81500585	81519420	7	17869	28698.8895	16	1			HGF	HGF	0.1267	16	1
10_MACS_peak_10021_lociStitched	chr15	75063111	75081795	10	17358	25925.9184	17	1	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	CSK	0.7434	17	1
4_MACS_peak_18943_lociStitched	chr20	52195984	52213673	4	17325	34332.5801	18	1	ZNF217		ZNF217	ZNF217	0.709	18	1
10_MACS_peak_27903_lociStitched	chr7	81418251	81436004	10	16874	26038.3251	19	1		HGF	HGF	HGF	0.1267	19	1
13_MACS_peak_23740_lociStitched	chr5	26869383	26887160	13	16871	25787.3162	20	1	CDH9		CDH9	CDH9	0.1731	20	1
