GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
QPCT	NM_012413	chr2:37567299-37607793,chr2:37529810-37553331,chr2:37614576-37619847	1,29,700	1	5.8314
PRKD3	NM_005813	chr2:37529810-37553331,chr2:37567299-37607793	1,29	1	0.8819
PLXNA4	NM_020911	chr7:132184026-132224590,chr7:132227736-132236127,chr7:132082976-132091758	2,214,231	1	0.8094
FAM46C	NM_017709	chr1:118147873-118190056,chr1:118190947-118220181	3,5	1	2.7045
LOC541471	NR_015395	chr2:112180811-112215209,chr2:112216719-112242135,chr2:112248972-112253794,chr2:112285286-112294513,chr2:112302685-112310195	4,20,193,448,699	1	2.1904
TMEM121	NM_025268	chr14:106025035-106058286	6	1	0.1436
NCRNA00152	NR_024204	chr2:87793330-87826565,chr2:87764977-87790640	7,16	1	3.7422
CCDC88C	NM_001080414	chr14:91826629-91858856,chr14:91811917-91818913,chr14:91879173-91885677	8,437,557	1	1.4847
RORA	NM_002943	chr15:60858836-60885598,chr15:60825007-60853071	9,12	1	1.8475
CCL1	NM_002981	chr17:32688737-32719584	10	1	1.0029
CCL8	NM_005623	chr17:32688737-32719584	10	1	0.0585
CCL13	NM_005408	chr17:32688737-32719584	10	1	0.4097
MEF2D	NM_005920	chr1:156455347-156479623	11	1	2.8301
KCNK1	NM_002245	chr1:233787018-233814119,chr1:233774105-233786375,chr1:233758206-233766822,chr1:233748219-233753911	13,122,326,581	1	3.3278
NSMCE2	NM_173685	chr8:126292172-126322741,chr8:126161287-126168298	14,578	1	0.7267
C3orf59	NM_178496	chr3:192595911-192619134,chr3:192630181-192636879	15,324	1	1.6132
MUTED-TXNDC5	NR_037616	chr6:7892227-7919342	17	1	0.7927
TXNDC5	NM_001145549	chr6:7892227-7919342	17	1	2.5344
ZBTB38	NM_001080412	chr3:141085045-141112727,chr3:141119978-141134811	18,71	1	1.2778
MALAT1	NR_002819	chr11:65253849-65278517,chr11:65236120-65247639,chr11:65204978-65216943	19,112,179	1	5.2948
MIR612	NR_030343	chr11:65204978-65216943,chr11:65253849-65278517,chr11:65183643-65204430,chr11:65236120-65247639	19,27,112,179	1	1.6584
SCYL1	NM_001048218	chr11:65253849-65278517,chr11:65236120-65247639	19,112	1	0.3863
LTBP3	NM_021070	chr11:65253849-65278517,chr11:65353469-65358482	19,923	1	0.361
BZRAP1	NM_004758	chr17:56404824-56423955	21	1	1.16
MIR142	NR_029683	chr17:56404824-56423955	21	1	5.7277
SUPT4H1	NM_003168	chr17:56404824-56423955	21	1	1.8926
MPO	NM_000250	chr17:56404824-56423955	21	1	0.0997
IGLL5	NM_001178126	chr22:23229466-23249580,chr22:23265960-23287945	22,44	1	2.164
BCL2L1	NM_001191	chr20:30284861-30312201	23	1	1.6768
TPX2	NM_012112	chr20:30284861-30312201	23	1	0.1056
IL6R	NM_181359	chr1:154373632-154395058	24	1	1.8035
DAD1	NM_001344	chr14:23016992-23040369	25	1	1.6154
ABHD4	NM_022060	chr14:23016992-23040369	25	1	0.6961
ST6GAL1	NM_173216	chr3:186702745-186722926,chr3:186780305-186786334	26,373	1	1.4164
NEAT1	NR_028272	chr11:65183643-65204430,chr11:65236120-65247639,chr11:65204978-65216943	27,112,179	1	6.5435
FRMD8	NM_031904	chr11:65183643-65204430	27	1	0.8968
SLC25A45	NM_001077241	chr11:65183643-65204430	27	1	1.1883
SDC1	NM_002997	chr2:20404077-20426320	28	1	2.9294
FNDC3B	NM_001135095	chr3:171809589-171828706	30	1	0.6686
CABLES1	NM_001100619	chr18:20804997-20825367,chr18:20770777-20779059,chr18:20711815-20719087	31,299,434	1	1.2453
CPEB4	NM_030627	chr5:173309634-173333006	32	1	1.0912
ADAMTSL4	NM_019032	chr1:150532312-150553319	33	1	1.6812
MCL1	NM_001197320	chr1:150532312-150553319	33	1	1.9821
MIR4257	NR_036211	chr1:150532312-150553319	33	1	0.1764
ENSA	NM_207046	chr1:150532312-150553319	33	1	0.7979
CNDP1	NM_032649	chr18:72192582-72212505,chr18:72162520-72168998	34,426	1	1.2969
CNDP2	NM_018235	chr18:72162520-72168998,chr18:72192582-72212505	34,426	1	1.1965
TMEM184B	NM_001195071	chr22:38653489-38673829	35	1	1.8042
CSNK1E	NM_152221	chr22:38653489-38673829	35	1	0.615
PLCG2	NM_002661	chr16:81839687-81858684	36	1	0.735
CADM1	NM_001098517	chr11:115051338-115073229,chr11:115086760-115097207	38,173	1	0.3605
VOPP1	NM_030796	chr7:55574139-55593043,chr7:55596432-55605691,chr7:55634451-55641636	39,158,506	1	1.7655
CFLAR	NM_003879	chr2:201979436-201996018	41	1	1.6517
NDUFB3	NM_002491	chr2:201979436-201996018	41	1	0.4128
FAM126B	NM_173822	chr2:201979436-201996018	41	1	0.3142
IRF2BP2	NM_182972	chr1:234733422-234749520	42	1	5.5979
NCRNA00184	NR_033927	chr1:234733422-234749520	42	1	0.1299
ZNF217	NM_006526	chr20:52190856-52211945	43	1	1.169
LPIN1	NM_145693	chr2:11883191-11898295	45	1	1.1293
MED29	NM_017592	chr19:39887871-39904195,chr19:39919358-39927604	46,319	1	2.9491
