REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	U266_jia.bam
10_MACS_peak_19637_lociStitched	chr2	112181721	112258276	10	67481	122763.598
11_MACS_peak_19339_lociStitched	chr2	87749789	87825917	11	64386	124583.47200000001
12_MACS_peak_23543_lociStitched	chr3	13319790	13394673	12	58449	130229.02530000001
13_MACS_peak_1847_lociStitched	chr1	118147721	118221123	13	66290	129517.829
13_MACS_peak_3455_lociStitched	chr1	233742287	233814160	13	56658	100011.2795
8_MACS_peak_28548_lociStitched	chr6	290234	357600	8	57045	166245.8148
12_MACS_peak_21165_lociStitched	chr20	30248839	30312399	12	57443	110982.116
3_MACS_peak_11003_lociStitched	chr15	60824868	60885799	3	60036	164373.55870000002
8_MACS_peak_25257_lociStitched	chr3	186693094	186751221	8	52425	112940.761
6_MACS_peak_10100_lociStitched	chr14	91811546	91867185	6	51188	91548.4106
9_MACS_peak_19485_lociStitched	chr2	99054926	99109886	9	47746	79175.376
6_MACS_peak_22980_lociStitched	chr22	38634350	38687893	6	43413	98262.1136
12_MACS_peak_32125_lociStitched	chr7	132170183	132222247	12	38036	52225.398400000005
9_MACS_peak_4308_lociStitched	chr10	74051530	74100286	9	32960	84021.2148
4_MACS_peak_28361_lociStitched	chr5	173309979	173358125	4	46469	65233.0154
16_MACS_peak_26966_lociStitched	chr5	24247865	24295982	16	37000	42463.252499999995
9_MACS_peak_29527_lociStitched	chr6	52376569	52423340	9	33345	49577.26
7_MACS_peak_10402_lociStitched	chr14	106022094	106068845	7	45428	120603.5547
7_MACS_peak_15263_lociStitched	chr17	76709915	76755679	7	37289	56843.4644
7_MACS_peak_2211_lociStitched	chr1	154373519	154418832	7	32692	115117.67650000002
12_MACS_peak_13206_lociStitched	chr16	81741527	81786656	12	25604	38517.601500000004
10_MACS_peak_10409_lociStitched	chr14	106143772	106188886	10	36710	80939.0274
3_MACS_peak_18696_lociStitched	chr2	37562601	37607344	3	44104	127222.2462
11_MACS_peak_19265_lociStitched	chr2	86108062	86152419	11	25247	43319.046200000004
7_MACS_peak_22567_lociStitched	chr22	23255724	23298741	7	32981	93695.32770000001
10_MACS_peak_8384_lociStitched	chr12	123344670	123387093	10	33602	52625.731499999994
13_MACS_peak_6998_lociStitched	chr12	7046110	7088407	13	15315	19917.6573
9_MACS_peak_3018_lociStitched	chr1	206852592	206894090	9	22385	36223.6042
4_MACS_peak_28655_lociStitched	chr6	7878411	7919799	4	40104	106234.71840000001
4_MACS_peak_6623_lociStitched	chr11	115041532	115082212	4	36283	43824.564
8_MACS_peak_16132_lociStitched	chr19	1237203	1277502	8	25253	65151.3933
7_MACS_peak_31777_lociStitched	chr7	101915326	101955601	7	29675	71415.63
18_MACS_peak_26399_lociStitched	chr4	132645561	132685808	18	17422	19648.5854
4_MACS_peak_18454_lociStitched	chr2	20386769	20426585	4	37526	148720.7232
10_MACS_peak_16331_lociStitched	chr19	4367843	4407599	10	23455	47941.7604
10_MACS_peak_35083_lociStitched	chr9	130667286	130707014	10	24585	44682.0816
2_MACS_peak_3354_lociStitched	chr1	228744052	228783700	2	39475	55352.572799999994
7_MACS_peak_10633_lociStitched	chr15	40329988	40367804	7	20574	51429.76
9_MACS_peak_21405_lociStitched	chr20	37486906	37524260	9	34352	76161.07059999999
5_MACS_peak_11232_lociStitched	chr15	70768948	70805993	5	27038	70237.31999999999
8_MACS_peak_22902_lociStitched	chr22	37610001	37647002	8	29945	53547.847200000004
8_MACS_peak_4909_lociStitched	chr10	112599965	112636424	8	23334	56617.1811
6_MACS_peak_14893_lociStitched	chr17	62150990	62187059	6	33809	56996.2338
8_MACS_peak_25187_lociStitched	chr3	183224388	183260290	8	26437	57590.3982
7_MACS_peak_23837_lociStitched	chr3	45582219	45617877	7	28460	54670.84559999999
11_MACS_peak_28133_lociStitched	chr5	150502776	150538126	11	24267	40150.53
2_MACS_peak_6015_lociStitched	chr11	65182823	65217324	2	34436	98700.46079999999
5_MACS_peak_24807_lociStitched	chr3	141079388	141113771	5	29685	58822.436400000006
6_MACS_peak_2059_lociStitched	chr1	149800634	149834995	6	28717	66502.2794
7_MACS_peak_35103_lociStitched	chr9	130813119	130847391	7	28665	61549.084800000004
4_MACS_peak_31276_lociStitched	chr7	55571658	55605839	4	30724	67278.4623
7_MACS_peak_35017_lociStitched	chr9	127609787	127643889	7	24317	63968.531599999995
8_MACS_peak_25086_lociStitched	chr3	171844605	171878544	8	26876	34811.2323
5_MACS_peak_2460_lociStitched	chr1	161409224	161442579	5	24490	53231.2445
6_MACS_peak_22232_lociStitched	chr21	44843864	44877128	6	21580	54047.347200000004
6_MACS_peak_11813_lociStitched	chr15	101456695	101489921	6	26850	76060.9592
9_MACS_peak_16721_lociStitched	chr19	12885319	12918338	9	20401	60543.638399999996
6_MACS_peak_35093_lociStitched	chr9	130716309	130748849	6	27134	61028.77
9_MACS_peak_32615_lociStitched	chr8	11271062	11303240	9	18116	27566.8926
8_MACS_peak_543_lociStitched	chr1	24503132	24535055	8	19687	37263.7179
9_MACS_peak_12124_lociStitched	chr16	9162216	9193906	9	15888	33569.217
11_MACS_peak_22219_lociStitched	chr21	44758499	44790017	11	21956	60457.8276
4_MACS_peak_30888_lociStitched	chr7	25979977	26011252	4	23416	82118.7675
6_MACS_peak_22561_lociStitched	chr22	23219781	23250702	6	27941	55339.3137
1_MACS_peak_2338_lociStitched	chr1	156448793	156479679	1	30887	128970.6702
8_MACS_peak_6029_lociStitched	chr11	65332397	65363264	8	19337	48600.0915
5_MACS_peak_19370_lociStitched	chr2	89130630	89161462	5	23513	29376.7296
7_MACS_peak_14091_lociStitched	chr17	32688721	32719456	7	23404	37656.522000000004
5_MACS_peak_12217_lociStitched	chr16	12043202	12073865	5	25943	52838.4816
8_MACS_peak_5040_lociStitched	chr10	125824466	125854991	8	18935	33586.6575
8_MACS_peak_31280_lociStitched	chr7	55611482	55642002	8	22943	40146.007999999994
6_MACS_peak_33656_lociStitched	chr8	126292349	126322548	6	28078	36528.7104
8_MACS_peak_5389_lociStitched	chr11	10314768	10344834	8	20035	43126.670399999995
8_MACS_peak_28124_lociStitched	chr5	150437387	150467423	8	23169	37301.7084
7_MACS_peak_22062_lociStitched	chr21	36578145	36608065	7	17195	30174.32
8_MACS_peak_195_lociStitched	chr1	9460131	9489830	8	13873	23863.1465
8_MACS_peak_12987_lociStitched	chr16	68270473	68300095	8	17621	32960.3994
7_MACS_peak_12921_lociStitched	chr16	67189053	67218674	7	13336	25420.7422
5_MACS_peak_24666_lociStitched	chr3	129019128	129048744	5	20853	44643.1584
10_MACS_peak_8036_lociStitched	chr12	109006646	109036250	10	26332	58681.0488
8_MACS_peak_19359_lociStitched	chr2	88899036	88928601	8	25731	32663.412
7_MACS_peak_14501_lociStitched	chr17	43502285	43531790	7	18080	29106.682500000003
7_MACS_peak_4449_lociStitched	chr10	80999083	81028550	7	26538	59160.895899999996
3_MACS_peak_18693_lociStitched	chr2	37524661	37553989	3	27786	61336.57920000001
5_MACS_peak_21725_lociStitched	chr20	52530703	52559907	5	20542	42299.073599999996
7_MACS_peak_10641_lociStitched	chr15	40380263	40409363	7	22699	49138.26
5_MACS_peak_12112_lociStitched	chr16	9029606	9058543	5	27588	45879.6135
10_MACS_peak_11947_lociStitched	chr16	2178204	2207097	10	14607	24743.965200000002
6_MACS_peak_22266_lociStitched	chr21	45552069	45580959	6	20074	37767.897
5_MACS_peak_10722_lociStitched	chr15	42064386	42093242	5	23145	36788.5144
10_MACS_peak_21459_lociStitched	chr20	42336740	42365593	10	17905	23414.2095
5_MACS_peak_2443_lociStitched	chr1	161134806	161163453	5	19488	39615.9363
7_MACS_peak_10806_lociStitched	chr15	45001743	45030091	7	22006	51239.01
6_MACS_peak_14639_lociStitched	chr17	47814307	47842569	6	24238	51889.032
7_MACS_peak_16889_lociStitched	chr19	16244294	16272490	7	20186	24778.644800000002
8_MACS_peak_15221_lociStitched	chr17	76116284	76144300	8	16715	30083.580800000003
5_MACS_peak_23869_lociStitched	chr3	46317470	46345444	5	25269	38067.0192
8_MACS_peak_27831_lociStitched	chr5	132575605	132603564	8	17846	27276.8004
8_MACS_peak_8133_lociStitched	chr12	111862081	111889936	8	25592	39158.559
5_MACS_peak_15162_lociStitched	chr17	74475302	74503100	5	19884	47765.3034
4_MACS_peak_23844_lociStitched	chr3	45633873	45661617	4	27154	45877.4784
6_MACS_peak_11174_lociStitched	chr15	68476398	68504120	6	22255	41303.0078
5_MACS_peak_8488_lociStitched	chr12	129288276	129315942	5	20533	28711.774800000003
4_MACS_peak_34892_lociStitched	chr9	117243194	117270552	4	22076	62288.69440000001
7_MACS_peak_17368_lociStitched	chr19	39159852	39187066	7	14327	26762.247600000002
3_MACS_peak_29852_lociStitched	chr6	106532010	106559189	3	26862	31584.7159
6_MACS_peak_14370_lociStitched	chr17	40713220	40740323	6	14007	28195.2509
6_MACS_peak_17538_lociStitched	chr19	42612802	42639831	6	18356	36040.4686
6_MACS_peak_5940_lociStitched	chr11	63992689	64019603	6	13746	27360.772399999998
3_MACS_peak_21591_lociStitched	chr20	45963617	45990421	3	20573	46464.734000000004
6_MACS_peak_11088_lociStitched	chr15	65164222	65191013	6	21740	64226.0643
4_MACS_peak_14267_lociStitched	chr17	37909266	37935795	4	22273	59645.1507
6_MACS_peak_2900_lociStitched	chr1	203254852	203281373	6	20388	49281.3222
2_MACS_peak_14773_lociStitched	chr17	56404300	56430719	2	22354	95536.3878
6_MACS_peak_32898_lociStitched	chr8	37736078	37762471	6	19063	26952.531600000002
6_MACS_peak_13336_lociStitched	chr16	88747208	88773573	6	13133	20016.308
9_MACS_peak_35414_lociStitched	chr9	140130596	140156868	9	12823	29209.2096
6_MACS_peak_11424_lociStitched	chr15	78336379	78362640	6	15513	18167.3598
7_MACS_peak_9993_lociStitched	chr14	81929840	81955732	7	22138	38258.0192
5_MACS_peak_25081_lociStitched	chr3	171803136	171828962	5	23726	51954.16419999999
5_MACS_peak_31849_lociStitched	chr7	104633489	104659306	5	14931	41697.0367
5_MACS_peak_26137_lociStitched	chr4	90203768	90229579	5	23414	21990.971999999998
6_MACS_peak_6017_lociStitched	chr11	65221869	65247664	6	20303	43438.78
8_MACS_peak_984_lociStitched	chr1	40023991	40049752	8	15237	18766.8885
6_MACS_peak_17792_lociStitched	chr19	48878723	48904466	6	20775	35352.861899999996
3_MACS_peak_25325_lociStitched	chr3	192593399	192619120	3	25274	60040.5303
9_MACS_peak_20307_lociStitched	chr2	197023272	197048989	9	18601	27154.5803
5_MACS_peak_15056_lociStitched	chr17	72732497	72758193	5	21872	44754.7232
7_MACS_peak_5870_lociStitched	chr11	62357493	62383092	7	16576	34059.4695
4_MACS_peak_34000_lociStitched	chr9	700319	725879	4	20887	44783.676
7_MACS_peak_23059_lociStitched	chr22	39823427	39848895	7	20339	35084.7168
1_MACS_peak_6023_lociStitched	chr11	65253713	65279171	1	25459	76715.1372
5_MACS_peak_28304_lociStitched	chr5	171595382	171620757	5	16510	31393.95
4_MACS_peak_31793_lociStitched	chr7	102063382	102088703	4	22359	50930.659400000004
4_MACS_peak_2358_lociStitched	chr1	156761868	156787150	4	16363	31010.901199999997
5_MACS_peak_14659_lociStitched	chr17	48224675	48249956	5	17330	39931.339499999995
7_MACS_peak_23232_lociStitched	chr22	45093439	45118644	7	21985	34039.3525
8_MACS_peak_30169_lociStitched	chr6	137071866	137097002	8	14395	15765.2992
10_MACS_peak_13771_lociStitched	chr17	17379857	17404849	10	17496	20203.5328
5_MACS_peak_16220_lociStitched	chr19	2455365	2480287	5	12211	32889.5634
5_MACS_peak_27802_lociStitched	chr5	131791043	131815940	5	15599	21227.1822
4_MACS_peak_3752_lociStitched	chr10	7510768	7535641	4	20884	35399.253600000004
5_MACS_peak_9863_lociStitched	chr14	74219526	74244376	5	19615	31681.265
4_MACS_peak_32184_lociStitched	chr7	137663244	137688092	4	17819	45402.2656
13_MACS_peak_14169_lociStitched	chr17	34616957	34641467	13	13939	12725.592
4_MACS_peak_18734_lociStitched	chr2	38814808	38839277	4	18949	40376.2969
7_MACS_peak_14144_lociStitched	chr17	34408522	34432846	7	18004	29991.492000000002
8_MACS_peak_31076_lociStitched	chr7	38384228	38408464	8	12643	17631.690000000002
7_MACS_peak_8449_lociStitched	chr12	125389000	125413106	7	17989	38627.4544
5_MACS_peak_22550_lociStitched	chr22	23141909	23165950	5	21221	41720.7514
6_MACS_peak_31158_lociStitched	chr7	44656599	44680573	6	18113	28895.8622
7_MACS_peak_6826_lociStitched	chr11	128585767	128609711	7	17630	20079.4384
4_MACS_peak_17409_lociStitched	chr19	39880597	39904446	4	18196	54020.3699
8_MACS_peak_12400_lociStitched	chr16	22195213	22218978	8	14241	21324.3345
10_MACS_peak_14154_lociStitched	chr17	34516276	34540004	10	16281	16139.785600000001
4_MACS_peak_11738_lociStitched	chr15	93360682	93384277	4	11140	27700.53
5_MACS_peak_23861_lociStitched	chr3	46130475	46154064	5	15389	26457.4224
6_MACS_peak_19106_lociStitched	chr2	70330304	70353779	6	13557	25148.767499999998
4_MACS_peak_9272_lociStitched	chr14	23017118	23040543	4	22645	47676.9025
6_MACS_peak_16431_lociStitched	chr19	6765941	6789335	6	13301	25445.653799999996
6_MACS_peak_22081_lociStitched	chr21	37484154	37507516	6	7684	16355.7362
4_MACS_peak_5968_lociStitched	chr11	64611367	64634713	4	16999	43589.3166
5_MACS_peak_7337_lociStitched	chr12	48191674	48215019	5	20528	55386.012500000004
3_MACS_peak_28557_lociStitched	chr6	388069	411357	3	20438	42596.080799999996
4_MACS_peak_21707_lociStitched	chr20	52188756	52211972	4	22299	45326.918399999995
5_MACS_peak_18746_lociStitched	chr2	38946084	38969096	5	15819	26831.992
1_MACS_peak_2099_lociStitched	chr1	150531157	150554149	1	22993	88057.06079999999
6_MACS_peak_17050_lociStitched	chr19	19042064	19065042	6	20028	56197.2946
4_MACS_peak_15139_lociStitched	chr17	74167712	74190618	4	17946	28052.978199999998
3_MACS_peak_13316_lociStitched	chr16	87883187	87906062	3	21943	50265.525
6_MACS_peak_26869_lociStitched	chr5	6475501	6498309	6	21078	42587.0976
9_MACS_peak_5985_lociStitched	chr11	64835560	64858350	9	11996	16208.248000000001
7_MACS_peak_9946_lociStitched	chr14	77487578	77510213	7	18442	36184.311
5_MACS_peak_12192_lociStitched	chr16	11761723	11784312	5	10667	14578.9406
6_MACS_peak_2273_lociStitched	chr1	155210289	155232850	6	10613	22757.2807
8_MACS_peak_35632_lociStitched	chrX	19864895	19887436	8	13780	15156.5684
5_MACS_peak_2191_lociStitched	chr1	153929015	153951461	5	16504	42185.0124
10_MACS_peak_11321_lociStitched	chr15	75063533	75085968	10	18484	41217.582
4_MACS_peak_28911_lociStitched	chr6	27093788	27116100	4	20024	30277.384
7_MACS_peak_25267_lociStitched	chr3	186775351	186797648	7	19735	31349.582
5_MACS_peak_35074_lociStitched	chr9	130529014	130551217	5	18440	60505.3953
5_MACS_peak_24651_lociStitched	chr3	128820557	128842737	5	12805	20250.34
4_MACS_peak_20570_lociStitched	chr2	219741506	219763669	4	16142	35884.1133
6_MACS_peak_19614_lociStitched	chr2	111612125	111634261	6	14975	26875.3176
6_MACS_peak_5791_lociStitched	chr11	59312187	59334319	6	12817	19600.0992
7_MACS_peak_15145_lociStitched	chr17	74221913	74244017	7	11978	23836.9536
5_MACS_peak_30454_lociStitched	chr6	160388841	160410942	5	15182	24828.2634
