GENE_ID	locusLine	bin_1_H929_jia.bam
NM_030806	chr1(.):184351149-184603155	0.3693
NM_021222	chr1(.):150975972-151013189	0.7557
NM_007051	chr1(.):50901934-51430936	0.0687
NM_001006605	chr1(.):93302720-93432079	0.326
NM_001010935	chr1(.):112157404-112261101	0.1995
NM_020205	chr1(.):149907231-149987686	0.4002
NM_152263	chr1(.):154129289-154169609	0.8377
NR_002188	chr1(.):155178615-155202325	0.8165
NM_015327	chr1(.):156214014-156257620	0.773
NM_001043351	chr1(.):154122779-154160725	0.8591
NR_036683	chr1(.):165662986-165684199	0.6313
NM_021642	chr1(.):161470204-161494360	0.3069
NM_002585	chr1(.):164523801-164826045	0.2466
NM_022093	chr1(.):175031993-175122202	0.3339
NM_145214	chr1(.):228576376-228599517	0.5314
NM_003820	chr1(.):2482804-2500267	0.5957
NM_014874	chr1(.):12035237-12078572	0.1148
NM_001113348	chr1(.):21538739-21677034	0.2408
NM_004091	chr1(.):23827921-23862713	1.3463
NM_020448	chr1(.):24737244-24804473	0.0765
NM_173065	chr1(.):24475646-24518751	0.7121
NM_001048199	chr1(.):28827454-28870708	0.6526
NR_002909	chr1(.):28827454-28842404	1.522
NM_032017	chr1(.):36800224-36856485	0.5646
NM_181809	chr1(.):39952317-40000541	1.1141
NM_001720	chr1(.):40218902-40259533	1.2942
NM_174964	chr1(.):44168217-44401831	0.3021
NM_014652	chr1(.):44407477-44438694	0.3201
NM_148906	chr1(.):52077545-52259891	0.1272
NM_001981	chr1(.):51814934-51989995	0.0858
NM_004799	chr1(.):52603045-52817358	0.0819
NM_002600	chr1(.):66253855-66845262	0.0845
NM_001037341	chr1(.):66253192-66845262	0.0845
NM_001037340	chr1(.):66453389-66845262	0.0752
NM_001002292	chr1(.):68559141-68703229	0.2246
NM_024911	chr1(.):68586040-68703284	0.2621
NM_001193334	chr1(.):68586040-68703229	0.2622
NM_002440	chr1(.):76257629-76383923	0.0371
NM_024686	chr1(.):84330056-84469833	0.1795
NM_146421	chr1(.):110225417-110241367	0.0128
NM_022768	chr1(.):110876944-110894303	0.9354
NM_001081976	chr1(.):112020969-112111597	0.1519
NM_198459	chr1(.):115122195-115217732	0.2241
NM_001100910	chr1(.):120834004-120860681	0.9881
NR_034178	chr1(.):143910747-144099477	0.4544
NM_153713	chr1(.):145472084-145504091	0.5504
NM_014455	chr1(.):145606035-145693776	0.2925
NM_004326	chr1(.):147008181-147103015	0.338
NM_207168	chr1(.):150594521-150607098	1.6679
