GENE	CHROM	START	STOP	ENHANCER_ID
ARID3A	chr19	908617	928048	3_MACS_peak_9346_lociStitched
ATF4	chr22	39914298	39929621	4_MACS_peak_13273_lociStitched
ATF6	chr1	161675762	161698969	4_MACS_peak_1458_lociStitched
BCL11A	chr2	60775403	60785203	1_MACS_peak_11011_lociStitched
BHLHE40	chr3	5013990	5029289	4_MACS_peak_13448_lociStitched
BHLHE41	chr12	26265299	26280916	1_MACS_peak_4199_lociStitched
BHLHE41	chr12	26305939	26313096	1_MACS_peak_4200_lociStitched
CAMTA2	chr17	4841766	4855950	2_MACS_peak_7876_lociStitched
CEBPB	chr20	48806494	48811228	1_MACS_peak_12468_lociStitched
CHD2	chr15	93442656	93452375	1_MACS_peak_6881_lociStitched
CHD2	chr15	93423545	93429937	1_MACS_peak_6880_lociStitched
CREB3L2	chr7	137664523	137688083	5_MACS_peak_18188_lociStitched
CREB3L4	chr1	153928990	153951879	4_MACS_peak_1299_lociStitched
DBP	chr19	49135890	49150241	3_MACS_peak_10416_lociStitched
DDIT3	chr12	57910810	57918446	2_MACS_peak_4512_lociStitched
E4F1	chr16	2254473	2275538	5_MACS_peak_6987_lociStitched
ELF1	chr13	41577548	41595960	2_MACS_peak_5192_lociStitched
ETV6	chr12	11900767	11920498	3_MACS_peak_4115_lociStitched
FBP1	chr9	97364746	97371315	1_MACS_peak_19460_lociStitched
FBP2	chr9	97364746	97371315	1_MACS_peak_19460_lociStitched
FIZ1	chr19	56145437	56169653	4_MACS_peak_10599_lociStitched
FLI1	chr11	128584839	128607153	2_MACS_peak_3944_lociStitched
FLI1	chr11	128561944	128567364	1_MACS_peak_3943_lociStitched
FOSL1	chr11	65654710	65668021	2_MACS_peak_3431_lociStitched
FOXH1	chr8	145731680	145755269	4_MACS_peak_19050_lociStitched
FOXN3	chr14	89881873	89899375	2_MACS_peak_5911_lociStitched
FOXN3	chr14	90081711	90088889	1_MACS_peak_5914_lociStitched
FOXP1	chr3	71105816	71117914	2_MACS_peak_13941_lociStitched
FOXP1	chr3	71174884	71184957	2_MACS_peak_13944_lociStitched
FOXR1	chr11	118794461	118801632	1_MACS_peak_3865_lociStitched
GLI1	chr12	57846137	57857279	1_MACS_peak_4509_lociStitched
GMEB2	chr20	62256911	62274659	3_MACS_peak_12596_lociStitched
GZF1	chr20	23329612	23347338	5_MACS_peak_12185_lociStitched
HES1	chr3	193847772	193860844	2_MACS_peak_14519_lociStitched
HES1	chr3	193812918	193823140	2_MACS_peak_14517_lociStitched
HEY2	chr6	126101278	126120801	3_MACS_peak_17098_lociStitched
HINFP	chr11	118954860	118979795	4_MACS_peak_3871_lociStitched
HIVEP2	chr6	143263303	143270045	1_MACS_peak_17191_lociStitched
HNF1B	chr17	36100191	36111492	2_MACS_peak_8245_lociStitched
IKZF1	chr7	50343022	50353407	1_MACS_peak_17670_lociStitched
IKZF1	chr7	50319648	50324296	1_MACS_peak_17668_lociStitched
IKZF3	chr17	38015823	38025205	1_MACS_peak_8295_lociStitched
IRF2	chr4	185391781	185398165	1_MACS_peak_15261_lociStitched
