GENE_ID	locusLine	bin_1_MM1.jin.bam
NM_032236	chr1(.):21999791-22114688	0.4405
NM_004437	chr1(.):29208602-29451558	0.1375
NM_001166006	chr1(.):29236087-29396733	0.0955
NM_001198993	chr1(.):1677670-1715297	0.6031
NM_023018	chr1(.):1677670-1714909	0.6049
NM_001198994	chr1(.):1677670-1716508	0.5879
NM_001013693	chr1(.):22133757-22156714	0.3738
NM_032017	chr1(.):36800224-36856485	0.4385
NM_174964	chr1(.):44168217-44401831	0.2527
NM_148906	chr1(.):52077545-52259891	0.1619
NM_001981	chr1(.):51814934-51989995	0.1583
NM_002600	chr1(.):66253855-66845262	0.2603
NM_001037341	chr1(.):66253192-66845262	0.26
NM_001037340	chr1(.):66453389-66845262	0.3028
NM_033055	chr1(.):100498788-100553929	0.3917
NM_001002812	chr1(.):144885590-145000022	0.5162
NM_014644	chr1(.):144846426-145000022	0.4246
NM_001198834	chr1(.):144846423-145000033	0.4246
NM_001198832	chr1(.):144846423-145044992	0.4012
NM_207168	chr1(.):150594521-150607098	0.4805
NM_181359	chr1(.):154372668-154445188	0.593
NM_002249	chr1(.):154674914-154847754	0.3148
NM_170782	chr1(.):154674914-154837338	0.3278
NM_002293	chr1(.):182987594-183119727	0.3664
NM_144977	chr1(.):197516384-197749623	0.1732
NM_001195215	chr1(.):197468878-197749623	0.1554
NM_014935	chr1(.):204182980-204334044	0.0438
NM_182663	chr1(.):206675878-206767616	0.6061
NM_002221	chr1(.):226814390-226931876	0.7078
NM_004481	chr1(.):230197955-230422875	0.4413
NM_182838	chr1(.):1658680-1682431	0.7122
NM_001198995	chr1(.):1677670-1695081	0.3352
NM_177540	chr1(.):6610337-6644817	0.239
NM_005341	chr1(.):6635062-6654340	0.2356
NM_014851	chr1(.):6645783-6667929	0.8177
NM_153812	chr1(.):6668755-6689093	0.4834
NM_024654	chr1(.):6576406-6619658	0.1509
NM_001195752	chr1(.):6680209-6698642	0.3143
NM_001195753	chr1(.):6679924-6698642	0.3104
NM_001032730	chr1(.):22049338-22114688	0.6612
NM_015627	chr1(.):25865075-25900377	0.7579
NM_014280	chr1(.):28521789-28564542	0.2049
NM_016311	chr1(.):28557610-28569611	0.5139
NM_031459	chr1(.):28581005-28614002	0.2327
NM_032881	chr1(.):36854030-36868493	0.6419
NM_001198979	chr1(.):40854016-40893998	0.3061
NM_001198978	chr1(.):40835304-40893998	0.5379
NM_001198980	chr1(.):40857471-40893998	0.2549
NM_022733	chr1(.):40834377-40893998	0.53
NM_002228	chr1(.):59241462-59254785	0.9806
NR_034015	chr1(.):59245822-59370384	0.2578
NM_001037339	chr1(.):66792792-66845262	0.8495
NM_004974	chr1(.):111140775-111153345	0.1728
NM_002232	chr1(.):111209309-111222655	0.9609
NM_017709	chr1(.):118143603-118176011	2.1321
NM_001002811	chr1(.):144885590-144937032	0.4864
NM_001005464	chr1(.):149807258-149817765	0.8151
NM_001040874	chr1(.):149808784-149819318	0.8204
NM_005850	chr1(.):149890210-149904702	0.2627
NM_016074	chr1(.):149866154-149877348	0.1662
NM_003528	chr1(.):149851009-149863232	1.2159
NM_003517	chr1(.):149853524-149863961	1.3993
NM_175065	chr1(.):149854018-149864466	1.387
NM_014849	chr1(.):149869871-149894434	0.1035
NM_181873	chr1(.):149895542-149913266	0.3103
NM_001145862	chr1(.):149895542-149913791	0.3031
NR_036461	chr1(.):149816758-149827340	0.8011
NM_001040874	chr1(.):149817627-149828161	0.7855
NM_001005464	chr1(.):149819180-149829687	0.7738
NM_019032	chr1(.):150516897-150538412	0.9147
NM_207046	chr1(.):150589598-150606609	0.4811
NR_036211	chr1(.):150519404-150529490	0.1633
NM_001197320	chr1(.):150542026-150557214	1.4814
NM_001162384	chr1(.):155911629-155953336	0.5837
NM_181885	chr1(.):155906479-155917625	0.4314
NM_004723	chr1(.):155911629-155952966	0.58
NM_014949	chr1(.):155877835-155909188	0.2472
NR_003005	chr1(.):155890748-155900877	0.1065
NM_003145	chr1(.):155973838-155995758	0.2098
NM_005920	chr1(.):156428518-156475529	0.8541
NM_031281	chr1(.):157478166-157527310	0.8472
NM_030916	chr1(.):161035780-161064385	0.3054
NM_007122	chr1(.):161004040-161020757	1.104
NM_001113205	chr1(.):161002421-161013774	0.2906
NM_181720	chr1(.):161011731-161044760	0.8379
NM_016946	chr1(.):160960000-160996133	0.3474
NR_033186	chr1(.):178506930-178523024	0.2487
NM_001195216	chr1(.):197698138-197749623	0.4902
NR_034150	chr1(.):203262885-203279453	1.5774
NM_006763	chr1(.):203269663-203283729	1.4651
NM_002023	chr1(.):203304751-203325289	0.1083
NR_027022	chr1(.):204332557-204343847	0.0559
NM_032833	chr1(.):204367491-204385944	0.7975
NM_182665	chr1(.):206725491-206767616	1.0485
NR_026817	chr1(.):207986723-208000941	1.952
NR_029832	chr1(.):207970196-207980284	0.3922
NR_029518	chr1(.):207970787-207980868	0.4588
NM_182972	chr1(.):234735014-234750271	2.5714
NR_033927	chr1(.):234760056-234775526	0.0605
NR_033872	chr2(.):70184394-70319147	0.3781
NM_001012514	chr2(.):231724620-231748963	0.8388
NM_145693	chr2(.):11881739-11972533	0.5063
NM_183360	chr2(.):25595111-25901503	0.3111
