GENE_ID	locusLine	bin_1_MM11.jin.bam
NM_021222	chr1(.):150975972-151013189	0.495
NM_032236	chr1(.):21999791-22114688	0.2244
NM_021639	chr1(.):46087975-46157302	0.2061
NR_002188	chr1(.):155178615-155202325	0.8981
NM_201569	chr1(.):183436505-183528328	0.329
NM_001198993	chr1(.):1677670-1715297	0.3347
NM_023018	chr1(.):1677670-1714909	0.3343
NM_001198994	chr1(.):1677670-1716508	0.3263
NM_003820	chr1(.):2482804-2500267	0.2329
NM_015291	chr1(.):15848351-15903228	0.2183
NM_015001	chr1(.):16169358-16271950	0.1892
NM_001136265	chr1(.):19225773-19287826	0.4244
NM_001113348	chr1(.):21538739-21677034	0.2061
NM_001013693	chr1(.):22133757-22156714	0.0539
NM_022753	chr1(.):33278175-33329476	0.2822
NM_001017406	chr1(.):33278175-33305665	0.465
NM_032017	chr1(.):36800224-36856485	0.4888
NM_017522	chr1(.):53706216-53798726	0.1784
NM_033300	chr1(.):53706211-53798821	0.1782
NR_024510	chr1(.):144295511-144345773	0.4625
NR_024584	chr1(.):144295516-144346755	0.4546
NR_034178	chr1(.):143910747-144099477	0.293
NM_001002812	chr1(.):144885590-145000022	0.3332
NM_014644	chr1(.):144846426-145000022	0.278
NM_001198834	chr1(.):144846423-145000033	0.278
NM_001198832	chr1(.):144846423-145044992	0.2799
NM_178230	chr1(.):149548002-149558662	0.0393
NM_207168	chr1(.):150594521-150607098	0.4963
NM_015203	chr1(.):150331989-150454041	0.2121
NM_020832	chr1(.):151249790-151269381	0.7784
NM_020524	chr1(.):154911558-154933567	1.0876
NM_181359	chr1(.):154372668-154445188	0.3678
NM_005572	chr1(.):156079460-156112657	0.9957
NM_018489	chr1(.):155300051-155537324	0.1279
NM_170708	chr1(.):156079460-156114878	0.937
NM_018116	chr1(.):155575006-155589758	0.3034
NM_005973	chr1(.):156732273-156775609	0.2894
NM_001135050	chr1(.):159891828-159920386	0.9387
NM_052862	chr1(.):167594473-167680486	0.3313
NM_002697	chr1(.):167185065-167401582	0.2153
NR_037163	chr1(.):167185122-167401582	0.2154
NM_018442	chr1(.):167900796-168050083	0.2071
NR_026550	chr1(.):167882309-167910380	0.6784
NM_001143674	chr1(.):167882309-167911278	0.6591
NM_015415	chr1(.):167882309-167910233	0.6811
NM_014857	chr1(.):174123633-174932327	0.1537
NM_152663	chr1(.):178689299-178894237	0.171
NM_002293	chr1(.):182987594-183119727	0.4087
NM_001127394	chr1(.):184015810-184048344	1.1065
NM_017673	chr1(.):185121290-185265913	0.2329
NM_001105518	chr1(.):185121191-185265913	0.2328
NM_025191	chr1(.):184654624-184729041	0.362
NM_001164245	chr1(.):186339889-186395503	0.5074
NR_031642	chr1(.):186024866-186451655	0.1524
NM_144977	chr1(.):197516384-197749623	0.1858
NM_001195215	chr1(.):197468878-197749623	0.1729
NM_001167738	chr1(.):201703962-201801102	0.2669
NM_138795	chr1(.):202096976-202118866	0.4043
NM_020443	chr1(.):201612449-201801102	0.1773
NM_014935	chr1(.):204182980-204334044	0.0718
NM_201630	chr1(.):204581302-204659597	0.2333
NM_006338	chr1(.):204581302-204659481	0.2334
NM_006243	chr1(.):212453878-212540205	0.2418
NM_001143962	chr1(.):223709971-223858436	0.0441
NM_004481	chr1(.):230197955-230422875	0.3221
NM_003193	chr1(.):235525727-235617280	0.1015
NM_031371	chr1(.):235325209-235496532	0.149
NM_152490	chr1(.):235605532-235672781	0.2732
NM_032328	chr1(.):245128170-245256148	0.3468
