GENE	TF	CHROM	START	STOP	ENHANCER_ID
AANAT	0	chr17	74475634	74479791	2_MACS_peak_12615_lociStitched
AANAT	0	chr17	74487432	74490708	1_MACS_peak_12619_lociStitched
AARS	0	chr16	70321489	70324517	1_MACS_peak_11088_lociStitched
AASDH	0	chr4	57300578	57304117	1_MACS_peak_21198_lociStitched
ABCB9	0	chr12	123416234	123424012	4_MACS_peak_7252_lociStitched
ABCF1	0	chr6	30582274	30586693	2_MACS_peak_24261_lociStitched
ABHD12	0	chr20	25275036	25282578	2_MACS_peak_17311_lociStitched
ABHD12	0	chr20	25289118	25293065	1_MACS_peak_17313_lociStitched
ABHD4	0	chr14	23021792	23028529	2_MACS_peak_8201_lociStitched
ABHD4	0	chr14	23030402	23040001	4_MACS_peak_8203_lociStitched
ACBD3	0	chr1	226313057	226316858	2_MACS_peak_2658_lociStitched
ACTN4	0	chr19	39171795	39178159	2_MACS_peak_14250_lociStitched
ACTR3C	0	chr7	150064003	150068198	1_MACS_peak_27107_lociStitched
ACVR2A	0	chr2	148045288	148050271	3_MACS_peak_16132_lociStitched
ADA	0	chr20	43270535	43281081	3_MACS_peak_17567_lociStitched
ADAM15	0	chr1	154970773	154977707	1_MACS_peak_1603_lociStitched
ADAMTS4	0	chr1	161149045	161157598	2_MACS_peak_1754_lociStitched
ADAMTS4	0	chr1	161144820	161148258	1_MACS_peak_1753_lociStitched
ADAMTSL4	0	chr1	150533193	150541804	2_MACS_peak_1483_lociStitched
ADAMTSL4	0	chr1	150550122	150553340	2_MACS_peak_1485_lociStitched
ADAR	0	chr1	154579484	154582864	1_MACS_peak_1578_lociStitched
ADAR	0	chr1	154598823	154602585	1_MACS_peak_1579_lociStitched
ADCK4	0	chr19	41255283	41258495	1_MACS_peak_14329_lociStitched
ADCY10	0	chr1	167904162	167907171	1_MACS_peak_1885_lociStitched
ADIPOR1	0	chr1	202882664	202887005	1_MACS_peak_2350_lociStitched
ADM	0	chr11	10329052	10333040	2_MACS_peak_4510_lociStitched
ADNP	0	chr20	49568968	49576192	2_MACS_peak_17674_lociStitched
ADNP	0	chr20	49546079	49548949	1_MACS_peak_17673_lociStitched
ADORA2A	0	chr22	24822220	24826626	1_MACS_peak_18412_lociStitched
ADRBK1	0	chr11	67054161	67057756	2_MACS_peak_5153_lociStitched
ADRBK1	0	chr11	67043370	67047038	2_MACS_peak_5151_lociStitched
AFF1	0	chr4	87855178	87862468	1_MACS_peak_21470_lociStitched
AFF1	0	chr4	87880593	87884786	1_MACS_peak_21473_lociStitched
AFF1	0	chr4	87924369	87929793	3_MACS_peak_21476_lociStitched
AFMID	0	chr17	76168078	76172372	1_MACS_peak_12670_lociStitched
AGK	0	chr7	141254837	141265121	3_MACS_peak_27041_lociStitched
AHNAK2	0	chr14	105390619	105395408	1_MACS_peak_9085_lociStitched
AHRR	0	chr5	371926	375897	1_MACS_peak_22299_lociStitched
AIFM1	0	chrX	129304680	129310817	3_MACS_peak_30678_lociStitched
AKAP2	0	chr9	112903421	112916122	4_MACS_peak_29392_lociStitched
AKAP2	0	chr9	112674943	112682965	4_MACS_peak_29379_lociStitched
AKAP5	0	chr14	64969169	64972860	1_MACS_peak_8538_lociStitched
AKT1S1	0	chr19	50379094	50381783	2_MACS_peak_14582_lociStitched
ALDH8A1	0	chr6	135190740	135195789	3_MACS_peak_25246_lociStitched
ALDOA	0	chr16	30074798	30078669	2_MACS_peak_10741_lociStitched
ALKBH5	0	chr17	18085554	18090602	2_MACS_peak_11652_lociStitched
ALOX5	0	chr10	45913549	45918137	1_MACS_peak_3460_lociStitched
ALOXE3	0	chr17	8053464	8060759	3_MACS_peak_11525_lociStitched
ALPP	0	chr2	233138206	233142728	2_MACS_peak_16947_lociStitched
