#MM2 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM2.H3K27ac_ROSE/MM2_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MM2.jin.bam
#Using cutoff of 6714.4959 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM2.jin.bam	enhancerRank	isSuperStretch
14_MACS_peak_9655_lociStitched	chr14	106025464	106050942	14	24456	73142.2424	1	1
5_MACS_peak_28046_lociStitched	chr6	106531606	106552689	5	20430	53487.571	2	1
1_MACS_peak_5501_lociStitched	chr11	65183957	65196261	1	12305	67300.4192	3	1
6_MACS_peak_22990_lociStitched	chr3	171808032	171827045	6	18680	40649.794	4	1
14_MACS_peak_16326_lociStitched	chr2	20404223	20425867	14	20192	32232.2448	5	1
3_MACS_peak_6598_lociStitched	chr12	12866441	12879864	3	13158	54204.7586	6	1
5_MACS_peak_26832_lociStitched	chr6	7895662	7912473	5	15994	45426.6842	7	1
4_MACS_peak_22641_lociStitched	chr3	141096910	141110520	4	13353	45521.367	8	1
3_MACS_peak_27954_lociStitched	chr6	90054387	90068457	3	13820	44051.763	9	1
2_MACS_peak_3283_lociStitched	chr1	234738191	234749597	2	11392	48081.993	10	1
9_MACS_peak_30182_lociStitched	chr7	137662320	137679576	9	16292	30061.6776	11	1
4_MACS_peak_17890_lociStitched	chr2	158288783	158301839	4	12721	42242.688	12	1
5_MACS_peak_17215_lociStitched	chr2	87807329	87822840	5	15086	27167.5165	13	1
1_MACS_peak_8144_lociStitched	chr12	125396202	125406513	1	10312	42642.1716	14	1
8_MACS_peak_23005_lociStitched	chr3	171845828	171861330	8	14680	28215.1902	15	1
4_MACS_peak_17264_lociStitched	chr2	88917504	88928609	4	10381	39353.899	16	1
5_MACS_peak_1559_lociStitched	chr1	118147934	118160187	5	11775	31950.9228	17	1
4_MACS_peak_31160_lociStitched	chr8	98654944	98666011	4	10810	34705.0053	18	1
7_MACS_peak_14393_lociStitched	chr18	52977313	52990891	7	12819	27587.7804	19	1
7_MACS_peak_26011_lociStitched	chr5	131755711	131768609	7	12471	28380.7592	20	1
7_MACS_peak_17551_lociStitched	chr2	112184893	112199033	7	13506	21977.802	22	1
4_MACS_peak_9878_lociStitched	chr15	31642536	31654737	4	11654	29026.179	23	1
3_MACS_peak_1823_lociStitched	chr1	150532135	150541883	3	9368	33344.0088	24	1
2_MACS_peak_13177_lociStitched	chr17	43297937	43309235	2	11295	26682.4866	25	1
5_MACS_peak_21801_lociStitched	chr3	53199960	53211659	5	11558	23932.6443	26	1
12_MACS_peak_6489_lociStitched	chr12	7058073	7072172	12	12553	18785.5076	27	1
1_MACS_peak_22645_lociStitched	chr3	141117738	141126158	1	8421	33231.214	28	1
9_MACS_peak_11815_lociStitched	chr16	56964106	56975270	9	10337	27225.6468	29	1
8_MACS_peak_30231_lociStitched	chr7	139466596	139478247	8	11078	24434.4772	30	1
6_MACS_peak_6730_lociStitched	chr12	26269280	26280080	6	10024	27695.52	31	1
2_MACS_peak_2627_lociStitched	chr1	197740184	197748561	2	8202	31319.9276	32	1
4_MACS_peak_8080_lociStitched	chr12	123370716	123381112	4	10273	24986.786	33	1
1_MACS_peak_2987_lociStitched	chr1	218336684	218343683	1	7000	33489.5151	34	1
3_MACS_peak_3468_lociStitched	chr10	3821631	3828855	3	6608	33861.7776	35	1
6_MACS_peak_21013_lociStitched	chr3	5234504	5244986	6	9738	25664.1288	36	1
3_MACS_peak_31124_lociStitched	chr8	95954003	95963323	3	9090	27617.024	37	1
5_MACS_peak_21129_lociStitched	chr3	13369632	13380571	5	10446	22616.3825	38	1
1_MACS_peak_5518_lociStitched	chr11	65263476	65271000	1	7525	30869.4672	39	1
2_MACS_peak_1826_lociStitched	chr1	150545230	150553040	2	7789	29382.001	40	1
6_MACS_peak_29868_lociStitched	chr7	104649208	104656359	6	6047	31686.7961	41	1
3_MACS_peak_11047_lociStitched	chr15	93443056	93452179	3	8589	25647.4899	42	1
5_MACS_peak_3177_lociStitched	chr1	228269130	228274581	5	5008	32972.5539	43	1
11_MACS_peak_9417_lociStitched	chr14	91833146	91844544	11	10612	16918.0514	44	1
11_MACS_peak_8066_lociStitched	chr12	123354623	123366318	11	10893	15223.3815	45	1
2_MACS_peak_27328_lociStitched	chr6	32935733	32941465	2	5683	31588.4788	46	1
2_MACS_peak_20280_lociStitched	chr22	23269911	23278794	2	8794	24256.8081	47	1
3_MACS_peak_11044_lociStitched	chr15	93425105	93430199	3	4704	32848.1496	48	1
4_MACS_peak_2051_lociStitched	chr1	156466491	156475934	4	9436	21639.5788	49	1
3_MACS_peak_2048_lociStitched	chr1	156455768	156465985	3	10004	18922.9057	50	1
3_MACS_peak_31489_lociStitched	chr8	126441416	126449351	3	7450	27370.989	51	1
1_MACS_peak_32324_lociStitched	chr9	74975815	74981278	1	5464	30920.0337	52	1
2_MACS_peak_19428_lociStitched	chr20	45978760	45987439	2	8399	24209.2026	53	1
2_MACS_peak_25691_lociStitched	chr5	90673707	90680819	2	6785	27206.956	54	1
14_MACS_peak_17190_lociStitched	chr2	87765845	87777609	14	10035	15674.3536	55	1
1_MACS_peak_2499_lociStitched	chr1	182991034	182999753	1	8720	21276.1038	56	1
1_MACS_peak_32849_lociStitched	chr9	127630504	127638571	1	8068	23361.2253	57	1
3_MACS_peak_22646_lociStitched	chr3	141126883	141135819	3	8546	21561.6744	58	1
7_MACS_peak_12228_lociStitched	chr16	87883726	87893585	7	9453	17677.187	59	1
4_MACS_peak_2646_lociStitched	chr1	198898340	198907372	4	8405	20803.4056	60	1
2_MACS_peak_14472_lociStitched	chr18	60822018	60830732	2	8469	20552.8404	61	1
2_MACS_peak_2727_lociStitched	chr1	203288935	203297917	2	8855	18978.0678	62	1
5_MACS_peak_10266_lociStitched	chr15	55567200	55575755	5	8401	20286.4715	63	1
7_MACS_peak_26523_lociStitched	chr5	173314428	173323954	7	8846	18492.8238	64	1
3_MACS_peak_21121_lociStitched	chr3	13050253	13059033	3	8435	19821.728	65	1
1_MACS_peak_2892_lociStitched	chr1	207993692	208000831	1	7140	23879.2411	66	1
3_MACS_peak_2129_lociStitched	chr1	159888227	159896070	3	7519	22397.2551	67	1
1_MACS_peak_12318_lociStitched	chr16	90059857	90063994	1	4138	29028.5016	68	1
4_MACS_peak_18338_lociStitched	chr2	201987284	201996856	4	8975	16302.0732	69	1
1_MACS_peak_29311_lociStitched	chr7	50343710	50352497	1	8788	17037.1143	70	1
3_MACS_peak_1587_lociStitched	chr1	118195446	118204279	3	8424	18212.7627	71	1
2_MACS_peak_2000_lociStitched	chr1	155943657	155952063	2	8286	18539.433	72	1
1_MACS_peak_2722_lociStitched	chr1	203255061	203261123	1	6063	25064.5514	73	1
7_MACS_peak_25658_lociStitched	chr5	88175339	88185687	7	8996	14989.078	74	1
2_MACS_peak_10283_lociStitched	chr15	56657146	56665764	2	8595	15725.2646	75	1
6_MACS_peak_21270_lociStitched	chr3	23847021	23854559	6	7256	20859.9074	76	1
4_MACS_peak_20902_lociStitched	chr22	50353190	50361856	4	8245	16687.2496	77	1
2_MACS_peak_21011_lociStitched	chr3	5226182	5233600	2	7172	20131.7102	78	1
3_MACS_peak_23327_lociStitched	chr3	186713368	186720354	3	6823	21143.8276	79	1
1_MACS_peak_22967_lociStitched	chr3	171756968	171761700	1	4733	25447.7496	80	1
3_MACS_peak_10120_lociStitched	chr15	45001974	45008306	3	6278	22191.7604	81	1
2_MACS_peak_26983_lociStitched	chr6	16759005	16764884	2	5818	22961.6103	82	1
3_MACS_peak_7024_lociStitched	chr12	48200751	48208824	3	7823	16755.5115	83	1
4_MACS_peak_11379_lociStitched	chr16	11829527	11837511	4	7766	16865.4016	84	1
6_MACS_peak_6829_lociStitched	chr12	31737050	31745229	6	7827	16066.8276	85	1
3_MACS_peak_28709_lociStitched	chr6	159458629	159466519	3	7548	16592.67	86	1
5_MACS_peak_18659_lociStitched	chr2	232570613	232577580	5	6791	19220.5596	87	1
8_MACS_peak_13827_lociStitched	chr17	75135797	75144920	8	7743	15111.3372	88	1
1_MACS_peak_3197_lociStitched	chr1	228673988	228679104	1	5117	22974.4212	89	1
2_MACS_peak_3958_lociStitched	chr10	63804760	63811789	2	6780	18650.0457	90	1
5_MACS_peak_2064_lociStitched	chr1	156714647	156722436	5	7576	15199.4546	91	1
2_MACS_peak_10686_lociStitched	chr15	75334133	75341793	2	7313	16304.31	92	1
3_MACS_peak_22987_lociStitched	chr3	171800035	171807444	3	7213	16507.9929	93	1
1_MACS_peak_32201_lociStitched	chr9	66454650	66459737	1	5088	22445.8788	94	1
2_MACS_peak_31509_lociStitched	chr8	128746906	128754195	2	6833	17723.2035	95	1
2_MACS_peak_26023_lociStitched	chr5	131790721	131796198	2	5442	21180.1067	96	1
2_MACS_peak_20400_lociStitched	chr22	29193375	29198764	2	4973	22067.955	97	1
1_MACS_peak_10250_lociStitched	chr15	52968432	52973519	1	5088	21576.0018	98	1
4_MACS_peak_10828_lociStitched	chr15	81584980	81592735	4	7494	13949.694	99	1
3_MACS_peak_13783_lociStitched	chr17	74258505	74265621	3	6841	16330.5084	100	1
2_MACS_peak_30089_lociStitched	chr7	129587420	129592995	2	5080	21174.965	101	1
1_MACS_peak_8040_lociStitched	chr12	122237570	122243141	1	5572	19942.5087	102	1
2_MACS_peak_2431_lociStitched	chr1	178544427	178551736	2	7259	14086.6357	103	1
2_MACS_peak_6075_lociStitched	chr11	111237249	111244307	2	6947	15291.8628	104	1
3_MACS_peak_26030_lociStitched	chr5	131821024	131827616	3	6543	16769.3888	105	1
6_MACS_peak_28723_lociStitched	chr6	160398277	160405482	6	6928	15180.935	106	1
2_MACS_peak_2758_lociStitched	chr1	204375905	204382004	2	6048	18226.8615	107	1
6_MACS_peak_14387_lociStitched	chr18	52967788	52976023	6	7740	10871.847	108	1
3_MACS_peak_10432_lociStitched	chr15	65183673	65190147	3	6388	16987.1286	109	1
3_MACS_peak_22591_lociStitched	chr3	135910214	135917286	3	6304	17085.2448	110	1
4_MACS_peak_10127_lociStitched	chr15	45016427	45022883	4	6382	16738.4712	111	1
6_MACS_peak_18071_lociStitched	chr2	175456631	175465044	6	7088	13926.0389	112	1
3_MACS_peak_24210_lociStitched	chr4	87855305	87862358	3	7011	13975.5195	113	1
4_MACS_peak_24620_lociStitched	chr4	144274889	144283152	4	7468	11628.5199	114	1
3_MACS_peak_28442_lociStitched	chr6	139691088	139697577	3	5588	18819.3978	115	1
2_MACS_peak_3942_lociStitched	chr10	63658434	63665400	2	6647	14656.464	116	1
1_MACS_peak_1828_lociStitched	chr1	150581385	150587244	1	5860	17371.935	117	1
1_MACS_peak_1954_lociStitched	chr1	154971389	154978479	1	7091	12593.258	118	1
3_MACS_peak_23117_lociStitched	chr3	176911788	176917778	3	5796	17442.88	119	1
2_MACS_peak_2413_lociStitched	chr1	175155481	175162542	2	6987	12869.3786	120	1
3_MACS_peak_23486_lociStitched	chr3	196224995	196231404	3	6340	15159.8486	121	1
8_MACS_peak_17248_lociStitched	chr2	88895975	88904026	8	6924	12600.6201	122	1
2_MACS_peak_21040_lociStitched	chr3	9436253	9441919	2	5548	17663.1884	123	1
2_MACS_peak_26649_lociStitched	chr5	179245283	179249630	2	4323	20423.0754	124	1
4_MACS_peak_26703_lociStitched	chr6	391089	397461	4	6261	15084.4356	125	1
2_MACS_peak_24341_lociStitched	chr4	103745488	103750290	2	4745	19183.5098	126	1
2_MACS_peak_28090_lociStitched	chr6	108878497	108883894	2	5398	17566.6953	127	1
4_MACS_peak_2735_lociStitched	chr1	203707182	203714523	4	6945	11494.5378	128	1
7_MACS_peak_20261_lociStitched	chr22	23229931	23237762	7	7044	10914.0647	129	1
4_MACS_peak_17205_lociStitched	chr2	87781945	87789010	4	6835	11982.9465	130	1
4_MACS_peak_19649_lociStitched	chr20	57463709	57470770	4	6759	12353.9256	131	1
1_MACS_peak_30113_lociStitched	chr7	130790178	130796155	1	5978	15525.8552	132	1
2_MACS_peak_2725_lociStitched	chr1	203273258	203278493	2	5230	17605.8285	133	1
3_MACS_peak_32998_lociStitched	chr9	132646876	132653630	3	6512	13146.661	134	1
1_MACS_peak_23724_lociStitched	chr4	15002804	15007509	1	4706	18813.8835	135	1
