REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X32_0EX8_0229Kronos_MM1S.No.Treatment.2_IRF4_hs_i48.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
9_MACS_peak_18445_lociStitched	chr6	7878048	7918942	9	27985	29705.4016	11920.601	1	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	0.40700000000000003	1	1
9_MACS_peak_11359_lociStitched	chr2	99061661	99105607	9	26026	33218.7814	11522.6412	2	INPP4A		INPP4A	INPP4A	0.16739999999999997	2	1
4_MACS_peak_2148_lociStitched	chr1	228744130	228777740	4	22316	23332.062	14532.964	3		DUSP5P	DUSP5P	DUSP5P	0.09849999999999998	3	1
7_MACS_peak_19347_lociStitched	chr6	106531326	106560149	7	20671	19383.4675	6891.5793	4	PRDM1		PRDM1	PRDM1	0.3721	4	1
10_MACS_peak_4695_lociStitched	chr12	7046079	7080746	10	16309	18179.3748	6867.5327	5	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	PTPN6	0.37639999999999996	5	1
8_MACS_peak_7918_lociStitched	chr16	56964034	56986023	8	16219	15638.5768	5145.426	6	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	0.4363	6	1
3_MACS_peak_2438_lociStitched	chr10	11204678	11223174	3	16165	16962.6816	5090.0992	7	CELF2		CELF2	CELF2	0.08750000000000002	7	1
5_MACS_peak_16194_lociStitched	chr4	90209938	90229761	5	15905	13721.4806	5037.0243	8	GPRIN3		GPRIN3	GPRIN3	0.14620000000000002	8	1
6_MACS_peak_5129_lociStitched	chr12	53583686	53603470	6	15554	17940.1312	5401.032	9	ZNF740,ITGB7	MFSD5,CSAD,RARG	ITGB7	ITGB7	0.5095000000000001	9	1
7_MACS_peak_7600_lociStitched	chr16	11813428	11837508	7	15141	13959.176	4979.744	10	TXNDC11		TXNDC11	TXNDC11	0.346	10	1
1_MACS_peak_3985_lociStitched	chr11	65263965	65278801	1	14837	17123.7112	3667.4592	11	MALAT1	SCYL1,LTBP3	MALAT1	MALAT1	0.7292000000000001	11	1
6_MACS_peak_7591_lociStitched	chr16	11766185	11785662	6	14565	14539.5805	4750.4403	12	SNN,TXNDC11		SNN	SNN	0.2672	12	1
5_MACS_peak_8567_lociStitched	chr17	34622718	34640668	5	14455	17628.695	6740.225	13	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	NONE	NONE	13	1
4_MACS_peak_8559_lociStitched	chr17	34522812	34539657	4	14107	17235.804	6156.8475	14	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	0.5051000000000001	14	1
6_MACS_peak_3518_lociStitched	chr11	10319725	10345038	6	14018	14099.341	4809.47	15	ADM	SBF2	ADM	ADM	0.5676	15	1
2_MACS_peak_3978_lociStitched	chr11	65183632	65199513	2	13624	17111.7775	5113.682	16	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	0.8154999999999999	16	1
3_MACS_peak_9796_lociStitched	chr19	2082083	2098308	3	13008	15454.3125	5865.3375	17	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	0.3413	17	1
6_MACS_peak_12762_lociStitched	chr20	30293191	30312257	6	12799	13513.9808	5151.6332	18	BCL2L1	TPX2	BCL2L1	BCL2L1	0.2266	18	1
4_MACS_peak_1142_lociStitched	chr1	150532183	150552742	4	12603	18346.8516	7179.2028	19	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	0.2738	19	1
5_MACS_peak_10226_lociStitched	chr19	39888106	39903849	5	12270	11799.3785	3531.1549	20	MED29,ZFP36,PLEKHG2	SUPT5H,PAF1,RPS16	ZFP36	ZFP36	0.5585	20	1
5_MACS_peak_15247_lociStitched	chr3	171801950	171826812	5	12084	17831.0264	7836.5024	21	FNDC3B		FNDC3B	FNDC3B	0.04829999999999998	21	1
4_MACS_peak_10885_lociStitched	chr2	43444646	43457341	4	11769	9200.0665	3042.9915	22	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	0.433	22	1
5_MACS_peak_17844_lociStitched	chr5	131745876	131764069	5	11750	11929.1501	4695.6133	23	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	0.21589999999999998	23	1
3_MACS_peak_10812_lociStitched	chr2	37538759	37551713	3	11633	10343.769	2962.5798	24	PRKD3	QPCT	PRKD3	QPCT	0.2535	24	1
4_MACS_peak_15844_lociStitched	chr4	40193781	40207882	4	11593	11733.4421	3946.8699	25	RHOH		RHOH	RHOH	0.17860000000000004	25	1
3_MACS_peak_4780_lociStitched	chr12	12866858	12880040	3	11562	10251.6414	3225.6354	26	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	0.4769	26	1
5_MACS_peak_9802_lociStitched	chr19	2255158	2274702	5	11351	12066.4656	4819.5504	27	OAZ1,JSRP1,C19orf35	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,LINGO3	OAZ1	OAZ1	0.26780000000000004	27	1
4_MACS_peak_21142_lociStitched	chr7	150063993	150081406	4	11232	12587.8577	5298.7759	28	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	LOC728743	0.32249999999999995	28	1
3_MACS_peak_18355_lociStitched	chr6	315291	330248	3	10657	14361.7114	6474.8853	29	DUSP22		DUSP22	DUSP22	0.24029999999999996	29	1
5_MACS_peak_17509_lociStitched	chr5	88113950	88126623	5	10633	8781.1217	2881.8402	30	MEF2C		MEF2C	MEF2C	0.0922	30	1
3_MACS_peak_15005_lociStitched	chr3	141097472	141110734	3	10526	13089.594	4208.0326	31	ZBTB38		ZBTB38	ZBTB38	0.16629999999999998	31	1
4_MACS_peak_1852_lociStitched	chr1	204474922	204491152	4	10517	14970.552	5312.079	32	MDM4	PIK3C2B	MDM4	MDM4	0.1785	32	1
3_MACS_peak_1280_lociStitched	chr1	156118713	156131906	3	10481	13179.807	5050.2804	33	SEMA4A	LMNA,SLC25A44	SEMA4A	SEMA4A	0.2607	33	1
6_MACS_peak_13963_lociStitched	chr3	5228620	5247785	6	10340	10197.6965	3959.489	34	EDEM1		EDEM1	EDEM1	0.2111	34	1
5_MACS_peak_9103_lociStitched	chr17	75131586	75144850	5	10241	9930.7568	3491.0848	35	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	0.3045	35	1
4_MACS_peak_12165_lociStitched	chr2	201980069	201994562	4	9954	11098.7394	3859.4859	36	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	0.14140000000000003	36	1
5_MACS_peak_2444_lociStitched	chr10	11283939	11304292	5	9954	12570.0128	4434.9187	37	CELF2		CELF2	CELF2	0.08750000000000002	37	1
7_MACS_peak_13543_lociStitched	chr22	23223272	23240278	7	9889	11281.7804	3316.17	38	IGLL5		IGLL5	IGLL5	0.41290000000000004	38	1
3_MACS_peak_1826_lociStitched	chr1	203267598	203280341	3	9815	9874.5507	4849.9858	39	BTG2,LOC730227	FMOD	LOC730227	LOC730227	0.2981	39	1
3_MACS_peak_10600_lociStitched	chr2	11883759	11895202	3	9733	9778.0435	2937.4181	40	LPIN1		LPIN1	LPIN1	0.10320000000000001	40	1
3_MACS_peak_8872_lociStitched	chr17	56405273	56422714	3	9662	12430.2007	5322.9932	41	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	0.3138	41	1
4_MACS_peak_12096_lociStitched	chr2	197033652	197053385	4	9613	10961.6815	4207.0756	42	STK17B		STK17B	STK17B	0.1564	42	1
3_MACS_peak_2216_lociStitched	chr1	234734936	234749677	3	9473	12972.08	5013.4141	43	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	0.5237	43	1
4_MACS_peak_18358_lociStitched	chr6	388970	401413	4	9444	8157.6308	2695.1538	44	IRF4		IRF4	IRF4	0.2729	44	1
5_MACS_peak_22684_lociStitched	chr9	94181295	94196026	5	9289	8635.3122	2991.8661	45	NFIL3		NFIL3	NFIL3	0.18280000000000002	45	1
4_MACS_peak_10056_lociStitched	chr19	16253414	16273060	4	9274	12068.5378	4481.2526	46	HSH2D,CIB3	RAB8A,FAM32A,AP1M1	HSH2D	HSH2D	0.28569999999999995	46	1
4_MACS_peak_15008_lociStitched	chr3	141118915	141132668	4	9250	9825.1432	3830.2105	47	ZBTB38		RASA2	RASA2	0.031200000000000006	47	1
1_MACS_peak_5651_lociStitched	chr12	109021884	109031104	1	9221	10269.236	3050.898	48	SELPLG	TMEM119	SELPLG	SELPLG	0.45430000000000004	48	1
3_MACS_peak_7172_lociStitched	chr15	75072324	75083254	3	9040	7628.047	2989.355	49	CSK	CYP1A2,LMAN1L,CPLX3	CSK	CSK	0.2095	49	1
3_MACS_peak_8937_lociStitched	chr17	62197696	62208519	3	8975	7155.0853	2604.0138	50	ERN1	SNORD104,SNORA76	ERN1	ERN1	0.21559999999999999	50	1
4_MACS_peak_17514_lociStitched	chr5	88175202	88185826	4	8835	6891.7888	2431.8336	51	MEF2C		MEF2C	MEF2C	0.0922	51	1
3_MACS_peak_18352_lociStitched	chr6	290556	307303	3	8809	13352.3831	5861.45	52	DUSP22		DUSP22	DUSP22	0.24029999999999996	52	1
4_MACS_peak_18787_lociStitched	chr6	31694791	31708506	4	8793	8901.035	3221.6535	53	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	CLIC1	0.3558	53	1
5_MACS_peak_4884_lociStitched	chr12	26265984	26279826	5	8793	8857.4958	3543.552	54	BHLHE41		BHLHE41	BHLHE41	0.26990000000000003	54	1
3_MACS_peak_6208_lociStitched	chr13	114557172	114566589	3	8576	6763.2894	2635.8183	55	GAS6	FLJ44054,GAS6	GAS6	GAS6	0.11199999999999999	55	1
2_MACS_peak_1888_lociStitched	chr1	206728517	206737758	2	8515	8837.1683	3575.3429	56	RASSF5	LGTN	RASSF5	RASSF5	0.0756	56	1
3_MACS_peak_7612_lociStitched	chr16	12056572	12070776	3	8457	9654.4588	3426.0048	57	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	0.43490000000000006	57	1
5_MACS_peak_20201_lociStitched	chr7	38388362	38408291	5	8450	8900.2914	4089.4308	58			TARP	TARP	NONE	58	1
4_MACS_peak_9763_lociStitched	chr19	1258829	1276883	4	8410	9727.4952	4547.8026	59	MIDN,CIRBP,C19orf24,C19orf23	ATP5D,EFNA2,C19orf26	CIRBP	CIRBP	0.24409999999999998	59	1
3_MACS_peak_10815_lociStitched	chr2	37570169	37584032	3	8392	8891.7282	3392.2761	60	QPCT	PRKD3	QPCT	QPCT	0.2535	60	1
4_MACS_peak_18233_lociStitched	chr5	171601289	171616192	4	8299	6757.0202	2989.5418	61	STK10	EFCAB9	STK10	STK10	0.0334	61	1
2_MACS_peak_10072_lociStitched	chr19	16694394	16706430	2	8232	9757.5852	3461.5536	62	MED26	CHERP,SLC35E1	SLC35E1	CHERP	0.0369	62	1
2_MACS_peak_4664_lociStitched	chr12	4378457	4388170	2	8167	6328.0195	2137.8313	63	CCND2	C12orf5	CCND2	CCND2	0.16670000000000001	63	1
3_MACS_peak_13613_lociStitched	chr22	29185838	29197972	3	8132	9164.8102	2668.2666	64	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	0.43989999999999996	64	1
2_MACS_peak_19387_lociStitched	chr6	108879359	108887775	2	8121	7060.1824	1895.2832	65	FOXO3		FOXO3	FOXO3	0.20710000000000003	65	1
3_MACS_peak_9061_lociStitched	chr17	73771227	73782205	3	8109	7239.991	2647.8936	66	UNK,H3F3B	GALK1	H3F3B	H3F3B	0.2643	66	1
6_MACS_peak_20481_lociStitched	chr7	78116553	78127981	6	8065	7579.0496	3008.9924	67	MAGI2		RPL13AP17	RPL13AP17	NONE	67	1
7_MACS_peak_5757_lociStitched	chr12	123371736	123386811	7	7982	7315.8975	2219.04	68	VPS37B		VPS37B	VPS37B	0.18380000000000002	68	1
5_MACS_peak_21212_lociStitched	chr8	2029486	2041079	5	7974	8739.9627	2846.0815	69	MYOM2		MYOM2	MYOM2	0.09639999999999999	69	1
2_MACS_peak_14014_lociStitched	chr3	13050430	13059343	2	7928	8137.569	2729.1606	70	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.04190000000000001	70	1
3_MACS_peak_18641_lociStitched	chr6	26195426	26206912	3	7922	7838.0464	2760.0858	71	HIST1H2BF,HIST1H4E,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2BE,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H4D,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H2BF	HIST1H2BF	0.41840000000000005	71	1
4_MACS_peak_9142_lociStitched	chr17	76712667	76726080	4	7887	8118.8889	3169.4919	72	CYTH1		CYTH1	CYTH1	0.1197	72	1
2_MACS_peak_3725_lociStitched	chr11	35160163	35168572	2	7870	5971.2309	2387.3151	73	CD44		CD44	CD44	0.0776	73	1
2_MACS_peak_3266_lociStitched	chr10	112256898	112264915	2	7791	7170.4048	2272.0178	74	DUSP5		DUSP5	DUSP5	0.26549999999999996	74	1
5_MACS_peak_9096_lociStitched	chr17	75078937	75093099	5	7687	8407.9794	3275.6706	75	C17orf86,SCARNA16	SEC14L1	SCARNA16	SCARNA16	0.3045	75	1
3_MACS_peak_1361_lociStitched	chr1	160703246	160714752	3	7642	7215.4126	3704.932	76	SLAMF7	CD48	SLAMF7	CD48	0.17169999999999996	76	1
5_MACS_peak_6792_lociStitched	chr15	40388181	40401832	5	7623	8033.6135	3423.6708	77	BMF		BMF	BMF	0.1714	77	1
2_MACS_peak_1239_lociStitched	chr1	154924139	154935376	2	7621	7675.9947	3580.1082	78	PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B,PMVK	PBXIP1	PBXIP1	0.2995	78	1
6_MACS_peak_14142_lociStitched	chr3	30683993	30703466	6	7526	9822.1812	4134.1179	79	TGFBR2		TGFBR2	TGFBR2	0.07069999999999999	79	1
2_MACS_peak_15432_lociStitched	chr3	186711439	186719740	2	7517	9240.6732	3268.9338	80	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	0.07680000000000001	80	1
2_MACS_peak_15293_lociStitched	chr3	176912502	176920301	2	7437	7589.9868	2540.1343	81	TBL1XR1		TBL1XR1	TBL1XR1	0.04770000000000002	81	1
3_MACS_peak_1378_lociStitched	chr1	161145098	161156566	3	7409	9465.6872	3880.7712	82	B4GALT3	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,ADAMTS4,APOA2	B4GALT3	USP21	0.25880000000000003	82	1
4_MACS_peak_8632_lociStitched	chr17	38470694	38483363	4	7404	9775.4004	3078.567	83	RARA	CDC6,RARA,GJD3	RARA	RARA	0.12039999999999998	83	1
5_MACS_peak_17245_lociStitched	chr5	55437642	55453247	5	7398	10695.667	3693.7035	84	ANKRD55		ANKRD55	ANKRD55	0.0625	84	1
2_MACS_peak_2117_lociStitched	chr1	226840481	226851520	2	7332	8688.7969	3993.9102	85	ITPKB		ITPKB	ITPKB	0.07750000000000001	85	1
5_MACS_peak_9149_lociStitched	chr17	76767577	76779381	5	7298	6835.6964	2490.644	86	CYTH1		CYTH1	CYTH1	0.1197	86	1
4_MACS_peak_14903_lociStitched	chr3	129027209	129037348	4	7281	7567.7496	2656.418	87	C3orf47,H1FX	C3orf37	C3orf47	C3orf47	0.21070000000000003	87	1
3_MACS_peak_19139_lociStitched	chr6	74220358	74234066	3	7263	9169.2812	3414.6628	88	EEF1A1	MTO1	EEF1A1	EEF1A1	0.37460000000000004	88	1
