REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X09_0EWV_0229Kronos_MM1S.KB.24hr.1_H3K18Ac_hs.dm_i17.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
4_MACS_peak_2190_lociStitched	chr1	203236165	203299617	4	54345	451397.528	20856.6724	1	BTG2,LOC730227	CHIT1,FMOD	LOC730227	LOC730227	7.5887	1	1
9_MACS_peak_18430_lociStitched	chr3	141079084	141160642	9	70038	428921.6778	17567.5932	2	ZBTB38	RASA2	ZBTB38	ZBTB38	3.0574	2	1
7_MACS_peak_13598_lociStitched	chr2	37525716	37624917	7	81544	387002.9412	21199.2537	3	QPCT,PRKD3		QPCT	QPCT	4.9001	3	1
1_MACS_peak_10716_lociStitched	chr17	32688179	32729404	1	41226	284526.705	10157.84	4	CCL1	CCL8,CCL13	CCL1	CCL1	3.7312999999999996	4	1
3_MACS_peak_8212_lociStitched	chr14	106023334	106056622	3	33046	247040.2344	6075.06	5		TMEM121	TMEM121	TMEM121	0.0972	5	1
5_MACS_peak_16736_lociStitched	chr22	23188422	23249167	5	52062	243793.983	8546.8215	6	IGLL5	MIR650	IGLL5	IGLL5	7.7171	6	1
4_MACS_peak_1316_lociStitched	chr1	118147481	118219684	4	67603	243504.6175	9083.1374	7	FAM46C		FAM46C	FAM46C	2.5371	7	1
11_MACS_peak_9464_lociStitched	chr16	11754652	11843245	11	69196	247644.0129	17000.9967	8	SNN,TXNDC11	ZC3H7A	SNN	SNN	2.6334	8	1
3_MACS_peak_10756_lociStitched	chr17	34597245	34646085	3	46736	233333.1	12092.784	9	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	TBC1D3C	0.00520000000000001	9	1
2_MACS_peak_16741_lociStitched	chr22	23265455	23298606	2	27513	218750.1886	6388.1977	10		IGLL5	IGLL5	IGLL5	7.7171	10	1
2_MACS_peak_10752_lociStitched	chr17	34508268	34544400	2	34827	211693.7748	9903.7812	11	CCL4L1,CCL3L1,CCL3L3	TBC1D3B,TBC1D3C	CCL3L1	CCL3L1	6.4645	11	1
2_MACS_peak_14240_lociStitched	chr2	99054560	99108536	2	49742	212244.4272	11939.4912	12	INPP4A		INPP4A	INPP4A	1.4255	12	1
8_MACS_peak_8057_lociStitched	chr14	91812869	91886033	8	61353	190643.4348	8201.6844	13	CCDC88C		CCDC88C	CCDC88C	1.273	13	1
4_MACS_peak_10504_lociStitched	chr17	16847545	16895801	4	41941	189395.1488	9178.2912	14	TNFRSF13B		TNFRSF13B	TNFRSF13B	2.4946	14	1
4_MACS_peak_3852_lociStitched	chr10	112596381	112633444	4	29532	184466.2573	7123.5086	15	RBM20,PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	5.1192	15	1
1_MACS_peak_19744_lociStitched	chr4	90204250	90230490	1	26241	179185.088	6586.24	16	GPRIN3		GPRIN3	GPRIN3	2.403	16	1
4_MACS_peak_8219_lociStitched	chr14	106143902	106175966	4	31018	169342.8096	4020.8256	17			TMEM121	TMEM121	0.0972	17	1
2_MACS_peak_18368_lociStitched	chr3	133177374	133213686	2	34632	168999.6792	7505.6904	18	BFSP2		BFSP2	BFSP2	1.9434	18	1
2_MACS_peak_16759_lociStitched	chr22	24177245	24200900	2	17795	161033.778	4816.158	19	SLC2A11,DERL3	SMARCB1,MIF	DERL3	DERL3	2.2714	19	1
2_MACS_peak_22011_lociStitched	chr6	7882201	7921979	2	36742	163630.7808	9491.0308	20	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	2.9348	20	1
4_MACS_peak_2259_lociStitched	chr1	206271553	206311384	4	27585	164964.0696	10945.5588	21	C1orf186	AVPR1B,CTSE	C1orf186	C1orf186	1.9002	21	1
1_MACS_peak_25945_lociStitched	chr8	120915184	120952095	1	36912	152656.5138	6810.0795	22	DEPDC6	DSCC1	DEPDC6	DEPDC6	1.0869	22	1
2_MACS_peak_10852_lociStitched	chr17	38458838	38484841	2	24962	149499.0479	5367.0192	23	CDC6,RARA	RARA,GJD3	RARA	RARA	2.4645	23	1
4_MACS_peak_21899_lociStitched	chr6	289715	338154	4	38212	159441.8124	15592.5141	24	DUSP22		DUSP22	DUSP22	2.0583	24	1
8_MACS_peak_11040_lociStitched	chr17	46505688	46572079	8	49976	153648.6913	11565.3122	25	SKAP1	HOXB1	SKAP1	SKAP1	0.00739999999999999	25	1
3_MACS_peak_24138_lociStitched	chr7	55568734	55606381	3	31156	149183.7669	7472.9295	26	VOPP1		VOPP1	VOPP1	1.7916	26	1
7_MACS_peak_23005_lociStitched	chr6	108878154	108960461	7	73418	153214.4805	13523.0401	27	FOXO3		FOXO3	FOXO3	1.3307	27	1
1_MACS_peak_4853_lociStitched	chr11	72850754	72871370	1	20617	143219.352	4312.8672	28	FCHSD2		FCHSD2	FCHSD2	0.0889	28	1
1_MACS_peak_2860_lociStitched	chr10	11201598	11224567	1	22970	144987.2187	6621.9627	29	CELF2		CELF2	CELF2	0.6293	29	1
2_MACS_peak_15794_lociStitched	chr20	30271497	30312299	2	39765	147805.245	9563.9888	30	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	2.1368	30	1
6_MACS_peak_21379_lociStitched	chr5	131789798	131842798	6	39074	147355.9	10552.3	31	C5orf56,IRF1	RAD50,IL5	IRF1	IRF1	1.0633000000000001	31	1
4_MACS_peak_11685_lociStitched	chr18	9053884	9085265	4	27537	143213.4697	6458.2098	32		NDUFV2	NDUFV2	NDUFV2	2.2014	32	1
4_MACS_peak_18845_lociStitched	chr3	183220230	183261282	4	37386	143706.6312	11354.9832	33	KLHL6		KLHL6	KLHL6	2.1102	33	1
2_MACS_peak_296_lociStitched	chr1	24511606	24534216	2	20938	136808.588	4904.109	34	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	2.3593	34	1
3_MACS_peak_21376_lociStitched	chr5	131744354	131774604	3	25782	138112.425	6757.85	35	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	3.2066999999999997	35	1
5_MACS_peak_23332_lociStitched	chr6	138244642	138297817	5	47264	137133.0075	8800.4625	36			TNFAIP3	TNFAIP3	1.5387	36	1
1_MACS_peak_4683_lociStitched	chr11	65183195	65199958	1	16764	131234.1744	4720.4608	37	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	7.8086	37	1
4_MACS_peak_6624_lociStitched	chr12	109008901	109036304	4	22104	132512.6871	6332.8333	38	SELPLG	TMEM119	SELPLG	SELPLG	5.4026	38	1
3_MACS_peak_19519_lociStitched	chr4	71523428	71555476	3	30327	132957.5376	6784.5616	39	UTP3,IGJ	ENAM,RUFY3	IGJ	IGJ	2.6619	39	1
3_MACS_peak_24521_lociStitched	chr7	102063347	102093408	3	24425	131540.9238	6021.2183	40	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	2.218	40	1
6_MACS_peak_23025_lociStitched	chr6	109185991	109236570	6	34077	132602.9643	8122.9874	41	ARMC2		ARMC2	ARMC2	1.0342	41	1
3_MACS_peak_1608_lociStitched	chr1	154907763	154935931	3	24041	132491.0048	8489.8352	42	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	PBXIP1	3.5488	42	1
3_MACS_peak_15941_lociStitched	chr20	37486638	37511809	3	17721	127324.9864	4719.5625	43	PPP1R16B	FAM83D	FAM83D	FAM83D	0.0058	43	1
1_MACS_peak_9942_lociStitched	chr16	66548817	66562283	1	13467	125423.6706	3218.374	44	TK2	CKLF,CMTM1	TK2	TK2	2.8615000000000004	44	1
1_MACS_peak_14921_lociStitched	chr2	182166655	182181709	1	15055	125252.2908	3343.4934	45			ITGA4	ITGA4	0.29280000000000006	45	1
1_MACS_peak_22181_lociStitched	chr6	25401507	25416554	1	15048	124662.8903	4038.6148	46	LRRC16A		LRRC16A	LRRC16A	0.5475	46	1
2_MACS_peak_18692_lociStitched	chr3	171801645	171828881	2	27220	127366.4304	7707.788	47	FNDC3B		FNDC3B	FNDC3B	0.3771	47	1
4_MACS_peak_23860_lociStitched	chr7	25979979	26012452	4	21430	123936.4518	6078.9456	48	MIR148A		MIR148A	MIR148A	2.6023	48	1
2_MACS_peak_4310_lociStitched	chr11	22676416	22704591	2	24570	121538.4975	4995.4275	49	GAS2	FANCF	GAS2	GAS2	0.7293000000000001	49	1
1_MACS_peak_4296_lociStitched	chr11	19449404	19468900	1	19497	120851.8048	4807.7136	50	NAV2		FLJ13439	FLJ13439	NONE	50	1
3_MACS_peak_24980_lociStitched	chr7	150052202	150084989	3	28567	124475.8455	8616.4236	51	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	REPIN1	4.7465	51	1
2_MACS_peak_3953_lociStitched	chr10	125821494	125855166	2	33239	121761.3192	6427.9848	52	CHST15		CHST15	CHST15	1.2905	52	1
4_MACS_peak_11689_lociStitched	chr18	9094811	9154924	4	47338	127601.8651	12449.4023	53	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.2893	53	1
4_MACS_peak_12284_lociStitched	chr19	2594252	2629211	4	22260	121150.4145	8634.873	54	GNG7		GNG7	GNG7	0.618	54	1
4_MACS_peak_15153_lociStitched	chr2	204536513	204586966	4	40384	121379.8274	9348.9409	55	CD28		CD28	CD28	2.0300000000000002	55	1
2_MACS_peak_17641_lociStitched	chr3	46244069	46265563	2	18517	116884.372	4962.9646	56	CCR1	CCR3	CCR1	CCR1	4.9540999999999995	56	1
2_MACS_peak_21049_lociStitched	chr5	88593560	88621344	2	26360	116790.044	5476.2264	57			MEF2C	MEF2C	0.6009	57	1
3_MACS_peak_9605_lociStitched	chr16	23333965	23366510	3	22567	116950.4575	5701.884	58	SCNN1B		SCNN1B	SCNN1B	1.7569	58	1
3_MACS_peak_11183_lociStitched	chr17	56404514	56430925	3	19665	117169.7604	6296.3824	59	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	4.8448	59	1
6_MACS_peak_17643_lociStitched	chr3	46317403	46366462	6	41292	119247.7113	8629.4781	60		CCR3,CCR2,CCR5	CCR2	CCR2	2.2141	60	1
2_MACS_peak_4190_lociStitched	chr11	10314301	10345209	2	25018	117264.952	6753.398	61	ADM,SBF2		ADM	ADM	5.0296	61	1
3_MACS_peak_3830_lociStitched	chr10	112103421	112128795	3	15574	115263.9324	5074.8	62		SMNDC1	SMNDC1	SMNDC1	0.10929999999999998	62	1
3_MACS_peak_3152_lociStitched	chr10	45913216	45936518	3	22058	113979.4028	4404.078	63	ALOX5		ALOX5	ALOX5	1.3628	63	1
3_MACS_peak_13903_lociStitched	chr2	65155552	65179026	3	21102	114201.01	5622.023	64	LOC400958	SLC1A4	LOC400958	LOC400958	2.0167	64	1
4_MACS_peak_15839_lociStitched	chr20	32442348	32474824	4	26286	114516.8712	6037.2884	65		CHMP4B	CHMP4B	CHMP4B	1.7635999999999998	65	1
2_MACS_peak_1507_lociStitched	chr1	150532134	150553468	2	16929	115000.927	7313.2952	66	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	1.0657	66	1
3_MACS_peak_16145_lociStitched	chr20	52336465	52372304	3	26400	111989.7072	5874.0121	67			SUMO1P1	SUMO1P1	2.59	67	1
3_MACS_peak_9484_lociStitched	chr16	12052049	12072318	3	15652	110093.1004	4252.4362	68	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	7.765699999999999	68	1
2_MACS_peak_434_lociStitched	chr1	31213529	31235915	2	22048	110613.7032	5365.9242	69	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	2.985	69	1
1_MACS_peak_16514_lociStitched	chr21	41323540	41345285	1	21746	111886.723	7030.1585	70			PCP4	PCP4	0.4347	70	1
1_MACS_peak_16534_lociStitched	chr21	43478832	43487352	1	8521	107802.708	3151.548	71	UMODL1	C21orf121,UMODL1,ZNF295,C21orf128	UMODL1	UMODL1	1.4536	71	1
2_MACS_peak_22843_lociStitched	chr6	88611492	88640800	2	28362	110195.1492	5650.5824	72			SPACA1	SPACA1	NONE	72	1
2_MACS_peak_2219_lociStitched	chr1	204474269	204495399	2	21002	110818.398	6341.113	73	MDM4	PIK3C2B	MDM4	MDM4	1.8443	73	1
7_MACS_peak_12935_lociStitched	chr19	42022142	42070641	7	35637	113041.4692	9738.5992	74		CEACAM21	CEACAM21	NONE	NONE	74	1
4_MACS_peak_19672_lociStitched	chr4	84130457	84163971	4	25527	109299.2082	6019.1144	75		COQ2	COQ2	COQ2	0.3096	75	1
2_MACS_peak_2842_lociStitched	chr10	7510510	7537768	2	25619	107205.714	4383.0864	76			SFMBT2	SFMBT2	NONE	76	1
1_MACS_peak_20336_lociStitched	chr4	185200460	185211453	1	10994	105449.2532	3117.6148	77			ENPP6	NONE	NONE	77	1
2_MACS_peak_12259_lociStitched	chr19	2081307	2098533	2	16237	107398.9422	5729.3676	78	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	2.9071	78	1
1_MACS_peak_5634_lociStitched	chr12	12865855	12882003	1	16149	105362.4704	3738.262	79	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	6.7192	79	1
5_MACS_peak_16581_lociStitched	chr21	45552484	45581507	5	21021	108537.3131	7618.5375	80	C21orf33	PWP2	C21orf33	C21orf33	1.239	80	1
1_MACS_peak_14389_lociStitched	chr2	112455230	112468204	1	12975	103641.5016	3189.0092	81			ANAPC1	ANAPC1	NONE	81	1
2_MACS_peak_23506_lociStitched	chr6	157975336	158007583	2	27462	101900.52	3098.9367	82	ZDHHC14	MIR3692	MIR3692	NONE	NONE	82	1
2_MACS_peak_8445_lociStitched	chr15	40386084	40409199	2	18868	103934.286	5272.5315	83	BMF	BUB1B	BMF	BMF	3.448	83	1
3_MACS_peak_13430_lociStitched	chr2	20397435	20426588	3	23757	102933.4124	5387.4744	84	SDC1		SDC1	SDC1	2.8329999999999997	84	1
7_MACS_peak_9995_lociStitched	chr16	68269753	68321282	7	36452	106294.0212	9687.452	85	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	SLC7A6	1.1397	85	1
1_MACS_peak_12078_lociStitched	chr18	60821054	60832121	1	11068	99140.3994	2934.9684	86	BCL2		BCL2	BCL2	0.8023	86	1
1_MACS_peak_19357_lociStitched	chr4	40190733	40209975	1	19243	101080.1502	5052.9492	87	RHOH		RHOH	RHOH	1.5357	87	1
1_MACS_peak_22966_lociStitched	chr6	106530434	106556535	1	26102	102122.7726	6112.8542	88	PRDM1		PRDM1	PRDM1	2.8752	88	1
1_MACS_peak_18774_lociStitched	chr3	178228071	178242048	1	13978	99426.7872	3845.0727	89		KCNMB2	KCNMB2	KCNMB2	0.0862	89	1
