REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM6_jia.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
5_MACS_peak_1198_lociStitched	chr1	150532540	150553181	5	19238	45395.7513	1	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	1	1
7_MACS_peak_1304_lociStitched	chr1	154908154	154935570	7	19692	44775.8112	2	1	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	2	1
15_MACS_peak_14917_lociStitched	chr3	141117905	141161167	15	33662	42353.498	3	1	ZBTB38	RASA2	RASA2	3	1
6_MACS_peak_10008_lociStitched	chr19	13944113	13961829	6	10376	40461.5724	4	1	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	4	1
2_MACS_peak_3632_lociStitched	chr11	65183686	65199550	2	15774	36915.528	5	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	5	1
4_MACS_peak_10380_lociStitched	chr19	39888486	39903816	4	13332	32243.589	6	1	MED29,ZFP36,PLEKHG2	SUPT5H,PAF1,RPS16	ZFP36	6	1
2_MACS_peak_2155_lociStitched	chr1	234734103	234749311	2	14431	31669.1392	7	1	IRF2BP2	NCRNA00184	IRF2BP2	7	1
2_MACS_peak_6423_lociStitched	chr15	31636616	31660979	2	23583	31662.1548	8	1	KLF13		KLF13	8	1
3_MACS_peak_17398_lociStitched	chr5	172191517	172205335	3	10172	31647.3654	9	1	DUSP1		DUSP1	9	1
1_MACS_peak_10089_lociStitched	chr19	16434578	16442202	1	7625	30265.7552	10	1	KLF2		KLF2	10	1
3_MACS_peak_9679_lociStitched	chr19	2081699	2097979	3	14253	29644.252	11	1	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	11	1
14_MACS_peak_7999_lociStitched	chr16	81840858	81876396	14	20507	29283.312	12	1	PLCG2		PLCG2	12	1
2_MACS_peak_3640_lociStitched	chr11	65263819	65278365	2	12073	26370.4434	13	1	MALAT1	SCYL1,LTBP3	MALAT1	13	1
1_MACS_peak_16742_lociStitched	chr5	90673880	90680854	1	6975	25973.2682	14	1	LOC100129716,ARRDC3		LOC100129716	14	1
3_MACS_peak_13873_lociStitched	chr3	3138055	3153249	3	10621	25645.9526	15	1	IL5RA	TRNT1	IL5RA	15	1
