GENE_ID	locusLine	bin_1_36_0EXO_0229Kronos_MM1S-No-Treatment-2_Input_hs_i78.bam
5_MACS_peak_1_lociStitched	chr1(.):30109-36218	0.1842
1_MACS_peak_6_lociStitched	chr1(.):37842-38248	0.1217
1_MACS_peak_7_lociStitched	chr1(.):87617-88193	0.2301
1_MACS_peak_8_lociStitched	chr1(.):92589-93502	0.112
1_MACS_peak_9_lociStitched	chr1(.):132118-132534	0.0732
1_MACS_peak_10_lociStitched	chr1(.):327714-327990	0.0644
1_MACS_peak_11_lociStitched	chr1(.):541829-542195	0.0855
4_MACS_peak_12_lociStitched	chr1(.):798200-802733	0.1001
1_MACS_peak_16_lociStitched	chr1(.):803910-804543	0.2029
3_MACS_peak_17_lociStitched	chr1(.):807887-810177	0.123
1_MACS_peak_20_lociStitched	chr1(.):821279-821930	0.1028
1_MACS_peak_21_lociStitched	chr1(.):823062-823628	0.1897
1_MACS_peak_23_lociStitched	chr1(.):825818-826736	0.1583
7_MACS_peak_24_lociStitched	chr1(.):829177-878744	0.0938
1_MACS_peak_31_lociStitched	chr1(.):894849-895201	0.1493
1_MACS_peak_32_lociStitched	chr1(.):908654-909060	0.0209
2_MACS_peak_33_lociStitched	chr1(.):910599-911855	0.0944
9_MACS_peak_35_lociStitched	chr1(.):913717-947831	0.1039
2_MACS_peak_44_lociStitched	chr1(.):952287-953895	0.1004
4_MACS_peak_46_lociStitched	chr1(.):955545-976219	0.0769
10_MACS_peak_50_lociStitched	chr1(.):977938-1003658	0.0752
4_MACS_peak_60_lociStitched	chr1(.):1004718-1016207	0.0745
5_MACS_peak_64_lociStitched	chr1(.):1052569-1073654	0.0973
2_MACS_peak_69_lociStitched	chr1(.):1075465-1079042	0.0789
3_MACS_peak_71_lociStitched	chr1(.):1081037-1087309	0.1021
1_MACS_peak_74_lociStitched	chr1(.):1088572-1089000	0.047
2_MACS_peak_75_lociStitched	chr1(.):1090021-1092687	0.1002
11_MACS_peak_77_lociStitched	chr1(.):1093830-1132285	0.0847
6_MACS_peak_88_lociStitched	chr1(.):1133532-1150063	0.0688
6_MACS_peak_94_lociStitched	chr1(.):1172289-1185012	0.0784
2_MACS_peak_100_lociStitched	chr1(.):1214873-1218790	0.0821
5_MACS_peak_102_lociStitched	chr1(.):1219942-1226955	0.0777
2_MACS_peak_107_lociStitched	chr1(.):1286852-1290431	0.1032
4_MACS_peak_109_lociStitched	chr1(.):1292292-1299946	0.0915
8_MACS_peak_113_lociStitched	chr1(.):1356475-1374625	0.0761
3_MACS_peak_121_lociStitched	chr1(.):1377493-1380888	0.1061
4_MACS_peak_124_lociStitched	chr1(.):1383511-1395701	0.1065
1_MACS_peak_128_lociStitched	chr1(.):1422243-1422611	0.0906
1_MACS_peak_129_lociStitched	chr1(.):1459347-1460053	0.0971
1_MACS_peak_130_lociStitched	chr1(.):1462148-1462447	0.0615
10_MACS_peak_131_lociStitched	chr1(.):1512208-1534737	0.1109
1_MACS_peak_141_lociStitched	chr1(.):1535816-1536699	0.1033
1_MACS_peak_142_lociStitched	chr1(.):1538401-1539062	0.0585
2_MACS_peak_143_lociStitched	chr1(.):1565947-1568463	0.0443
1_MACS_peak_145_lociStitched	chr1(.):1630974-1631569	0.0492
3_MACS_peak_146_lociStitched	chr1(.):1843209-1850008	0.089
6_MACS_peak_149_lociStitched	chr1(.):1852339-1862762	0.0752
1_MACS_peak_155_lociStitched	chr1(.):1863839-1864188	0.0431
7_MACS_peak_156_lociStitched	chr1(.):1867219-1879286	0.086
3_MACS_peak_163_lociStitched	chr1(.):1880717-1884300	0.1007
1_MACS_peak_166_lociStitched	chr1(.):1885624-1886130	0.1334
3_MACS_peak_167_lociStitched	chr1(.):1887626-1898052	0.0883
1_MACS_peak_170_lociStitched	chr1(.):1900341-1900658	0.0506
4_MACS_peak_171_lociStitched	chr1(.):1902529-1908378	0.0762
1_MACS_peak_175_lociStitched	chr1(.):1909626-1910432	0.0695
13_MACS_peak_176_lociStitched	chr1(.):1914738-1933450	0.0847
20_MACS_peak_189_lociStitched	chr1(.):1934586-1981815	0.0721
1_MACS_peak_209_lociStitched	chr1(.):1983035-1983872	0.0507
2_MACS_peak_210_lociStitched	chr1(.):1988328-1989493	0.0205
3_MACS_peak_212_lociStitched	chr1(.):1991084-1995750	0.064
7_MACS_peak_215_lociStitched	chr1(.):1997657-2008694	0.0587
6_MACS_peak_222_lociStitched	chr1(.):2014124-2025692	0.0761
11_MACS_peak_228_lociStitched	chr1(.):2027864-2040173	0.059
2_MACS_peak_239_lociStitched	chr1(.):2041494-2043593	0.0714
3_MACS_peak_241_lociStitched	chr1(.):2047244-2049116	0.0639
1_MACS_peak_244_lociStitched	chr1(.):2055814-2056231	0.1182
4_MACS_peak_245_lociStitched	chr1(.):2057983-2061163	0.0907
2_MACS_peak_249_lociStitched	chr1(.):2062233-2063970	0.1053
4_MACS_peak_251_lociStitched	chr1(.):2067311-2076590	0.1135
6_MACS_peak_255_lociStitched	chr1(.):2079985-2086090	0.083
4_MACS_peak_261_lociStitched	chr1(.):2088016-2091105	0.0703
4_MACS_peak_265_lociStitched	chr1(.):2094528-2100220	0.0738
6_MACS_peak_269_lociStitched	chr1(.):2101518-2111720	0.0834
3_MACS_peak_275_lociStitched	chr1(.):2113062-2115698	0.0834
11_MACS_peak_278_lociStitched	chr1(.):2131576-2156567	0.0925
1_MACS_peak_289_lociStitched	chr1(.):2157872-2158732	0.03
11_MACS_peak_290_lociStitched	chr1(.):2244697-2293409	0.0684
1_MACS_peak_301_lociStitched	chr1(.):2298971-2300023	0.079
1_MACS_peak_302_lociStitched	chr1(.):2302106-2316259	0.0889
1_MACS_peak_303_lociStitched	chr1(.):2346594-2347101	0.0857
21_MACS_peak_304_lociStitched	chr1(.):2348719-2411265	0.0658
11_MACS_peak_325_lociStitched	chr1(.):2417104-2436080	0.0617
3_MACS_peak_336_lociStitched	chr1(.):2458335-2470160	0.0845
1_MACS_peak_339_lociStitched	chr1(.):2472577-2472937	0.0
1_MACS_peak_340_lociStitched	chr1(.):2484897-2485259	0.0235
7_MACS_peak_341_lociStitched	chr1(.):2497171-2508325	0.0948
4_MACS_peak_348_lociStitched	chr1(.):2509715-2514241	0.1201
1_MACS_peak_352_lociStitched	chr1(.):2515253-2515665	0.1165
1_MACS_peak_353_lociStitched	chr1(.):2518465-2518925	0.0382
13_MACS_peak_354_lociStitched	chr1(.):2520059-2544554	0.0698
1_MACS_peak_367_lociStitched	chr1(.):2551396-2551998	0.1272
7_MACS_peak_368_lociStitched	chr1(.):2556210-2563142	0.063
1_MACS_peak_375_lociStitched	chr1(.):2564851-2565969	0.0228
2_MACS_peak_376_lociStitched	chr1(.):2567847-2569450	0.0834
1_MACS_peak_378_lociStitched	chr1(.):2571407-2571728	0.0563
2_MACS_peak_379_lociStitched	chr1(.):2575067-2577459	0.0567
1_MACS_peak_392_lociStitched	chr1(.):2686210-2691939	0.2192
1_MACS_peak_393_lociStitched	chr1(.):2694840-2695153	0.0193
1_MACS_peak_394_lociStitched	chr1(.):2700196-2700516	0.0205
4_MACS_peak_395_lociStitched	chr1(.):2702341-2704260	0.0541
1_MACS_peak_399_lociStitched	chr1(.):2705752-2706294	0.1196
1_MACS_peak_400_lociStitched	chr1(.):2707949-2708248	0.0223
12_MACS_peak_401_lociStitched	chr1(.):2716281-2733548	0.0558
3_MACS_peak_413_lociStitched	chr1(.):2736703-2739636	0.0728
1_MACS_peak_416_lociStitched	chr1(.):2745639-2745963	0.0262
1_MACS_peak_417_lociStitched	chr1(.):2747616-2748229	0.0451
2_MACS_peak_418_lociStitched	chr1(.):2750338-2753554	0.0937
4_MACS_peak_420_lociStitched	chr1(.):2755964-2758618	0.083
4_MACS_peak_424_lociStitched	chr1(.):2763837-2767537	0.0525
4_MACS_peak_428_lociStitched	chr1(.):2770487-2774993	0.065
3_MACS_peak_432_lociStitched	chr1(.):2776232-2779145	0.0361
3_MACS_peak_435_lociStitched	chr1(.):2781102-2785946	0.0387
4_MACS_peak_438_lociStitched	chr1(.):2790021-2798622	0.0607
5_MACS_peak_442_lociStitched	chr1(.):2801089-2805362	0.0334
1_MACS_peak_447_lociStitched	chr1(.):2806742-2809052	0.0407
1_MACS_peak_448_lociStitched	chr1(.):2812761-2813077	0.0332
1_MACS_peak_449_lociStitched	chr1(.):2816390-2816713	0.0485
7_MACS_peak_450_lociStitched	chr1(.):2818329-2824131	0.0425
2_MACS_peak_457_lociStitched	chr1(.):2825155-2826557	0.0606
1_MACS_peak_459_lociStitched	chr1(.):2827712-2828011	0.0126
1_MACS_peak_460_lociStitched	chr1(.):2830875-2831518	0.0594
3_MACS_peak_461_lociStitched	chr1(.):2833575-2835681	0.0939
5_MACS_peak_464_lociStitched	chr1(.):2836690-2841787	0.04
5_MACS_peak_469_lociStitched	chr1(.):2843388-2851468	0.0674
1_MACS_peak_474_lociStitched	chr1(.):2852560-2852881	0.0265
3_MACS_peak_475_lociStitched	chr1(.):2863533-2867664	0.0347
1_MACS_peak_478_lociStitched	chr1(.):2869089-2869792	0.086
3_MACS_peak_479_lociStitched	chr1(.):2883665-2886913	0.0134
1_MACS_peak_482_lociStitched	chr1(.):2889952-2890454	0.0169
4_MACS_peak_483_lociStitched	chr1(.):2897933-2901963	0.0503
1_MACS_peak_487_lociStitched	chr1(.):2903685-2904149	0.0996
4_MACS_peak_488_lociStitched	chr1(.):2918803-2921652	0.0574
3_MACS_peak_492_lociStitched	chr1(.):2927527-2932708	0.0554
4_MACS_peak_495_lociStitched	chr1(.):2934010-2941347	0.0576
4_MACS_peak_499_lociStitched	chr1(.):2944346-2949906	0.0496
5_MACS_peak_503_lociStitched	chr1(.):2952992-2956360	0.032
1_MACS_peak_508_lociStitched	chr1(.):2960196-2960868	0.0668
2_MACS_peak_509_lociStitched	chr1(.):2970366-2971266	0.064
2_MACS_peak_511_lociStitched	chr1(.):2977129-2979243	0.0215
4_MACS_peak_513_lociStitched	chr1(.):2981198-2985031	0.0554
8_MACS_peak_517_lociStitched	chr1(.):2986418-3003891	0.0434
12_MACS_peak_525_lociStitched	chr1(.):3005550-3019877	0.0577
1_MACS_peak_537_lociStitched	chr1(.):3021816-3022247	0.0547
2_MACS_peak_538_lociStitched	chr1(.):3024912-3027035	0.044
1_MACS_peak_540_lociStitched	chr1(.):3028358-3028756	0.0097
3_MACS_peak_541_lociStitched	chr1(.):3031090-3034050	0.0708
18_MACS_peak_544_lociStitched	chr1(.):3035575-3060587	0.0587
2_MACS_peak_562_lociStitched	chr1(.):3061962-3063147	0.056
15_MACS_peak_564_lociStitched	chr1(.):3066859-3083604	0.0529
3_MACS_peak_579_lociStitched	chr1(.):3085347-3091923	0.0526
2_MACS_peak_582_lociStitched	chr1(.):3095987-3097290	0.064
1_MACS_peak_584_lociStitched	chr1(.):3099268-3099790	0.0405
37_MACS_peak_585_lociStitched	chr1(.):3100806-3165805	0.057
1_MACS_peak_622_lociStitched	chr1(.):3168006-3168514	0.0901
2_MACS_peak_623_lociStitched	chr1(.):3172236-3173983	0.0565
1_MACS_peak_625_lociStitched	chr1(.):3175447-3176364	0.0371
14_MACS_peak_626_lociStitched	chr1(.):3179278-3197596	0.0589
8_MACS_peak_640_lociStitched	chr1(.):3198773-3220374	0.0621
5_MACS_peak_648_lociStitched	chr1(.):3221689-3231520	0.0814
1_MACS_peak_653_lociStitched	chr1(.):3233088-3234854	0.0692
2_MACS_peak_654_lociStitched	chr1(.):3239099-3242217	0.0719
6_MACS_peak_656_lociStitched	chr1(.):3243557-3250606	0.0506
1_MACS_peak_662_lociStitched	chr1(.):3251649-3252020	0.0862
1_MACS_peak_663_lociStitched	chr1(.):3257360-3258410	0.0652
1_MACS_peak_664_lociStitched	chr1(.):3259538-3259804	0.1127
3_MACS_peak_665_lociStitched	chr1(.):3262811-3266718	0.0509
8_MACS_peak_668_lociStitched	chr1(.):3267804-3286140	0.0473
4_MACS_peak_676_lociStitched	chr1(.):3287997-3292124	0.0693
6_MACS_peak_680_lociStitched	chr1(.):3298271-3315493	0.0627
6_MACS_peak_686_lociStitched	chr1(.):3316536-3324175	0.0666
1_MACS_peak_692_lociStitched	chr1(.):3325474-3325896	0.0738
6_MACS_peak_693_lociStitched	chr1(.):3326977-3333869	0.0435
19_MACS_peak_699_lociStitched	chr1(.):3336646-3362277	0.0591
2_MACS_peak_718_lociStitched	chr1(.):3367031-3368032	0.0718
5_MACS_peak_720_lociStitched	chr1(.):3369266-3386765	0.0667
3_MACS_peak_725_lociStitched	chr1(.):3387978-3392276	0.0752
1_MACS_peak_728_lociStitched	chr1(.):3394329-3394680	0.0483
1_MACS_peak_729_lociStitched	chr1(.):3395742-3398832	0.0854
16_MACS_peak_730_lociStitched	chr1(.):3400442-3429635	0.0615
14_MACS_peak_746_lociStitched	chr1(.):3430638-3488225	0.0662
7_MACS_peak_760_lociStitched	chr1(.):3490025-3500862	0.0573
4_MACS_peak_767_lociStitched	chr1(.):3502843-3535869	0.0755
1_MACS_peak_771_lociStitched	chr1(.):3568110-3568431	0.0324
1_MACS_peak_772_lociStitched	chr1(.):3665780-3666131	0.0897
9_MACS_peak_773_lociStitched	chr1(.):3667169-3688673	0.0782
2_MACS_peak_782_lociStitched	chr1(.):3716070-3717883	0.12
2_MACS_peak_784_lociStitched	chr1(.):3719940-3721998	0.1052
2_MACS_peak_786_lociStitched	chr1(.):3834835-3836290	0.0664
1_MACS_peak_788_lociStitched	chr1(.):3840561-3843143	0.0649
1_MACS_peak_789_lociStitched	chr1(.):3997447-3998151	0.0784
2_MACS_peak_790_lociStitched	chr1(.):3999940-4000908	0.0676
3_MACS_peak_792_lociStitched	chr1(.):4001932-4008802	0.0706
1_MACS_peak_795_lociStitched	chr1(.):4011488-4012109	0.0034
8_MACS_peak_796_lociStitched	chr1(.):4014656-4020674	0.0879
2_MACS_peak_804_lociStitched	chr1(.):4033171-4034036	0.074
1_MACS_peak_806_lociStitched	chr1(.):4036473-4037224	0.0945
3_MACS_peak_807_lociStitched	chr1(.):4038414-4041156	0.0866
4_MACS_peak_810_lociStitched	chr1(.):4042406-4045764	0.0333
1_MACS_peak_814_lociStitched	chr1(.):4048602-4048926	0.02
2_MACS_peak_815_lociStitched	chr1(.):4053751-4055215	0.0348
2_MACS_peak_817_lociStitched	chr1(.):4059353-4061015	0.057
1_MACS_peak_819_lociStitched	chr1(.):4062927-4063210	0.0664
1_MACS_peak_820_lociStitched	chr1(.):4070611-4071306	0.0677
2_MACS_peak_821_lociStitched	chr1(.):4078008-4079832	0.142
1_MACS_peak_823_lociStitched	chr1(.):4103500-4104017	0.0012
1_MACS_peak_824_lociStitched	chr1(.):4107662-4107992	0.0152
7_MACS_peak_825_lociStitched	chr1(.):4112128-4119223	0.0491
2_MACS_peak_832_lociStitched	chr1(.):4120471-4121983	0.0851
1_MACS_peak_834_lociStitched	chr1(.):4123497-4123811	0.0
2_MACS_peak_835_lociStitched	chr1(.):4142403-4144565	0.069
5_MACS_peak_837_lociStitched	chr1(.):4166513-4170067	0.0602
2_MACS_peak_842_lociStitched	chr1(.):4177674-4179420	0.0711
1_MACS_peak_844_lociStitched	chr1(.):4181162-4181462	0.0
5_MACS_peak_845_lociStitched	chr1(.):4187111-4194174	0.0689
3_MACS_peak_850_lociStitched	chr1(.):4207705-4210218	0.0575
1_MACS_peak_853_lociStitched	chr1(.):4211953-4212533	0.0146
4_MACS_peak_854_lociStitched	chr1(.):4218183-4220293	0.0353
1_MACS_peak_858_lociStitched	chr1(.):4225290-4225622	0.0521
1_MACS_peak_859_lociStitched	chr1(.):4226691-4227484	0.0536
4_MACS_peak_860_lociStitched	chr1(.):4229986-4231905	0.0595
4_MACS_peak_864_lociStitched	chr1(.):4271565-4275467	0.0833
2_MACS_peak_868_lociStitched	chr1(.):4278053-4279923	0.0851
1_MACS_peak_870_lociStitched	chr1(.):4281120-4281744	0.0444
1_MACS_peak_871_lociStitched	chr1(.):4283100-4283576	0.0705
1_MACS_peak_872_lociStitched	chr1(.):4285052-4285378	0.0569
1_MACS_peak_873_lociStitched	chr1(.):4359733-4360053	0.0186
1_MACS_peak_874_lociStitched	chr1(.):4368021-4368422	0.0147
1_MACS_peak_875_lociStitched	chr1(.):4371825-4372262	0.0447
1_MACS_peak_876_lociStitched	chr1(.):4384249-4384530	0.04
1_MACS_peak_877_lociStitched	chr1(.):4405618-4405956	0.0415
3_MACS_peak_878_lociStitched	chr1(.):4411801-4414215	0.0411
1_MACS_peak_881_lociStitched	chr1(.):4415563-4415882	0.0806
2_MACS_peak_882_lociStitched	chr1(.):4417823-4419418	0.0517
2_MACS_peak_884_lociStitched	chr1(.):4420897-4421948	0.054
1_MACS_peak_886_lociStitched	chr1(.):4455543-4455884	0.0235
1_MACS_peak_887_lociStitched	chr1(.):4465236-4465630	0.0655
1_MACS_peak_888_lociStitched	chr1(.):4467355-4467712	0.0
1_MACS_peak_889_lociStitched	chr1(.):4494033-4494358	0.0
1_MACS_peak_890_lociStitched	chr1(.):4500605-4500943	0.0409
1_MACS_peak_891_lociStitched	chr1(.):4520261-4520611	0.0314
1_MACS_peak_892_lociStitched	chr1(.):4546207-4546616	0.1118
1_MACS_peak_893_lociStitched	chr1(.):4646737-4647118	0.0546
1_MACS_peak_894_lociStitched	chr1(.):4652210-4652524	0.0532
1_MACS_peak_895_lociStitched	chr1(.):4654449-4654866	0.0276
1_MACS_peak_896_lociStitched	chr1(.):4660375-4660909	0.0121
1_MACS_peak_897_lociStitched	chr1(.):4672981-4673567	0.0747
1_MACS_peak_898_lociStitched	chr1(.):4676744-4677184	0.0221
1_MACS_peak_899_lociStitched	chr1(.):4685107-4685486	0.1127
2_MACS_peak_900_lociStitched	chr1(.):4688306-4689134	0.1261
1_MACS_peak_902_lociStitched	chr1(.):4694269-4694635	0.0204
3_MACS_peak_903_lociStitched	chr1(.):4696460-4698072	0.0554
1_MACS_peak_906_lociStitched	chr1(.):4713915-4714364	0.008
1_MACS_peak_907_lociStitched	chr1(.):4716323-4717263	0.0886
1_MACS_peak_908_lociStitched	chr1(.):4723793-4724487	0.0229
2_MACS_peak_909_lociStitched	chr1(.):4735552-4736641	0.0224
1_MACS_peak_911_lociStitched	chr1(.):4752571-4752994	0.0408
1_MACS_peak_912_lociStitched	chr1(.):4766808-4767213	0.0764
2_MACS_peak_913_lociStitched	chr1(.):4771552-4773341	0.057
2_MACS_peak_915_lociStitched	chr1(.):4792510-4794191	0.0303
1_MACS_peak_917_lociStitched	chr1(.):4807161-4807492	0.0334
1_MACS_peak_918_lociStitched	chr1(.):4819844-4820216	0.0291
1_MACS_peak_919_lociStitched	chr1(.):4829678-4830005	0.0208
1_MACS_peak_920_lociStitched	chr1(.):4834004-4834357	0.0418
1_MACS_peak_921_lociStitched	chr1(.):4842082-4842401	0.023
1_MACS_peak_922_lociStitched	chr1(.):4968942-4969266	0.1228
1_MACS_peak_923_lociStitched	chr1(.):5023396-5023790	0.0266
1_MACS_peak_924_lociStitched	chr1(.):5035327-5036097	0.0221
1_MACS_peak_925_lociStitched	chr1(.):5046605-5046891	0.0293
1_MACS_peak_926_lociStitched	chr1(.):5298964-5299509	0.041
1_MACS_peak_927_lociStitched	chr1(.):5369266-5369600	0.0211
1_MACS_peak_928_lociStitched	chr1(.):5449241-5449890	0.0467
1_MACS_peak_929_lociStitched	chr1(.):5462598-5463188	0.0502
3_MACS_peak_930_lociStitched	chr1(.):5482078-5484330	0.0882
2_MACS_peak_933_lociStitched	chr1(.):5485822-5486957	0.1408
1_MACS_peak_935_lociStitched	chr1(.):5490079-5490676	0.0852
1_MACS_peak_936_lociStitched	chr1(.):5507440-5507781	0.0667
1_MACS_peak_937_lociStitched	chr1(.):5511153-5511445	0.0446
1_MACS_peak_938_lociStitched	chr1(.):5519741-5520123	0.0963
5_MACS_peak_939_lociStitched	chr1(.):5537603-5541930	0.0786
1_MACS_peak_944_lociStitched	chr1(.):5545981-5546414	0.056
3_MACS_peak_945_lociStitched	chr1(.):5550694-5553016	0.0307
2_MACS_peak_948_lociStitched	chr1(.):5555380-5557078	0.0476
7_MACS_peak_950_lociStitched	chr1(.):5561296-5568709	0.0677
3_MACS_peak_957_lociStitched	chr1(.):5570331-5573139	0.0454
1_MACS_peak_960_lociStitched	chr1(.):5579844-5580206	0.0329
4_MACS_peak_961_lociStitched	chr1(.):5584960-5588863	0.0855
2_MACS_peak_965_lociStitched	chr1(.):5623844-5625430	0.0685
1_MACS_peak_967_lociStitched	chr1(.):5631283-5631859	0.0726
1_MACS_peak_968_lociStitched	chr1(.):5632924-5633249	0.0263
2_MACS_peak_969_lociStitched	chr1(.):5642959-5644779	0.0591
1_MACS_peak_971_lociStitched	chr1(.):5658668-5659018	0.0378
1_MACS_peak_972_lociStitched	chr1(.):5660315-5661329	0.0591
3_MACS_peak_973_lociStitched	chr1(.):5675367-5678666	0.067
1_MACS_peak_976_lociStitched	chr1(.):5681619-5682224	0.0613
1_MACS_peak_977_lociStitched	chr1(.):5695740-5696059	0.0434
1_MACS_peak_978_lociStitched	chr1(.):5699848-5700171	0.0065
2_MACS_peak_979_lociStitched	chr1(.):5703638-5705018	0.0678
1_MACS_peak_981_lociStitched	chr1(.):5707872-5708307	0.0287
3_MACS_peak_982_lociStitched	chr1(.):5710302-5713444	0.0647
1_MACS_peak_985_lociStitched	chr1(.):5720863-5721201	0.0375
1_MACS_peak_990_lociStitched	chr1(.):5745390-5745965	0.0534
2_MACS_peak_991_lociStitched	chr1(.):5751839-5754353	0.0406
1_MACS_peak_993_lociStitched	chr1(.):5758725-5759256	0.1119
1_MACS_peak_994_lociStitched	chr1(.):5761145-5761457	0.0866
3_MACS_peak_995_lociStitched	chr1(.):5763603-5766209	0.0517
2_MACS_peak_998_lociStitched	chr1(.):5767605-5769195	0.0637
1_MACS_peak_1000_lociStitched	chr1(.):5772602-5773189	0.0463
4_MACS_peak_1001_lociStitched	chr1(.):5776720-5780888	0.0659
2_MACS_peak_1005_lociStitched	chr1(.):5787432-5789022	0.0214
1_MACS_peak_1007_lociStitched	chr1(.):5790814-5791155	0.0668
2_MACS_peak_1008_lociStitched	chr1(.):5793363-5794194	0.0799
6_MACS_peak_1010_lociStitched	chr1(.):5800925-5804977	0.0665
7_MACS_peak_1016_lociStitched	chr1(.):5806066-5817660	0.0673
7_MACS_peak_1023_lociStitched	chr1(.):5825941-5834516	0.066
1_MACS_peak_1030_lociStitched	chr1(.):5835762-5836787	0.0126
1_MACS_peak_1031_lociStitched	chr1(.):5842568-5843348	0.1135
2_MACS_peak_1032_lociStitched	chr1(.):5857332-5858900	0.0651
1_MACS_peak_1034_lociStitched	chr1(.):5869812-5870273	0.0686
3_MACS_peak_1035_lociStitched	chr1(.):5872829-5875118	0.0553
1_MACS_peak_1038_lociStitched	chr1(.):5878439-5878964	0.0621
2_MACS_peak_1039_lociStitched	chr1(.):5881048-5882492	0.064
3_MACS_peak_1041_lociStitched	chr1(.):5886480-5888669	0.0388
7_MACS_peak_1044_lociStitched	chr1(.):5892965-5903705	0.051
2_MACS_peak_1051_lociStitched	chr1(.):5904798-5907965	0.0839
1_MACS_peak_1053_lociStitched	chr1(.):5909003-5909425	0.0497
3_MACS_peak_1054_lociStitched	chr1(.):5910548-5913259	0.0735
3_MACS_peak_1057_lociStitched	chr1(.):6162763-6166279	0.0928
2_MACS_peak_1060_lociStitched	chr1(.):6168921-6175380	0.1043
5_MACS_peak_1062_lociStitched	chr1(.):6180964-6208514	0.0847
6_MACS_peak_1067_lociStitched	chr1(.):6210891-6234387	0.0924
1_MACS_peak_1073_lociStitched	chr1(.):6236671-6239425	0.1199
1_MACS_peak_1074_lociStitched	chr1(.):6240548-6241725	0.0344
3_MACS_peak_1075_lociStitched	chr1(.):6264858-6268095	0.1178
1_MACS_peak_1078_lociStitched	chr1(.):6269178-6269822	0.0738
2_MACS_peak_1079_lociStitched	chr1(.):6272854-6274061	0.087
6_MACS_peak_1081_lociStitched	chr1(.):6299087-6319952	0.0866
1_MACS_peak_1087_lociStitched	chr1(.):6321187-6322587	0.0954
1_MACS_peak_1088_lociStitched	chr1(.):6461580-6462296	0.088
2_MACS_peak_1089_lociStitched	chr1(.):6465714-6467083	0.0942
1_MACS_peak_1091_lociStitched	chr1(.):6468109-6468774	0.0417
1_MACS_peak_1092_lociStitched	chr1(.):6470867-6471857	0.092
9_MACS_peak_1093_lociStitched	chr1(.):6474985-6530084	0.0974
1_MACS_peak_1102_lociStitched	chr1(.):6533341-6534139	0.046
7_MACS_peak_1103_lociStitched	chr1(.):6535753-6547465	0.0779
4_MACS_peak_1110_lociStitched	chr1(.):6554551-6572202	0.0912
2_MACS_peak_1114_lociStitched	chr1(.):6620468-6621700	0.0923
8_MACS_peak_1116_lociStitched	chr1(.):6622771-6631087	0.1084
1_MACS_peak_1124_lociStitched	chr1(.):6634702-6635304	0.0534
6_MACS_peak_1125_lociStitched	chr1(.):6766981-6774193	0.083
3_MACS_peak_1131_lociStitched	chr1(.):6776052-6779570	0.0985
1_MACS_peak_1134_lociStitched	chr1(.):6783844-6787484	0.0962
4_MACS_peak_1135_lociStitched	chr1(.):6789738-6793465	0.0758
2_MACS_peak_1139_lociStitched	chr1(.):6795139-6796317	0.0478
1_MACS_peak_1141_lociStitched	chr1(.):6800330-6800666	0.0567
1_MACS_peak_1142_lociStitched	chr1(.):6808955-6809723	0.1171
1_MACS_peak_1143_lociStitched	chr1(.):6818108-6818476	0.0693
2_MACS_peak_1144_lociStitched	chr1(.):6819782-6821197	0.107
1_MACS_peak_1146_lociStitched	chr1(.):6822259-6822665	0.1289
2_MACS_peak_1147_lociStitched	chr1(.):6830551-6831927	0.1388
1_MACS_peak_1149_lociStitched	chr1(.):7021337-7021649	0.0395
