REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	29_0F2F_0229Kronos_MM1S-KB-24hr-1_H3K27me3_hs-dm_i17.bam	43_0EXV_0229Kronos_MM1S-KB-24hr-1_Input_hs_i87.bam
26_MACS_peak_15060_lociStitched	chr17	77074412	77298069	26	216178	341166.3878	17959.6571
16_MACS_peak_1659_lociStitched	chr1	10700043	10904008	16	201097	319633.5515	17826.541
21_MACS_peak_23287_lociStitched	chr21	44032309	44231057	21	193806	358183.6456	26294.3604
23_MACS_peak_15395_lociStitched	chr17	79316643	79473430	23	151468	248570.10979999998	13248.5015
15_MACS_peak_16074_lociStitched	chr19	3798329	3953549	15	152570	265550.376	19200.714
29_MACS_peak_32774_lociStitched	chr9	132404988	132559080	29	146340	204433.8564	14053.190400000001
11_MACS_peak_15822_lociStitched	chr19	1668952	1812376	11	139994	306497.088	19319.212799999998
14_MACS_peak_33974_lociStitched	chr9	139477336	139615599	14	136084	243273.74850000002	11254.6082
20_MACS_peak_24628_lociStitched	chr22	37711692	37846769	20	129830	194970.1418	12305.5147
33_MACS_peak_153_lociStitched	chr1	1914207	2044853	33	124824	165450.0944	10294.9048
27_MACS_peak_6334_lociStitched	chr11	1591811	1714620	27	115675	178490.6006	11912.473
18_MACS_peak_33053_lociStitched	chr9	134995335	135116579	18	116375	174288.25	11215.07
6_MACS_peak_15376_lociStitched	chr17	78996811	79111660	6	112673	220360.7763	9693.2556
14_MACS_peak_15763_lociStitched	chr19	681206	794476	14	109212	204463.677	13343.206
20_MACS_peak_15104_lociStitched	chr17	77348059	77455849	20	103612	147090.234	9496.298999999999
19_MACS_peak_12532_lociStitched	chr17	1041222	1148820	19	102833	159535.5546	9974.3346
21_MACS_peak_12502_lociStitched	chr17	782538	882357	21	96632	122977.008	8664.289200000001
18_MACS_peak_15263_lociStitched	chr17	77900052	77995436	18	90336	130084.69919999999	8584.56
12_MACS_peak_14074_lociStitched	chr17	47936879	48031747	12	92571	141998.42239999998	8908.1052
15_MACS_peak_491_lociStitched	chr1	3394486	3488304	15	90458	146149.6804	7336.5676
17_MACS_peak_10686_lociStitched	chr16	1249341	1341214	17	89348	152601.053	7349.84
26_MACS_peak_33090_lociStitched	chr9	135314374	135401955	26	81604	97863.0094	8110.0006
19_MACS_peak_8487_lociStitched	chr12	3321574	3409063	19	82652	109667.4615	7786.521
8_MACS_peak_22794_lociStitched	chr20	60985126	61072501	8	86616	159468.1125	7024.95
22_MACS_peak_28543_lociStitched	chr6	31990999	32077865	22	81051	141218.0562	8877.7052
12_MACS_peak_25467_lociStitched	chr22	46288108	46374772	12	84692	131867.9424	7288.4424
4_MACS_peak_23555_lociStitched	chr21	46708574	46794503	4	85350	182736.6114	11557.4505
16_MACS_peak_23407_lociStitched	chr21	45876191	45961304	16	81780	129431.3391	10485.9216
8_MACS_peak_32973_lociStitched	chr9	133835373	133919464	8	82114	126422.4094	7627.0537
18_MACS_peak_33293_lociStitched	chr9	136344535	136427358	18	79638	116647.91320000001	6600.9931
5_MACS_peak_6413_lociStitched	chr11	1982102	2064718	5	82323	151955.6088	7162.8072
8_MACS_peak_31558_lociStitched	chr8	142012565	142093603	8	79149	137091.9846	9878.5322
25_MACS_peak_6751_lociStitched	chr11	61337328	61417871	25	75174	89974.58529999999	7498.5533000000005
15_MACS_peak_14120_lociStitched	chr17	48634130	48714591	15	76237	112460.3397	7659.8872
21_MACS_peak_31968_lociStitched	chr8	143630613	143708302	21	71391	87415.6628	6005.359699999999
6_MACS_peak_16128_lociStitched	chr19	4557677	4635255	6	76843	143309.8394	10744.553000000002
27_MACS_peak_15281_lociStitched	chr17	77998959	78076383	27	70862	94914.0816	6759.1152
27_MACS_peak_10606_lociStitched	chr16	916389	993736	27	69425	92507.012	6218.6988
