REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM11.jin.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
6_MACS_peak_3348_lociStitched	chr11	65184015	65198769	6	14431	73907.2122	1	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	5.2602	1	1
1_MACS_peak_3367_lociStitched	chr11	65263773	65274998	1	11226	58530.5175	2	1	MALAT1	SCYL1	MALAT1	MALAT1	3.4437	2	1
1_MACS_peak_19921_lociStitched	chrX	106953314	106963022	1	9709	64572.762	3	1	TSC22D3		TSC22D3	TSC22D3	4.8105	3	1
2_MACS_peak_2021_lociStitched	chr1	234738137	234749209	2	11034	52296.3776	4	1	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	3.8301	4	1
2_MACS_peak_9248_lociStitched	chr19	13949174	13959358	2	9812	53286.7616	5	1		ZSWIM4,MIR181C,MIR181D,NANOS3,LOC284454,MIR24-2,MIR27A,MIR23A	MIR23A	MIR23A	1.8636	5	1
3_MACS_peak_9534_lociStitched	chr19	39891738	39902285	3	10510	38869.9138	6	1	ZFP36	MED29,PLEKHG2,SUPT5H,PAF1,RPS16	ZFP36	ZFP36	3.1523	6	1
2_MACS_peak_4879_lociStitched	chr12	125396604	125406303	2	9424	43425.3327	7	1	UBC	SCARB1	UBC	UBC	3.0493	7	1
1_MACS_peak_5488_lociStitched	chr14	50085654	50090886	1	5233	54923.9664	8	1	MGAT2,RPL36AL	PPIL5,RPS29,C14orf104	MGAT2	C14orf104	4.7202	8	1
1_MACS_peak_16157_lociStitched	chr6	32935724	32941888	1	6165	48694.9836	9	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	2.2357	9	1
2_MACS_peak_1157_lociStitched	chr1	150545684	150553058	2	7017	44589.1032	10	1	MCL1	ADAMTSL4,MIR4257,ENSA	MCL1	MCL1	3.1115	10	1
1_MACS_peak_15171_lociStitched	chr5	90674770	90680773	1	6004	46923.6501	11	1	LOC100129716,ARRDC3		ARRDC3	ARRDC3	2.0407	11	1
1_MACS_peak_1775_lociStitched	chr1	207993673	208001031	1	7359	40846.4654	12	1	LOC148696	MIR29C,MIR29B2	LOC148696	LOC148696	3.0332	12	1
5_MACS_peak_15794_lociStitched	chr6	319871	330382	5	9629	25167.5384	13	1	DUSP22		DUSP22	DUSP22	1.0148	13	1
2_MACS_peak_12338_lociStitched	chr22	29192885	29199015	2	5671	46670.142	14	1	XBP1	CCDC117	XBP1	XBP1	3.1771	14	1
1_MACS_peak_5489_lociStitched	chr14	50099447	50103413	1	3967	49726.8978	15	1	C14orf104	PPIL5,MGAT2,RPS29,RPL36AL	C14orf104	RPL36AL	4.8008	15	1
1_MACS_peak_5501_lociStitched	chr14	50465686	50471096	1	5411	44485.348	16	1	C14orf182		C14orf182	C14orf182	1.4564	16	1
1_MACS_peak_7134_lociStitched	chr16	56964200	56971199	1	7000	36366.1041	17	1	HERPUD1	CETP	HERPUD1	HERPUD1	1.9533	17	1
4_MACS_peak_18353_lociStitched	chr8	126441210	126449018	4	7574	33112.9472	18	1	TRIB1		TRIB1	TRIB1	1.9499	18	1
1_MACS_peak_9307_lociStitched	chr19	16434199	16440393	1	6195	38111.682	19	1	KLF2		KLF2	KLF2	3.2777	19	1
6_MACS_peak_2220_lociStitched	chr10	22603806	22612863	6	8758	20639.9973	20	1	COMMD3,BMI1	SPAG6	BMI1	BMI1	1.827	20	1
4_MACS_peak_14096_lociStitched	chr4	40194652	40204004	4	8730	20453.7592	21	1	RHOH		RHOH	RHOH	0.5767	21	1
5_MACS_peak_2228_lociStitched	chr10	22623528	22631179	5	6912	34023.997	22	1		COMMD3,BMI1,SPAG6	SPAG6	BMI1	1.827	22	1
4_MACS_peak_1557_lociStitched	chr1	182990933	182999175	4	8147	22860.8354	23	1	LAMC1		LAMC1	LAMC1	0.4087	23	1
2_MACS_peak_3027_lociStitched	chr11	10323813	10332200	2	8149	20730.1479	24	1	ADM	SBF2	ADM	ADM	1.7526	24	1
1_MACS_peak_1959_lociStitched	chr1	228269426	228273099	1	3674	41675.6945	25	1	ARF1	MIR3620,C1orf35,MRPL55	ARF1	ARF1	1.9202	25	1
1_MACS_peak_9711_lociStitched	chr19	47286579	47291997	1	5419	34588.512	26	1	SLC1A5	FKRP,STRN4,SNAR-E	SLC1A5	SLC1A5	1.5578	26	1
3_MACS_peak_7398_lociStitched	chr16	87883774	87891085	3	7098	23882.8437	27	1	SLC7A5		SLC7A5	SLC7A5	0.9863	27	1
1_MACS_peak_18645_lociStitched	chr9	20353152	20359020	1	5869	31265.8776	28	1	MLLT3		MLLT3	MLLT3	0.4435	28	1
1_MACS_peak_18566_lociStitched	chr9	3524405	3528323	1	3919	37979.133	29	1	RFX3		RFX3	RFX3	0.2748	29	1
5_MACS_peak_16545_lociStitched	chr6	106531867	106540776	5	7721	15468.6967	30	1	PRDM1	PRDM1	PRDM1	PRDM1	0.8174	30	1
2_MACS_peak_15444_lociStitched	chr5	138723153	138729834	2	6671	24884.7207	31	1	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	MZB1	2.2689	31	1
1_MACS_peak_15763_lociStitched	chr5	179245128	179249076	1	3949	36961.176	32	1	SQSTM1	LTC4S,MIR1229,MGAT4B,C5orf45	SQSTM1	SQSTM1	1.1503	32	1
4_MACS_peak_17675_lociStitched	chr7	139470675	139478562	4	7130	20437.5831	33	1	TBXAS1,HIPK2		HIPK2	HIPK2	0.2278	33	1
7_MACS_peak_15802_lociStitched	chr6	389237	397134	7	7440	15223.0469	34	1	IRF4		IRF4	IRF4	0.8537	34	1
2_MACS_peak_4805_lociStitched	chr12	122237686	122243364	2	5648	28924.2998	35	1	SETD1B,LOC338799	RHOF	LOC338799	LOC338799	1.7807	35	1
1_MACS_peak_19086_lociStitched	chr9	101983030	101986199	1	3170	37504.4812	36	1	SEC61B,ALG2		SEC61B	SEC61B	2.2829	36	1
1_MACS_peak_3260_lociStitched	chr11	62318211	62325115	1	6905	20001.5784	37	1		AHNAK,EEF1G,TUT1,MTA2	AHNAK	EEF1G	0.7692	37	1
1_MACS_peak_5204_lociStitched	chr13	97873708	97878850	1	5143	30912.1614	38	1	MBNL2		MBNL2	MBNL2	0.2467	38	1
1_MACS_peak_4080_lociStitched	chr12	26273559	26280255	1	6697	21425.1912	39	1	BHLHE41		BHLHE41	BHLHE41	1.8202	39	1
4_MACS_peak_2769_lociStitched	chr10	112256971	112264396	4	6967	18570.6675	40	1	DUSP5		DUSP5	DUSP5	0.9896	40	1
2_MACS_peak_4068_lociStitched	chr12	25534895	25540663	2	5361	29350.468	41	1			KRAS	KRAS	NONE	41	1
1_MACS_peak_19250_lociStitched	chr9	127630346	127636217	1	5872	25988.5686	42	1	ARPC5L	WDR38,RPL35	ARPC5L	ARPC5L	1.6318	42	1
2_MACS_peak_1688_lociStitched	chr1	203255397	203261218	2	5735	26539.6853	43	1		BTG2,LOC730227	LOC730227	LOC730227	1.2984	43	1
4_MACS_peak_14593_lociStitched	chr4	153581308	153589063	4	7105	15429.348	44	1	TMEM154		TMEM154	TMEM154	0.6495	44	1
2_MACS_peak_19919_lociStitched	chrX	106916003	106922892	2	6803	18649.9008	45	1		PRPS1,TSC22D3	TSC22D3	TSC22D3	4.8105	45	1
1_MACS_peak_18848_lociStitched	chr9	66454645	66459394	1	4750	31063.6839	46	1		LOC442421	LOC442421	LOC442421	1.0402	46	1
2_MACS_peak_17623_lociStitched	chr7	130789983	130796208	2	6222	23100.3525	47	1	MKLN1,FLJ43663		FLJ43663	FLJ43663	0.3337	47	1
1_MACS_peak_5089_lociStitched	chr13	49549240	49555105	1	5866	25242.96	48	1	FNDC3A		FNDC3A	FNDC3A	0.187	48	1
3_MACS_peak_15516_lociStitched	chr5	142430881	142438133	3	6583	19816.8152	49	1	ARHGAP26		ARHGAP26	ARHGAP26	0.22	49	1
1_MACS_peak_17489_lociStitched	chr7	104651857	104656448	1	4592	31242.2141	50	1	MLL5,LOC100216545		LOC100216545	LOC100216545	2.4978	50	1
2_MACS_peak_18914_lociStitched	chr9	74976902	74981363	2	4436	31681.5759	51	1	ZFAND5		ZFAND5	ZFAND5	1.4583	51	1
1_MACS_peak_1160_lociStitched	chr1	150581413	150587165	1	5753	25495.74	52	1		MCL1,ENSA	ENSA	MCL1	3.1115	52	1
2_MACS_peak_9232_lociStitched	chr19	13260640	13267076	2	6189	22544.0208	53	1	IER2,STX10	NACC1,LYL1,TRMT1	IER2	IER2	1.6788	53	1
1_MACS_peak_1348_lociStitched	chr1	159890465	159895741	1	5277	27365.0292	54	1	TAGLN2	CCDC19,IGSF9,SLAMF9	TAGLN2	TAGLN2	1.7072	54	1
3_MACS_peak_4014_lociStitched	chr12	12867107	12873641	3	6384	18943.3728	55	1	CDKN1B	APOLD1,MIR613,GPR19	CDKN1B	CDKN1B	2.1901	55	1
1_MACS_peak_18934_lociStitched	chr9	80910634	80913755	1	3122	34235.4974	56	1	PSAT1		PSAT1	PSAT1	0.9095	56	1
1_MACS_peak_6086_lociStitched	chr15	41244055	41247186	1	3132	34183.3187	57	1	CHAC1	DLL4	CHAC1	CHAC1	2.8246	57	1
1_MACS_peak_19046_lociStitched	chr9	98267814	98273967	1	6154	20520.255	58	1	PTCH1		PTCH1	PTCH1	0.4949	58	1
2_MACS_peak_19347_lociStitched	chr9	132646821	132653420	2	6267	18751.7184	59	1	FNBP1	USP20,C9orf78	USP20	C9orf78	0.5886	59	1
2_MACS_peak_5504_lociStitched	chr14	50527100	50532858	2	5754	22353.7076	60	1		C14orf183	C14orf183	C14orf183	1.119	60	1
3_MACS_peak_15874_lociStitched	chr6	7905358	7911784	3	5899	21090.7746	61	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	1.1874	61	1
1_MACS_peak_2075_lociStitched	chr1	245132597	245135644	1	3048	33357.0325	62	1	EFCAB2		EFCAB2	EFCAB2	0.3468	62	1
2_MACS_peak_12140_lociStitched	chr21	45572649	45578288	2	5608	22936.6325	63	1		PWP2,C21orf33	C21orf33	C21orf33	0.983	63	1
1_MACS_peak_18904_lociStitched	chr9	73032887	73036590	1	3704	31385.1468	64	1		KLF9	KLF9	KLF9	1.1853	64	1
1_MACS_peak_16445_lociStitched	chr6	74228921	74234079	1	5159	25284.516	65	1	EEF1A1		EEF1A1	EEF1A1	1.8034	65	1
1_MACS_peak_18903_lociStitched	chr9	73025888	73029875	1	3988	30272.0949	66	1	KLF9		KLF9	KLF9	1.1853	66	1
1_MACS_peak_19077_lociStitched	chr9	100744320	100748446	1	4127	29694.4094	67	1	ANP32B	HEMGN	ANP32B	ANP32B	0.8697	67	1
1_MACS_peak_5842_lociStitched	chr14	105946984	105950003	1	3020	32804.454	68	1		CRIP2,CRIP1,C14orf80,TMEM121	CRIP1	CRIP2	2.6429	68	1
6_MACS_peak_4378_lociStitched	chr12	57076754	57083273	6	6080	17734.9395	69	1	PTGES3	BAZ2A,SNORD59B,SNORD59A,ATP5B,NACA	PTGES3	PTGES3	0.5983	69	1
3_MACS_peak_1322_lociStitched	chr1	156716015	156722321	3	6105	17477.079	70	1	HDGF	C1orf66,PRCC,CRABP2,ISG20L2,MRPL24	HDGF	HDGF	1.2755	70	1
1_MACS_peak_5907_lociStitched	chr14	106326376	106330851	1	4476	27514.985	71	1			KIAA0125	KIAA0125	NONE	71	1
2_MACS_peak_10560_lociStitched	chr2	88922479	88928445	2	5838	19610.242	72	1	EIF2AK3		EIF2AK3	EIF2AK3	0.5071	72	1
3_MACS_peak_9215_lociStitched	chr19	12899387	12905361	3	5965	18294.1802	73	1	JUNB	BEST2,RNASEH2A,MAST1,HOOK2,PRDX2,RTBDN	JUNB	JUNB	1.6553	73	1
