GENE	CHROM	START	STOP	ENHANCER_ID
ARF1	chr1	228268648	228280525	1_MACS_peak_2643_lociStitched
ARF4	chr3	57568131	57585576	3_MACS_peak_18909_lociStitched
ATF3	chr1	212779746	212788941	1_MACS_peak_2460_lociStitched
ATF5	chr19	50369723	50382161	3_MACS_peak_13900_lociStitched
ATF5	chr19	50423859	50437193	4_MACS_peak_13903_lociStitched
ATF6	chr1	161731403	161755043	6_MACS_peak_1770_lociStitched
BACH1	chr21	30668519	30681130	4_MACS_peak_17571_lociStitched
BCL11A	chr2	60776192	60785087	1_MACS_peak_14782_lociStitched
BCL6B	chr17	6914907	6919699	1_MACS_peak_11043_lociStitched
BCLAF1	chr6	136601799	136612767	4_MACS_peak_25471_lociStitched
BHLHE41	chr12	26266136	26280506	1_MACS_peak_5727_lociStitched
BRCA1	chr17	41320761	41324883	1_MACS_peak_11537_lociStitched
CAMTA2	chr17	4842689	4854359	2_MACS_peak_11016_lociStitched
CEBPB	chr20	48806380	48812216	1_MACS_peak_17244_lociStitched
CEBPG	chr19	33863744	33868986	1_MACS_peak_13511_lociStitched
CHD2	chr15	93424186	93471193	10_MACS_peak_9802_lociStitched
CREB3L2	chr7	137662633	137687621	1_MACS_peak_27444_lociStitched
CREB3L2	chr7	137617234	137652732	8_MACS_peak_27436_lociStitched
CREB3L4	chr1	153929607	153941112	3_MACS_peak_1538_lociStitched
DDIT3	chr12	57909117	57918762	1_MACS_peak_6194_lociStitched
DMRTA1	chr9	22237716	22245499	1_MACS_peak_29265_lociStitched
ELF1	chr13	41542987	41570516	6_MACS_peak_7307_lociStitched
ELF1	chr13	41576896	41594273	4_MACS_peak_7313_lociStitched
ELF2	chr4	140096766	140100269	1_MACS_peak_21760_lociStitched
ERF	chr19	42771813	42775667	1_MACS_peak_13711_lociStitched
ESRRA	chr11	64051174	64053963	1_MACS_peak_4549_lociStitched
FIZ1	chr19	56110122	56118330	2_MACS_peak_14018_lociStitched
FOXO3	chr6	108878489	108889042	2_MACS_peak_25158_lociStitched
