REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X22_0F28_0229Kronos_MM1S.No.Treatment.2_H3K27me3_hs.dm_i04.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
18_MACS_peak_14576_lociStitched	chr19	1670401	1812371	18	137666	262289.575	20457.877	1	ONECUT3,ATP8B3	LOC100288123,TCF3,MIR1909,REXO1	ONECUT3	ONECUT3	1.6725	1	1
41_MACS_peak_13717_lociStitched	chr17	77081128	77239871	41	149362	204683.2242	11953.3479	2	ENGASE,RBFOX3		ENGASE	ENGASE	0.7018	2	1
18_MACS_peak_14501_lociStitched	chr19	681184	791716	18	107245	180255.5856	14413.3728	3	FSTL3,PALM,C19orf21,PRSSL1	FGF22,PTBP1,MIR3187,AZU1,PRTN3,POLRMT,RNF126,LPPR3	C19orf21	PRTN3	1.575	3	1
38_MACS_peak_14884_lociStitched	chr19	3783472	3909802	38	117309	163723.68	14818.509	4	ATCAY,MATK,ZFR2	MRPL54,ITGB1BP3,APBA3,RAX2	ZFR2	ITGB1BP3	1.3461999999999998	4	1
15_MACS_peak_25400_lociStitched	chr4	9211661	9274600	15	61594	155792.9067	16892.8276	5	USP17		USP17	USP17	2.1654	5	1
6_MACS_peak_14153_lociStitched	chr17	78996945	79074613	6	76128	137907.3008	7393.9936	6	BAIAP2,FLJ90757	CHMP6,MIR3065,MIR657,MIR338,MIR1250	BAIAP2	BAIAP2	1.6231	6	1
12_MACS_peak_31661_lociStitched	chr9	139525808	139614552	12	86350	138671.3744	8475.052	7	EGFL7,MIR126,FAM69B,AGPAT2	LOC100128593,SNORA43,SNORA17,SNHG7,LCN10,LCN6,LCN8,LCN15	MIR126	LCN6	1.6043	7	1
2_MACS_peak_15647_lociStitched	chr19	8851022	8900834	2	49486	149440.9812	20129.0292	8		OR2Z1,ACTL9,ZNF558	OR2Z1	OR2Z1	0.22310000000000002	8	1
18_MACS_peak_9912_lociStitched	chr16	1249562	1340600	18	87612	134271.9462	7565.2578	9	CACNA1H,TPSAB1,TPSD1,TPSG1,TPSB2	UBE2I,BAIAP3	TPSAB1	TPSAB1	1.276	9	1
15_MACS_peak_21496_lociStitched	chr21	46708840	46795343	15	83796	135974.0657	9757.5384	10	LOC642852	COL18A1,POFUT2,NCRNA00175	LOC642852	NCRNA00175	1.6849	10	1
5_MACS_peak_14539_lociStitched	chr19	1282705	1344160	5	60968	132171.2685	8499.2265	11	EFNA2	ATP5D,MIDN,CIRBP,C19orf24,MUM1,NDUFS7,C19orf26,C19orf23	EFNA2	EFNA2	2.2081	11	1
8_MACS_peak_6106_lociStitched	chr11	1982408	2063137	8	79794	129109.8897	6337.2265	12	LOC100133545,H19,MIR675	TNNT3,MRPL23	H19	H19	1.8435	12	1
11_MACS_peak_20568_lociStitched	chr20	60985015	61071407	11	84928	127609.6232	6911.36	13	C20orf151,GATA5	RPS21,LAMA5,CABLES2	GATA5	GATA5	1.3858000000000001	13	1
17_MACS_peak_21203_lociStitched	chr21	44147783	44230694	17	79179	128122.3683	10678.9368	14	PDE9A		WDR4	WDR4	NONE	14	1
23_MACS_peak_1610_lociStitched	chr1	10755043	10852243	23	93900	124629.84	8213.4	15	CASZ1		CASZ1	CASZ1	1.1432	15	1
44_MACS_peak_13796_lociStitched	chr17	77349494	77456382	44	96950	120323.8216	8743.4384	16	RBFOX3		RBFOX3	RBFOX3	1.0189000000000001	16	1
7_MACS_peak_17966_lociStitched	chr19	48404648	48466012	7	60050	129606.9044	20581.4856	17	SNAR-A13,SNAR-C5,SNAR-A2,SNAR-A7,SNAR-C2,SNAR-C4,SNAR-C3	SNAR-A12,SNAR-C1,ELSPBP1,SULT2A1,BSPH1	SNAR-C2	SNAR-C2	1.968	17	1
5_MACS_peak_21440_lociStitched	chr21	46301980	46359017	5	56042	114678.5922	7089.6991	18	ITGB2,C21orf67	C21orf70,PTTG1IP	ITGB2	ITGB2	1.8816	18	1
11_MACS_peak_8428_lociStitched	chr12	54337845	54411949	11	72303	113356.8888	8121.7984	19	HOXC13,HOXC12,HOXC11,HOXC10,MIR196A2,HOXC9,HOXC8,HOXC6,HOXC5,HOXC4,HOTAIR	HOXC6,HOXC5,MIR615,HOXC4,FLJ12825	HOXC10	HOXC10	1.4848000000000001	19	1
15_MACS_peak_21445_lociStitched	chr21	46404284	46477324	15	69471	112591.16	8363.08	20	NCRNA00163,NCRNA00162	C21orf70,ADARB1,C21orf67,C21orf122	NCRNA00162	NCRNA00162	1.6185999999999998	20	1
18_MACS_peak_6003_lociStitched	chr11	1616700	1700326	18	80126	112384.9814	9366.112	21	LOC338651,KRTAP5-5,FAM99A,MOB2,KRTAP5-2,KRTAP5-3,KRTAP5-4	KRTAP5-6,DUSP8,KRTAP5-1,FAM99B	KRTAP5-5	KRTAP5-5	1.4015	21	1
7_MACS_peak_14976_lociStitched	chr19	4557718	4624601	7	65690	112309.9336	9878.6191	22	SEMA6B	TNFAIP8L1,PLIN4,PLIN5,LRG1,C19orf10	SEMA6B	PLIN5	1.6239999999999999	22	1
9_MACS_peak_25415_lociStitched	chr4	9324615	9370915	9	45677	111703.38	11996.33	23	USP17,USP17L6P		USP17L6P	USP17L6P	1.2412999999999998	23	1
12_MACS_peak_14194_lociStitched	chr17	79328015	79398549	12	67893	103677.9266	5960.123	24	BAHCC1	C17orf55,TMEM105,MIR3186	BAHCC1	MIR3186	1.5771	24	1
11_MACS_peak_20584_lociStitched	chr20	61141411	61209569	11	65555	100921.5506	5384.482	25	C20orf166,MIR1-1,MIR133A2,C20orf200		MIR133A2	MIR133A2	1.5776000000000001	25	1
32_MACS_peak_22312_lociStitched	chr22	37458434	37547280	32	80219	100005.0576	8626.9466	26	KCTD17,TMPRSS6,IL2RB	MPST,TST,C1QTNF6	TMPRSS6	TMPRSS6	1.0950000000000002	26	1
18_MACS_peak_12882_lociStitched	chr17	48633894	48706037	18	69525	97941.3368	7603.8722	27	CACNA1G	MYCBPAP,EPN3,SPATA20,ABCC3	CACNA1G	CACNA1G	1.2135	27	1
9_MACS_peak_11344_lociStitched	chr17	1041182	1106205	9	63279	97124.8551	7152.53	28	ABR	ABR	ABR	ABR	0.4395	28	1
5_MACS_peak_12834_lociStitched	chr17	47967231	48031511	5	64102	95622.928	5984.468	29		DLX4,TAC4,DLX3	DLX4	DLX4	1.5135	29	1
28_MACS_peak_30327_lociStitched	chr9	133835639	133916145	28	73146	96188.5688	7358.2484	30	LAMC3	FIBCD1	LAMC3	FIBCD1	1.369	30	1
1_MACS_peak_31884_lociStitched	chrX	19470135	19470665	1	531	88509.099	93.598	31	MAP3K15		MAP3K15	MAP3K15	0.5836	31	1
13_MACS_peak_21512_lociStitched	chr21	46796615	46856376	13	57698	91517.9954	5521.9164	32	COL18A1,NCRNA00175	COL18A1	COL18A1	COL18A1	1.1947	32	1
6_MACS_peak_21188_lociStitched	chr21	44055793	44120310	6	62076	93872.235	8045.2699	33	PDE9A		PDE9A	PDE9A	1.3517	33	1
7_MACS_peak_24_lociStitched	chr1	829177	878744	7	47471	89884.7978	4649.3846	34	SAMD11,FLJ39609	KLHL17,PLEKHN1,FAM41C,NOC2L,C1orf170	FLJ39609	FLJ39609	2.0528	34	1
25_MACS_peak_16434_lociStitched	chr19	18059346	18130978	25	65993	92054.2832	6926.8144	35	KCNN1,ARRDC2	CCDC124	ARRDC2	ARRDC2	1.0014999999999998	35	1
21_MACS_peak_28973_lociStitched	chr8	141990594	142060052	21	64903	92622.243	8571.1172	36	PTK2		PTK2	PTK2	0.0833	36	1
15_MACS_peak_4378_lociStitched	chr1	156821890	156885756	15	60919	94362.015	10352.6786	37	NTRK1,PEAR1,INSRR	C1orf92,SH2D2A,MIR765	PEAR1	PEAR1	1.3749	37	1
11_MACS_peak_21525_lociStitched	chr21	46858182	46919974	11	58519	89079.3472	6605.5648	38	COL18A1	NCRNA00175,SLC19A1	COL18A1	NCRNA00175	1.6849	38	1
9_MACS_peak_1093_lociStitched	chr1	6474985	6530084	9	53845	83419.886	5366.6426	39	ESPN,HES2,MIR4252,TNFRSF25,PLEKHG5	ACOT7	MIR4252	MIR4252	1.5048000000000001	39	1
1_MACS_peak_18313_lociStitched	chr19	50594137	50643079	1	48943	88178.8014	13919.1048	40	SNAR-A6,SNAR-A4,SNAR-A8,SNAR-A11,SNAR-A14,SNAR-B1,SNAR-B2	FLJ26850,SNAR-D,IZUMO2	SNAR-B1	SNAR-B1	1.7489	40	1
29_MACS_peak_1653_lociStitched	chr1	10906895	10980795	29	65813	80565.78	6710.12	41			CASZ1	CASZ1	1.1432	41	1
7_MACS_peak_14206_lociStitched	chr17	79400019	79451556	7	50859	77305.5	3514.8234	42	BAHCC1,MIR3186	FSCN2,ACTG1	MIR3186	MIR3186	1.5771	42	1
11_MACS_peak_22368_lociStitched	chr22	37771468	37832156	11	58905	78111.5248	5728.9472	43	ELFN2		ELFN2	ELFN2	1.1046	43	1
8_MACS_peak_30317_lociStitched	chr9	133770784	133825585	8	53290	75433.5765	4131.9954	44	FIBCD1	QRFP	FIBCD1	FIBCD1	1.369	44	1
5_MACS_peak_20733_lociStitched	chr20	61850270	61900944	5	50202	75276.227	4053.92	45	BIRC7,MIR3196,FLJ16779,NKAIN4	MIR124-3,ARFGAP1,MIR4326,COL20A1,YTHDF1	MIR3196	MIR3196	1.2501	45	1
3_MACS_peak_26208_lociStitched	chr6	31991229	32032510	3	40536	76068.4987	5007.3853	46	C4B,C4A,CYP21A2,TNXB	STK19,TNXA	STK19	TNXA	1.8334000000000001	46	1
10_MACS_peak_20602_lociStitched	chr20	61315543	61369187	10	51991	75278.6252	4736.7652	47	NTSR1	SLCO4A1,LOC100127888	NTSR1	NTSR1	1.2114	47	1
1_MACS_peak_7312_lociStitched	chr11	70042266	70042780	1	515	69222.0248	213.1558	48		FADD	FADD	FADD	0.14389999999999997	48	1
21_MACS_peak_304_lociStitched	chr1	2348719	2411265	21	55845	72153.0656	4115.5268	49	PLCH2	RER1,MORN1,PEX10,PANK4	PLCH2	MORN1	1.0526	49	1
14_MACS_peak_746_lociStitched	chr1	3430638	3488225	14	55496	71200.5668	3812.2594	50	MEGF6,MIR551A		MIR551A	MIR551A	1.0329000000000002	50	1
20_MACS_peak_30092_lociStitched	chr9	132405361	132468643	20	56488	72894.5358	5613.1134	51	PRRX2	METTL11A,C9orf50,ASB6,PTGES	PRRX2	PTGES	1.137	51	1
