GENE_ID	locusLine	bin_1_KMS11_jia.bam
NM_013943	chr1(.):25066759-25175815	0.2302
NM_030806	chr1(.):184351149-184603155	0.4278
NM_021222	chr1(.):150975972-151013189	0.3418
NM_015215	chr1(.):6840383-7834766	0.1168
NM_006559	chr1(.):32474490-32514472	0.409
NM_002867	chr1(.):52368627-52461436	0.4496
NM_007051	chr1(.):50901934-51430936	0.0403
NM_001113411	chr1(.):59757624-60233402	0.1251
NM_001006605	chr1(.):93302720-93432079	0.1507
NM_001010935	chr1(.):112157404-112261101	0.0755
NM_024408	chr1(.):120449175-120617276	0.246
NR_002188	chr1(.):155178615-155202325	0.7436
NM_021642	chr1(.):161470204-161494360	0.3501
NM_003820	chr1(.):2482804-2500267	0.3801
NM_004285	chr1(.):9289862-9336394	0.3056
NM_012102	chr1(.):8407463-8882699	0.1343
NM_152942	chr1(.):12180957-12209264	0.2877
NM_015291	chr1(.):15848351-15903228	0.2314
NM_004091	chr1(.):23827921-23862713	1.4269
NM_020448	chr1(.):24737244-24804473	0.0738
NM_020379	chr1(.):25938958-26116258	0.2481
NM_001048199	chr1(.):28827454-28870708	0.556
NR_002909	chr1(.):28827454-28842404	1.0645
NM_002379	chr1(.):31179123-31201432	0.1466
NR_034182	chr1(.):31186618-31204593	0.1788
NM_080391	chr1(.):32367021-32408988	0.3149
NM_004964	chr1(.):32752707-32804224	0.2353
NM_153341	chr1(.):33397049-33435286	0.1515
NR_024567	chr1(.):41149751-41162933	0.496
NM_001127714	chr1(.):41970683-42389496	0.2758
NM_174964	chr1(.):44168217-44401831	0.2075
NM_002600	chr1(.):66253855-66845262	0.0599
NM_001037341	chr1(.):66253192-66845262	0.0599
NM_001037340	chr1(.):66453389-66845262	0.0723
NM_024763	chr1(.):67273571-67395570	0.0709
NM_207014	chr1(.):67298281-67395570	0.0786
NM_152665	chr1(.):67213139-67249730	0.712
NM_001081976	chr1(.):112020969-112111597	0.0522
NM_198459	chr1(.):115122195-115217732	0.05
NM_203458	chr1(.):145204110-145290912	0.5915
NM_004892	chr1(.):145091406-145121922	0.3192
NM_153713	chr1(.):145472084-145504091	0.31
NM_207168	chr1(.):150594521-150607098	0.8822
NM_207042	chr1(.):150589598-150607098	0.7801
NM_207044	chr1(.):150590753-150607098	0.8226
NM_020699	chr1(.):153772202-153900451	0.2763
NM_020524	chr1(.):154911558-154933567	3.1837
NM_181359	chr1(.):154372668-154445188	0.4103
NM_002249	chr1(.):154674914-154847754	0.873
NM_004952	chr1(.):155046347-155065014	1.0048
NM_170782	chr1(.):154674914-154837338	0.8824
NM_005572	chr1(.):156079460-156112657	1.1837
NM_018489	chr1(.):155300051-155537324	0.3892
NM_170708	chr1(.):156079460-156114878	1.1216
NM_005973	chr1(.):156732273-156775609	0.9772
NM_001135050	chr1(.):159891828-159920386	0.5003
NM_007348	chr1(.):161731083-161933852	0.4133
NM_006182	chr1(.):162597227-162755247	0.1152
NM_052862	chr1(.):167594473-167680486	0.7174
NM_018122	chr1(.):173788796-173832682	0.4488
NM_014412	chr1(.):174963891-174986163	0.9505
NM_014857	chr1(.):174123633-174932327	0.1615
NM_001007214	chr1(.):174963570-174986163	0.9381
NM_020318	chr1(.):176427306-176816970	0.1233
NM_021936	chr1(.):176427306-176665341	0.1316
NM_014810	chr1(.):179918907-180089015	0.376
NM_015149	chr1(.):183600207-183902666	0.5774
NM_025191	chr1(.):184654624-184729041	1.1286
NM_144977	chr1(.):197516384-197749623	0.2085
NM_001195215	chr1(.):197468878-197749623	0.1852
NM_001193570	chr1(.):201447657-201481387	0.5539
NM_001193571	chr1(.):201447657-201480967	0.5491
NM_001193572	chr1(.):201447657-201470701	0.211
NM_015375	chr1(.):205106630-205185727	0.1531
NM_182663	chr1(.):206675878-206767616	1.0661
NM_152495	chr1(.):224799178-224933249	0.2077
NM_002221	chr1(.):226814390-226931876	0.7069
NM_004481	chr1(.):230197955-230422875	0.2399
NM_181690	chr1(.):243646534-244011553	0.1199
NM_005465	chr1(.):243661483-244011553	0.1228
NM_080875	chr1(.):1545794-1570990	0.4874
NM_006983	chr1(.):1562559-1575030	0.3166
NM_014188	chr1(.):1472052-1515262	0.1817
NR_002946	chr1(.):1563158-1575027	0.3299
NM_001170689	chr1(.):1546244-1570990	0.4571
NR_002946	chr1(.):1626377-1638247	0.0426
