GENE_ID	locusLine	bin_1_NCI-H929.jin.bam
NM_021222	chr1(.):150975972-151013189	0.6046
NM_007051	chr1(.):50901934-51430936	0.0524
NR_002188	chr1(.):155178615-155202325	1.4253
NM_021642	chr1(.):161470204-161494360	0.2608
NM_001198993	chr1(.):1677670-1715297	0.8873
NM_023018	chr1(.):1677670-1714909	0.8959
NM_001198994	chr1(.):1677670-1716508	0.8627
NM_003820	chr1(.):2482804-2500267	0.6347
NM_024980	chr1(.):9159475-9194229	0.6289
NM_004091	chr1(.):23827921-23862713	1.2899
NM_173065	chr1(.):24475646-24518751	0.937
NM_001048199	chr1(.):28827454-28870708	1.4181
NR_002909	chr1(.):28827454-28842404	2.8438
NM_198459	chr1(.):115122195-115217732	0.1363
NM_153713	chr1(.):145472084-145504091	0.3876
NM_207168	chr1(.):150594521-150607098	1.4797
NM_020699	chr1(.):153772202-153900451	0.4432
NM_020524	chr1(.):154911558-154933567	3.9058
NM_181359	chr1(.):154372668-154445188	0.9219
NM_002249	chr1(.):154674914-154847754	0.491
NM_170782	chr1(.):154674914-154837338	0.4996
NM_005572	chr1(.):156079460-156112657	1.5926
NM_170708	chr1(.):156079460-156114878	1.5089
NM_005973	chr1(.):156732273-156775609	0.5525
NM_005531	chr1(.):158974681-159029945	0.7864
NM_001135050	chr1(.):159891828-159920386	1.5913
NM_012394	chr1(.):161065345-161092866	0.6525
NM_007348	chr1(.):161731083-161933852	0.1228
NM_006182	chr1(.):162597227-162755247	0.1171
NM_052862	chr1(.):167594473-167680486	0.9047
NM_018122	chr1(.):173788796-173832682	0.5536
NM_025191	chr1(.):184654624-184729041	1.2318
NM_182663	chr1(.):206675878-206767616	0.387
NM_004481	chr1(.):230197955-230422875	0.3574
NM_031921	chr1(.):1402163-1436582	0.3126
NM_018188	chr1(.):1442522-1475067	0.7482
NM_001170536	chr1(.):1442909-1475067	0.7561
NM_001114748	chr1(.):1465157-1480740	0.0549
NM_182838	chr1(.):1658680-1682431	0.8026
NM_001198995	chr1(.):1677670-1695081	0.3879
NM_002074	chr1(.):1711728-1827495	0.2797
NM_138705	chr1(.):1841265-1853733	0.3803
NM_178545	chr1(.):1844028-1855740	0.2711
NM_001010926	chr1(.):2455183-2466684	0.5771
NR_026927	chr1(.):2476358-2489284	2.1479
NM_018216	chr1(.):2434974-2463035	0.3342
NM_001195741	chr1(.):2513188-2527908	0.8744
NR_036638	chr1(.):2512898-2527908	0.8575
NM_001428	chr1(.):8916062-8943780	1.2993
NM_207420	chr1(.):9058358-9091404	0.1066
NM_003039	chr1(.):9092004-9134887	0.8316
NR_024180	chr1(.):9092004-9153510	1.1784
NM_001135585	chr1(.):9096426-9134887	0.9195
NM_017707	chr1(.):23750055-23815750	0.1141
NM_002167	chr1(.):23879408-23891322	1.833
NR_027042	chr1(.):23948823-23972056	0.1463
NM_021258	chr1(.):24441260-24474611	0.0574
NR_027087	chr1(.):24521729-24543180	0.5365
NM_006015	chr1(.):27017521-27113601	0.9317
NM_002713	chr1(.):28152292-28183183	0.2453
NR_002997	chr1(.):28155911-28166077	0.6037
NM_001039477	chr1(.):28194054-28218193	1.9913
NM_002946	chr1(.):28213048-28246236	0.4606
NR_003109	chr1(.):28874528-28910057	0.4366
NM_001269	chr1(.):28839744-28870708	0.6387
NM_005202	chr1(.):36555843-36570850	0.0855
NM_018067	chr1(.):36616802-36651441	0.7481
NM_014408	chr1(.):36597172-36620067	0.4876
NM_004073	chr1(.):45261035-45276667	2.2646
NM_001013632	chr1(.):45266585-45277957	2.4807
NM_001136537	chr1(.):45269153-45284801	1.8819
NR_001456	chr1(.):45238513-45248584	1.5274
NR_001457	chr1(.):45239061-45249130	1.5318
NM_153274	chr1(.):45244256-45258426	0.2558
NM_003738	chr1(.):45282937-45313616	0.2863
NM_001012	chr1(.):45236245-45249412	1.1754
NR_000024	chr1(.):45237163-45247261	1.5215
NR_000015	chr1(.):45236536-45246610	1.5229
NM_001166292	chr1(.):45280515-45313616	0.2685
NM_001262	chr1(.):51429366-51445306	6.0638
NM_078626	chr1(.):51430641-51445309	6.5864
NM_015696	chr1(.):53063042-53079723	0.1056
NM_001042693	chr1(.):53094065-53127737	1.1528
NM_001127215	chr1(.):92935317-92954356	1.2833
NM_005263	chr1(.):92935317-92957433	1.1236
NM_001127216	chr1(.):92935317-92956628	1.1647
NM_133181	chr1(.):110287701-110311564	0.0914
NM_000849	chr1(.):110271553-110288660	0.0854
NM_004974	chr1(.):111140775-111153345	0.0775
NM_002232	chr1(.):111209309-111222655	0.625
NM_007158	chr1(.):115254536-115305624	0.5626
NM_002524	chr1(.):115242077-115264515	1.3047
NM_001172626	chr1(.):115210719-115243239	1.0343
NM_001007553	chr1(.):115254537-115305624	0.5626
NM_001130523	chr1(.):115254537-115305671	0.5621
NM_017709	chr1(.):118143603-118176011	1.5041
NM_032305	chr1(.):145451235-145475387	1.0839
NM_202004	chr1(.):145408190-145422545	0.1152
NM_006472	chr1(.):145433461-145447628	1.8637
NM_001039888	chr1(.):145465507-145480647	0.8273
NM_001161334	chr1(.):149749244-149788928	0.7169
NM_001034077	chr1(.):149799220-149809616	3.6371
NM_001005464	chr1(.):149807258-149817765	9.1737
NM_001040874	chr1(.):149808784-149819318	9.1152
NM_001123375	chr1(.):149779779-149790236	2.0184
NM_000566	chr1(.):149749249-149769074	0.3378
NM_005850	chr1(.):149890210-149904702	0.8801
NM_016074	chr1(.):149866154-149877348	0.5345
NM_003528	chr1(.):149851009-149863232	5.7669
NM_003517	chr1(.):149853524-149863961	6.73
NM_175065	chr1(.):149854018-149864466	6.709
NM_014849	chr1(.):149869871-149894434	0.3263
NM_181873	chr1(.):149895542-149913266	0.9951
NM_001145862	chr1(.):149895542-149913791	0.9674
NR_036461	chr1(.):149816758-149827340	9.3972
NM_001040874	chr1(.):149817627-149828161	9.4527
NM_001005464	chr1(.):149819180-149829687	9.5221
NM_001034077	chr1(.):149827329-149837725	3.7741
NM_019032	chr1(.):150516897-150538412	2.8735
NM_207046	chr1(.):150589598-150606609	1.2158
NR_036211	chr1(.):150519404-150529490	0.5183
NM_001197320	chr1(.):150542026-150557214	3.0012
NM_178427	chr1(.):150777180-150854244	0.4245
NM_012432	chr1(.):150893814-150942220	0.2667
NM_001163258	chr1(.):150964300-150985854	1.4767
NM_181746	chr1(.):150932648-150952440	1.8654
NR_026977	chr1(.):150893824-150922797	0.3619
NM_003568	chr1(.):150949498-150973114	0.8402
NM_001163260	chr1(.):150964300-150984273	1.5859
NM_001040217	chr1(.):150964300-150984385	1.5776
NM_138278	chr1(.):151004028-151025076	0.2485
NM_017860	chr1(.):151015258-151028871	0.4032
NM_024330	chr1(.):153742767-153757633	1.4401
NM_014437	chr1(.):153926587-153945188	2.1744
NM_130898	chr1(.):153935396-153951832	2.8759
NM_181715	chr1(.):153915151-153936043	2.3578
NM_006694	chr1(.):153941744-153955451	1.0689
NM_002870	chr1(.):153949127-153963806	1.7589
NM_014856	chr1(.):153896976-153924154	1.4889
NM_001030	chr1(.):153958238-153969631	1.3296
NM_006556	chr1(.):154892207-154914484	3.1808
NM_001130041	chr1(.):154929773-154951959	3.3841
NM_001130040	chr1(.):154929773-154948223	3.9574
NM_201398	chr1(.):154950769-154970587	0.4402
NM_015872	chr1(.):154970111-154995999	2.1149
NM_207196	chr1(.):155018761-155040252	0.6946
NM_018655	chr1(.):154961061-154971791	0.5579
NM_001143687	chr1(.):155001281-155028406	0.4222
NR_024163	chr1(.):154942117-154956725	2.9052
NM_144622	chr1(.):154986002-155011257	0.2574
NM_138300	chr1(.):154924501-154939258	3.8875
NR_036212	chr1(.):154943168-154953259	3.2915
NM_001018017	chr1(.):155153299-155167700	2.0901
NM_198883	chr1(.):155173489-155188624	1.8313
NM_018973	chr1(.):155107366-155117883	2.5274
NM_153741	chr1(.):155107366-155117996	2.5015
NM_173852	chr1(.):155136883-155150804	1.0633
NM_007112	chr1(.):155160378-155182690	2.3669
NM_001122837	chr1(.):155103287-155116334	2.1209
NM_025058	chr1(.):155141359-155162445	0.9606
NR_030281	chr1(.):155159967-155170063	2.533
NM_001005742	chr1(.):155199238-155219653	0.969
NM_001171812	chr1(.):155199238-155216066	1.1392
NM_000157	chr1(.):155199238-155216069	1.139
NM_006912	chr1(.):155862600-155886177	0.2451
NM_001162384	chr1(.):155911629-155953336	1.759
NM_181885	chr1(.):155906479-155917625	1.9944
NM_004723	chr1(.):155911629-155952966	1.768
NM_014949	chr1(.):155877835-155909188	0.557
NR_002974	chr1(.):155884699-155894833	0.0883
NR_003005	chr1(.):155890748-155900877	0.1155
NM_001093725	chr1(.):156036803-156056789	0.2376
NM_003145	chr1(.):155973838-155995758	0.803
NM_014655	chr1(.):156158729-156187587	1.3548
NM_022367	chr1(.):156118321-156152542	1.1014
NM_001193302	chr1(.):156118368-156152542	1.0961
NM_001193301	chr1(.):156114734-156152542	1.1538
NM_005920	chr1(.):156428518-156475529	2.4822
NM_198427	chr1(.):156606739-156628264	0.348
NM_021817	chr1(.):156584085-156600517	0.1814
NM_021948	chr1(.):156606739-156634320	2.9116
NM_004494	chr1(.):156706898-156726543	3.2138
NM_001126051	chr1(.):156706898-156727024	3.1397
NM_001126050	chr1(.):156706898-156727240	3.1075
NM_030980	chr1(.):156687412-156702705	1.7479
NM_001878	chr1(.):156664407-156680375	0.1712
NM_001142560	chr1(.):156693262-156711752	2.2177
NM_145729	chr1(.):156702093-156715923	1.2438
NM_006617	chr1(.):156633555-156652189	3.2981
NR_001560	chr1(.):157093153-157103463	0.1845
NM_005240	chr1(.):157097975-157113177	1.3925
NM_001145312	chr1(.):157089458-157113383	0.9268
NM_031281	chr1(.):157478166-157527310	0.8253
NM_003564	chr1(.):159882902-159900284	2.7941
NM_001013661	chr1(.):159819105-159837447	0.8369
NM_012337	chr1(.):159837153-159874906	0.4891
NM_001146172	chr1(.):159916281-159929044	0.0945
NM_030916	chr1(.):161035780-161064385	0.6911
NM_007122	chr1(.):161004040-161020757	1.8653
NM_001113205	chr1(.):161002421-161013774	0.5613
NR_033385	chr1(.):161063150-161075138	0.2636
NM_181720	chr1(.):161011731-161044760	1.3921
NM_016946	chr1(.):160960000-160996133	0.6125
NM_001077470	chr1(.):161194455-161213000	0.9025
NM_001039711	chr1(.):161085768-161107478	1.3986
NM_016406	chr1(.):161118533-161133646	1.9967
NM_004550	chr1(.):161164104-161189184	0.8279
NM_000309	chr1(.):161131180-161146010	1.0258
NM_001643	chr1(.):161187082-161198418	1.5832
NM_001185094	chr1(.):161082907-161095984	1.1246
NM_003779	chr1(.):161136100-161152314	2.8719
NM_012475	chr1(.):161124253-161140516	1.3584
NM_001039712	chr1(.):161085768-161107256	1.4126
NM_005600	chr1(.):161082861-161095984	1.1207
NM_001185093	chr1(.):161082906-161095984	1.1245
NM_032174	chr1(.):161190832-161205407	1.1539
NM_001166159	chr1(.):161166936-161189184	0.8818
NM_005099	chr1(.):161154537-161173845	2.6136
NM_004106	chr1(.):161180086-161194038	0.362
NM_001184872	chr1(.):161671761-161689142	0.3166
NM_001002901	chr1(.):161687456-161702933	1.7104
NM_007240	chr1(.):161714580-161731952	0.9965
NM_003115	chr1(.):162526295-162574633	1.6149
NM_001127181	chr1(.):173763687-173798777	0.6279
NM_001171182	chr1(.):173763687-173798270	0.6366
NM_001122770	chr1(.):173832492-173860774	1.097
NR_003943	chr1(.):173830448-173840509	3.0495
NR_003942	chr1(.):173830772-173840853	3.0458
NR_003941	chr1(.):173831016-173841076	3.0321
NR_003940	chr1(.):173828970-173839041	3.0168
NR_003939	chr1(.):173829487-173839568	3.0189
NR_002579	chr1(.):173831811-173841883	2.9884
NR_003938	chr1(.):173828312-173838355	2.9966
NR_002750	chr1(.):173830105-173840166	3.0444
NR_002746	chr1(.):173828506-173838583	3.0094
NM_000488	chr1(.):173867941-173891516	0.1009
NR_003944	chr1(.):173829770-173839824	3.0346
NM_032522	chr1(.):173832492-173847778	1.9505
NR_037605	chr1(.):173827385-173838079	2.7241
NR_002578	chr1(.):173828038-173842125	2.2168
NM_022371	chr1(.):179046111-179070129	1.3389
NR_034150	chr1(.):203262885-203279453	1.8115
NM_006763	chr1(.):203269663-203283729	1.6008
NM_002023	chr1(.):203304751-203325289	0.0585
NM_002646	chr1(.):204386757-204464474	0.1545
NM_002393	chr1(.):204480510-204532248	0.5263
NM_030952	chr1(.):205266190-205295883	0.2392
NM_006893	chr1(.):206759973-206790904	0.1859
NM_182665	chr1(.):206725491-206767616	0.7317
NM_001172425	chr1(.):226119297-226134083	1.7659
NM_013328	chr1(.):226102579-226116965	0.9412
NM_033445	chr1(.):228640064-228650560	0.8073
NM_001010858	chr1(.):228670067-228688889	1.1552
NM_175055	chr1(.):228640807-228651259	0.7852
NR_002834	chr1(.):228775656-228793159	0.2689
NM_182972	chr1(.):234735014-234750271	3.5395
NR_033927	chr1(.):234760056-234775526	0.0369
NM_138394	chr2(.):38785327-38835178	1.3763
NM_020458	chr2(.):47163312-47308275	0.3148
NR_033872	chr2(.):70184394-70319147	0.4347
NM_001099289	chr2(.):109740996-110267207	0.2027
NM_001037131	chr2(.):236397735-237039120	0.1001
NM_145693	chr2(.):11881739-11972533	0.4152
NM_138801	chr2(.):38888051-38966909	0.5437
NR_024204	chr2(.):87749973-87826030	1.1906
NM_004836	chr2(.):88851258-88932094	0.4949
NM_004027	chr2(.):99056320-99212496	1.15
NM_001566	chr2(.):99056320-99203284	1.2177
NM_005721	chr2(.):114642536-114721167	0.3338
NR_027020	chr2(.):132900163-133020542	0.2156
NM_001077269	chr2(.):175419301-175552627	0.3024
NM_004226	chr2(.):196993306-197041336	1.0525
NM_001228	chr2(.):202093165-202157434	0.7094
NM_003879	chr2(.):201975889-202034003	0.8618
NM_001127184	chr2(.):201975815-202011323	1.365
NM_173822	chr2(.):201833440-201941392	0.1109
NM_033358	chr2(.):202093165-202151638	0.774
NM_001167608	chr2(.):227695670-227868923	0.1295
NM_017844	chr2(.):241413838-241502405	0.2548
NM_001195381	chr2(.):241539824-241575676	0.2988
NM_005301	chr2(.):241559661-241575676	0.5506
NM_003108	chr2(.):5827798-5846517	1.4569
NM_002997	chr2(.):20395557-20429927	2.761
NM_001006946	chr2(.):20395557-20430194	2.7405
NM_006887	chr2(.):43444540-43458745	3.8064
NR_027251	chr2(.):43449349-43460994	3.4576
NM_001171508	chr2(.):47124008-47173994	0.2531
NM_022055	chr2(.):47742914-47802470	0.8837
NM_006196	chr2(.):70309584-70321334	4.3532
NR_024444	chr2(.):70346167-70357448	1.4127
NR_026984	chr2(.):86242338-86255991	0.1109
NR_026875	chr2(.):97158382-97178846	0.0875
NM_212481	chr2(.):97197463-97223371	0.8503
NR_031608	chr2(.):133009538-133019653	0.7341
NM_004288	chr2(.):158266130-158305604	0.7279
NM_003387	chr2(.):175419301-175504307	0.4425
NM_000885	chr2(.):182316618-182407468	0.4407
NM_002491	chr2(.):201931461-201955473	0.1979
NM_001127183	chr2(.):201978386-202033841	0.898
NM_033356	chr2(.):202120222-202157434	0.8026
NM_001080125	chr2(.):202117753-202157434	0.8318
NM_182642	chr2(.):219259813-219274148	1.6836
NM_198559	chr2(.):219216578-219237817	0.1847
NM_021198	chr2(.):219259477-219275664	1.5017
NM_000578	chr2(.):219241751-219266617	0.8739
NR_029500	chr2(.):219262368-219272445	1.6279
NM_007127	chr2(.):219278837-219319248	0.0679
NM_005544	chr2(.):227591032-227668506	0.6194
NM_001099285	chr2(.):232568234-232583250	5.0731
NR_036052	chr2(.):232573023-232583105	2.9548
NM_023083	chr2(.):241521132-241543526	0.8215
NM_001033575	chr2(.):241494470-241508431	2.9086
NM_018226	chr2(.):241503103-241523143	1.564
NM_014674	chr3(.):5224358-5266650	0.8984
NM_001195099	chr3(.):15703743-15803058	0.0455
NM_001195098	chr3(.):15703743-15844691	0.1934
NM_015199	chr3(.):15703743-15906053	0.2514
NM_002841	chr3(.):61542242-62285573	0.1155
NM_001135095	chr3(.):171753343-172123492	0.238
NM_022763	chr3(.):171752417-172123492	0.2378
NM_001134382	chr3(.):12933718-13119617	0.262
NM_014869	chr3(.):12933718-13013960	0.0859
NM_006254	chr3(.):53190222-53231733	0.6781
NM_002213	chr3(.):124476794-124611144	0.7458
NM_032343	chr3(.):126418117-126684244	0.2327
NM_001080412	chr3(.):141038054-141173632	1.3783
NM_024665	chr3(.):176733541-176920048	0.2273
NM_005524	chr3(.):193848933-193861396	2.1065
NM_052859	chr3(.):53117500-53169470	0.6349
NM_006100	chr3(.):98446571-98518236	1.9146
NR_033434	chr3(.):124444212-124473119	0.1698
NM_000539	chr3(.):129242481-129259187	0.1163
NM_153833	chr3(.):129257056-129275204	0.21
NM_015103	chr3(.):129269055-129330582	0.9523
NM_198281	chr4(.):90160428-90234161	1.3279
NM_014189	chr4(.):2840583-2936789	0.1677
NM_024309	chr4(.):2738386-2763103	0.2208
NM_001161527	chr4(.):2738386-2762752	0.2198
NM_005112	chr4(.):10070962-10123573	0.8999
NM_004310	chr4(.):40193526-40251281	0.7007
NM_002199	chr4(.):185303875-185400726	1.1919
NM_001145856	chr4(.):2814911-2847823	0.2733
NM_001145855	chr4(.):2808945-2847823	0.4038
NM_001122681	chr4(.):2789749-2847823	0.6659
NM_003023	chr4(.):2815540-2847823	0.2738
NR_036090	chr4(.):10075234-10085316	0.0839
NM_031889	chr4(.):71489460-71517536	0.1616
NM_144646	chr4(.):71516257-71537348	2.7397
NM_020368	chr4(.):71549195-71561268	0.8029
NM_014961	chr4(.):71582695-71664274	0.0673
